Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,17:33:47,japan,algeria,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,17,1
Thu,17:33:47,japan,algeria,100.64.0.202,100.64.0.202,18,2
Thu,17:33:47,japan,algeria,100.64.1.71,100.64.1.71,18,3
Thu,17:33:47,japan,algeria,100.64.17.33,100.64.17.33,0,4
Thu,17:33:47,japan,algeria,52.95.30.221,52.95.30.221,3,5
Thu,17:33:47,japan,algeria,52.95.31.135,52.95.31.135,7,6
Thu,17:33:47,japan,algeria,52.95.31.34,52.95.31.34,2,7
Thu,17:33:47,japan,algeria,54.239.52.112,54.239.52.112,6,8
Thu,17:33:47,japan,algeria,52.95.30.35,52.95.30.35,14,9
Thu,17:33:47,japan,algeria,52.95.30.178,52.95.30.178,5,10
Thu,17:33:47,japan,algeria,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,4,11
Thu,17:33:47,japan,algeria,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,5,12
Thu,17:33:47,japan,algeria,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,53,13
Thu,17:33:47,japan,algeria,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,60,14
Thu,17:33:47,japan,algeria,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,61,15
Thu,17:33:47,japan,algeria,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,59,16
Thu,17:33:47,japan,algeria,if-et-17-3.hcore1.KV8-Chiba.as6453.net,180.87.112.46,66,17
Thu,17:33:47,japan,algeria,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,303,18
Thu,17:33:47,japan,algeria,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.12,293,19
Thu,17:33:47,japan,algeria,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,309,20
Thu,17:33:47,japan,algeria,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,307,21
Thu,17:33:47,japan,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,296,22
Thu,17:33:47,japan,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,288,23
Thu,17:33:47,japan,algeria,195.219.83.30,195.219.83.30,267,24
Thu,17:33:47,japan,algeria,*,*,*,25
Thu,17:33:47,japan,algeria,*,*,*,26
Thu,17:33:47,japan,algeria,*,*,*,27
Thu,17:33:47,japan,algeria,*,*,*,28
Thu,17:33:47,japan,algeria,*,*,*,29
Thu,17:33:47,japan,algeria,*,*,*,30
Thu,17:42:14,japan,algeria,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,20,1
Thu,17:42:14,japan,algeria,100.64.1.202,100.64.1.202,13,2
Thu,17:42:14,japan,algeria,100.64.2.3,100.64.2.3,16,3
Thu,17:42:14,japan,algeria,100.64.17.195,100.64.17.195,0,4
Thu,17:42:14,japan,algeria,52.95.30.217,52.95.30.217,6,5
Thu,17:42:14,japan,algeria,52.95.31.127,52.95.31.127,10,6
Thu,17:42:14,japan,algeria,52.95.31.32,52.95.31.32,2,7
Thu,17:42:14,japan,algeria,54.239.52.110,54.239.52.110,5,8
Thu,17:42:14,japan,algeria,52.95.30.9,52.95.30.9,1522,9
Thu,17:42:14,japan,algeria,52.95.30.172,52.95.30.172,5,10
Thu,17:42:14,japan,algeria,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,6,11
Thu,17:42:14,japan,algeria,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,6,12
Thu,17:42:14,japan,algeria,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,55,13
Thu,17:42:14,japan,algeria,ae-12.r01.tkokhk01.hk.bb.gin.ntt.net,129.250.4.20,59,14
Thu,17:42:14,japan,algeria,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,55,15
Thu,17:42:14,japan,algeria,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,60,16
Thu,17:42:14,japan,algeria,if-et-16-2.hcore1.KV8-Chiba.as6453.net,116.0.67.34,62,17
Thu,17:42:14,japan,algeria,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,292,18
Thu,17:42:14,japan,algeria,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.130,300,19
Thu,17:42:14,japan,algeria,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,299,20
Thu,17:42:14,japan,algeria,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,302,21
Thu,17:42:14,japan,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,299,22
Thu,17:42:14,japan,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,298,23
Thu,17:42:14,japan,algeria,195.219.83.30,195.219.83.30,266,24
Thu,17:42:14,japan,algeria,*,*,*,25
Thu,17:42:14,japan,algeria,*,*,*,26
Thu,17:42:14,japan,algeria,*,*,*,27
Thu,17:42:14,japan,algeria,*,*,*,28
Thu,17:42:14,japan,algeria,*,*,*,29
Thu,17:42:14,japan,algeria,*,*,*,30
