Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,17:35:06,japan,kenya,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,14,1
Thu,17:35:06,japan,kenya,100.64.0.12,100.64.0.12,19,2
Thu,17:35:06,japan,kenya,100.64.0.129,100.64.0.129,17,3
Thu,17:35:06,japan,kenya,100.64.17.99,100.64.17.99,0,4
Thu,17:35:06,japan,kenya,52.95.30.217,52.95.30.217,3,5
Thu,17:35:06,japan,kenya,52.95.31.121,52.95.31.121,3,6
Thu,17:35:06,japan,kenya,52.95.31.14,52.95.31.14,2,7
Thu,17:35:06,japan,kenya,27.0.0.248,27.0.0.248,9,8
Thu,17:35:06,japan,kenya,54.239.53.21,54.239.53.21,11,9
Thu,17:35:06,japan,kenya,54.239.53.86,54.239.53.86,9,10
Thu,17:35:06,japan,kenya,63-222-51-9.static.pccwglobal.net,63.222.51.9,9,11
Thu,17:35:06,japan,kenya,TenGE4-2.br01.tok02.pccwbtn.net,63.218.250.37,12,12
Thu,17:35:06,japan,kenya,ix-ae-16-0.tcore1.TV2-Tokyo.as6453.net,120.29.217.109,13,13
Thu,17:35:06,japan,kenya,ix-ae-16-0.tcore1.TV2-Tokyo.as6453.net,120.29.217.109,10,14
Thu,17:35:06,japan,kenya,if-ae-31-2.tcore2.SVW-Singapore.as6453.net,180.87.15.40,166,15
Thu,17:35:06,japan,kenya,if-ae-6-2.tcore2.CXR-Chennai.as6453.net,180.87.37.13,167,16
Thu,17:35:06,japan,kenya,if-ae-9-2.tcore2.MLV-Mumbai.as6453.net,180.87.37.10,128,17
Thu,17:35:06,japan,kenya,195.219.174.134,195.219.174.134,219,18
Thu,17:35:06,japan,kenya,195.219.174.134,195.219.174.134,220,19
Thu,17:35:06,japan,kenya,196.201.222.89,196.201.222.89,223,20
Thu,17:35:06,japan,kenya,196.201.222.166,196.201.222.166,220,21
Thu,17:35:06,japan,kenya,*,*,*,22
Thu,17:35:06,japan,kenya,*,*,*,23
Thu,17:35:06,japan,kenya,*,*,*,24
Thu,17:35:06,japan,kenya,*,*,*,25
Thu,17:35:06,japan,kenya,*,*,*,26
Thu,17:35:06,japan,kenya,*,*,*,27
Thu,17:35:06,japan,kenya,*,*,*,28
Thu,17:35:06,japan,kenya,*,*,*,29
Thu,17:35:06,japan,kenya,*,*,*,30
Thu,17:43:21,japan,kenya,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,19,1
Thu,17:43:21,japan,kenya,100.64.0.204,100.64.0.204,25,2
Thu,17:43:21,japan,kenya,100.64.0.199,100.64.0.199,14,3
Thu,17:43:21,japan,kenya,100.64.16.17,100.64.16.17,0,4
Thu,17:43:21,japan,kenya,52.95.30.217,52.95.30.217,3,5
Thu,17:43:21,japan,kenya,52.95.31.131,52.95.31.131,3,6
Thu,17:43:21,japan,kenya,52.95.31.8,52.95.31.8,2,7
Thu,17:43:21,japan,kenya,27.0.0.248,27.0.0.248,10,8
Thu,17:43:21,japan,kenya,54.239.53.17,54.239.53.17,18,9
Thu,17:43:21,japan,kenya,54.239.53.72,54.239.53.72,8,10
Thu,17:43:21,japan,kenya,63-222-51-9.static.pccwglobal.net,63.222.51.9,9,11
Thu,17:43:21,japan,kenya,TenGE4-2.br01.tok02.pccwbtn.net,63.218.250.37,12,12
Thu,17:43:21,japan,kenya,ix-ae-16-0.tcore1.TV2-Tokyo.as6453.net,120.29.217.109,13,13
Thu,17:43:21,japan,kenya,if-ae-31-2.tcore2.SVW-Singapore.as6453.net,180.87.15.40,168,14
Thu,17:43:21,japan,kenya,if-ae-31-2.tcore2.SVW-Singapore.as6453.net,180.87.15.40,167,15
Thu,17:43:21,japan,kenya,if-ae-6-2.tcore2.CXR-Chennai.as6453.net,180.87.37.13,167,16
Thu,17:43:21,japan,kenya,if-ge-3-0-0-2504.core1.N71-Fujairah.as6453.net,195.219.174.24,172,17
Thu,17:43:21,japan,kenya,if-pos-9-0-1.core1.N71-Fujairah.as6453.net,180.87.39.50,162,18
Thu,17:43:21,japan,kenya,195.219.174.134,195.219.174.134,223,19
Thu,17:43:21,japan,kenya,196.201.222.89,196.201.222.89,223,20
Thu,17:43:21,japan,kenya,196.201.222.166,196.201.222.166,219,21
Thu,17:43:21,japan,kenya,*,*,*,22
Thu,17:43:21,japan,kenya,*,*,*,23
Thu,17:43:21,japan,kenya,*,*,*,24
Thu,17:43:21,japan,kenya,*,*,*,25
