Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,17:35:31,japan,oregon,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,12,1
Thu,17:35:31,japan,oregon,100.64.1.8,100.64.1.8,15,2
Thu,17:35:31,japan,oregon,100.64.2.135,100.64.2.135,17,3
Thu,17:35:31,japan,oregon,100.64.16.227,100.64.16.227,0,4
Thu,17:35:31,japan,oregon,52.95.30.213,52.95.30.213,3,5
Thu,17:35:31,japan,oregon,52.95.31.133,52.95.31.133,8,6
Thu,17:35:31,japan,oregon,52.95.31.8,52.95.31.8,2,7
Thu,17:35:31,japan,oregon,27.0.0.248,27.0.0.248,105,8
Thu,17:35:31,japan,oregon,54.239.41.161,54.239.41.161,104,9
Thu,17:35:31,japan,oregon,54.239.43.132,54.239.43.132,104,10
Thu,17:35:31,japan,oregon,52.93.12.230,52.93.12.230,133,11
Thu,17:35:31,japan,oregon,52.93.12.69,52.93.12.69,104,12
Thu,17:35:31,japan,oregon,52.93.12.36,52.93.12.36,109,13
Thu,17:35:31,japan,oregon,52.93.12.65,52.93.12.65,105,14
Thu,17:35:31,japan,oregon,52.93.15.223,52.93.15.223,105,15
Thu,17:35:31,japan,oregon,100.65.11.32,100.65.11.32,118,16
Thu,17:35:31,japan,oregon,100.66.4.250,100.66.4.250,123,17
Thu,17:35:31,japan,oregon,100.66.7.32,100.66.7.32,123,18
Thu,17:35:31,japan,oregon,100.66.11.65,100.66.11.65,118,19
Thu,17:35:31,japan,oregon,100.66.8.95,100.66.8.95,119,20
Thu,17:35:31,japan,oregon,ec2-52-39-225-56.us-west-2.compute.amazonaws.com,52.39.225.56,105,21
Thu,17:43:47,japan,oregon,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,15,1
Thu,17:43:47,japan,oregon,100.64.1.142,100.64.1.142,19,2
Thu,17:43:47,japan,oregon,100.64.0.129,100.64.0.129,55,3
Thu,17:43:47,japan,oregon,100.64.16.1,100.64.16.1,0,4
Thu,17:43:47,japan,oregon,52.95.30.221,52.95.30.221,3,5
Thu,17:43:47,japan,oregon,52.95.31.123,52.95.31.123,6,6
Thu,17:43:47,japan,oregon,52.95.31.14,52.95.31.14,2,7
Thu,17:43:47,japan,oregon,27.0.0.248,27.0.0.248,104,8
Thu,17:43:47,japan,oregon,54.239.41.161,54.239.41.161,104,9
Thu,17:43:47,japan,oregon,54.239.43.132,54.239.43.132,104,10
Thu,17:43:47,japan,oregon,52.93.12.158,52.93.12.158,106,11
Thu,17:43:47,japan,oregon,52.93.12.105,52.93.12.105,104,12
Thu,17:43:47,japan,oregon,52.93.12.216,52.93.12.216,138,13
Thu,17:43:47,japan,oregon,52.93.12.239,52.93.12.239,104,14
Thu,17:43:47,japan,oregon,52.93.15.219,52.93.15.219,105,15
Thu,17:43:47,japan,oregon,100.65.8.224,100.65.8.224,117,16
Thu,17:43:47,japan,oregon,100.66.4.226,100.66.4.226,116,17
Thu,17:43:47,japan,oregon,100.66.6.108,100.66.6.108,118,18
Thu,17:43:47,japan,oregon,100.66.10.15,100.66.10.15,118,19
Thu,17:43:47,japan,oregon,100.66.8.213,100.66.8.213,119,20
Thu,17:43:47,japan,oregon,ec2-52-39-225-56.us-west-2.compute.amazonaws.com,52.39.225.56,105,21
Thu,17:51:39,japan,oregon,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,14,1
Thu,17:51:39,japan,oregon,100.64.0.76,100.64.0.76,13,2
Thu,17:51:39,japan,oregon,100.64.1.3,100.64.1.3,14,3
Thu,17:51:39,japan,oregon,100.64.17.67,100.64.17.67,0,4
Thu,17:51:39,japan,oregon,52.95.30.221,52.95.30.221,2,5
Thu,17:51:39,japan,oregon,52.95.31.125,52.95.31.125,5,6
Thu,17:51:39,japan,oregon,52.95.31.8,52.95.31.8,2,7
Thu,17:51:39,japan,oregon,27.0.0.248,27.0.0.248,104,8
Thu,17:51:39,japan,oregon,54.239.41.161,54.239.41.161,104,9
Thu,17:51:39,japan,oregon,54.239.43.132,54.239.43.132,104,10
Thu,17:51:39,japan,oregon,52.93.13.46,52.93.13.46,106,11
Thu,17:51:39,japan,oregon,52.93.12.35,52.93.12.35,104,12
Thu,17:51:39,japan,oregon,52.93.12.252,52.93.12.252,106,13
Thu,17:51:39,japan,oregon,52.93.13.55,52.93.13.55,104,14
Thu,17:51:39,japan,oregon,52.93.13.73,52.93.13.73,105,15
Thu,17:51:39,japan,oregon,100.65.9.64,100.65.9.64,120,16
Thu,17:51:39,japan,oregon,100.66.4.118,100.66.4.118,123,17
Thu,17:51:39,japan,oregon,100.66.6.174,100.66.6.174,119,18
Thu,17:51:39,japan,oregon,100.66.11.101,100.66.11.101,122,19
Thu,17:51:39,japan,oregon,100.66.8.97,100.66.8.97,115,20
Thu,17:51:39,japan,oregon,ec2-52-39-225-56.us-west-2.compute.amazonaws.com,52.39.225.56,105,21
Thu,17:59:04,japan,oregon,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,17,1
Thu,17:59:04,japan,oregon,100.64.2.8,100.64.2.8,17,2
Thu,17:59:04,japan,oregon,100.64.0.65,100.64.0.65,19,3
Thu,17:59:04,japan,oregon,100.64.16.41,100.64.16.41,0,4
Thu,17:59:04,japan,oregon,52.95.30.209,52.95.30.209,3,5
Thu,17:59:04,japan,oregon,52.95.31.121,52.95.31.121,8,6
Thu,17:59:04,japan,oregon,52.95.31.16,52.95.31.16,2,7
Thu,17:59:04,japan,oregon,27.0.0.248,27.0.0.248,104,8
Thu,17:59:04,japan,oregon,54.239.41.161,54.239.41.161,104,9
Thu,17:59:04,japan,oregon,54.239.43.132,54.239.43.132,104,10
Thu,17:59:04,japan,oregon,52.93.12.230,52.93.12.230,106,11
Thu,17:59:04,japan,oregon,52.93.12.255,52.93.12.255,104,12
Thu,17:59:04,japan,oregon,52.93.12.34,52.93.12.34,107,13
Thu,17:59:04,japan,oregon,52.93.12.203,52.93.12.203,105,14
Thu,17:59:04,japan,oregon,52.93.13.73,52.93.13.73,105,15
Thu,17:59:04,japan,oregon,100.65.11.64,100.65.11.64,118,16
Thu,17:59:04,japan,oregon,100.66.4.210,100.66.4.210,124,17
Thu,17:59:04,japan,oregon,100.66.6.46,100.66.6.46,117,18
Thu,17:59:04,japan,oregon,100.66.10.9,100.66.10.9,119,19
Thu,17:59:04,japan,oregon,100.66.8.123,100.66.8.123,126,20
Thu,17:59:04,japan,oregon,ec2-52-39-225-56.us-west-2.compute.amazonaws.com,52.39.225.56,105,21
Thu,18:06:04,japan,oregon,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,120,1
Thu,18:06:04,japan,oregon,100.64.0.142,100.64.0.142,14,2
Thu,18:06:04,japan,oregon,100.64.1.197,100.64.1.197,15,3
Thu,18:06:04,japan,oregon,100.64.16.3,100.64.16.3,0,4
Thu,18:06:04,japan,oregon,52.95.30.221,52.95.30.221,3,5
Thu,18:06:04,japan,oregon,52.95.31.129,52.95.31.129,9,6
Thu,18:06:04,japan,oregon,52.95.31.14,52.95.31.14,3,7
Thu,18:06:04,japan,oregon,27.0.0.248,27.0.0.248,104,8
Thu,18:06:04,japan,oregon,54.239.41.161,54.239.41.161,104,9
Thu,18:06:04,japan,oregon,54.239.43.132,54.239.43.132,104,10
Thu,18:06:04,japan,oregon,52.93.12.122,52.93.12.122,106,11
Thu,18:06:04,japan,oregon,52.93.12.215,52.93.12.215,104,12
Thu,18:06:04,japan,oregon,52.93.12.34,52.93.12.34,137,13
Thu,18:06:04,japan,oregon,52.93.12.131,52.93.12.131,104,14
Thu,18:06:04,japan,oregon,52.93.13.75,52.93.13.75,105,15
Thu,18:06:04,japan,oregon,100.65.8.192,100.65.8.192,117,16
Thu,18:06:04,japan,oregon,100.66.4.120,100.66.4.120,118,17
Thu,18:06:04,japan,oregon,100.66.7.100,100.66.7.100,126,18
Thu,18:06:04,japan,oregon,100.66.11.201,100.66.11.201,120,19
Thu,18:06:04,japan,oregon,100.66.8.33,100.66.8.33,126,20
Thu,18:06:04,japan,oregon,ec2-52-39-225-56.us-west-2.compute.amazonaws.com,52.39.225.56,105,21
Thu,18:13:01,japan,oregon,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,18,1
Thu,18:13:01,japan,oregon,100.64.2.10,100.64.2.10,18,2
Thu,18:13:01,japan,oregon,100.64.1.133,100.64.1.133,20,3
Thu,18:13:01,japan,oregon,100.64.16.139,100.64.16.139,0,4
Thu,18:13:01,japan,oregon,52.95.30.221,52.95.30.221,2,5
Thu,18:13:01,japan,oregon,52.95.31.133,52.95.31.133,9,6
Thu,18:13:01,japan,oregon,52.95.31.16,52.95.31.16,2,7
Thu,18:13:01,japan,oregon,27.0.0.248,27.0.0.248,104,8
Thu,18:13:01,japan,oregon,54.239.41.161,54.239.41.161,104,9
Thu,18:13:01,japan,oregon,54.239.43.132,54.239.43.132,104,10
Thu,18:13:01,japan,oregon,52.93.13.10,52.93.13.10,111,11
Thu,18:13:01,japan,oregon,52.93.12.39,52.93.12.39,104,12
Thu,18:13:01,japan,oregon,52.93.13.30,52.93.13.30,107,13
Thu,18:13:01,japan,oregon,52.93.12.59,52.93.12.59,104,14
Thu,18:13:01,japan,oregon,52.93.15.217,52.93.15.217,107,15
Thu,18:13:01,japan,oregon,100.65.10.192,100.65.10.192,120,16
Thu,18:13:01,japan,oregon,100.66.4.252,100.66.4.252,116,17
Thu,18:13:01,japan,oregon,100.66.6.202,100.66.6.202,117,18
Thu,18:13:01,japan,oregon,100.66.10.39,100.66.10.39,120,19
Thu,18:13:01,japan,oregon,100.66.8.35,100.66.8.35,127,20
Thu,18:13:01,japan,oregon,ec2-52-39-225-56.us-west-2.compute.amazonaws.com,52.39.225.56,105,21
Thu,18:20:13,japan,oregon,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,17,1
Thu,18:20:13,japan,oregon,100.64.1.12,100.64.1.12,11,2
Thu,18:20:13,japan,oregon,100.64.2.193,100.64.2.193,21,3
Thu,18:20:13,japan,oregon,100.64.17.35,100.64.17.35,0,4
Thu,18:20:13,japan,oregon,52.95.30.213,52.95.30.213,3,5
Thu,18:20:13,japan,oregon,52.95.31.129,52.95.31.129,14,6
Thu,18:20:13,japan,oregon,52.95.31.20,52.95.31.20,2,7
Thu,18:20:13,japan,oregon,27.0.0.248,27.0.0.248,104,8
Thu,18:20:13,japan,oregon,54.239.41.161,54.239.41.161,104,9
Thu,18:20:13,japan,oregon,54.239.43.132,54.239.43.132,104,10
Thu,18:20:13,japan,oregon,52.93.12.194,52.93.12.194,126,11
Thu,18:20:13,japan,oregon,52.93.12.141,52.93.12.141,104,12
Thu,18:20:13,japan,oregon,52.93.12.74,52.93.12.74,117,13
Thu,18:20:13,japan,oregon,52.93.12.101,52.93.12.101,105,14
