Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,17:36:40,japan,uganda,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,19,1
Thu,17:36:40,japan,uganda,100.64.3.202,100.64.3.202,16,2
Thu,17:36:40,japan,uganda,100.64.0.199,100.64.0.199,15,3
Thu,17:36:40,japan,uganda,100.64.17.195,100.64.17.195,0,4
Thu,17:36:40,japan,uganda,52.95.30.221,52.95.30.221,2,5
Thu,17:36:40,japan,uganda,52.95.31.123,52.95.31.123,12,6
Thu,17:36:40,japan,uganda,52.95.31.34,52.95.31.34,2,7
Thu,17:36:40,japan,uganda,54.239.52.112,54.239.52.112,4,8
Thu,17:36:40,japan,uganda,52.95.30.21,52.95.30.21,4,9
Thu,17:36:40,japan,uganda,52.95.30.180,52.95.30.180,4,10
Thu,17:36:40,japan,uganda,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,5,11
Thu,17:36:40,japan,uganda,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,11,12
Thu,17:36:40,japan,uganda,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,60,13
Thu,17:36:40,japan,uganda,ae-12.r01.tkokhk01.hk.bb.gin.ntt.net,129.250.4.20,56,14
Thu,17:36:40,japan,uganda,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,55,15
Thu,17:36:40,japan,uganda,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,59,16
Thu,17:36:40,japan,uganda,if-et-17-3.hcore1.KV8-Chiba.as6453.net,180.87.112.46,68,17
Thu,17:36:40,japan,uganda,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,220,18
Thu,17:36:40,japan,uganda,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.130,216,19
Thu,17:36:40,japan,uganda,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,218,20
Thu,17:36:40,japan,uganda,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,214,21
Thu,17:36:40,japan,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,225,22
Thu,17:36:40,japan,uganda,216.6.90.70,216.6.90.70,298,23
Thu,17:36:40,japan,uganda,125.62.187.189,125.62.187.189,285,24
Thu,17:36:40,japan,uganda,61.246.168.114,61.246.168.114,559,25
Thu,17:36:40,japan,uganda,41.84.192.17,41.84.192.17,569,26
Thu,17:36:40,japan,uganda,41.84.196.194,41.84.196.194,572,27
Thu,17:36:40,japan,uganda,196.0.1.13,196.0.1.13,528,28
Thu,17:36:40,japan,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,516,29
Thu,17:36:40,japan,uganda,webhost2.utlonline.co.ug,196.0.3.3,528,30
Thu,17:44:44,japan,uganda,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,30,1
Thu,17:44:44,japan,uganda,100.64.1.76,100.64.1.76,15,2
Thu,17:44:44,japan,uganda,100.64.0.67,100.64.0.67,11,3
Thu,17:44:44,japan,uganda,100.64.16.193,100.64.16.193,0,4
Thu,17:44:44,japan,uganda,52.95.30.217,52.95.30.217,2,5
Thu,17:44:44,japan,uganda,52.95.31.135,52.95.31.135,13,6
Thu,17:44:44,japan,uganda,52.95.31.24,52.95.31.24,2,7
Thu,17:44:44,japan,uganda,54.239.52.112,54.239.52.112,5,8
Thu,17:44:44,japan,uganda,52.95.30.15,52.95.30.15,14,9
Thu,17:44:44,japan,uganda,52.95.30.182,52.95.30.182,4,10
Thu,17:44:44,japan,uganda,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,6,11
Thu,17:44:44,japan,uganda,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,6,12
Thu,17:44:44,japan,uganda,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,57,13
Thu,17:44:44,japan,uganda,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,54,14
Thu,17:44:44,japan,uganda,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,56,15
Thu,17:44:44,japan,uganda,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,52,16
Thu,17:44:44,japan,uganda,if-et-16-2.hcore1.KV8-Chiba.as6453.net,116.0.67.34,58,17
Thu,17:44:44,japan,uganda,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,222,18
Thu,17:44:44,japan,uganda,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.130,231,19
Thu,17:44:44,japan,uganda,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,218,20
Thu,17:44:44,japan,uganda,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,223,21
Thu,17:44:44,japan,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,224,22
Thu,17:44:44,japan,uganda,216.6.90.70,216.6.90.70,290,23
Thu,17:44:44,japan,uganda,125.62.187.189,125.62.187.189,292,24
Thu,17:44:44,japan,uganda,61.246.168.114,61.246.168.114,556,25
Thu,17:44:44,japan,uganda,41.84.192.17,41.84.192.17,581,26
Thu,17:44:44,japan,uganda,41.84.196.194,41.84.196.194,565,27
Thu,17:44:44,japan,uganda,196.0.1.13,196.0.1.13,519,28
Thu,17:44:44,japan,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,522,29
Thu,17:44:44,japan,uganda,webhost2.utlonline.co.ug,196.0.3.3,520,30
Thu,17:52:20,japan,uganda,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,19,1
Thu,17:52:20,japan,uganda,100.64.1.76,100.64.1.76,18,2
Thu,17:52:20,japan,uganda,100.64.0.129,100.64.0.129,12,3
Thu,17:52:20,japan,uganda,100.64.17.147,100.64.17.147,0,4
Thu,17:52:20,japan,uganda,52.95.30.209,52.95.30.209,3,5
Thu,17:52:20,japan,uganda,52.95.31.121,52.95.31.121,13,6
Thu,17:52:20,japan,uganda,52.95.31.16,52.95.31.16,2,7
Thu,17:52:20,japan,uganda,54.239.52.156,54.239.52.156,3,8
Thu,17:52:20,japan,uganda,52.95.30.27,52.95.30.27,11,9
Thu,17:52:20,japan,uganda,52.95.30.180,52.95.30.180,4,10
Thu,17:52:20,japan,uganda,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,5,11
Thu,17:52:20,japan,uganda,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,6,12
Thu,17:52:20,japan,uganda,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,53,13
Thu,17:52:20,japan,uganda,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,57,14
Thu,17:52:20,japan,uganda,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,62,15
Thu,17:52:20,japan,uganda,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,56,16
Thu,17:52:20,japan,uganda,*,*,*,17
Thu,17:52:20,japan,uganda,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,219,18
Thu,17:52:20,japan,uganda,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.130,222,19
Thu,17:52:20,japan,uganda,*,*,*,20
Thu,17:52:20,japan,uganda,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,227,21
Thu,17:52:20,japan,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,216,22
Thu,17:52:20,japan,uganda,216.6.90.70,216.6.90.70,331,23
Thu,17:52:20,japan,uganda,182.79.245.77,182.79.245.77,299,24
Thu,17:52:20,japan,uganda,61.246.168.114,61.246.168.114,567,25
Thu,17:52:20,japan,uganda,41.84.192.17,41.84.192.17,564,26
Thu,17:52:20,japan,uganda,41.84.196.194,41.84.196.194,569,27
Thu,17:52:20,japan,uganda,196.0.1.13,196.0.1.13,524,28
Thu,17:52:20,japan,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,517,29
Thu,17:52:20,japan,uganda,webhost2.utlonline.co.ug,196.0.3.3,522,30
Thu,17:59:36,japan,uganda,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,11,1
Thu,17:59:36,japan,uganda,100.64.1.72,100.64.1.72,13,2
Thu,17:59:36,japan,uganda,100.64.2.5,100.64.2.5,35,3
Thu,17:59:36,japan,uganda,100.64.17.137,100.64.17.137,0,4
Thu,17:59:36,japan,uganda,52.95.30.221,52.95.30.221,3,5
Thu,17:59:36,japan,uganda,52.95.31.121,52.95.31.121,11,6
Thu,17:59:36,japan,uganda,52.95.31.34,52.95.31.34,2,7
Thu,17:59:36,japan,uganda,54.239.52.156,54.239.52.156,6,8
Thu,17:59:36,japan,uganda,52.95.30.23,52.95.30.23,14,9
Thu,17:59:36,japan,uganda,52.95.30.178,52.95.30.178,8,10
Thu,17:59:36,japan,uganda,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,6,11
Thu,17:59:36,japan,uganda,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,5,12
Thu,17:59:36,japan,uganda,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,56,13
Thu,17:59:36,japan,uganda,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,54,14
Thu,17:59:36,japan,uganda,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,59,15
Thu,17:59:36,japan,uganda,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,53,16
Thu,17:59:36,japan,uganda,if-et-17-3.hcore1.KV8-Chiba.as6453.net,180.87.112.46,62,17
Thu,17:59:36,japan,uganda,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,224,18
Thu,17:59:36,japan,uganda,if-ae-38-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.74,222,19
Thu,17:59:36,japan,uganda,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,224,20
Thu,17:59:36,japan,uganda,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,219,21
Thu,17:59:36,japan,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,217,22
Thu,17:59:36,japan,uganda,216.6.90.70,216.6.90.70,295,23
Thu,17:59:36,japan,uganda,182.79.245.77,182.79.245.77,285,24
Thu,17:59:36,japan,uganda,61.246.168.114,61.246.168.114,567,25
Thu,17:59:36,japan,uganda,41.84.192.17,41.84.192.17,572,26
Thu,17:59:36,japan,uganda,41.84.196.194,41.84.196.194,567,27
Thu,17:59:36,japan,uganda,196.0.1.13,196.0.1.13,520,28
Thu,17:59:36,japan,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,517,29
Thu,17:59:36,japan,uganda,webhost2.utlonline.co.ug,196.0.3.3,525,30
Thu,18:06:51,japan,uganda,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,11,1
Thu,18:06:51,japan,uganda,100.64.3.74,100.64.3.74,20,2
Thu,18:06:51,japan,uganda,100.64.3.1,100.64.3.1,16,3
Thu,18:06:51,japan,uganda,100.64.17.141,100.64.17.141,0,4
Thu,18:06:51,japan,uganda,52.95.30.213,52.95.30.213,2,5
Thu,18:06:51,japan,uganda,52.95.31.133,52.95.31.133,5,6
Thu,18:06:51,japan,uganda,52.95.31.28,52.95.31.28,2,7
Thu,18:06:51,japan,uganda,54.239.52.160,54.239.52.160,5,8
Thu,18:06:51,japan,uganda,52.95.30.23,52.95.30.23,6,9
Thu,18:06:51,japan,uganda,52.95.30.182,52.95.30.182,6,10
Thu,18:06:51,japan,uganda,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,5,11
Thu,18:06:51,japan,uganda,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,5,12
Thu,18:06:51,japan,uganda,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,56,13
Thu,18:06:51,japan,uganda,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,54,14
Thu,18:06:51,japan,uganda,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,58,15
Thu,18:06:51,japan,uganda,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,60,16
Thu,18:06:51,japan,uganda,if-et-16-2.hcore1.KV8-Chiba.as6453.net,116.0.67.34,64,17
Thu,18:06:51,japan,uganda,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,217,18
Thu,18:06:51,japan,uganda,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.12,225,19
Thu,18:06:51,japan,uganda,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,226,20
Thu,18:06:51,japan,uganda,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,216,21
Thu,18:06:51,japan,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,227,22
Thu,18:06:51,japan,uganda,216.6.90.70,216.6.90.70,325,23
Thu,18:06:51,japan,uganda,125.62.187.189,125.62.187.189,295,24
Thu,18:06:51,japan,uganda,61.246.168.114,61.246.168.114,558,25
Thu,18:06:51,japan,uganda,41.84.192.17,41.84.192.17,574,26
Thu,18:06:51,japan,uganda,41.84.196.194,41.84.196.194,574,27
Thu,18:06:51,japan,uganda,196.0.1.13,196.0.1.13,524,28
Thu,18:06:51,japan,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,516,29
Thu,18:06:51,japan,uganda,webhost2.utlonline.co.ug,196.0.3.3,529,30
Thu,18:13:42,japan,uganda,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,12,1
Thu,18:13:42,japan,uganda,100.64.1.136,100.64.1.136,16,2
Thu,18:13:42,japan,uganda,100.64.3.7,100.64.3.7,21,3
Thu,18:13:42,japan,uganda,100.64.16.41,100.64.16.41,0,4
Thu,18:13:42,japan,uganda,52.95.30.217,52.95.30.217,3,5
Thu,18:13:42,japan,uganda,52.95.31.121,52.95.31.121,6,6
Thu,18:13:42,japan,uganda,52.95.31.24,52.95.31.24,2,7
Thu,18:13:42,japan,uganda,54.239.52.110,54.239.52.110,6,8
Thu,18:13:42,japan,uganda,52.95.30.35,52.95.30.35,5,9
Thu,18:13:42,japan,uganda,52.95.30.176,52.95.30.176,5,10
Thu,18:13:42,japan,uganda,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,6,11
Thu,18:13:42,japan,uganda,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,5,12
Thu,18:13:42,japan,uganda,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,54,13
Thu,18:13:42,japan,uganda,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,57,14
Thu,18:13:42,japan,uganda,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,59,15
Thu,18:13:42,japan,uganda,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,53,16
Thu,18:13:42,japan,uganda,if-et-17-3.hcore1.KV8-Chiba.as6453.net,180.87.112.46,60,17
Thu,18:13:42,japan,uganda,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,220,18
Thu,18:13:42,japan,uganda,if-ae-38-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.74,218,19
Thu,18:13:42,japan,uganda,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,218,20
Thu,18:13:42,japan,uganda,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,216,21
Thu,18:13:42,japan,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,224,22
Thu,18:13:42,japan,uganda,216.6.90.70,216.6.90.70,292,23
Thu,18:13:42,japan,uganda,182.79.245.77,182.79.245.77,287,24
Thu,18:13:42,japan,uganda,61.246.168.114,61.246.168.114,566,25
Thu,18:13:42,japan,uganda,41.84.192.17,41.84.192.17,578,26
Thu,18:13:42,japan,uganda,41.84.196.194,41.84.196.194,568,27
Thu,18:13:42,japan,uganda,196.0.1.13,196.0.1.13,539,28
Thu,18:13:42,japan,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,517,29
Thu,18:13:42,japan,uganda,webhost2.utlonline.co.ug,196.0.3.3,522,30
Thu,18:21:01,japan,uganda,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,18,1
Thu,18:21:01,japan,uganda,100.64.0.72,100.64.0.72,20,2
Thu,18:21:01,japan,uganda,100.64.1.129,100.64.1.129,21,3
Thu,18:21:01,japan,uganda,100.64.17.47,100.64.17.47,0,4
Thu,18:21:01,japan,uganda,52.95.30.217,52.95.30.217,3,5
Thu,18:21:01,japan,uganda,52.95.31.129,52.95.31.129,18,6
Thu,18:21:01,japan,uganda,52.95.31.26,52.95.31.26,2,7
Thu,18:21:01,japan,uganda,54.239.52.112,54.239.52.112,4,8
Thu,18:21:01,japan,uganda,52.95.30.21,52.95.30.21,7,9
Thu,18:21:01,japan,uganda,52.95.30.178,52.95.30.178,4,10
Thu,18:21:01,japan,uganda,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,6,11
Thu,18:21:01,japan,uganda,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,4,12
Thu,18:21:01,japan,uganda,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,52,13
Thu,18:21:01,japan,uganda,ae-12.r01.tkokhk01.hk.bb.gin.ntt.net,129.250.4.20,60,14
Thu,18:21:01,japan,uganda,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,55,15
Thu,18:21:01,japan,uganda,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,53,16
Thu,18:21:01,japan,uganda,if-et-17-3.hcore1.KV8-Chiba.as6453.net,180.87.112.46,67,17
Thu,18:21:01,japan,uganda,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,219,18
Thu,18:21:01,japan,uganda,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.12,217,19
Thu,18:21:01,japan,uganda,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,231,20
Thu,18:21:01,japan,uganda,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,225,21
Thu,18:21:01,japan,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,223,22
Thu,18:21:01,japan,uganda,216.6.90.70,216.6.90.70,306,23
Thu,18:21:01,japan,uganda,125.62.187.189,125.62.187.189,288,24
Thu,18:21:01,japan,uganda,61.246.168.114,61.246.168.114,559,25
Thu,18:21:01,japan,uganda,41.84.192.17,41.84.192.17,563,26
Thu,18:21:01,japan,uganda,41.84.196.194,41.84.196.194,567,27
Thu,18:21:01,japan,uganda,196.0.1.13,196.0.1.13,524,28
Thu,18:21:01,japan,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,531,29
Thu,18:21:01,japan,uganda,webhost2.utlonline.co.ug,196.0.3.3,521,30
Thu,18:27:54,japan,uganda,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,18,1
Thu,18:27:54,japan,uganda,100.64.2.206,100.64.2.206,11,2
Thu,18:27:54,japan,uganda,100.64.2.69,100.64.2.69,18,3
Thu,18:27:54,japan,uganda,100.64.17.33,100.64.17.33,0,4
Thu,18:27:54,japan,uganda,52.95.30.213,52.95.30.213,2,5
Thu,18:27:54,japan,uganda,52.95.31.135,52.95.31.135,11,6
Thu,18:27:54,japan,uganda,52.95.31.28,52.95.31.28,5,7
Thu,18:27:54,japan,uganda,54.239.52.156,54.239.52.156,3,8
Thu,18:27:54,japan,uganda,52.95.30.27,52.95.30.27,10,9
Thu,18:27:54,japan,uganda,52.95.30.172,52.95.30.172,6,10
Thu,18:27:54,japan,uganda,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,6,11
Thu,18:27:54,japan,uganda,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,5,12
