Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,15:59:19,japan,uganda,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,20,1
Tue,15:59:19,japan,uganda,100.64.3.76,100.64.3.76,14,2
Tue,15:59:19,japan,uganda,100.64.1.71,100.64.1.71,17,3
Tue,15:59:19,japan,uganda,100.64.17.39,100.64.17.39,0,4
Tue,15:59:19,japan,uganda,52.95.30.211,52.95.30.211,2,5
Tue,15:59:19,japan,uganda,52.95.30.121,52.95.30.121,7,6
Tue,15:59:19,japan,uganda,52.95.30.172,52.95.30.172,1,7
Tue,15:59:19,japan,uganda,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Tue,15:59:19,japan,uganda,*,*,*,9
Tue,15:59:19,japan,uganda,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,51,10
Tue,15:59:19,japan,uganda,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,56,11
Tue,15:59:19,japan,uganda,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,51,12
Tue,15:59:19,japan,uganda,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,48,13
Tue,15:59:19,japan,uganda,if-et-17-2.hcore1.KV8-Chiba.as6453.net,116.0.67.62,60,14
Tue,15:59:19,japan,uganda,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,216,15
Tue,15:59:19,japan,uganda,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.72,213,16
Tue,15:59:19,japan,uganda,*,*,*,17
Tue,15:59:19,japan,uganda,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,215,18
Tue,15:59:19,japan,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,214,19
Tue,15:59:19,japan,uganda,216.6.90.70,216.6.90.70,312,20
Tue,15:59:19,japan,uganda,182.79.245.77,182.79.245.77,290,21
