Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:26:54,japan,algeria,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,11,1
Tue,16:26:54,japan,algeria,100.64.3.8,100.64.3.8,16,2
Tue,16:26:54,japan,algeria,100.64.3.3,100.64.3.3,22,3
Tue,16:26:54,japan,algeria,100.64.16.229,100.64.16.229,0,4
Tue,16:26:54,japan,algeria,52.95.30.219,52.95.30.219,1,5
Tue,16:26:54,japan,algeria,52.95.30.123,52.95.30.123,3,6
Tue,16:26:54,japan,algeria,52.95.30.174,52.95.30.174,1,7
Tue,16:26:54,japan,algeria,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,3,8
Tue,16:26:54,japan,algeria,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,1,9
Tue,16:26:54,japan,algeria,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,50,10
Tue,16:26:54,japan,algeria,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,56,11
Tue,16:26:54,japan,algeria,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,49,12
Tue,16:26:54,japan,algeria,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,48,13
Tue,16:26:54,japan,algeria,if-et-16-2.hcore1.KV8-Chiba.as6453.net,116.0.67.34,55,14
Tue,16:26:54,japan,algeria,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,295,15
Tue,16:26:54,japan,algeria,if-ae-38-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.74,290,16
Tue,16:26:54,japan,algeria,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,302,17
Tue,16:26:54,japan,algeria,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,315,18
Tue,16:26:54,japan,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,296,19
Tue,16:26:54,japan,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,292,20
Tue,16:26:54,japan,algeria,195.219.83.30,195.219.83.30,263,21
Tue,16:26:54,japan,algeria,*,*,*,22
Tue,16:26:54,japan,algeria,*,*,*,23
Tue,16:26:54,japan,algeria,*,*,*,24
Tue,16:26:54,japan,algeria,*,*,*,25
Tue,16:26:54,japan,algeria,*,*,*,26
Tue,16:26:54,japan,algeria,*,*,*,27
Tue,16:26:54,japan,algeria,*,*,*,28
Tue,16:26:54,japan,algeria,*,*,*,29
Tue,16:26:54,japan,algeria,*,*,*,30
Tue,16:34:34,japan,algeria,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,12,1
Tue,16:34:34,japan,algeria,100.64.0.78,100.64.0.78,18,2
Tue,16:34:34,japan,algeria,100.64.3.69,100.64.3.69,21,3
Tue,16:34:34,japan,algeria,100.64.16.169,100.64.16.169,0,4
Tue,16:34:34,japan,algeria,52.95.30.211,52.95.30.211,2,5
Tue,16:34:34,japan,algeria,52.95.30.135,52.95.30.135,7,6
Tue,16:34:34,japan,algeria,52.95.30.174,52.95.30.174,1,7
Tue,16:34:34,japan,algeria,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,1,8
Tue,16:34:34,japan,algeria,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,1,9
Tue,16:34:34,japan,algeria,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,57,10
Tue,16:34:34,japan,algeria,ae-12.r01.tkokhk01.hk.bb.gin.ntt.net,129.250.4.20,49,11
Tue,16:34:34,japan,algeria,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,55,12
