Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:27:43,japan,ghana,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,13,1
Tue,16:27:43,japan,ghana,100.64.1.78,100.64.1.78,21,2
Tue,16:27:43,japan,ghana,100.64.2.133,100.64.2.133,12,3
Tue,16:27:43,japan,ghana,100.64.16.43,100.64.16.43,1,4
Tue,16:27:43,japan,ghana,52.95.30.215,52.95.30.215,2,5
Tue,16:27:43,japan,ghana,52.95.30.127,52.95.30.127,22,6
Tue,16:27:43,japan,ghana,52.95.30.180,52.95.30.180,1,7
Tue,16:27:43,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Tue,16:27:43,japan,ghana,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,1,9
Tue,16:27:43,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,51,10
Tue,16:27:43,japan,ghana,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,57,11
Tue,16:27:43,japan,ghana,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,65,12
Tue,16:27:43,japan,ghana,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,55,13
Tue,16:27:43,japan,ghana,if-et-17-2.hcore1.KV8-Chiba.as6453.net,116.0.67.62,70,14
Tue,16:27:43,japan,ghana,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,278,15
Tue,16:27:43,japan,ghana,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.72,287,16
Tue,16:27:43,japan,ghana,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,302,17
Tue,16:27:43,japan,ghana,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,308,18
Tue,16:27:43,japan,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,300,19
Tue,16:27:43,japan,ghana,if-ge-5-0-0-12.core4.LDN-London.as6453.net,80.231.62.30,307,20
Tue,16:27:43,japan,ghana,195.219.195.42,195.219.195.42,389,21
Tue,16:27:43,japan,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,393,22
Tue,16:27:43,japan,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,393,23
Tue,16:27:43,japan,ghana,197.255.127.2,197.255.127.2,387,24
Tue,16:27:43,japan,ghana,197.255.127.35,197.255.127.35,411,25
Tue,16:27:43,japan,ghana,197.255.125.213,197.255.125.213,412,26
Tue,16:35:38,japan,ghana,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,268,1
Tue,16:35:38,japan,ghana,100.64.2.12,100.64.2.12,20,2
Tue,16:35:38,japan,ghana,100.64.1.5,100.64.1.5,21,3
Tue,16:35:38,japan,ghana,100.64.17.167,100.64.17.167,0,4
Tue,16:35:38,japan,ghana,52.95.30.211,52.95.30.211,1,5
Tue,16:35:38,japan,ghana,52.95.30.131,52.95.30.131,3,6
Tue,16:35:38,japan,ghana,52.95.30.172,52.95.30.172,1,7
Tue,16:35:38,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Tue,16:35:38,japan,ghana,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,1,9
Tue,16:35:38,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,57,10
Tue,16:35:38,japan,ghana,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,57,11
Tue,16:35:38,japan,ghana,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,56,12
Tue,16:35:38,japan,ghana,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,52,13
Tue,16:35:38,japan,ghana,if-et-16-2.hcore1.KV8-Chiba.as6453.net,116.0.67.34,56,14
Tue,16:35:38,japan,ghana,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,279,15
Tue,16:35:38,japan,ghana,if-ae-38-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.74,290,16
Tue,16:35:38,japan,ghana,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,303,17
Tue,16:35:38,japan,ghana,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,306,18
Tue,16:35:38,japan,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,294,19
Tue,16:35:38,japan,ghana,if-ge-4-0-0.core4.LDN-London.as6453.net,80.231.62.26,286,20
Tue,16:35:38,japan,ghana,195.219.195.42,195.219.195.42,421,21
Tue,16:35:38,japan,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,406,22
Tue,16:35:38,japan,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,428,23
Tue,16:35:38,japan,ghana,*,*,*,24
Tue,16:35:38,japan,ghana,197.255.127.35,197.255.127.35,424,25
Tue,16:35:38,japan,ghana,197.255.125.213,197.255.125.213,399,26
Tue,16:43:40,japan,ghana,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,19,1
Tue,16:43:40,japan,ghana,100.64.1.74,100.64.1.74,12,2
Tue,16:43:40,japan,ghana,100.64.1.133,100.64.1.133,14,3
Tue,16:43:40,japan,ghana,100.64.16.97,100.64.16.97,0,4
Tue,16:43:40,japan,ghana,52.95.30.207,52.95.30.207,2,5
Tue,16:43:40,japan,ghana,52.95.30.125,52.95.30.125,10,6
Tue,16:43:40,japan,ghana,52.95.30.170,52.95.30.170,1,7
Tue,16:43:40,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Tue,16:43:40,japan,ghana,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,1,9
Tue,16:43:40,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,50,10
Tue,16:43:40,japan,ghana,ae-12.r01.tkokhk01.hk.bb.gin.ntt.net,129.250.4.20,50,11
Tue,16:43:40,japan,ghana,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,54,12
Tue,16:43:40,japan,ghana,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,49,13
Tue,16:43:40,japan,ghana,if-et-17-2.hcore1.KV8-Chiba.as6453.net,116.0.67.62,63,14
Tue,16:43:40,japan,ghana,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,280,15
Tue,16:43:40,japan,ghana,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.130,291,16
Tue,16:43:40,japan,ghana,*,*,*,17
Tue,16:43:40,japan,ghana,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,305,18
Tue,16:43:40,japan,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,302,19
Tue,16:43:40,japan,ghana,if-ge-5-0-0-12.core4.LDN-London.as6453.net,80.231.62.30,315,20
Tue,16:43:40,japan,ghana,195.219.195.42,195.219.195.42,563,21
Tue,16:43:40,japan,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,567,22
Tue,16:43:40,japan,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,585,23
Tue,16:43:40,japan,ghana,197.255.127.2,197.255.127.2,573,24
Tue,16:43:40,japan,ghana,197.255.127.35,197.255.127.35,588,25
Tue,16:43:40,japan,ghana,197.255.125.213,197.255.125.213,553,26
Tue,16:51:03,japan,ghana,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,17,1
Tue,16:51:03,japan,ghana,100.64.3.136,100.64.3.136,12,2
Tue,16:51:03,japan,ghana,100.64.2.1,100.64.2.1,17,3
Tue,16:51:03,japan,ghana,100.64.17.177,100.64.17.177,1,4
Tue,16:51:03,japan,ghana,52.95.30.215,52.95.30.215,3,5
Tue,16:51:03,japan,ghana,52.95.30.133,52.95.30.133,3,6
Tue,16:51:03,japan,ghana,52.95.30.168,52.95.30.168,1,7
Tue,16:51:03,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Tue,16:51:03,japan,ghana,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,1,9
Tue,16:51:03,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,57,10
Tue,16:51:03,japan,ghana,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,64,11
Tue,16:51:03,japan,ghana,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,52,12
Tue,16:51:03,japan,ghana,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,49,13
Tue,16:51:03,japan,ghana,if-et-16-2.hcore1.KV8-Chiba.as6453.net,116.0.67.34,56,14
Tue,16:51:03,japan,ghana,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,286,15
Tue,16:51:03,japan,ghana,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.130,297,16
Tue,16:51:03,japan,ghana,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,302,17
Tue,16:51:03,japan,ghana,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,313,18
Tue,16:51:03,japan,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,294,19
Tue,16:51:03,japan,ghana,if-ge-5-0-0-12.core4.LDN-London.as6453.net,80.231.62.30,313,20
Tue,16:51:03,japan,ghana,195.219.195.42,195.219.195.42,529,21
Tue,16:51:03,japan,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,520,22
Tue,16:51:03,japan,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,541,23
Tue,16:51:03,japan,ghana,197.255.127.2,197.255.127.2,526,24
Tue,16:51:03,japan,ghana,197.255.127.35,197.255.127.35,520,25
Tue,16:51:03,japan,ghana,197.255.125.213,197.255.125.213,526,26
Tue,16:58:11,japan,ghana,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,16,1
Tue,16:58:11,japan,ghana,100.64.1.138,100.64.1.138,12,2
Tue,16:58:11,japan,ghana,100.64.1.193,100.64.1.193,16,3
Tue,16:58:11,japan,ghana,100.64.17.71,100.64.17.71,1,4
Tue,16:58:11,japan,ghana,52.95.30.207,52.95.30.207,2,5
Tue,16:58:11,japan,ghana,52.95.30.135,52.95.30.135,14,6
Tue,16:58:11,japan,ghana,52.95.30.170,52.95.30.170,2,7
Tue,16:58:11,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Tue,16:58:11,japan,ghana,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,2,9
Tue,16:58:11,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,55,10
Tue,16:58:11,japan,ghana,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,56,11
Tue,16:58:11,japan,ghana,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,51,12
Tue,16:58:11,japan,ghana,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,48,13
Tue,16:58:11,japan,ghana,*,*,*,14
Tue,16:58:11,japan,ghana,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,285,15
Tue,16:58:11,japan,ghana,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.72,294,16
Tue,16:58:11,japan,ghana,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,302,17
