Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:28:12,japan,oregon,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,21,1
Tue,16:28:12,japan,oregon,100.64.1.204,100.64.1.204,18,2
Tue,16:28:12,japan,oregon,100.64.1.133,100.64.1.133,16,3
Tue,16:28:12,japan,oregon,100.64.17.3,100.64.17.3,1,4
Tue,16:28:12,japan,oregon,52.95.30.219,52.95.30.219,2,5
Tue,16:28:12,japan,oregon,52.95.31.133,52.95.31.133,10,6
Tue,16:28:12,japan,oregon,52.95.31.22,52.95.31.22,2,7
Tue,16:28:12,japan,oregon,54.239.52.134,54.239.52.134,104,8
Tue,16:28:12,japan,oregon,54.239.41.161,54.239.41.161,103,9
Tue,16:28:12,japan,oregon,54.239.43.132,54.239.43.132,104,10
Tue,16:28:12,japan,oregon,52.93.12.122,52.93.12.122,132,11
Tue,16:28:12,japan,oregon,52.93.12.215,52.93.12.215,104,12
Tue,16:28:12,japan,oregon,52.93.12.214,52.93.12.214,132,13
Tue,16:28:12,japan,oregon,52.93.12.173,52.93.12.173,105,14
Tue,16:28:12,japan,oregon,52.93.15.219,52.93.15.219,105,15
Tue,16:28:12,japan,oregon,100.65.9.0,100.65.9.0,117,16
Tue,16:28:12,japan,oregon,100.66.4.212,100.66.4.212,116,17
Tue,16:28:12,japan,oregon,100.66.6.196,100.66.6.196,124,18
Tue,16:28:12,japan,oregon,100.66.3.165,100.66.3.165,127,19
Tue,16:28:12,japan,oregon,100.66.0.51,100.66.0.51,128,20
Tue,16:28:12,japan,oregon,100.65.3.1,100.65.3.1,105,21
Tue,16:28:12,japan,oregon,100.64.13.1,100.64.13.1,105,22
Tue,16:28:12,japan,oregon,100.64.7.140,100.64.7.140,105,23
Tue,16:28:12,japan,oregon,ec2-34-213-69-133.us-west-2.compute.amazonaws.com,34.213.69.133,104,24
Tue,16:36:23,japan,oregon,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,13,1
Tue,16:36:23,japan,oregon,100.64.2.10,100.64.2.10,14,2
Tue,16:36:23,japan,oregon,100.64.0.65,100.64.0.65,18,3
Tue,16:36:23,japan,oregon,100.64.17.173,100.64.17.173,0,4
Tue,16:36:23,japan,oregon,52.95.30.211,52.95.30.211,1,5
Tue,16:36:23,japan,oregon,52.95.30.131,52.95.30.131,13,6
Tue,16:36:23,japan,oregon,52.95.30.8,52.95.30.8,3,7
Tue,16:36:23,japan,oregon,54.239.52.134,54.239.52.134,104,8
Tue,16:36:23,japan,oregon,54.239.41.161,54.239.41.161,103,9
Tue,16:36:23,japan,oregon,54.239.43.132,54.239.43.132,104,10
Tue,16:36:23,japan,oregon,52.93.12.50,52.93.12.50,118,11
Tue,16:36:23,japan,oregon,52.93.12.177,52.93.12.177,104,12
Tue,16:36:23,japan,oregon,52.93.12.252,52.93.12.252,112,13
Tue,16:36:23,japan,oregon,52.93.12.101,52.93.12.101,105,14
Tue,16:36:23,japan,oregon,52.93.15.223,52.93.15.223,105,15
Tue,16:36:23,japan,oregon,100.65.8.192,100.65.8.192,126,16
Tue,16:36:23,japan,oregon,100.66.4.76,100.66.4.76,138,17
Tue,16:36:23,japan,oregon,100.66.7.192,100.66.7.192,120,18
Tue,16:36:23,japan,oregon,100.66.3.11,100.66.3.11,133,19
Tue,16:36:23,japan,oregon,100.66.0.105,100.66.0.105,126,20
Tue,16:36:23,japan,oregon,100.65.3.97,100.65.3.97,105,21
Tue,16:36:23,japan,oregon,100.64.0.255,100.64.0.255,106,22
Tue,16:36:23,japan,oregon,100.64.7.74,100.64.7.74,105,23
Tue,16:36:23,japan,oregon,ec2-34-213-69-133.us-west-2.compute.amazonaws.com,34.213.69.133,105,24
Tue,16:44:17,japan,oregon,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,12,1
Tue,16:44:17,japan,oregon,100.64.3.78,100.64.3.78,19,2
Tue,16:44:17,japan,oregon,100.64.0.135,100.64.0.135,18,3
Tue,16:44:17,japan,oregon,100.64.16.169,100.64.16.169,1,4
Tue,16:44:17,japan,oregon,52.95.30.213,52.95.30.213,3,5
Tue,16:44:17,japan,oregon,52.95.30.129,52.95.30.129,1356,6
Tue,16:44:17,japan,oregon,52.95.31.10,52.95.31.10,2,7
Tue,16:44:17,japan,oregon,54.239.52.134,54.239.52.134,104,8
Tue,16:44:17,japan,oregon,54.239.41.161,54.239.41.161,103,9
Tue,16:44:17,japan,oregon,54.239.43.132,54.239.43.132,104,10
Tue,16:44:17,japan,oregon,52.93.12.50,52.93.12.50,106,11
Tue,16:44:17,japan,oregon,52.93.12.37,52.93.12.37,104,12
Tue,16:44:17,japan,oregon,52.93.12.108,52.93.12.108,106,13
Tue,16:44:17,japan,oregon,52.93.12.131,52.93.12.131,104,14
Tue,16:44:17,japan,oregon,205.251.232.167,205.251.232.167,104,15
Tue,16:44:17,japan,oregon,100.65.8.128,100.65.8.128,118,16
Tue,16:44:17,japan,oregon,100.66.4.204,100.66.4.204,116,17
Tue,16:44:17,japan,oregon,100.66.7.68,100.66.7.68,122,18
Tue,16:44:17,japan,oregon,100.66.2.205,100.66.2.205,122,19
Tue,16:44:17,japan,oregon,100.66.0.241,100.66.0.241,126,20
Tue,16:44:17,japan,oregon,100.65.3.1,100.65.3.1,104,21
Tue,16:44:17,japan,oregon,100.64.12.55,100.64.12.55,105,22
Tue,16:44:17,japan,oregon,100.64.1.28,100.64.1.28,105,23
Tue,16:44:17,japan,oregon,ec2-34-213-69-133.us-west-2.compute.amazonaws.com,34.213.69.133,105,24
Tue,16:51:28,japan,oregon,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,13,1
Tue,16:51:28,japan,oregon,100.64.0.78,100.64.0.78,21,2
Tue,16:51:28,japan,oregon,100.64.2.5,100.64.2.5,18,3
Tue,16:51:28,japan,oregon,100.64.17.19,100.64.17.19,1,4
Tue,16:51:28,japan,oregon,52.95.30.211,52.95.30.211,2,5
Tue,16:51:28,japan,oregon,52.95.30.121,52.95.30.121,4,6
Tue,16:51:28,japan,oregon,52.95.31.14,52.95.31.14,2,7
Tue,16:51:28,japan,oregon,54.239.52.134,54.239.52.134,104,8
Tue,16:51:28,japan,oregon,54.239.41.161,54.239.41.161,103,9
Tue,16:51:28,japan,oregon,54.239.43.132,54.239.43.132,104,10
Tue,16:51:28,japan,oregon,52.93.12.158,52.93.12.158,107,11
Tue,16:51:28,japan,oregon,52.93.12.219,52.93.12.219,104,12
Tue,16:51:28,japan,oregon,52.93.12.180,52.93.12.180,148,13
Tue,16:51:28,japan,oregon,52.93.12.173,52.93.12.173,105,14
Tue,16:51:28,japan,oregon,52.93.15.223,52.93.15.223,105,15
Tue,16:51:28,japan,oregon,100.65.11.32,100.65.11.32,123,16
Tue,16:51:28,japan,oregon,100.66.4.178,100.66.4.178,124,17
Tue,16:51:28,japan,oregon,100.66.6.68,100.66.6.68,124,18
Tue,16:51:28,japan,oregon,100.66.3.35,100.66.3.35,121,19
Tue,16:51:28,japan,oregon,100.66.0.45,100.66.0.45,123,20
Tue,16:51:28,japan,oregon,100.65.3.113,100.65.3.113,105,21
Tue,16:51:28,japan,oregon,100.64.11.35,100.64.11.35,105,22
Tue,16:51:28,japan,oregon,100.64.1.52,100.64.1.52,105,23
Tue,16:51:28,japan,oregon,ec2-34-213-69-133.us-west-2.compute.amazonaws.com,34.213.69.133,105,24
Tue,16:58:41,japan,oregon,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,19,1
Tue,16:58:41,japan,oregon,100.64.1.10,100.64.1.10,20,2
Tue,16:58:41,japan,oregon,100.64.2.7,100.64.2.7,12,3
Tue,16:58:41,japan,oregon,100.64.16.15,100.64.16.15,0,4
Tue,16:58:41,japan,oregon,52.95.30.213,52.95.30.213,3,5
Tue,16:58:41,japan,oregon,52.95.30.127,52.95.30.127,14,6
Tue,16:58:41,japan,oregon,52.95.30.20,52.95.30.20,3,7
