Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,15:28:21,japan,ghana,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,22,1
Wed,15:28:21,japan,ghana,100.64.3.14,100.64.3.14,13,2
Wed,15:28:21,japan,ghana,100.64.2.193,100.64.2.193,50,3
Wed,15:28:21,japan,ghana,100.64.16.71,100.64.16.71,1,4
Wed,15:28:21,japan,ghana,52.95.30.207,52.95.30.207,2,5
Wed,15:28:21,japan,ghana,52.95.30.125,52.95.30.125,10,6
Wed,15:28:21,japan,ghana,52.95.30.180,52.95.30.180,1,7
Wed,15:28:21,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Wed,15:28:21,japan,ghana,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,2,9
Wed,15:28:21,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,51,10
Wed,15:28:21,japan,ghana,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,56,11
Wed,15:28:21,japan,ghana,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,50,12
Wed,15:28:21,japan,ghana,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,52,13
Wed,15:28:21,japan,ghana,if-et-16-2.hcore1.KV8-Chiba.as6453.net,116.0.67.34,61,14
Wed,15:28:21,japan,ghana,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,299,15
Wed,15:28:21,japan,ghana,*,*,*,16
Wed,15:28:21,japan,ghana,*,*,*,17
Wed,15:28:21,japan,ghana,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,300,18
Wed,15:28:21,japan,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,280,19
Wed,15:28:21,japan,ghana,if-ge-5-0-0-12.core4.LDN-London.as6453.net,80.231.62.30,297,20
Wed,15:28:21,japan,ghana,195.219.195.42,195.219.195.42,390,21
Wed,15:28:21,japan,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,394,22
Wed,15:28:21,japan,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,398,23
Wed,15:28:21,japan,ghana,197.255.127.2,197.255.127.2,406,24
Wed,15:28:21,japan,ghana,197.255.127.35,197.255.127.35,409,25
Wed,15:28:21,japan,ghana,197.255.125.213,197.255.125.213,399,26
Wed,15:37:55,japan,ghana,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,13,1
Wed,15:37:55,japan,ghana,100.64.3.142,100.64.3.142,15,2
Wed,15:37:55,japan,ghana,100.64.1.1,100.64.1.1,16,3
Wed,15:37:55,japan,ghana,100.64.16.17,100.64.16.17,0,4
Wed,15:37:55,japan,ghana,52.95.30.215,52.95.30.215,2,5
Wed,15:37:55,japan,ghana,52.95.30.131,52.95.30.131,3,6
Wed,15:37:55,japan,ghana,52.95.30.174,52.95.30.174,1,7
Wed,15:37:55,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,3,8
Wed,15:37:55,japan,ghana,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,2,9
Wed,15:37:55,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,50,10
Wed,15:37:55,japan,ghana,ae-1.r00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.125,59,11
Wed,15:37:55,japan,ghana,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,58,12
Wed,15:37:55,japan,ghana,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,52,13
Wed,15:37:55,japan,ghana,if-et-17-2.hcore1.KV8-Chiba.as6453.net,116.0.67.62,62,14
Wed,15:37:55,japan,ghana,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,308,15
Wed,15:37:55,japan,ghana,if-ae-38-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.74,296,16
Wed,15:37:55,japan,ghana,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,295,17
Wed,15:37:55,japan,ghana,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,285,18
Wed,15:37:55,japan,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,281,19
Wed,15:37:55,japan,ghana,if-ge-5-0-0-12.core4.LDN-London.as6453.net,80.231.62.30,296,20
Wed,15:37:55,japan,ghana,195.219.195.42,195.219.195.42,389,21
Wed,15:37:55,japan,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,384,22
Wed,15:37:55,japan,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,396,23
Wed,15:37:55,japan,ghana,197.255.127.2,197.255.127.2,393,24
Wed,15:37:55,japan,ghana,197.255.127.35,197.255.127.35,406,25
Wed,15:37:55,japan,ghana,197.255.125.213,197.255.125.213,423,26
Wed,15:46:06,japan,ghana,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,14,1
Wed,15:46:06,japan,ghana,100.64.1.206,100.64.1.206,21,2
Wed,15:46:06,japan,ghana,100.64.3.195,100.64.3.195,22,3
Wed,15:46:06,japan,ghana,100.64.16.131,100.64.16.131,1,4
Wed,15:46:06,japan,ghana,52.95.30.219,52.95.30.219,2,5
Wed,15:46:06,japan,ghana,52.95.30.127,52.95.30.127,7,6
Wed,15:46:06,japan,ghana,52.95.30.172,52.95.30.172,2,7
Wed,15:46:06,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Wed,15:46:06,japan,ghana,*,*,*,9
Wed,15:46:06,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,54,10
Wed,15:46:06,japan,ghana,ae-12.r01.tkokhk01.hk.bb.gin.ntt.net,129.250.4.20,49,11
Wed,15:46:06,japan,ghana,ae-1.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.5.30,52,12
Wed,15:46:06,japan,ghana,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,53,13
Wed,15:46:06,japan,ghana,if-et-16-2.hcore1.KV8-Chiba.as6453.net,116.0.67.34,61,14
Wed,15:46:06,japan,ghana,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,296,15
Wed,15:46:06,japan,ghana,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.72,297,16
Wed,15:46:06,japan,ghana,if-ae-12-2.tcore1.NTO-New-York.as6453.net,63.243.128.28,315,17
Wed,15:46:06,japan,ghana,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,288,18
Wed,15:46:06,japan,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,299,19
Wed,15:46:06,japan,ghana,if-ge-5-0-0-12.core4.LDN-London.as6453.net,80.231.62.30,287,20
Wed,15:46:06,japan,ghana,195.219.195.42,195.219.195.42,396,21
Wed,15:46:06,japan,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,388,22
Wed,15:46:06,japan,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,394,23
Wed,15:46:06,japan,ghana,197.255.127.2,197.255.127.2,383,24
Wed,15:46:06,japan,ghana,197.255.127.35,197.255.127.35,385,25
Wed,15:46:06,japan,ghana,197.255.125.213,197.255.125.213,382,26
Wed,15:53:41,japan,ghana,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,11,1
Wed,15:53:41,japan,ghana,100.64.0.74,100.64.0.74,12,2
Wed,15:53:41,japan,ghana,100.64.0.1,100.64.0.1,15,3
Wed,15:53:41,japan,ghana,100.64.17.131,100.64.17.131,0,4
Wed,15:53:41,japan,ghana,52.95.30.215,52.95.30.215,2,5
Wed,15:53:41,japan,ghana,52.95.30.121,52.95.30.121,2,6
Wed,15:53:41,japan,ghana,52.95.30.180,52.95.30.180,2,7
Wed,15:53:41,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Wed,15:53:41,japan,ghana,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,1,9
Wed,15:53:41,japan,ghana,ae-5.r24.tkokhk01.hk.bb.gin.ntt.net,129.250.2.97,51,10
Wed,15:53:41,japan,ghana,ae-12.r01.tkokhk01.hk.bb.gin.ntt.net,129.250.4.20,48,11
Wed,15:53:41,japan,ghana,ae-0.a00.tkokhk01.hk.bb.gin.ntt.net,129.250.2.128,52,12
Wed,15:53:41,japan,ghana,ix-ae-24-0.tcore1.HK2-Hong-Kong.as6453.net,180.87.112.153,48,13
Wed,15:53:41,japan,ghana,if-et-17-2.hcore1.KV8-Chiba.as6453.net,116.0.67.62,60,14
Wed,15:53:41,japan,ghana,if-ae-5-2.tcore2.SV1-Santa-Clara.as6453.net,209.58.86.142,300,15
Wed,15:53:41,japan,ghana,if-ae-18-2.tcore1.SQN-San-Jose.as6453.net,63.243.205.130,292,16
Wed,15:53:41,japan,ghana,*,*,*,17
Wed,15:53:41,japan,ghana,if-ae-8-2.tcore2.NTO-New-York.as6453.net,63.243.128.70,299,18
Wed,15:53:41,japan,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,282,19
Wed,15:53:41,japan,ghana,if-ge-4-0-0.core4.LDN-London.as6453.net,80.231.62.26,291,20
Wed,15:53:41,japan,ghana,195.219.195.42,195.219.195.42,397,21
Wed,15:53:41,japan,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,382,22
Wed,15:53:41,japan,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,402,23
Wed,15:53:41,japan,ghana,197.255.127.2,197.255.127.2,399,24
Wed,15:53:41,japan,ghana,197.255.127.35,197.255.127.35,391,25
Wed,15:53:41,japan,ghana,197.255.125.213,197.255.125.213,396,26
Wed,16:01:15,japan,ghana,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,2,1
Wed,16:01:15,japan,ghana,100.64.1.140,100.64.1.140,17,2
Wed,16:01:15,japan,ghana,100.64.0.199,100.64.0.199,14,3
Wed,16:01:15,japan,ghana,100.64.17.21,100.64.17.21,1,4
Wed,16:01:15,japan,ghana,52.95.30.219,52.95.30.219,2,5
Wed,16:01:15,japan,ghana,52.95.30.133,52.95.30.133,11,6
Wed,16:01:15,japan,ghana,52.95.30.174,52.95.30.174,1,7
Wed,16:01:15,japan,ghana,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,2,8
Wed,16:01:15,japan,ghana,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,1,9
