Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,15:28:51,japan,kenya,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,676,1
Wed,15:28:51,japan,kenya,100.64.3.78,100.64.3.78,11,2
Wed,15:28:51,japan,kenya,100.64.0.7,100.64.0.7,19,3
Wed,15:28:51,japan,kenya,100.64.17.131,100.64.17.131,0,4
Wed,15:28:51,japan,kenya,52.95.30.219,52.95.30.219,3,5
Wed,15:28:51,japan,kenya,52.95.30.121,52.95.30.121,2,6
Wed,15:28:51,japan,kenya,52.95.30.136,52.95.30.136,1,7
Wed,15:28:51,japan,kenya,63-218-251-237.static.pccwglobal.net,63.218.251.237,1,8
Wed,15:28:51,japan,kenya,ix-ae-16-0.tcore1.TV2-Tokyo.as6453.net,120.29.217.109,1,9
Wed,15:28:51,japan,kenya,if-ae-31-2.tcore2.SVW-Singapore.as6453.net,180.87.15.40,152,10
Wed,15:28:51,japan,kenya,if-ae-6-2.tcore2.CXR-Chennai.as6453.net,180.87.37.13,157,11
Wed,15:28:51,japan,kenya,if-ae-9-2.tcore2.MLV-Mumbai.as6453.net,180.87.37.10,121,12
Wed,15:28:51,japan,kenya,if-ge-3-0-0-2504.core1.N71-Fujairah.as6453.net,195.219.174.24,158,13
Wed,15:28:51,japan,kenya,195.219.174.134,195.219.174.134,205,14
Wed,15:28:51,japan,kenya,196.201.222.89,196.201.222.89,208,15
Wed,15:28:51,japan,kenya,196.201.222.166,196.201.222.166,213,16
Wed,15:28:51,japan,kenya,*,*,*,17
Wed,15:28:51,japan,kenya,*,*,*,18
Wed,15:28:51,japan,kenya,*,*,*,19
Wed,15:28:51,japan,kenya,*,*,*,20
Wed,15:28:51,japan,kenya,*,*,*,21
Wed,15:28:51,japan,kenya,*,*,*,22
Wed,15:28:51,japan,kenya,*,*,*,23
Wed,15:28:51,japan,kenya,*,*,*,24
Wed,15:28:51,japan,kenya,*,*,*,25
Wed,15:28:51,japan,kenya,*,*,*,26
Wed,15:28:51,japan,kenya,*,*,*,27
Wed,15:28:51,japan,kenya,*,*,*,28
Wed,15:28:51,japan,kenya,*,*,*,29
Wed,15:28:51,japan,kenya,*,*,*,30
Wed,15:37:59,japan,kenya,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,15,1
Wed,15:37:59,japan,kenya,100.64.0.72,100.64.0.72,17,2
Wed,15:37:59,japan,kenya,100.64.0.197,100.64.0.197,18,3
Wed,15:37:59,japan,kenya,100.64.16.69,100.64.16.69,1,4
Wed,15:37:59,japan,kenya,52.95.30.219,52.95.30.219,2,5
Wed,15:37:59,japan,kenya,52.95.30.133,52.95.30.133,11,6
Wed,15:37:59,japan,kenya,52.95.30.136,52.95.30.136,7,7
Wed,15:37:59,japan,kenya,63-218-251-237.static.pccwglobal.net,63.218.251.237,1,8
Wed,15:37:59,japan,kenya,ix-ae-16-0.tcore1.TV2-Tokyo.as6453.net,120.29.217.109,1,9
Wed,15:37:59,japan,kenya,if-ae-31-2.tcore2.SVW-Singapore.as6453.net,180.87.15.40,152,10
Wed,15:37:59,japan,kenya,if-ae-6-2.tcore2.CXR-Chennai.as6453.net,180.87.37.13,157,11
Wed,15:37:59,japan,kenya,if-ae-9-2.tcore2.MLV-Mumbai.as6453.net,180.87.37.10,120,12
Wed,15:37:59,japan,kenya,if-ge-3-0-0-2504.core1.N71-Fujairah.as6453.net,195.219.174.24,158,13
Wed,15:37:59,japan,kenya,195.219.174.134,195.219.174.134,203,14
Wed,15:37:59,japan,kenya,196.201.222.89,196.201.222.89,207,15
Wed,15:37:59,japan,kenya,196.201.222.166,196.201.222.166,217,16
Wed,15:37:59,japan,kenya,*,*,*,17
Wed,15:37:59,japan,kenya,*,*,*,18
Wed,15:37:59,japan,kenya,*,*,*,19
Wed,15:37:59,japan,kenya,*,*,*,20
Wed,15:37:59,japan,kenya,*,*,*,21
Wed,15:37:59,japan,kenya,*,*,*,22
Wed,15:37:59,japan,kenya,*,*,*,23
Wed,15:37:59,japan,kenya,*,*,*,24
Wed,15:37:59,japan,kenya,*,*,*,25
Wed,15:37:59,japan,kenya,*,*,*,26
Wed,15:37:59,japan,kenya,*,*,*,27
Wed,15:37:59,japan,kenya,*,*,*,28
Wed,15:37:59,japan,kenya,*,*,*,29
Wed,15:37:59,japan,kenya,*,*,*,30
Wed,15:46:21,japan,kenya,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,198,1
Wed,15:46:21,japan,kenya,100.64.2.206,100.64.2.206,54,2
Wed,15:46:21,japan,kenya,100.64.3.71,100.64.3.71,2,3
Wed,15:46:21,japan,kenya,100.64.16.161,100.64.16.161,0,4
