Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,15:29:21,japan,oregon,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,16,1
Wed,15:29:21,japan,oregon,100.64.2.204,100.64.2.204,22,2
Wed,15:29:21,japan,oregon,100.64.1.67,100.64.1.67,18,3
Wed,15:29:21,japan,oregon,100.64.16.23,100.64.16.23,1,4
Wed,15:29:21,japan,oregon,52.95.30.219,52.95.30.219,2,5
Wed,15:29:21,japan,oregon,52.95.30.129,52.95.30.129,4,6
Wed,15:29:21,japan,oregon,52.95.31.14,52.95.31.14,3,7
Wed,15:29:21,japan,oregon,54.239.52.134,54.239.52.134,104,8
Wed,15:29:21,japan,oregon,54.239.41.161,54.239.41.161,104,9
Wed,15:29:21,japan,oregon,54.239.43.132,54.239.43.132,104,10
Wed,15:29:21,japan,oregon,52.93.12.122,52.93.12.122,113,11
Wed,15:29:21,japan,oregon,52.93.12.107,52.93.12.107,104,12
Wed,15:29:21,japan,oregon,52.93.12.178,52.93.12.178,123,13
Wed,15:29:21,japan,oregon,52.93.13.61,52.93.13.61,104,14
Wed,15:29:21,japan,oregon,205.251.232.255,205.251.232.255,105,15
Wed,15:29:21,japan,oregon,100.65.9.64,100.65.9.64,125,16
Wed,15:29:21,japan,oregon,100.66.4.138,100.66.4.138,116,17
Wed,15:29:21,japan,oregon,100.66.6.234,100.66.6.234,122,18
Wed,15:29:21,japan,oregon,100.66.10.239,100.66.10.239,138,19
Wed,15:29:21,japan,oregon,100.66.8.97,100.66.8.97,121,20
Wed,15:29:21,japan,oregon,ec2-54-187-25-77.us-west-2.compute.amazonaws.com,54.187.25.77,104,21
Wed,15:38:24,japan,oregon,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,13,1
Wed,15:38:24,japan,oregon,100.64.3.204,100.64.3.204,18,2
Wed,15:38:24,japan,oregon,100.64.3.131,100.64.3.131,16,3
Wed,15:38:24,japan,oregon,100.64.16.167,100.64.16.167,1,4
Wed,15:38:24,japan,oregon,52.95.30.213,52.95.30.213,4,5
Wed,15:38:24,japan,oregon,52.95.30.129,52.95.30.129,13,6
Wed,15:38:24,japan,oregon,52.95.31.16,52.95.31.16,3,7
Wed,15:38:24,japan,oregon,27.0.0.248,27.0.0.248,121,8
Wed,15:38:24,japan,oregon,54.239.41.161,54.239.41.161,120,9
Wed,15:38:24,japan,oregon,54.239.43.132,54.239.43.132,120,10
Wed,15:38:24,japan,oregon,52.93.12.50,52.93.12.50,121,11
Wed,15:38:24,japan,oregon,52.93.12.179,52.93.12.179,119,12
Wed,15:38:24,japan,oregon,52.93.12.110,52.93.12.110,112,13
Wed,15:38:24,japan,oregon,52.93.12.167,52.93.12.167,121,14
Wed,15:38:24,japan,oregon,205.251.232.255,205.251.232.255,120,15
Wed,15:38:24,japan,oregon,100.65.9.224,100.65.9.224,137,16
Wed,15:38:24,japan,oregon,100.66.4.88,100.66.4.88,136,17
Wed,15:38:24,japan,oregon,100.66.7.172,100.66.7.172,111,18
Wed,15:38:24,japan,oregon,100.66.10.3,100.66.10.3,120,19
Wed,15:38:24,japan,oregon,100.66.8.227,100.66.8.227,121,20
Wed,15:38:24,japan,oregon,ec2-54-187-25-77.us-west-2.compute.amazonaws.com,54.187.25.77,121,21
Wed,15:46:43,japan,oregon,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,15,1
Wed,15:46:43,japan,oregon,100.64.2.8,100.64.2.8,19,2
Wed,15:46:43,japan,oregon,100.64.3.7,100.64.3.7,18,3
Wed,15:46:43,japan,oregon,100.64.17.149,100.64.17.149,1,4
Wed,15:46:43,japan,oregon,52.95.30.211,52.95.30.211,2,5
Wed,15:46:43,japan,oregon,52.95.31.131,52.95.31.131,10,6
Wed,15:46:43,japan,oregon,52.95.30.12,52.95.30.12,4,7
Wed,15:46:43,japan,oregon,54.239.52.134,54.239.52.134,120,8
Wed,15:46:43,japan,oregon,54.239.41.161,54.239.41.161,103,9
Wed,15:46:43,japan,oregon,54.239.43.132,54.239.43.132,104,10
Wed,15:46:43,japan,oregon,52.93.12.230,52.93.12.230,122,11
Wed,15:46:43,japan,oregon,52.93.12.179,52.93.12.179,103,12
Wed,15:46:43,japan,oregon,52.93.12.180,52.93.12.180,106,13
Wed,15:46:43,japan,oregon,52.93.12.101,52.93.12.101,120,14
Wed,15:46:43,japan,oregon,52.93.13.75,52.93.13.75,106,15
Wed,15:46:43,japan,oregon,100.65.9.96,100.65.9.96,138,16
Wed,15:46:43,japan,oregon,100.66.4.4,100.66.4.4,142,17
Wed,15:46:43,japan,oregon,100.66.7.200,100.66.7.200,117,18
Wed,15:46:43,japan,oregon,100.66.11.101,100.66.11.101,137,19
