Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,15:29:23,japan,rwanda,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,14,1
Wed,15:29:23,japan,rwanda,100.64.2.8,100.64.2.8,13,2
Wed,15:29:23,japan,rwanda,100.64.2.5,100.64.2.5,15,3
Wed,15:29:23,japan,rwanda,100.64.16.39,100.64.16.39,0,4
Wed,15:29:23,japan,rwanda,52.95.30.207,52.95.30.207,2,5
Wed,15:29:23,japan,rwanda,52.95.30.127,52.95.30.127,10,6
Wed,15:29:23,japan,rwanda,52.95.30.168,52.95.30.168,1,7
Wed,15:29:23,japan,rwanda,218.100.6.74,218.100.6.74,1,8
Wed,15:29:23,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,67,9
Wed,15:29:23,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,207,10
Wed,15:29:23,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,232,11
Wed,15:29:23,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,244,12
Wed,15:29:23,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,222,13
Wed,15:29:23,japan,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,239,14
Wed,15:29:23,japan,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,350,15
Wed,15:29:23,japan,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,422,16
Wed,15:29:23,japan,rwanda,teng0-0-1-3-p1-nbi.liquidtelecom.net,197.155.94.10,443,17
Wed,15:29:23,japan,rwanda,197.155.94.69,197.155.94.69,429,18
Wed,15:29:23,japan,rwanda,teng0-0-0-0.lug-p2-kgl.liquidtelecom.net,197.155.94.81,425,19
Wed,15:29:23,japan,rwanda,197.155.94.165.liquidtelecom.net,197.155.94.165,436,20
Wed,15:29:23,japan,rwanda,41.223.224.211,41.223.224.211,431,21
Wed,15:29:23,japan,rwanda,197.243.126.30,197.243.126.30,423,22
Wed,15:29:23,japan,rwanda,*,*,*,23
Wed,15:29:23,japan,rwanda,*,*,*,24
Wed,15:29:23,japan,rwanda,197.243.126.166,197.243.126.166,426,25
Wed,15:29:23,japan,rwanda,*,*,*,26
Wed,15:29:23,japan,rwanda,*,*,*,27
Wed,15:29:23,japan,rwanda,*,*,*,28
Wed,15:29:23,japan,rwanda,*,*,*,29
Wed,15:29:23,japan,rwanda,*,*,*,30
Wed,15:38:45,japan,rwanda,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,16,1
Wed,15:38:45,japan,rwanda,100.64.2.202,100.64.2.202,47,2
Wed,15:38:45,japan,rwanda,100.64.2.197,100.64.2.197,14,3
Wed,15:38:45,japan,rwanda,100.64.16.149,100.64.16.149,0,4
Wed,15:38:45,japan,rwanda,52.95.30.219,52.95.30.219,2,5
Wed,15:38:45,japan,rwanda,52.95.30.135,52.95.30.135,7,6
Wed,15:38:45,japan,rwanda,52.95.30.146,52.95.30.146,1,7
Wed,15:38:45,japan,rwanda,gigabitethernet2-8.core1.tyo1.he.net,210.173.176.106,4,8
Wed,15:38:45,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,69,9
Wed,15:38:45,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,212,10
Wed,15:38:45,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,214,11
Wed,15:38:45,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,240,12
Wed,15:38:45,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,222,13
Wed,15:38:45,japan,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,240,14
Wed,15:38:45,japan,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,356,15
Wed,15:38:45,japan,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,419,16
Wed,15:38:45,japan,rwanda,teng0-0-1-3-p1-nbi.liquidtelecom.net,197.155.94.10,444,17
Wed,15:38:45,japan,rwanda,Teng0-0-1-1.lug-p1-kpl.liquidtelecom.net,197.155.94.69,429,18
Wed,15:38:45,japan,rwanda,teng0-0-0-2.lug-p2-kpl.liquidtelecom.net,197.155.94.97,438,19
Wed,15:38:45,japan,rwanda,197.155.94.165.liquidtelecom.net,197.155.94.165,429,20
Wed,15:38:45,japan,rwanda,41.223.224.211,41.223.224.211,433,21
Wed,15:38:45,japan,rwanda,197.243.126.30,197.243.126.30,424,22
Wed,15:38:45,japan,rwanda,*,*,*,23
Wed,15:38:45,japan,rwanda,*,*,*,24
Wed,15:38:45,japan,rwanda,197.243.126.166,197.243.126.166,416,25
Wed,15:38:45,japan,rwanda,*,*,*,26
Wed,15:38:45,japan,rwanda,*,*,*,27
Wed,15:38:45,japan,rwanda,*,*,*,28
Wed,15:38:45,japan,rwanda,*,*,*,29
Wed,15:38:45,japan,rwanda,*,*,*,30
Wed,15:46:45,japan,rwanda,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,12,1
Wed,15:46:45,japan,rwanda,100.64.1.76,100.64.1.76,15,2
Wed,15:46:45,japan,rwanda,100.64.1.195,100.64.1.195,13,3
Wed,15:46:45,japan,rwanda,100.64.17.21,100.64.17.21,8,4
Wed,15:46:45,japan,rwanda,52.95.30.211,52.95.30.211,2,5
Wed,15:46:45,japan,rwanda,52.95.30.127,52.95.30.127,11,6
Wed,15:46:45,japan,rwanda,52.95.30.186,52.95.30.186,2,7
Wed,15:46:45,japan,rwanda,gigabitethernet2-8.core1.tyo1.he.net,210.173.176.106,1,8
Wed,15:46:45,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,75,9
Wed,15:46:45,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,204,10
Wed,15:46:45,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,233,11
Wed,15:46:45,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,251,12
