Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,16:03:13,japan,congo_DR,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,16,1
Wed,16:03:13,japan,congo_DR,100.64.3.12,100.64.3.12,20,2
Wed,16:03:13,japan,congo_DR,100.64.3.129,100.64.3.129,20,3
Wed,16:03:13,japan,congo_DR,100.64.16.99,100.64.16.99,0,4
Wed,16:03:13,japan,congo_DR,52.95.30.209,52.95.30.209,3,5
Wed,16:03:13,japan,congo_DR,52.95.31.135,52.95.31.135,9,6
Wed,16:03:13,japan,congo_DR,52.95.31.22,52.95.31.22,2,7
Wed,16:03:13,japan,congo_DR,54.239.52.156,54.239.52.156,5,8
Wed,16:03:13,japan,congo_DR,52.95.30.35,52.95.30.35,352,9
Wed,16:03:13,japan,congo_DR,52.95.30.152,52.95.30.152,5,10
Wed,16:03:13,japan,congo_DR,203.105.73.45,203.105.73.45,8,11
Wed,16:03:13,japan,congo_DR,ae-14.r30.tokyjp05.jp.bb.gin.ntt.net,129.250.4.80,5,12
Wed,16:03:13,japan,congo_DR,ae-4.r23.lsanca07.us.bb.gin.ntt.net,129.250.3.193,115,13
Wed,16:03:13,japan,congo_DR,ae-2.r01.lsanca07.us.bb.gin.ntt.net,129.250.4.107,113,14
Wed,16:03:13,japan,congo_DR,ae-2.r01.lsanca07.us.bb.gin.ntt.net,129.250.4.107,113,15
Wed,16:03:13,japan,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,142,16
Wed,16:03:13,japan,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,142,17
Wed,16:03:13,japan,congo_DR,162-144-240-143.unifiedlayer.com,162.144.240.143,142,18
Wed,16:03:13,japan,congo_DR,just57.justhost.com,173.254.28.57,130,19
Wed,16:12:35,japan,congo_DR,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,20,1
Wed,16:12:35,japan,congo_DR,100.64.0.202,100.64.0.202,21,2
Wed,16:12:35,japan,congo_DR,100.64.0.131,100.64.0.131,18,3
Wed,16:12:35,japan,congo_DR,100.64.16.9,100.64.16.9,0,4
Wed,16:12:35,japan,congo_DR,52.95.30.213,52.95.30.213,3,5
Wed,16:12:35,japan,congo_DR,52.95.31.121,52.95.31.121,15,6
Wed,16:12:35,japan,congo_DR,52.95.31.36,52.95.31.36,2,7
Wed,16:12:35,japan,congo_DR,54.239.52.110,54.239.52.110,6,8
Wed,16:12:35,japan,congo_DR,52.95.30.29,52.95.30.29,9,9
Wed,16:12:35,japan,congo_DR,52.95.30.150,52.95.30.150,6,10
Wed,16:12:35,japan,congo_DR,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,4,11
Wed,16:12:35,japan,congo_DR,ae-15.r02.tokyjp05.jp.bb.gin.ntt.net,129.250.5.149,123,12
Wed,16:12:35,japan,congo_DR,ae-4.r23.snjsca04.us.bb.gin.ntt.net,129.250.5.78,112,13
Wed,16:12:35,japan,congo_DR,ae-4.r23.lsanca07.us.bb.gin.ntt.net,129.250.3.193,126,14
Wed,16:12:35,japan,congo_DR,ae-2.r00.lsanca07.us.bb.gin.ntt.net,129.250.3.238,114,15
Wed,16:12:35,japan,congo_DR,ae-0.endurance.lsanca07.us.bb.gin.ntt.net,129.250.198.182,130,16
Wed,16:12:35,japan,congo_DR,ae-0.endurance.lsanca07.us.bb.gin.ntt.net,129.250.198.182,129,17
Wed,16:12:35,japan,congo_DR,162-144-240-19.unifiedlayer.com,162.144.240.19,129,18
Wed,16:12:35,japan,congo_DR,just57.justhost.com,173.254.28.57,132,19
Wed,16:20:24,japan,congo_DR,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,864,1
Wed,16:20:24,japan,congo_DR,100.64.0.74,100.64.0.74,22,2
Wed,16:20:24,japan,congo_DR,100.64.3.193,100.64.3.193,17,3
Wed,16:20:24,japan,congo_DR,100.64.16.149,100.64.16.149,1,4
Wed,16:20:24,japan,congo_DR,52.95.30.213,52.95.30.213,3,5
Wed,16:20:24,japan,congo_DR,52.95.31.123,52.95.31.123,8,6
Wed,16:20:24,japan,congo_DR,52.95.31.36,52.95.31.36,2,7
Wed,16:20:24,japan,congo_DR,54.239.52.156,54.239.52.156,3,8
Wed,16:20:24,japan,congo_DR,52.95.30.35,52.95.30.35,16,9
Wed,16:20:24,japan,congo_DR,52.95.30.166,52.95.30.166,5,10
Wed,16:20:24,japan,congo_DR,203.105.73.45,203.105.73.45,7,11
Wed,16:20:24,japan,congo_DR,ae-15.r02.tokyjp05.jp.bb.gin.ntt.net,129.250.5.149,123,12
Wed,16:20:24,japan,congo_DR,*,*,*,13
Wed,16:20:24,japan,congo_DR,ae-4.r23.lsanca07.us.bb.gin.ntt.net,129.250.3.193,114,14
Wed,16:20:24,japan,congo_DR,ae-0.a01.lsanca07.us.bb.gin.ntt.net,129.250.2.16,114,15
Wed,16:20:24,japan,congo_DR,ae-1.a01.lsanca07.us.bb.gin.ntt.net,129.250.2.160,115,16
Wed,16:20:24,japan,congo_DR,162-144-240-167.unifiedlayer.com,162.144.240.167,131,17
Wed,16:20:24,japan,congo_DR,162-144-240-161.unifiedlayer.com,162.144.240.161,131,18
Wed,16:20:24,japan,congo_DR,162-144-240-19.unifiedlayer.com,162.144.240.19,130,19
Wed,16:29:00,japan,congo_DR,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,12,1
Wed,16:29:00,japan,congo_DR,100.64.0.76,100.64.0.76,11,2
Wed,16:29:00,japan,congo_DR,100.64.2.1,100.64.2.1,16,3
Wed,16:29:00,japan,congo_DR,100.64.16.55,100.64.16.55,1,4
Wed,16:29:00,japan,congo_DR,52.95.30.213,52.95.30.213,3,5
Wed,16:29:00,japan,congo_DR,52.95.31.123,52.95.31.123,14,6
Wed,16:29:00,japan,congo_DR,52.95.31.8,52.95.31.8,3,7
Wed,16:29:00,japan,congo_DR,54.239.52.110,54.239.52.110,4,8
Wed,16:29:00,japan,congo_DR,52.95.30.37,52.95.30.37,6,9
Wed,16:29:00,japan,congo_DR,52.95.30.158,52.95.30.158,5,10
Wed,16:29:00,japan,congo_DR,ae-10.r00.tokyjp03.jp.bb.gin.ntt.net,61.213.145.1,5,11
Wed,16:29:00,japan,congo_DR,ae-15.r02.tokyjp05.jp.bb.gin.ntt.net,129.250.5.149,123,12
Wed,16:29:00,japan,congo_DR,ae-4.r23.snjsca04.us.bb.gin.ntt.net,129.250.5.78,124,13
Wed,16:29:00,japan,congo_DR,ae-4.r23.snjsca04.us.bb.gin.ntt.net,129.250.5.78,111,14
Wed,16:29:00,japan,congo_DR,ae-1.a01.snjsca04.us.bb.gin.ntt.net,129.250.2.48,133,15
Wed,16:29:00,japan,congo_DR,ae-0.a01.snjsca04.us.bb.gin.ntt.net,129.250.3.163,144,16
Wed,16:29:00,japan,congo_DR,162-144-240-153.unifiedlayer.com,162.144.240.153,131,17
Wed,16:29:00,japan,congo_DR,162-144-240-23.unifiedlayer.com,162.144.240.23,142,18
Wed,16:29:00,japan,congo_DR,just57.justhost.com,173.254.28.57,131,19
