Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,16:03:54,japan,kenya,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,12,1
Wed,16:03:54,japan,kenya,100.64.3.8,100.64.3.8,14,2
Wed,16:03:54,japan,kenya,100.64.2.135,100.64.2.135,20,3
Wed,16:03:54,japan,kenya,100.64.17.163,100.64.17.163,1,4
Wed,16:03:54,japan,kenya,52.95.30.217,52.95.30.217,3,5
Wed,16:03:54,japan,kenya,52.95.31.131,52.95.31.131,6,6
Wed,16:03:54,japan,kenya,52.95.31.30,52.95.31.30,2,7
Wed,16:03:54,japan,kenya,54.239.52.140,54.239.52.140,8,8
Wed,16:03:54,japan,kenya,54.239.53.25,54.239.53.25,18,9
Wed,16:03:54,japan,kenya,54.239.53.84,54.239.53.84,9,10
Wed,16:03:54,japan,kenya,63-222-51-9.static.pccwglobal.net,63.222.51.9,9,11
Wed,16:03:54,japan,kenya,TenGE0-0-0-18.br02.tok02.pccwbtn.net,63.223.33.61,10,12
Wed,16:03:54,japan,kenya,ix-ae-16-0.tcore1.TV2-Tokyo.as6453.net,120.29.217.109,10,13
Wed,16:03:54,japan,kenya,ix-ae-16-0.tcore1.TV2-Tokyo.as6453.net,120.29.217.109,10,14
Wed,16:03:54,japan,kenya,if-ae-31-2.tcore2.SVW-Singapore.as6453.net,180.87.15.40,172,15
Wed,16:03:54,japan,kenya,if-ae-6-2.tcore2.CXR-Chennai.as6453.net,180.87.37.13,163,16
Wed,16:03:54,japan,kenya,if-ae-9-2.tcore2.MLV-Mumbai.as6453.net,180.87.37.10,128,17
Wed,16:03:54,japan,kenya,195.219.174.134,195.219.174.134,222,18
Wed,16:03:54,japan,kenya,195.219.174.134,195.219.174.134,221,19
Wed,16:03:54,japan,kenya,196.201.222.166,196.201.222.166,220,20
Wed,16:03:54,japan,kenya,196.201.222.166,196.201.222.166,217,21
Wed,16:03:54,japan,kenya,*,*,*,22
Wed,16:03:54,japan,kenya,*,*,*,23
Wed,16:03:54,japan,kenya,*,*,*,24
Wed,16:03:54,japan,kenya,*,*,*,25
Wed,16:03:54,japan,kenya,*,*,*,26
Wed,16:03:54,japan,kenya,*,*,*,27
Wed,16:03:54,japan,kenya,*,*,*,28
Wed,16:03:54,japan,kenya,*,*,*,29
Wed,16:03:54,japan,kenya,*,*,*,30
Wed,16:12:55,japan,kenya,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,20,1
Wed,16:12:55,japan,kenya,100.64.1.202,100.64.1.202,11,2
Wed,16:12:55,japan,kenya,100.64.1.3,100.64.1.3,12,3
Wed,16:12:55,japan,kenya,100.64.17.179,100.64.17.179,0,4
Wed,16:12:55,japan,kenya,52.95.30.213,52.95.30.213,3,5
Wed,16:12:55,japan,kenya,52.95.31.127,52.95.31.127,7,6
Wed,16:12:55,japan,kenya,52.95.31.22,52.95.31.22,2,7
Wed,16:12:55,japan,kenya,54.239.52.140,54.239.52.140,9,8
Wed,16:12:55,japan,kenya,54.239.53.29,54.239.53.29,14,9
Wed,16:12:55,japan,kenya,54.239.53.72,54.239.53.72,9,10
Wed,16:12:55,japan,kenya,63-222-51-9.static.pccwglobal.net,63.222.51.9,9,11
Wed,16:12:55,japan,kenya,TenGE4-2.br01.tok02.pccwbtn.net,63.218.250.37,13,12
