Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,16:04:19,japan,oregon,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,16,1
Wed,16:04:19,japan,oregon,100.64.0.204,100.64.0.204,20,2
Wed,16:04:19,japan,oregon,100.64.2.131,100.64.2.131,20,3
Wed,16:04:19,japan,oregon,100.64.16.171,100.64.16.171,0,4
Wed,16:04:19,japan,oregon,52.95.30.221,52.95.30.221,3,5
Wed,16:04:19,japan,oregon,52.95.31.129,52.95.31.129,14,6
Wed,16:04:19,japan,oregon,52.95.31.20,52.95.31.20,2,7
Wed,16:04:19,japan,oregon,27.0.0.248,27.0.0.248,104,8
Wed,16:04:19,japan,oregon,54.239.41.161,54.239.41.161,105,9
Wed,16:04:19,japan,oregon,54.239.43.132,54.239.43.132,104,10
Wed,16:04:19,japan,oregon,52.93.12.86,52.93.12.86,105,11
Wed,16:04:19,japan,oregon,52.93.12.73,52.93.12.73,104,12
Wed,16:04:19,japan,oregon,52.93.12.106,52.93.12.106,107,13
Wed,16:04:19,japan,oregon,52.93.12.209,52.93.12.209,109,14
Wed,16:04:19,japan,oregon,52.93.13.73,52.93.13.73,105,15
Wed,16:04:19,japan,oregon,100.65.11.32,100.65.11.32,128,16
Wed,16:04:19,japan,oregon,100.66.4.212,100.66.4.212,120,17
Wed,16:04:19,japan,oregon,100.66.6.162,100.66.6.162,126,18
Wed,16:04:19,japan,oregon,100.66.3.37,100.66.3.37,118,19
Wed,16:04:19,japan,oregon,100.66.0.245,100.66.0.245,119,20
Wed,16:04:19,japan,oregon,100.65.2.209,100.65.2.209,106,21
Wed,16:04:19,japan,oregon,100.64.13.221,100.64.13.221,105,22
Wed,16:04:19,japan,oregon,100.64.7.192,100.64.7.192,106,23
Wed,16:04:19,japan,oregon,ec2-34-213-86-54.us-west-2.compute.amazonaws.com,34.213.86.54,105,24
Wed,16:13:22,japan,oregon,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,20,1
Wed,16:13:22,japan,oregon,100.64.0.74,100.64.0.74,27,2
Wed,16:13:22,japan,oregon,100.64.3.65,100.64.3.65,12,3
Wed,16:13:22,japan,oregon,100.64.17.137,100.64.17.137,0,4
Wed,16:13:22,japan,oregon,52.95.30.221,52.95.30.221,3,5
Wed,16:13:22,japan,oregon,52.95.31.123,52.95.31.123,7,6
Wed,16:13:22,japan,oregon,52.95.31.18,52.95.31.18,2,7
Wed,16:13:22,japan,oregon,27.0.0.248,27.0.0.248,104,8
Wed,16:13:22,japan,oregon,54.239.41.161,54.239.41.161,104,9
Wed,16:13:22,japan,oregon,54.239.43.132,54.239.43.132,104,10
Wed,16:13:22,japan,oregon,52.93.12.230,52.93.12.230,106,11
Wed,16:13:22,japan,oregon,52.93.12.255,52.93.12.255,104,12
Wed,16:13:22,japan,oregon,52.93.12.104,52.93.12.104,132,13
Wed,16:13:22,japan,oregon,52.93.12.137,52.93.12.137,105,14
Wed,16:13:22,japan,oregon,52.93.15.221,52.93.15.221,105,15
Wed,16:13:22,japan,oregon,100.65.9.224,100.65.9.224,124,16
Wed,16:13:22,japan,oregon,100.66.4.28,100.66.4.28,118,17
Wed,16:13:22,japan,oregon,100.66.6.72,100.66.6.72,118,18
Wed,16:13:22,japan,oregon,100.66.3.143,100.66.3.143,117,19
Wed,16:13:22,japan,oregon,100.66.0.231,100.66.0.231,119,20
Wed,16:13:22,japan,oregon,100.65.1.81,100.65.1.81,105,21
Wed,16:13:22,japan,oregon,100.64.12.27,100.64.12.27,105,22
Wed,16:13:22,japan,oregon,100.64.7.196,100.64.7.196,106,23
Wed,16:13:22,japan,oregon,ec2-34-213-86-54.us-west-2.compute.amazonaws.com,34.213.86.54,105,24
Wed,16:21:32,japan,oregon,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,11,1
Wed,16:21:32,japan,oregon,100.64.3.200,100.64.3.200,13,2
Wed,16:21:32,japan,oregon,100.64.2.197,100.64.2.197,13,3
Wed,16:21:32,japan,oregon,100.64.17.53,100.64.17.53,0,4
Wed,16:21:32,japan,oregon,52.95.30.213,52.95.30.213,3,5
Wed,16:21:32,japan,oregon,52.95.31.129,52.95.31.129,12,6
Wed,16:21:32,japan,oregon,52.95.31.22,52.95.31.22,2,7
Wed,16:21:32,japan,oregon,27.0.0.248,27.0.0.248,104,8
Wed,16:21:32,japan,oregon,54.239.41.161,54.239.41.161,104,9
Wed,16:21:32,japan,oregon,54.239.43.132,54.239.43.132,104,10
Wed,16:21:32,japan,oregon,52.93.12.230,52.93.12.230,109,11
Wed,16:21:32,japan,oregon,52.93.12.147,52.93.12.147,104,12
