Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,16:04:30,japan,rwanda,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,25,1
Wed,16:04:30,japan,rwanda,100.64.1.12,100.64.1.12,18,2
Wed,16:04:30,japan,rwanda,100.64.1.199,100.64.1.199,14,3
Wed,16:04:30,japan,rwanda,100.64.16.51,100.64.16.51,1,4
Wed,16:04:30,japan,rwanda,52.95.30.221,52.95.30.221,3,5
Wed,16:04:30,japan,rwanda,52.95.31.135,52.95.31.135,8,6
Wed,16:04:30,japan,rwanda,52.95.31.38,52.95.31.38,2,7
Wed,16:04:30,japan,rwanda,54.239.52.110,54.239.52.110,4,8
Wed,16:04:30,japan,rwanda,52.95.30.27,52.95.30.27,11,9
Wed,16:04:30,japan,rwanda,52.95.30.148,52.95.30.148,4,10
Wed,16:04:30,japan,rwanda,6939.tyo.equinix.com,203.190.230.40,5,11
Wed,16:04:30,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,88,12
Wed,16:04:30,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,208,13
Wed,16:04:30,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,248,14
Wed,16:04:30,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,229,15
Wed,16:04:30,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,226,16
Wed,16:04:30,japan,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,269,17
Wed,16:04:30,japan,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,366,18
Wed,16:04:30,japan,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,419,19
Wed,16:04:30,japan,rwanda,*,*,*,20
Wed,16:04:30,japan,rwanda,teng0-0-1-2-p2-nbi.liquidtelecom.net,197.155.94.2,440,21
Wed,16:04:30,japan,rwanda,teng0-0-0-0.lug-p2-kgl.liquidtelecom.net,197.155.94.81,440,22
Wed,16:04:30,japan,rwanda,197.155.94.165.liquidtelecom.net,197.155.94.165,434,23
Wed,16:04:30,japan,rwanda,41.223.224.211,41.223.224.211,435,24
Wed,16:04:30,japan,rwanda,197.243.126.30,197.243.126.30,445,25
Wed,16:04:30,japan,rwanda,*,*,*,26
Wed,16:04:30,japan,rwanda,*,*,*,27
Wed,16:04:30,japan,rwanda,197.243.126.166,197.243.126.166,440,28
Wed,16:04:30,japan,rwanda,*,*,*,29
Wed,16:04:30,japan,rwanda,*,*,*,30
Wed,16:13:34,japan,rwanda,ec2-175-41-192-148.ap-northeast-1.compute.amazonaws.com,175.41.192.148,20,1
Wed,16:13:34,japan,rwanda,100.64.1.142,100.64.1.142,20,2
Wed,16:13:34,japan,rwanda,100.64.3.67,100.64.3.67,73,3
Wed,16:13:34,japan,rwanda,100.64.16.37,100.64.16.37,0,4
Wed,16:13:34,japan,rwanda,52.95.30.209,52.95.30.209,3,5
Wed,16:13:34,japan,rwanda,52.95.31.131,52.95.31.131,7,6
Wed,16:13:34,japan,rwanda,52.95.31.22,52.95.31.22,2,7
Wed,16:13:34,japan,rwanda,54.239.52.110,54.239.52.110,4,8
Wed,16:13:34,japan,rwanda,52.95.30.11,52.95.30.11,13,9
Wed,16:13:34,japan,rwanda,52.95.30.156,52.95.30.156,4,10
Wed,16:13:34,japan,rwanda,6939.tyo.equinix.com,203.190.230.40,5,11
Wed,16:13:34,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,75,12
Wed,16:13:34,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,208,13
Wed,16:13:34,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,225,14
Wed,16:13:34,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,242,15
Wed,16:13:34,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,234,16
Wed,16:13:34,japan,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,274,17
Wed,16:13:34,japan,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,362,18
Wed,16:13:34,japan,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,404,19
Wed,16:13:34,japan,rwanda,ten-0-2-1-0-p1-nbi.liquidtelecom.net,197.155.94.72,427,20
Wed,16:13:34,japan,rwanda,Teng0-0-1-1.lug-p1-kpl.liquidtelecom.net,197.155.94.69,421,21
Wed,16:13:34,japan,rwanda,197.155.94.149.liquidtelecom.net,197.155.94.149,432,22
Wed,16:13:34,japan,rwanda,197.155.94.165.liquidtelecom.net,197.155.94.165,429,23
Wed,16:13:34,japan,rwanda,41.223.224.211,41.223.224.211,428,24
Wed,16:13:34,japan,rwanda,197.243.126.30,197.243.126.30,430,25
Wed,16:13:34,japan,rwanda,*,*,*,26
Wed,16:13:34,japan,rwanda,*,*,*,27
Wed,16:13:34,japan,rwanda,197.243.126.166,197.243.126.166,423,28
Wed,16:13:34,japan,rwanda,*,*,*,29
Wed,16:13:34,japan,rwanda,*,*,*,30
Wed,16:21:42,japan,rwanda,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,18,1
Wed,16:21:42,japan,rwanda,100.64.0.140,100.64.0.140,14,2
Wed,16:21:42,japan,rwanda,100.64.3.3,100.64.3.3,20,3
Wed,16:21:42,japan,rwanda,100.64.16.65,100.64.16.65,0,4
Wed,16:21:42,japan,rwanda,52.95.30.221,52.95.30.221,3,5
Wed,16:21:42,japan,rwanda,52.95.31.133,52.95.31.133,9,6
Wed,16:21:42,japan,rwanda,52.95.31.24,52.95.31.24,2,7
Wed,16:21:42,japan,rwanda,54.239.52.112,54.239.52.112,6,8
Wed,16:21:42,japan,rwanda,52.95.30.23,52.95.30.23,10,9
Wed,16:21:42,japan,rwanda,52.95.30.136,52.95.30.136,6,10
Wed,16:21:42,japan,rwanda,218.100.6.74,218.100.6.74,5,11
Wed,16:21:42,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,71,12
Wed,16:21:42,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,208,13
Wed,16:21:42,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,218,14
Wed,16:21:42,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,232,15
Wed,16:21:42,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,228,16
Wed,16:21:42,japan,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,275,17
Wed,16:21:42,japan,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,362,18
Wed,16:21:42,japan,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,410,19
Wed,16:21:42,japan,rwanda,teng0-0-1-3-p1-nbi.liquidtelecom.net,197.155.94.10,429,20
Wed,16:21:42,japan,rwanda,Teng0-0-1-1.lug-p1-kpl.liquidtelecom.net,197.155.94.69,420,21
Wed,16:21:42,japan,rwanda,197.155.94.149.liquidtelecom.net,197.155.94.149,424,22
Wed,16:21:42,japan,rwanda,197.155.94.165.liquidtelecom.net,197.155.94.165,431,23
Wed,16:21:42,japan,rwanda,*,*,*,24
Wed,16:21:42,japan,rwanda,197.243.126.30,197.243.126.30,441,25
Wed,16:21:42,japan,rwanda,*,*,*,26
Wed,16:21:42,japan,rwanda,*,*,*,27
Wed,16:21:42,japan,rwanda,197.243.126.166,197.243.126.166,432,28
Wed,16:21:42,japan,rwanda,*,*,*,29
Wed,16:21:42,japan,rwanda,*,*,*,30
Wed,16:30:03,japan,rwanda,ec2-175-41-192-146.ap-northeast-1.compute.amazonaws.com,175.41.192.146,13,1
Wed,16:30:03,japan,rwanda,100.64.1.76,100.64.1.76,13,2
Wed,16:30:03,japan,rwanda,100.64.2.193,100.64.2.193,20,3
Wed,16:30:03,japan,rwanda,100.64.17.103,100.64.17.103,0,4
Wed,16:30:03,japan,rwanda,52.95.30.217,52.95.30.217,3,5
Wed,16:30:03,japan,rwanda,52.95.31.129,52.95.31.129,5,6
Wed,16:30:03,japan,rwanda,52.95.31.38,52.95.31.38,2,7
Wed,16:30:03,japan,rwanda,54.239.52.112,54.239.52.112,4,8
Wed,16:30:03,japan,rwanda,52.95.30.39,52.95.30.39,16,9
Wed,16:30:03,japan,rwanda,52.95.30.144,52.95.30.144,6,10
Wed,16:30:03,japan,rwanda,218.100.6.74,218.100.6.74,5,11
Wed,16:30:03,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,71,12
Wed,16:30:03,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,208,13
Wed,16:30:03,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,230,14
Wed,16:30:03,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,249,15
Wed,16:30:03,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,234,16
Wed,16:30:03,japan,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,259,17
Wed,16:30:03,japan,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,354,18
Wed,16:30:03,japan,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,410,19
Wed,16:30:03,japan,rwanda,197.155.94.168.liquidtelecom.net,197.155.94.168,434,20
Wed,16:30:03,japan,rwanda,teng0-0-1-2-p2-nbi.liquidtelecom.net,197.155.94.2,431,21
Wed,16:30:03,japan,rwanda,pos0-1-1-2-p1-dar.liquidtelecom.net,197.155.94.43,427,22
Wed,16:30:03,japan,rwanda,197.155.94.165.liquidtelecom.net,197.155.94.165,420,23
Wed,16:30:03,japan,rwanda,41.223.224.211,41.223.224.211,427,24
Wed,16:30:03,japan,rwanda,197.243.126.30,197.243.126.30,441,25
Wed,16:30:03,japan,rwanda,*,*,*,26
Wed,16:30:03,japan,rwanda,*,*,*,27
Wed,16:30:03,japan,rwanda,197.243.126.166,197.243.126.166,440,28
Wed,16:30:03,japan,rwanda,*,*,*,29
Wed,16:30:03,japan,rwanda,*,*,*,30
Wed,16:37:39,japan,rwanda,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,11,1
Wed,16:37:39,japan,rwanda,100.64.2.202,100.64.2.202,13,2
Wed,16:37:39,japan,rwanda,100.64.3.133,100.64.3.133,18,3
Wed,16:37:39,japan,rwanda,100.64.16.141,100.64.16.141,0,4
Wed,16:37:39,japan,rwanda,52.95.30.209,52.95.30.209,3,5
Wed,16:37:39,japan,rwanda,52.95.31.121,52.95.31.121,11,6
Wed,16:37:39,japan,rwanda,52.95.31.10,52.95.31.10,2,7
Wed,16:37:39,japan,rwanda,54.239.52.112,54.239.52.112,4,8
Wed,16:37:39,japan,rwanda,52.95.30.25,52.95.30.25,8,9
Wed,16:37:39,japan,rwanda,52.95.30.140,52.95.30.140,6,10
Wed,16:37:39,japan,rwanda,as6939.ix.jpix.ad.jp,210.171.224.40,8,11
Wed,16:37:39,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,72,12
Wed,16:37:39,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,208,13
Wed,16:37:39,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,219,14
Wed,16:37:39,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,253,15
Wed,16:37:39,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,235,16
Wed,16:37:39,japan,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,260,17
Wed,16:37:39,japan,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,359,18
Wed,16:37:39,japan,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,419,19
Wed,16:37:39,japan,rwanda,ten-0-2-1-0-p1-nbi.liquidtelecom.net,197.155.94.72,445,20
Wed,16:37:39,japan,rwanda,teng0-0-1-2-p2-nbi.liquidtelecom.net,197.155.94.2,440,21
Wed,16:37:39,japan,rwanda,pos0-1-1-2-p1-dar.liquidtelecom.net,197.155.94.43,437,22
Wed,16:37:39,japan,rwanda,197.155.94.165.liquidtelecom.net,197.155.94.165,436,23
Wed,16:37:39,japan,rwanda,41.223.224.211,41.223.224.211,435,24
Wed,16:37:39,japan,rwanda,197.243.126.30,197.243.126.30,437,25
Wed,16:37:39,japan,rwanda,*,*,*,26
Wed,16:37:39,japan,rwanda,*,*,*,27
Wed,16:37:39,japan,rwanda,197.243.126.166,197.243.126.166,431,28
Wed,16:37:39,japan,rwanda,*,*,*,29
Wed,16:37:39,japan,rwanda,*,*,*,30
Wed,16:45:14,japan,rwanda,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,15,1
Wed,16:45:14,japan,rwanda,100.64.2.136,100.64.2.136,17,2
Wed,16:45:14,japan,rwanda,100.64.1.65,100.64.1.65,15,3
Wed,16:45:14,japan,rwanda,100.64.17.169,100.64.17.169,0,4
Wed,16:45:14,japan,rwanda,52.95.30.217,52.95.30.217,3,5
Wed,16:45:14,japan,rwanda,52.95.31.125,52.95.31.125,3,6
Wed,16:45:14,japan,rwanda,52.95.31.34,52.95.31.34,2,7
Wed,16:45:14,japan,rwanda,54.239.52.112,54.239.52.112,6,8
Wed,16:45:14,japan,rwanda,52.95.30.39,52.95.30.39,10,9
Wed,16:45:14,japan,rwanda,52.95.30.190,52.95.30.190,7,10
Wed,16:45:14,japan,rwanda,as6939.ix.jpix.ad.jp,210.171.224.40,4,11
Wed,16:45:14,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,71,12
Wed,16:45:14,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,207,13
Wed,16:45:14,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,219,14
Wed,16:45:14,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,225,15
Wed,16:45:14,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,226,16
Wed,16:45:14,japan,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,258,17
Wed,16:45:14,japan,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,358,18
Wed,16:45:14,japan,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,414,19
Wed,16:45:14,japan,rwanda,197.155.94.168.liquidtelecom.net,197.155.94.168,443,20
Wed,16:45:14,japan,rwanda,teng0-1-1-0-p1-nbi.liquidtelecom.net,197.155.94.18,456,21
Wed,16:45:14,japan,rwanda,teng0-0-0-0.lug-p2-kgl.liquidtelecom.net,197.155.94.81,443,22
Wed,16:45:14,japan,rwanda,197.155.94.165.liquidtelecom.net,197.155.94.165,437,23
Wed,16:45:14,japan,rwanda,41.223.224.211,41.223.224.211,445,24
Wed,16:45:14,japan,rwanda,197.243.126.30,197.243.126.30,441,25
Wed,16:45:14,japan,rwanda,*,*,*,26
Wed,16:45:14,japan,rwanda,*,*,*,27
Wed,16:45:14,japan,rwanda,197.243.126.166,197.243.126.166,429,28
Wed,16:45:14,japan,rwanda,*,*,*,29
Wed,16:45:14,japan,rwanda,*,*,*,30
Wed,16:52:31,japan,rwanda,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,14,1
Wed,16:52:31,japan,rwanda,100.64.0.204,100.64.0.204,15,2
Wed,16:52:31,japan,rwanda,100.64.2.7,100.64.2.7,14,3
Wed,16:52:31,japan,rwanda,100.64.16.183,100.64.16.183,0,4
Wed,16:52:31,japan,rwanda,52.95.30.209,52.95.30.209,3,5
Wed,16:52:31,japan,rwanda,52.95.31.123,52.95.31.123,14,6
Wed,16:52:31,japan,rwanda,52.95.31.36,52.95.31.36,3,7
Wed,16:52:31,japan,rwanda,54.239.52.112,54.239.52.112,6,8
Wed,16:52:31,japan,rwanda,52.95.30.17,52.95.30.17,9,9
Wed,16:52:31,japan,rwanda,52.95.30.146,52.95.30.146,5,10
Wed,16:52:31,japan,rwanda,218.100.6.74,218.100.6.74,6,11
Wed,16:52:31,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,70,12
Wed,16:52:31,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,208,13
Wed,16:52:31,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,260,14
Wed,16:52:31,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,238,15
Wed,16:52:31,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,230,16
Wed,16:52:31,japan,rwanda,*,*,*,17
Wed,16:52:31,japan,rwanda,*,*,*,18
Wed,16:52:31,japan,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,418,19
Wed,16:52:31,japan,rwanda,197.155.94.168.liquidtelecom.net,197.155.94.168,439,20
Wed,16:52:31,japan,rwanda,Teng0-0-1-1.lug-p1-kpl.liquidtelecom.net,197.155.94.69,430,21
Wed,16:52:31,japan,rwanda,197.155.94.149.liquidtelecom.net,197.155.94.149,421,22
Wed,16:52:31,japan,rwanda,197.155.94.165.liquidtelecom.net,197.155.94.165,422,23
Wed,16:52:31,japan,rwanda,41.223.224.211,41.223.224.211,431,24
Wed,16:52:31,japan,rwanda,197.243.126.30,197.243.126.30,434,25
Wed,16:52:31,japan,rwanda,*,*,*,26
Wed,16:52:31,japan,rwanda,*,*,*,27
Wed,16:52:31,japan,rwanda,197.243.126.166,197.243.126.166,444,28
Wed,16:52:31,japan,rwanda,*,*,*,29
Wed,16:52:31,japan,rwanda,*,*,*,30
Wed,16:59:54,japan,rwanda,ec2-175-41-192-150.ap-northeast-1.compute.amazonaws.com,175.41.192.150,12,1
Wed,16:59:54,japan,rwanda,100.64.0.72,100.64.0.72,11,2
Wed,16:59:54,japan,rwanda,100.64.1.7,100.64.1.7,21,3
Wed,16:59:54,japan,rwanda,100.64.17.7,100.64.17.7,1,4
Wed,16:59:54,japan,rwanda,52.95.30.213,52.95.30.213,3,5
Wed,16:59:54,japan,rwanda,52.95.31.121,52.95.31.121,6,6
Wed,16:59:54,japan,rwanda,52.95.31.8,52.95.31.8,3,7
Wed,16:59:54,japan,rwanda,54.239.52.156,54.239.52.156,5,8
Wed,16:59:54,japan,rwanda,52.95.30.19,52.95.30.19,10,9
Wed,16:59:54,japan,rwanda,52.95.30.168,52.95.30.168,4,10
Wed,16:59:54,japan,rwanda,as6939.ix.jpix.ad.jp,210.171.224.40,6,11
Wed,16:59:54,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,76,12
Wed,16:59:54,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,209,13
Wed,16:59:54,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,221,14
Wed,16:59:54,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,226,15
Wed,16:59:54,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,232,16
Wed,16:59:54,japan,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,264,17
Wed,16:59:54,japan,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,350,18
Wed,16:59:54,japan,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,404,19
Wed,16:59:54,japan,rwanda,teng0-0-1-3-p1-nbi.liquidtelecom.net,197.155.94.10,427,20
Wed,16:59:54,japan,rwanda,teng0-0-1-2-p2-nbi.liquidtelecom.net,197.155.94.2,425,21
Wed,16:59:54,japan,rwanda,teng0-0-0-2.lug-p2-kpl.liquidtelecom.net,197.155.94.97,421,22
Wed,16:59:54,japan,rwanda,197.155.94.165.liquidtelecom.net,197.155.94.165,423,23
Wed,16:59:54,japan,rwanda,41.223.224.211,41.223.224.211,427,24
Wed,16:59:54,japan,rwanda,197.243.126.30,197.243.126.30,431,25
Wed,16:59:54,japan,rwanda,*,*,*,26
Wed,16:59:54,japan,rwanda,*,*,*,27
Wed,16:59:54,japan,rwanda,197.243.126.166,197.243.126.166,437,28
Wed,16:59:54,japan,rwanda,*,*,*,29
Wed,16:59:54,japan,rwanda,*,*,*,30
Wed,17:07:52,japan,rwanda,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,16,1
Wed,17:07:52,japan,rwanda,100.64.0.10,100.64.0.10,13,2
Wed,17:07:52,japan,rwanda,100.64.2.1,100.64.2.1,22,3
Wed,17:07:52,japan,rwanda,100.64.16.129,100.64.16.129,0,4
Wed,17:07:52,japan,rwanda,52.95.30.221,52.95.30.221,3,5
Wed,17:07:52,japan,rwanda,52.95.31.123,52.95.31.123,12,6
Wed,17:07:52,japan,rwanda,52.95.31.38,52.95.31.38,2,7
Wed,17:07:52,japan,rwanda,54.239.52.110,54.239.52.110,6,8
Wed,17:07:52,japan,rwanda,52.95.30.31,52.95.30.31,8,9
Wed,17:07:52,japan,rwanda,52.95.30.140,52.95.30.140,5,10
Wed,17:07:52,japan,rwanda,218.100.6.74,218.100.6.74,6,11
Wed,17:07:52,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,73,12
Wed,17:07:52,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,208,13
Wed,17:07:52,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,237,14
Wed,17:07:52,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,235,15
Wed,17:07:52,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,233,16
Wed,17:07:52,japan,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,274,17
Wed,17:07:52,japan,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,366,18
Wed,17:07:52,japan,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,419,19
Wed,17:07:52,japan,rwanda,teng0-0-1-3-p1-nbi.liquidtelecom.net,197.155.94.10,441,20
Wed,17:07:52,japan,rwanda,teng0-0-1-2-p2-nbi.liquidtelecom.net,197.155.94.2,438,21
Wed,17:07:52,japan,rwanda,teng0-0-0-2.lug-p2-kpl.liquidtelecom.net,197.155.94.97,422,22
Wed,17:07:52,japan,rwanda,197.155.94.165.liquidtelecom.net,197.155.94.165,424,23
Wed,17:07:52,japan,rwanda,41.223.224.211,41.223.224.211,427,24
Wed,17:07:52,japan,rwanda,197.243.126.30,197.243.126.30,427,25
Wed,17:07:52,japan,rwanda,*,*,*,26
Wed,17:07:52,japan,rwanda,*,*,*,27
Wed,17:07:52,japan,rwanda,197.243.126.166,197.243.126.166,436,28
Wed,17:07:52,japan,rwanda,*,*,*,29
Wed,17:07:52,japan,rwanda,*,*,*,30
Wed,17:16:03,japan,rwanda,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,16,1
Wed,17:16:03,japan,rwanda,100.64.0.74,100.64.0.74,21,2
Wed,17:16:03,japan,rwanda,100.64.1.69,100.64.1.69,14,3
Wed,17:16:03,japan,rwanda,100.64.16.7,100.64.16.7,1,4
Wed,17:16:03,japan,rwanda,52.95.30.221,52.95.30.221,3,5
Wed,17:16:03,japan,rwanda,52.95.31.125,52.95.31.125,6,6
Wed,17:16:03,japan,rwanda,52.95.31.28,52.95.31.28,3,7
Wed,17:16:03,japan,rwanda,54.239.52.110,54.239.52.110,4,8
Wed,17:16:03,japan,rwanda,52.95.30.13,52.95.30.13,9,9
Wed,17:16:03,japan,rwanda,52.95.30.144,52.95.30.144,8,10
Wed,17:16:03,japan,rwanda,gigabitethernet2-8.core1.tyo1.he.net,210.173.176.106,4,11
Wed,17:16:03,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,71,12
Wed,17:16:03,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,208,13
Wed,17:16:03,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,230,14
Wed,17:16:03,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,230,15
Wed,17:16:03,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,234,16
Wed,17:16:03,japan,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,257,17
Wed,17:16:03,japan,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,355,18
Wed,17:16:03,japan,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,409,19
Wed,17:16:03,japan,rwanda,197.155.94.168.liquidtelecom.net,197.155.94.168,434,20
Wed,17:16:03,japan,rwanda,Teng0-0-1-1.lug-p1-kpl.liquidtelecom.net,197.155.94.69,431,21
Wed,17:16:03,japan,rwanda,teng0-0-0-0.lug-p2-kgl.liquidtelecom.net,197.155.94.81,439,22
Wed,17:16:03,japan,rwanda,197.155.94.165.liquidtelecom.net,197.155.94.165,422,23
Wed,17:16:03,japan,rwanda,41.223.224.211,41.223.224.211,429,24
Wed,17:16:03,japan,rwanda,197.243.126.30,197.243.126.30,431,25
Wed,17:16:03,japan,rwanda,*,*,*,26
Wed,17:16:03,japan,rwanda,*,*,*,27
Wed,17:16:03,japan,rwanda,197.243.126.166,197.243.126.166,426,28
Wed,17:16:03,japan,rwanda,*,*,*,29
Wed,17:16:03,japan,rwanda,*,*,*,30
Wed,17:23:38,japan,rwanda,ec2-175-41-192-144.ap-northeast-1.compute.amazonaws.com,175.41.192.144,22,1
Wed,17:23:38,japan,rwanda,100.64.0.10,100.64.0.10,20,2
Wed,17:23:38,japan,rwanda,100.64.2.71,100.64.2.71,13,3
Wed,17:23:38,japan,rwanda,100.64.16.161,100.64.16.161,0,4
Wed,17:23:38,japan,rwanda,52.95.30.217,52.95.30.217,3,5
Wed,17:23:38,japan,rwanda,52.95.31.135,52.95.31.135,5,6
Wed,17:23:38,japan,rwanda,52.95.31.16,52.95.31.16,4,7
Wed,17:23:38,japan,rwanda,54.239.52.160,54.239.52.160,5,8
Wed,17:23:38,japan,rwanda,52.95.30.17,52.95.30.17,13,9
Wed,17:23:38,japan,rwanda,52.95.30.170,52.95.30.170,6,10
Wed,17:23:38,japan,rwanda,as6939.ix.jpix.ad.jp,210.171.224.40,5,11
Wed,17:23:38,japan,rwanda,100ge13-1.core1.sin1.he.net,184.105.64.253,72,12
Wed,17:23:38,japan,rwanda,100ge6-2.core2.mrs1.he.net,184.105.65.14,208,13
Wed,17:23:38,japan,rwanda,100ge4-2.core1.par2.he.net,184.105.222.21,220,14
Wed,17:23:38,japan,rwanda,100ge7-1.core1.lon2.he.net,184.105.223.253,256,15
Wed,17:23:38,japan,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,226,16
Wed,17:23:38,japan,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,258,17
