Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,20:01:42,oregon,algeria,ec2-50-112-0-118.us-west-2.compute.amazonaws.com,50.112.0.118,18,1
Fri,20:01:42,oregon,algeria,100.66.8.184,100.66.8.184,19,2
Fri,20:01:42,oregon,algeria,100.66.11.196,100.66.11.196,22,3
Fri,20:01:42,oregon,algeria,100.66.7.11,100.66.7.11,20,4
Fri,20:01:42,oregon,algeria,100.66.4.125,100.66.4.125,23,5
Fri,20:01:42,oregon,algeria,100.65.10.193,100.65.10.193,1,6
Fri,20:01:42,oregon,algeria,54.239.48.178,54.239.48.178,1,7
Fri,20:01:42,oregon,algeria,52.93.12.64,52.93.12.64,33,8
Fri,20:01:42,oregon,algeria,52.93.12.125,52.93.12.125,1,9
Fri,20:01:42,oregon,algeria,54.239.43.135,54.239.43.135,7,10
Fri,20:01:42,oregon,algeria,54.239.42.214,54.239.42.214,9,11
Fri,20:01:42,oregon,algeria,52.95.52.158,52.95.52.158,17,12
Fri,20:01:42,oregon,algeria,ae-9.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.185,8,13
Fri,20:01:42,oregon,algeria,ae-8.r04.sttlwa01.us.bb.gin.ntt.net,198.104.202.189,8,14
Fri,20:01:42,oregon,algeria,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,8,15
Fri,20:01:42,oregon,algeria,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,156,16
Fri,20:01:42,oregon,algeria,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,155,17
Fri,20:01:42,oregon,algeria,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,156,18
Fri,20:01:42,oregon,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,156,19
Fri,20:01:42,oregon,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,155,20
Fri,20:01:42,oregon,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,157,21
Fri,20:01:42,oregon,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,156,22
Fri,20:01:42,oregon,algeria,195.219.83.30,195.219.83.30,151,23
Fri,20:01:42,oregon,algeria,*,*,*,24
Fri,20:01:42,oregon,algeria,*,*,*,25
Fri,20:01:42,oregon,algeria,*,*,*,26
Fri,20:01:42,oregon,algeria,*,*,*,27
Fri,20:01:42,oregon,algeria,*,*,*,28
Fri,20:01:42,oregon,algeria,*,*,*,29
Fri,20:01:42,oregon,algeria,*,*,*,30
Fri,20:07:59,oregon,algeria,ec2-50-112-0-122.us-west-2.compute.amazonaws.com,50.112.0.122,14,1
Fri,20:07:59,oregon,algeria,100.66.8.42,100.66.8.42,18,2
Fri,20:07:59,oregon,algeria,100.66.10.76,100.66.10.76,18,3
Fri,20:07:59,oregon,algeria,100.66.7.205,100.66.7.205,14,4
Fri,20:07:59,oregon,algeria,100.66.4.97,100.66.4.97,18,5
Fri,20:07:59,oregon,algeria,100.65.9.193,100.65.9.193,1,6
Fri,20:07:59,oregon,algeria,52.93.13.72,52.93.13.72,3,7
Fri,20:07:59,oregon,algeria,52.93.12.136,52.93.12.136,31,8
Fri,20:07:59,oregon,algeria,52.93.12.231,52.93.12.231,4,9
Fri,20:07:59,oregon,algeria,54.239.43.137,54.239.43.137,10,10
Fri,20:07:59,oregon,algeria,54.239.43.131,54.239.43.131,10,11
Fri,20:07:59,oregon,algeria,52.95.52.147,52.95.52.147,10,12
Fri,20:07:59,oregon,algeria,ae-8.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.181,10,13
Fri,20:07:59,oregon,algeria,ae-13.r04.sttlwa01.us.bb.gin.ntt.net,129.250.201.165,9,14
Fri,20:07:59,oregon,algeria,ae-18.r05.sttlwa01.us.bb.gin.ntt.net,129.250.201.177,9,15
Fri,20:07:59,oregon,algeria,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,156,16
Fri,20:07:59,oregon,algeria,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,157,17
Fri,20:07:59,oregon,algeria,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,148,18
Fri,20:07:59,oregon,algeria,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,157,19
Fri,20:07:59,oregon,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,156,20
Fri,20:07:59,oregon,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,148,21
Fri,20:07:59,oregon,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,149,22
Fri,20:07:59,oregon,algeria,*,*,*,23
Fri,20:07:59,oregon,algeria,*,*,*,24
Fri,20:07:59,oregon,algeria,*,*,*,25
Fri,20:07:59,oregon,algeria,*,*,*,26
Fri,20:07:59,oregon,algeria,*,*,*,27
Fri,20:07:59,oregon,algeria,*,*,*,28
Fri,20:07:59,oregon,algeria,*,*,*,29
Fri,20:07:59,oregon,algeria,*,*,*,30
Fri,20:13:59,oregon,algeria,ec2-50-112-0-116.us-west-2.compute.amazonaws.com,50.112.0.116,11,1
Fri,20:13:59,oregon,algeria,100.66.8.198,100.66.8.198,16,2
Fri,20:13:59,oregon,algeria,100.66.11.238,100.66.11.238,14,3
Fri,20:13:59,oregon,algeria,100.66.6.139,100.66.6.139,13,4
Fri,20:13:59,oregon,algeria,100.66.4.203,100.66.4.203,19,5
Fri,20:13:59,oregon,algeria,100.65.9.1,100.65.9.1,0,6
Fri,20:13:59,oregon,algeria,52.93.15.220,52.93.15.220,1,7
Fri,20:13:59,oregon,algeria,52.93.13.54,52.93.13.54,2,8
Fri,20:13:59,oregon,algeria,52.93.12.91,52.93.12.91,1,9
Fri,20:13:59,oregon,algeria,52.93.15.87,52.93.15.87,9,10
Fri,20:13:59,oregon,algeria,54.239.42.216,54.239.42.216,8,11
Fri,20:13:59,oregon,algeria,52.95.52.126,52.95.52.126,62,12
Fri,20:13:59,oregon,algeria,52.95.52.251,52.95.52.251,8,13
Fri,20:13:59,oregon,algeria,ae-8.r04.sttlwa01.us.bb.gin.ntt.net,198.104.202.189,8,14
Fri,20:13:59,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,9,15
Fri,20:13:59,oregon,algeria,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,155,16
Fri,20:13:59,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,10,17
Fri,20:13:59,oregon,algeria,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,158,18
Fri,20:13:59,oregon,algeria,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,155,19
Fri,20:13:59,oregon,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,148,20
Fri,20:13:59,oregon,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,147,21
Fri,20:13:59,oregon,algeria,195.219.83.30,195.219.83.30,142,22
Fri,20:13:59,oregon,algeria,*,*,*,23
Fri,20:13:59,oregon,algeria,*,*,*,24
Fri,20:13:59,oregon,algeria,*,*,*,25
Fri,20:13:59,oregon,algeria,*,*,*,26
Fri,20:13:59,oregon,algeria,*,*,*,27
Fri,20:13:59,oregon,algeria,*,*,*,28
Fri,20:13:59,oregon,algeria,*,*,*,29
Fri,20:13:59,oregon,algeria,*,*,*,30
Fri,20:20:13,oregon,algeria,ec2-50-112-0-122.us-west-2.compute.amazonaws.com,50.112.0.122,13,1
Fri,20:20:13,oregon,algeria,100.66.8.74,100.66.8.74,21,2
Fri,20:20:13,oregon,algeria,100.66.10.32,100.66.10.32,13,3
Fri,20:20:13,oregon,algeria,100.66.6.225,100.66.6.225,14,4
Fri,20:20:13,oregon,algeria,100.66.4.207,100.66.4.207,19,5
Fri,20:20:13,oregon,algeria,100.65.9.193,100.65.9.193,0,6
Fri,20:20:13,oregon,algeria,52.93.13.72,52.93.13.72,1,7
Fri,20:20:13,oregon,algeria,52.93.12.100,52.93.12.100,15,8
Fri,20:20:13,oregon,algeria,52.93.12.197,52.93.12.197,2,9
Fri,20:20:13,oregon,algeria,54.239.43.121,54.239.43.121,8,10
Fri,20:20:13,oregon,algeria,54.239.42.216,54.239.42.216,8,11
Fri,20:20:13,oregon,algeria,52.95.52.232,52.95.52.232,15,12
Fri,20:20:13,oregon,algeria,52.95.52.45,52.95.52.45,8,13
Fri,20:20:13,oregon,algeria,ae-14.r04.sttlwa01.us.bb.gin.ntt.net,129.250.201.169,9,14
Fri,20:20:13,oregon,algeria,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,154,15
Fri,20:20:13,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,7,16
Fri,20:20:13,oregon,algeria,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,158,17
Fri,20:20:13,oregon,algeria,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,147,18
Fri,20:20:13,oregon,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,155,19
Fri,20:20:13,oregon,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,147,20
Fri,20:20:13,oregon,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,156,21
