Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,20:01:58,oregon,angola,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,15,1
Fri,20:01:58,oregon,angola,100.66.8.144,100.66.8.144,19,2
Fri,20:01:58,oregon,angola,100.66.11.100,100.66.11.100,18,3
Fri,20:01:58,oregon,angola,100.66.7.165,100.66.7.165,12,4
Fri,20:01:58,oregon,angola,100.66.4.53,100.66.4.53,12,5
Fri,20:01:58,oregon,angola,100.65.11.1,100.65.11.1,0,6
Fri,20:01:58,oregon,angola,52.93.15.216,52.93.15.216,1,7
Fri,20:01:58,oregon,angola,52.93.13.60,52.93.13.60,2,8
Fri,20:01:58,oregon,angola,52.93.12.195,52.93.12.195,1,9
Fri,20:01:58,oregon,angola,54.239.43.119,54.239.43.119,6,10
Fri,20:01:58,oregon,angola,52.95.52.92,52.95.52.92,16,11
Fri,20:01:58,oregon,angola,52.95.52.147,52.95.52.147,7,12
Fri,20:01:58,oregon,angola,52.95.52.251,52.95.52.251,8,13
Fri,20:01:58,oregon,angola,ae-9.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.185,9,14
Fri,20:01:58,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,15
Fri,20:01:58,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,185,16
Fri,20:01:58,oregon,angola,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,180,17
Fri,20:01:58,oregon,angola,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,192,18
Fri,20:01:58,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,187,19
Fri,20:01:58,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,189,20
Fri,20:01:58,oregon,angola,if-ae-17-2.tcore1.L78-London.as6453.net,80.231.130.129,181,21
Fri,20:01:58,oregon,angola,if-ae-19-2.tcore1.SV8-Highbridge.as6453.net,80.231.138.21,186,22
Fri,20:01:58,oregon,angola,if-ae-17-2.tcore1.L78-London.as6453.net,80.231.130.129,191,23
Fri,20:01:58,oregon,angola,if-ae-2-2.tcore2.PV9-Lisbon.as6453.net,80.231.158.6,178,24
Fri,20:01:58,oregon,angola,if-ae-10-4.tcore1.WV6-Madrid.as6453.net,80.231.91.105,191,25
Fri,20:01:58,oregon,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,268,26
Fri,20:01:58,oregon,angola,80.231.159.26,80.231.159.26,176,27
Fri,20:01:58,oregon,angola,197.149.148.237,197.149.148.237,280,28
Fri,20:01:58,oregon,angola,p2-nc024.ang.lad.as37468.angolacables.ao,185.148.112.21,283,29
Fri,20:01:58,oregon,angola,197.149.148.237,197.149.148.237,280,30
Fri,20:08:13,oregon,angola,ec2-50-112-0-124.us-west-2.compute.amazonaws.com,50.112.0.124,15,1
Fri,20:08:13,oregon,angola,100.66.8.152,100.66.8.152,21,2
Fri,20:08:13,oregon,angola,100.66.10.64,100.66.10.64,18,3
Fri,20:08:13,oregon,angola,100.66.7.47,100.66.7.47,17,4
Fri,20:08:13,oregon,angola,100.66.4.65,100.66.4.65,55,5
Fri,20:08:13,oregon,angola,100.65.11.193,100.65.11.193,0,6
Fri,20:08:13,oregon,angola,52.93.15.218,52.93.15.218,1,7
