Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,20:02:16,oregon,ghana,ec2-50-112-0-124.us-west-2.compute.amazonaws.com,50.112.0.124,12,1
Fri,20:02:16,oregon,ghana,100.66.8.64,100.66.8.64,36,2
Fri,20:02:16,oregon,ghana,100.66.10.102,100.66.10.102,18,3
Fri,20:02:16,oregon,ghana,100.66.6.79,100.66.6.79,13,4
Fri,20:02:16,oregon,ghana,100.66.4.9,100.66.4.9,14,5
Fri,20:02:16,oregon,ghana,100.65.8.1,100.65.8.1,5,6
Fri,20:02:16,oregon,ghana,52.93.15.216,52.93.15.216,1,7
Fri,20:02:16,oregon,ghana,52.93.12.244,52.93.12.244,2,8
Fri,20:02:16,oregon,ghana,52.93.12.91,52.93.12.91,1,9
Fri,20:02:16,oregon,ghana,54.239.43.135,54.239.43.135,8,10
Fri,20:02:16,oregon,ghana,54.239.42.216,54.239.42.216,8,11
Fri,20:02:16,oregon,ghana,54.239.42.214,54.239.42.214,8,12
Fri,20:02:16,oregon,ghana,ae-18.r05.sttlwa01.us.bb.gin.ntt.net,129.250.201.177,9,13
Fri,20:02:16,oregon,ghana,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,7,14
Fri,20:02:16,oregon,ghana,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,8,15
Fri,20:02:16,oregon,ghana,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,16
Fri,20:02:16,oregon,ghana,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,147,17
Fri,20:02:16,oregon,ghana,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,140,18
Fri,20:02:16,oregon,ghana,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,149,19
Fri,20:02:16,oregon,ghana,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,150,20
Fri,20:02:16,oregon,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,148,21
Fri,20:02:16,oregon,ghana,195.219.195.42,195.219.195.42,236,22
Fri,20:02:16,oregon,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,248,23
Fri,20:02:16,oregon,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,237,24
Fri,20:02:16,oregon,ghana,197.255.127.2,197.255.127.2,248,25
Fri,20:02:16,oregon,ghana,197.255.127.35,197.255.127.35,240,26
Fri,20:02:16,oregon,ghana,197.255.125.213,197.255.125.213,250,27
Fri,20:08:32,oregon,ghana,ec2-50-112-0-118.us-west-2.compute.amazonaws.com,50.112.0.118,13,1
Fri,20:08:32,oregon,ghana,100.66.8.144,100.66.8.144,12,2
Fri,20:08:32,oregon,ghana,100.66.10.170,100.66.10.170,14,3
Fri,20:08:32,oregon,ghana,100.66.7.77,100.66.7.77,17,4
Fri,20:08:32,oregon,ghana,100.66.4.165,100.66.4.165,14,5
Fri,20:08:32,oregon,ghana,100.65.11.1,100.65.11.1,0,6
Fri,20:08:32,oregon,ghana,52.93.15.216,52.93.15.216,1,7
