Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,20:02:25,oregon,kenya,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,14,1
Fri,20:02:25,oregon,kenya,100.66.8.10,100.66.8.10,27,2
Fri,20:02:25,oregon,kenya,100.66.10.68,100.66.10.68,21,3
Fri,20:02:25,oregon,kenya,100.66.7.35,100.66.7.35,16,4
Fri,20:02:25,oregon,kenya,100.66.4.13,100.66.4.13,17,5
Fri,20:02:25,oregon,kenya,100.65.10.161,100.65.10.161,5,6
Fri,20:02:25,oregon,kenya,52.93.15.216,52.93.15.216,1,7
Fri,20:02:25,oregon,kenya,52.93.12.208,52.93.12.208,7,8
Fri,20:02:25,oregon,kenya,52.93.12.117,52.93.12.117,1,9
Fri,20:02:25,oregon,kenya,54.239.43.137,54.239.43.137,8,10
Fri,20:02:25,oregon,kenya,54.239.43.129,54.239.43.129,8,11
Fri,20:02:25,oregon,kenya,54.239.42.214,54.239.42.214,9,12
Fri,20:02:25,oregon,kenya,52.95.52.119,52.95.52.119,9,13
Fri,20:02:25,oregon,kenya,ae-18.r05.sttlwa01.us.bb.gin.ntt.net,129.250.201.177,9,14
Fri,20:02:25,oregon,kenya,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,8,15
Fri,20:02:25,oregon,kenya,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,266,16
Fri,20:02:25,oregon,kenya,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,258,17
Fri,20:02:25,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,266,18
Fri,20:02:25,oregon,kenya,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,258,19
Fri,20:02:25,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,267,20
Fri,20:02:25,oregon,kenya,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,273,21
Fri,20:02:25,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,168,22
Fri,20:02:25,oregon,kenya,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,268,23
Fri,20:02:25,oregon,kenya,if-ge-10-0-0.core1.N71-Fujairah.as6453.net,195.219.174.128,259,24
Fri,20:02:25,oregon,kenya,195.219.174.134,195.219.174.134,309,25
Fri,20:02:25,oregon,kenya,196.201.222.89,196.201.222.89,303,26
Fri,20:02:25,oregon,kenya,196.201.222.89,196.201.222.89,296,27
Fri,20:02:25,oregon,kenya,*,*,*,28
Fri,20:02:25,oregon,kenya,*,*,*,29
Fri,20:02:25,oregon,kenya,*,*,*,30
Fri,20:08:43,oregon,kenya,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,13,1
Fri,20:08:43,oregon,kenya,100.66.8.48,100.66.8.48,15,2
Fri,20:08:43,oregon,kenya,100.66.10.4,100.66.10.4,12,3
Fri,20:08:43,oregon,kenya,100.66.7.35,100.66.7.35,19,4
Fri,20:08:43,oregon,kenya,100.66.4.253,100.66.4.253,17,5
Fri,20:08:43,oregon,kenya,100.65.11.65,100.65.11.65,0,6
Fri,20:08:43,oregon,kenya,52.93.15.218,52.93.15.218,1,7
Fri,20:08:43,oregon,kenya,52.93.12.238,52.93.12.238,37,8
Fri,20:08:43,oregon,kenya,52.93.12.81,52.93.12.81,1,9
Fri,20:08:43,oregon,kenya,54.239.43.137,54.239.43.137,8,10
Fri,20:08:43,oregon,kenya,54.239.42.222,54.239.42.222,8,11
Fri,20:08:43,oregon,kenya,52.95.53.6,52.95.53.6,10,12
Fri,20:08:43,oregon,kenya,52.95.52.17,52.95.52.17,9,13
Fri,20:08:43,oregon,kenya,ae-14.r04.sttlwa01.us.bb.gin.ntt.net,129.250.201.169,9,14
Fri,20:08:43,oregon,kenya,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,8,15
Fri,20:08:43,oregon,kenya,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,268,16
Fri,20:08:43,oregon,kenya,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,267,17
Fri,20:08:43,oregon,kenya,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,268,18
Fri,20:08:43,oregon,kenya,*,*,*,19
Fri,20:08:43,oregon,kenya,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,259,20
Fri,20:08:43,oregon,kenya,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,260,21
Fri,20:08:43,oregon,kenya,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,269,22
Fri,20:08:43,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,174,23
Fri,20:08:43,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,168,24
Fri,20:08:43,oregon,kenya,if-ge-10-0-0.core1.N71-Fujairah.as6453.net,195.219.174.128,259,25
Fri,20:08:43,oregon,kenya,195.219.174.134,195.219.174.134,312,26
Fri,20:08:43,oregon,kenya,196.201.222.166,196.201.222.166,301,27
Fri,20:08:43,oregon,kenya,*,*,*,28
