Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,17:34:33,oregon,algeria,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,17,1
Thu,17:34:33,oregon,algeria,100.66.8.192,100.66.8.192,19,2
Thu,17:34:33,oregon,algeria,100.66.10.198,100.66.10.198,18,3
Thu,17:34:33,oregon,algeria,100.66.6.73,100.66.6.73,19,4
Thu,17:34:33,oregon,algeria,100.66.4.5,100.66.4.5,352,5
Thu,17:34:33,oregon,algeria,100.65.8.65,100.65.8.65,0,6
Thu,17:34:33,oregon,algeria,52.93.15.218,52.93.15.218,1,7
Thu,17:34:33,oregon,algeria,52.93.12.100,52.93.12.100,3,8
Thu,17:34:33,oregon,algeria,52.93.12.85,52.93.12.85,1,9
Thu,17:34:33,oregon,algeria,54.239.43.125,54.239.43.125,6,10
Thu,17:34:33,oregon,algeria,52.95.52.96,52.95.52.96,12,11
Thu,17:34:33,oregon,algeria,52.95.52.219,52.95.52.219,8,12
Thu,17:34:33,oregon,algeria,52.95.52.51,52.95.52.51,10,13
Thu,17:34:33,oregon,algeria,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,7,14
Thu,17:34:33,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,15
Thu,17:34:33,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,9,16
Thu,17:34:33,oregon,algeria,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,149,17
Thu,17:34:33,oregon,algeria,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,147,18
Thu,17:34:33,oregon,algeria,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,150,19
Thu,17:34:33,oregon,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,140,20
Thu,17:34:33,oregon,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,149,21
Thu,17:34:33,oregon,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,142,22
Thu,17:34:33,oregon,algeria,*,*,*,23
Thu,17:34:33,oregon,algeria,*,*,*,24
Thu,17:34:33,oregon,algeria,*,*,*,25
Thu,17:34:33,oregon,algeria,*,*,*,26
Thu,17:34:33,oregon,algeria,*,*,*,27
Thu,17:34:33,oregon,algeria,*,*,*,28
Thu,17:34:33,oregon,algeria,*,*,*,29
Thu,17:34:33,oregon,algeria,*,*,*,30
Thu,17:41:12,oregon,algeria,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,14,1
Thu,17:41:12,oregon,algeria,100.66.8.26,100.66.8.26,17,2
Thu,17:41:12,oregon,algeria,100.66.11.200,100.66.11.200,13,3
Thu,17:41:12,oregon,algeria,100.66.7.129,100.66.7.129,13,4
Thu,17:41:12,oregon,algeria,100.66.4.125,100.66.4.125,21,5
Thu,17:41:12,oregon,algeria,100.65.9.161,100.65.9.161,0,6
Thu,17:41:12,oregon,algeria,52.93.13.72,52.93.13.72,1,7
Thu,17:41:12,oregon,algeria,52.93.12.238,52.93.12.238,45,8
Thu,17:41:12,oregon,algeria,52.93.12.235,52.93.12.235,3,9
Thu,17:41:12,oregon,algeria,54.239.43.137,54.239.43.137,9,10
Thu,17:41:12,oregon,algeria,52.95.52.130,52.95.52.130,12,11
Thu,17:41:12,oregon,algeria,52.95.52.22,52.95.52.22,11,12
Thu,17:41:12,oregon,algeria,52.95.52.230,52.95.52.230,14,13
Thu,17:41:12,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,14
Thu,17:41:12,oregon,algeria,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,148,15
Thu,17:41:12,oregon,algeria,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,148,16
