Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,17:35:22,oregon,japan,ec2-50-112-0-122.us-west-2.compute.amazonaws.com,50.112.0.122,18,1
Thu,17:35:22,oregon,japan,100.66.8.252,100.66.8.252,19,2
Thu,17:35:22,oregon,japan,100.66.11.172,100.66.11.172,18,3
Thu,17:35:22,oregon,japan,100.66.6.233,100.66.6.233,20,4
Thu,17:35:22,oregon,japan,100.66.4.153,100.66.4.153,16,5
Thu,17:35:22,oregon,japan,100.65.11.225,100.65.11.225,0,6
Thu,17:35:22,oregon,japan,52.93.15.222,52.93.15.222,96,7
Thu,17:35:22,oregon,japan,52.93.12.166,52.93.12.166,106,8
Thu,17:35:22,oregon,japan,52.93.12.87,52.93.12.87,96,9
Thu,17:35:22,oregon,japan,54.239.43.133,54.239.43.133,96,10
Thu,17:35:22,oregon,japan,54.239.41.160,54.239.41.160,97,11
Thu,17:35:22,oregon,japan,54.239.53.13,54.239.53.13,103,12
Thu,17:35:22,oregon,japan,54.239.53.134,54.239.53.134,97,13
Thu,17:35:22,oregon,japan,54.239.53.127,54.239.53.127,111,14
Thu,17:35:22,oregon,japan,54.239.53.26,54.239.53.26,105,15
Thu,17:35:22,oregon,japan,54.239.52.141,54.239.52.141,105,16
Thu,17:35:22,oregon,japan,52.95.31.13,52.95.31.13,109,17
Thu,17:35:22,oregon,japan,52.95.31.130,52.95.31.130,105,18
Thu,17:35:22,oregon,japan,52.95.30.212,52.95.30.212,105,19
Thu,17:35:22,oregon,japan,100.64.16.160,100.64.16.160,125,20
Thu,17:35:22,oregon,japan,100.64.2.2,100.64.2.2,121,21
Thu,17:35:22,oregon,japan,100.64.3.139,100.64.3.139,155,22
Thu,17:35:22,oregon,japan,ec2-52-192-1-165.ap-northeast-1.compute.amazonaws.com,52.192.1.165,104,23
Thu,17:42:04,oregon,japan,ec2-50-112-0-124.us-west-2.compute.amazonaws.com,50.112.0.124,22,1
Thu,17:42:04,oregon,japan,100.66.8.198,100.66.8.198,19,2
Thu,17:42:04,oregon,japan,100.66.11.192,100.66.11.192,14,3
Thu,17:42:04,oregon,japan,100.66.7.97,100.66.7.97,16,4
Thu,17:42:04,oregon,japan,100.66.4.113,100.66.4.113,21,5
Thu,17:42:04,oregon,japan,100.65.9.225,100.65.9.225,0,6
Thu,17:42:04,oregon,japan,54.239.48.176,54.239.48.176,96,7
Thu,17:42:04,oregon,japan,52.93.12.64,52.93.12.64,106,8
Thu,17:42:04,oregon,japan,52.93.12.87,52.93.12.87,96,9
Thu,17:42:04,oregon,japan,54.239.43.133,54.239.43.133,98,10
Thu,17:42:04,oregon,japan,54.239.41.160,54.239.41.160,96,11
Thu,17:42:04,oregon,japan,54.239.53.21,54.239.53.21,100,12
Thu,17:42:04,oregon,japan,54.239.53.108,54.239.53.108,96,13
Thu,17:42:04,oregon,japan,54.239.53.77,54.239.53.77,106,14
Thu,17:42:04,oregon,japan,54.239.53.14,54.239.53.14,105,15
Thu,17:42:04,oregon,japan,27.0.0.249,27.0.0.249,105,16
Thu,17:42:04,oregon,japan,52.95.31.9,52.95.31.9,110,17
Thu,17:42:04,oregon,japan,52.95.31.124,52.95.31.124,105,18
Thu,17:42:04,oregon,japan,52.95.30.216,52.95.30.216,105,19
Thu,17:42:04,oregon,japan,100.64.17.130,100.64.17.130,120,20
Thu,17:42:04,oregon,japan,100.64.0.198,100.64.0.198,118,21
Thu,17:42:04,oregon,japan,100.64.1.137,100.64.1.137,976,22
Thu,17:42:04,oregon,japan,ec2-52-192-1-165.ap-northeast-1.compute.amazonaws.com,52.192.1.165,105,23
Thu,17:48:45,oregon,japan,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,17,1
Thu,17:48:45,oregon,japan,100.66.8.236,100.66.8.236,17,2
Thu,17:48:45,oregon,japan,100.66.10.70,100.66.10.70,13,3
Thu,17:48:45,oregon,japan,100.66.6.109,100.66.6.109,15,4
Thu,17:48:45,oregon,japan,100.66.4.217,100.66.4.217,56,5
Thu,17:48:45,oregon,japan,100.65.11.97,100.65.11.97,0,6
Thu,17:48:45,oregon,japan,54.239.48.178,54.239.48.178,96,7
Thu,17:48:45,oregon,japan,52.93.12.208,52.93.12.208,132,8
Thu,17:48:45,oregon,japan,52.93.12.123,52.93.12.123,96,9
Thu,17:48:45,oregon,japan,54.239.43.133,54.239.43.133,96,10
Thu,17:48:45,oregon,japan,54.239.41.160,54.239.41.160,96,11
Thu,17:48:45,oregon,japan,54.239.53.11,54.239.53.11,105,12
Thu,17:48:45,oregon,japan,54.239.53.106,54.239.53.106,96,13
Thu,17:48:45,oregon,japan,54.239.53.109,54.239.53.109,108,14
Thu,17:48:45,oregon,japan,54.239.53.20,54.239.53.20,105,15
Thu,17:48:45,oregon,japan,27.0.0.249,27.0.0.249,104,16
Thu,17:48:45,oregon,japan,52.95.31.35,52.95.31.35,113,17
Thu,17:48:45,oregon,japan,52.95.31.130,52.95.31.130,105,18
Thu,17:48:45,oregon,japan,52.95.30.212,52.95.30.212,105,19
Thu,17:48:45,oregon,japan,100.64.17.150,100.64.17.150,118,20
Thu,17:48:45,oregon,japan,100.64.1.194,100.64.1.194,135,21
Thu,17:48:45,oregon,japan,100.64.0.205,100.64.0.205,117,22
Thu,17:48:45,oregon,japan,ec2-52-192-1-165.ap-northeast-1.compute.amazonaws.com,52.192.1.165,104,23
Thu,17:55:23,oregon,japan,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,17,1
Thu,17:55:23,oregon,japan,100.66.8.98,100.66.8.98,14,2
Thu,17:55:23,oregon,japan,100.66.10.228,100.66.10.228,16,3
Thu,17:55:23,oregon,japan,100.66.7.225,100.66.7.225,12,4
