Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,17:35:15,oregon,kenya,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,15,1
Thu,17:35:15,oregon,kenya,100.66.8.210,100.66.8.210,16,2
Thu,17:35:15,oregon,kenya,100.66.11.224,100.66.11.224,21,3
Thu,17:35:15,oregon,kenya,100.66.7.197,100.66.7.197,18,4
Thu,17:35:15,oregon,kenya,100.66.4.51,100.66.4.51,12,5
Thu,17:35:15,oregon,kenya,100.65.8.225,100.65.8.225,0,6
Thu,17:35:15,oregon,kenya,52.93.15.218,52.93.15.218,1,7
Thu,17:35:15,oregon,kenya,52.93.12.244,52.93.12.244,3,8
Thu,17:35:15,oregon,kenya,52.93.13.5,52.93.13.5,1,9
Thu,17:35:15,oregon,kenya,54.239.42.195,54.239.42.195,8,10
Thu,17:35:15,oregon,kenya,52.95.53.144,52.95.53.144,11,11
Thu,17:35:15,oregon,kenya,52.95.53.130,52.95.53.130,9,12
Thu,17:35:15,oregon,kenya,52.95.52.253,52.95.52.253,8,13
Thu,17:35:15,oregon,kenya,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,7,14
Thu,17:35:15,oregon,kenya,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,252,15
Thu,17:35:15,oregon,kenya,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,253,16
Thu,17:35:15,oregon,kenya,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,253,17
Thu,17:35:15,oregon,kenya,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,253,18
Thu,17:35:15,oregon,kenya,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,253,19
Thu,17:35:15,oregon,kenya,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,254,20
Thu,17:35:15,oregon,kenya,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,263,21
Thu,17:35:15,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,255,22
Thu,17:35:15,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,163,23
Thu,17:35:15,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,255,24
Thu,17:35:15,oregon,kenya,195.219.174.134,195.219.174.134,308,25
Thu,17:35:15,oregon,kenya,195.219.174.134,195.219.174.134,313,26
Thu,17:35:15,oregon,kenya,*,*,*,27
Thu,17:35:15,oregon,kenya,*,*,*,28
Thu,17:35:15,oregon,kenya,*,*,*,29
Thu,17:35:15,oregon,kenya,*,*,*,30
Thu,17:41:57,oregon,kenya,ec2-50-112-0-124.us-west-2.compute.amazonaws.com,50.112.0.124,9,1
Thu,17:41:57,oregon,kenya,100.66.8.186,100.66.8.186,19,2
Thu,17:41:57,oregon,kenya,100.66.11.192,100.66.11.192,20,3
Thu,17:41:57,oregon,kenya,100.66.6.67,100.66.6.67,24,4
Thu,17:41:57,oregon,kenya,100.66.4.107,100.66.4.107,17,5
Thu,17:41:57,oregon,kenya,100.65.9.193,100.65.9.193,0,6
Thu,17:41:57,oregon,kenya,52.93.13.74,52.93.13.74,1,7
Thu,17:41:57,oregon,kenya,52.93.12.238,52.93.12.238,3,8
Thu,17:41:57,oregon,kenya,52.93.12.163,52.93.12.163,1,9
Thu,17:41:57,oregon,kenya,54.239.43.121,54.239.43.121,8,10
Thu,17:41:57,oregon,kenya,54.239.42.224,54.239.42.224,8,11
Thu,17:41:57,oregon,kenya,52.95.52.187,52.95.52.187,7,12
Thu,17:41:57,oregon,kenya,52.95.52.147,52.95.52.147,8,13
Thu,17:41:57,oregon,kenya,ae-14.r04.sttlwa01.us.bb.gin.ntt.net,129.250.201.169,8,14
Thu,17:41:57,oregon,kenya,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,8,15
Thu,17:41:57,oregon,kenya,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,9,16
Thu,17:41:57,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,265,17
Thu,17:41:57,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,265,18
Thu,17:41:57,oregon,kenya,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,254,19
Thu,17:41:57,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,267,20
Thu,17:41:57,oregon,kenya,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,263,21
Thu,17:41:57,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,265,22
Thu,17:41:57,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,162,23
Thu,17:41:57,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,255,24
Thu,17:41:57,oregon,kenya,196.201.222.89,196.201.222.89,295,25
Thu,17:41:57,oregon,kenya,196.201.222.89,196.201.222.89,295,26
Thu,17:41:57,oregon,kenya,196.201.222.166,196.201.222.166,309,27
Thu,17:41:57,oregon,kenya,196.201.222.166,196.201.222.166,309,28
Thu,17:41:57,oregon,kenya,*,*,*,29
Thu,17:41:57,oregon,kenya,*,*,*,30
Thu,17:48:37,oregon,kenya,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,13,1
Thu,17:48:37,oregon,kenya,100.66.8.218,100.66.8.218,12,2
Thu,17:48:37,oregon,kenya,100.66.11.106,100.66.11.106,13,3
Thu,17:48:37,oregon,kenya,100.66.6.39,100.66.6.39,20,4
Thu,17:48:37,oregon,kenya,100.66.4.85,100.66.4.85,15,5
Thu,17:48:37,oregon,kenya,100.65.11.225,100.65.11.225,0,6
Thu,17:48:37,oregon,kenya,52.93.15.216,52.93.15.216,1,7
Thu,17:48:37,oregon,kenya,52.93.12.166,52.93.12.166,26,8
Thu,17:48:37,oregon,kenya,52.93.12.195,52.93.12.195,1,9
Thu,17:48:37,oregon,kenya,54.239.43.125,54.239.43.125,7,10
Thu,17:48:37,oregon,kenya,52.95.53.136,52.95.53.136,8,11
Thu,17:48:37,oregon,kenya,52.95.53.138,52.95.53.138,17,12
Thu,17:48:37,oregon,kenya,ae-18.r05.sttlwa01.us.bb.gin.ntt.net,129.250.201.177,7,13
Thu,17:48:37,oregon,kenya,ae-18.r05.sttlwa01.us.bb.gin.ntt.net,129.250.201.177,8,14
Thu,17:48:37,oregon,kenya,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,8,15
Thu,17:48:37,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,264,16
Thu,17:48:37,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,263,17
Thu,17:48:37,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,264,18
Thu,17:48:37,oregon,kenya,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,253,19
Thu,17:48:37,oregon,kenya,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,262,20
Thu,17:48:37,oregon,kenya,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,256,21
Thu,17:48:37,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,263,22
Thu,17:48:37,oregon,kenya,if-ge-2-0-0.core1.N71-Fujairah.as6453.net,195.219.174.26,253,23
Thu,17:48:37,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,171,24
Thu,17:48:37,oregon,kenya,if-ge-2-0-0.core1.N71-Fujairah.as6453.net,195.219.174.26,262,25
Thu,17:48:37,oregon,kenya,196.201.222.89,196.201.222.89,302,26
Thu,17:48:37,oregon,kenya,196.201.222.89,196.201.222.89,294,27
Thu,17:48:37,oregon,kenya,*,*,*,28
Thu,17:48:37,oregon,kenya,*,*,*,29
Thu,17:48:37,oregon,kenya,*,*,*,30
Thu,17:55:16,oregon,kenya,ec2-50-112-0-122.us-west-2.compute.amazonaws.com,50.112.0.122,18,1
Thu,17:55:16,oregon,kenya,100.66.8.184,100.66.8.184,19,2
Thu,17:55:16,oregon,kenya,100.66.11.174,100.66.11.174,19,3
Thu,17:55:16,oregon,kenya,100.66.6.203,100.66.6.203,15,4
Thu,17:55:16,oregon,kenya,100.66.4.193,100.66.4.193,19,5
Thu,17:55:16,oregon,kenya,100.65.10.33,100.65.10.33,1,6
Thu,17:55:16,oregon,kenya,52.93.13.72,52.93.13.72,1,7
Thu,17:55:16,oregon,kenya,52.93.13.54,52.93.13.54,3,8
Thu,17:55:16,oregon,kenya,52.93.12.161,52.93.12.161,1,9
Thu,17:55:16,oregon,kenya,54.239.43.129,54.239.43.129,7,10
Thu,17:55:16,oregon,kenya,54.239.42.216,54.239.42.216,8,11
Thu,17:55:16,oregon,kenya,52.95.53.136,52.95.53.136,8,12
Thu,17:55:16,oregon,kenya,52.95.52.183,52.95.52.183,7,13
Thu,17:55:16,oregon,kenya,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,7,14
Thu,17:55:16,oregon,kenya,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,9,15
Thu,17:55:16,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,264,16
Thu,17:55:16,oregon,kenya,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,253,17
Thu,17:55:16,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,265,18
Thu,17:55:16,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,265,19
Thu,17:55:16,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,265,20
Thu,17:55:16,oregon,kenya,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,256,21
Thu,17:55:16,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,255,22
Thu,17:55:16,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,170,23
Thu,17:55:16,oregon,kenya,195.219.174.134,195.219.174.134,315,24
Thu,17:55:16,oregon,kenya,196.201.222.89,196.201.222.89,294,25
Thu,17:55:16,oregon,kenya,195.219.174.134,195.219.174.134,307,26
Thu,17:55:16,oregon,kenya,196.201.222.166,196.201.222.166,301,27
Thu,17:55:16,oregon,kenya,196.201.222.166,196.201.222.166,301,28
Thu,17:55:16,oregon,kenya,*,*,*,29
Thu,17:55:16,oregon,kenya,*,*,*,30
Thu,18:01:55,oregon,kenya,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,13,1
Thu,18:01:55,oregon,kenya,100.66.8.124,100.66.8.124,17,2
Thu,18:01:55,oregon,kenya,100.66.10.42,100.66.10.42,21,3
Thu,18:01:55,oregon,kenya,100.66.6.201,100.66.6.201,20,4
Thu,18:01:55,oregon,kenya,100.66.4.147,100.66.4.147,20,5
Thu,18:01:55,oregon,kenya,100.65.10.65,100.65.10.65,0,6
Thu,18:01:55,oregon,kenya,52.93.13.72,52.93.13.72,1,7
Thu,18:01:55,oregon,kenya,52.93.12.244,52.93.12.244,3,8
Thu,18:01:55,oregon,kenya,52.93.12.87,52.93.12.87,1,9
Thu,18:01:55,oregon,kenya,54.239.43.131,54.239.43.131,8,10
Thu,18:01:55,oregon,kenya,54.239.42.214,54.239.42.214,9,11
Thu,18:01:55,oregon,kenya,52.95.52.130,52.95.52.130,10,12
Thu,18:01:55,oregon,kenya,52.95.52.219,52.95.52.219,10,13
Thu,18:01:55,oregon,kenya,ae-9.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.185,8,14
Thu,18:01:55,oregon,kenya,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,9,15
Thu,18:01:55,oregon,kenya,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,10,16
Thu,18:01:55,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,265,17
Thu,18:01:55,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,265,18
Thu,18:01:55,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,265,19
Thu,18:01:55,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,264,20
Thu,18:01:55,oregon,kenya,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,255,21
Thu,18:01:55,oregon,kenya,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,256,22
Thu,18:01:55,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,255,23
Thu,18:01:55,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,163,24
Thu,18:01:55,oregon,kenya,196.201.222.89,196.201.222.89,295,25
Thu,18:01:55,oregon,kenya,196.201.222.89,196.201.222.89,303,26
Thu,18:01:55,oregon,kenya,196.201.222.166,196.201.222.166,309,27
Thu,18:01:55,oregon,kenya,*,*,*,28
Thu,18:01:55,oregon,kenya,*,*,*,29
Thu,18:01:55,oregon,kenya,*,*,*,30
Thu,18:08:35,oregon,kenya,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,13,1
Thu,18:08:35,oregon,kenya,100.66.8.138,100.66.8.138,13,2
Thu,18:08:35,oregon,kenya,100.66.10.128,100.66.10.128,19,3
Thu,18:08:35,oregon,kenya,100.66.6.141,100.66.6.141,19,4
Thu,18:08:35,oregon,kenya,100.66.4.63,100.66.4.63,13,5
Thu,18:08:35,oregon,kenya,100.65.8.193,100.65.8.193,1,6
Thu,18:08:35,oregon,kenya,205.251.232.166,205.251.232.166,1,7
Thu,18:08:35,oregon,kenya,52.93.12.130,52.93.12.130,22,8
Thu,18:08:35,oregon,kenya,52.93.12.89,52.93.12.89,1,9
Thu,18:08:35,oregon,kenya,54.239.42.195,54.239.42.195,8,10
Thu,18:08:35,oregon,kenya,54.239.42.224,54.239.42.224,9,11
Thu,18:08:35,oregon,kenya,52.95.53.142,52.95.53.142,9,12
Thu,18:08:35,oregon,kenya,ae-8.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.181,9,13
Thu,18:08:35,oregon,kenya,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,7,14
Thu,18:08:35,oregon,kenya,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,10,15
Thu,18:08:35,oregon,kenya,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,253,16
Thu,18:08:35,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,264,17
Thu,18:08:35,oregon,kenya,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,253,18
Thu,18:08:35,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,263,19
Thu,18:08:35,oregon,kenya,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,263,20
Thu,18:08:35,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,263,21
Thu,18:08:35,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,255,22
Thu,18:08:35,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,162,23
Thu,18:08:35,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,163,24
Thu,18:08:35,oregon,kenya,if-ge-2-0-0.core1.N71-Fujairah.as6453.net,195.219.174.26,262,25
Thu,18:08:35,oregon,kenya,195.219.174.134,195.219.174.134,316,26
Thu,18:08:35,oregon,kenya,196.201.222.166,196.201.222.166,309,27
Thu,18:08:35,oregon,kenya,*,*,*,28
Thu,18:08:35,oregon,kenya,*,*,*,29
Thu,18:08:35,oregon,kenya,*,*,*,30
Thu,18:15:39,oregon,kenya,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,17,1
Thu,18:15:39,oregon,kenya,100.66.8.220,100.66.8.220,17,2
Thu,18:15:39,oregon,kenya,100.66.10.100,100.66.10.100,16,3
Thu,18:15:39,oregon,kenya,100.66.6.239,100.66.6.239,21,4
Thu,18:15:39,oregon,kenya,100.66.4.127,100.66.4.127,14,5
Thu,18:15:39,oregon,kenya,100.65.9.33,100.65.9.33,0,6
Thu,18:15:39,oregon,kenya,54.239.48.178,54.239.48.178,1,7
Thu,18:15:39,oregon,kenya,52.93.13.18,52.93.13.18,2,8
Thu,18:15:39,oregon,kenya,52.93.12.125,52.93.12.125,1,9
Thu,18:15:39,oregon,kenya,54.239.43.129,54.239.43.129,8,10
Thu,18:15:39,oregon,kenya,52.95.52.232,52.95.52.232,13,11
Thu,18:15:39,oregon,kenya,52.95.52.162,52.95.52.162,15,12
Thu,18:15:39,oregon,kenya,ae-8.r04.sttlwa01.us.bb.gin.ntt.net,198.104.202.189,8,13
Thu,18:15:39,oregon,kenya,ae-8.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.181,15,14
Thu,18:15:39,oregon,kenya,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,15,15
Thu,18:15:39,oregon,kenya,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,255,16
Thu,18:15:39,oregon,kenya,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,255,17
Thu,18:15:39,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,264,18
Thu,18:15:39,oregon,kenya,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,254,19
Thu,18:15:39,oregon,kenya,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,265,20
Thu,18:15:39,oregon,kenya,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,265,21
Thu,18:15:39,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,263,22
Thu,18:15:39,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,171,23
Thu,18:15:39,oregon,kenya,if-ge-10-0-0.core1.N71-Fujairah.as6453.net,195.219.174.128,254,24
Thu,18:15:39,oregon,kenya,if-ge-10-0-0.core1.N71-Fujairah.as6453.net,195.219.174.128,263,25
