Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,17:35:33,oregon,rwanda,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,14,1
Thu,17:35:33,oregon,rwanda,100.66.8.168,100.66.8.168,12,2
Thu,17:35:33,oregon,rwanda,100.66.10.162,100.66.10.162,23,3
Thu,17:35:33,oregon,rwanda,100.66.7.133,100.66.7.133,16,4
Thu,17:35:33,oregon,rwanda,100.66.4.57,100.66.4.57,20,5
Thu,17:35:33,oregon,rwanda,100.65.9.193,100.65.9.193,0,6
Thu,17:35:33,oregon,rwanda,52.93.13.72,52.93.13.72,1,7
Thu,17:35:33,oregon,rwanda,52.93.12.238,52.93.12.238,3,8
Thu,17:35:33,oregon,rwanda,52.93.13.5,52.93.13.5,1,9
Thu,17:35:33,oregon,rwanda,54.239.43.129,54.239.43.129,7,10
Thu,17:35:33,oregon,rwanda,52.95.52.92,52.95.52.92,17,11
Thu,17:35:33,oregon,rwanda,52.95.52.192,52.95.52.192,11,12
Thu,17:35:33,oregon,rwanda,10ge1-12.core1.sea1.he.net,216.218.230.133,6,13
Thu,17:35:33,oregon,rwanda,10ge1-12.core1.sea1.he.net,216.218.230.133,7,14
Thu,17:35:33,oregon,rwanda,100ge13-1.core2.chi1.he.net,184.105.223.177,47,15
Thu,17:35:33,oregon,rwanda,100ge13-1.core2.chi1.he.net,184.105.223.177,58,16
Thu,17:35:33,oregon,rwanda,100ge7-2.core1.lon2.he.net,72.52.92.165,157,17
Thu,17:35:33,oregon,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,133,18
Thu,17:35:33,oregon,rwanda,100ge7-2.core1.lon2.he.net,72.52.92.165,167,19
Thu,17:35:33,oregon,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,132,20
Thu,17:35:33,oregon,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,243,21
Thu,17:35:33,oregon,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,289,22
Thu,17:35:33,oregon,rwanda,teng0-0-1-2-p2-nbi.liquidtelecom.net,197.155.94.2,313,23
Thu,17:35:33,oregon,rwanda,teng0-0-1-2-p2-nbi.liquidtelecom.net,197.155.94.2,314,24
Thu,17:35:33,oregon,rwanda,teng0-0-0-2.lug-p2-kpl.liquidtelecom.net,197.155.94.97,313,25
Thu,17:35:33,oregon,rwanda,197.155.94.165.liquidtelecom.net,197.155.94.165,313,26
Thu,17:35:33,oregon,rwanda,197.243.126.30,197.243.126.30,309,27
Thu,17:35:33,oregon,rwanda,41.223.224.211,41.223.224.211,311,28
Thu,17:35:33,oregon,rwanda,*,*,*,29
Thu,17:35:33,oregon,rwanda,*,*,*,30
Thu,17:42:15,oregon,rwanda,ec2-50-112-0-116.us-west-2.compute.amazonaws.com,50.112.0.116,17,1
Thu,17:42:15,oregon,rwanda,100.66.8.10,100.66.8.10,19,2
Thu,17:42:15,oregon,rwanda,100.66.11.196,100.66.11.196,14,3
Thu,17:42:15,oregon,rwanda,100.66.6.227,100.66.6.227,16,4
Thu,17:42:15,oregon,rwanda,100.66.4.105,100.66.4.105,13,5
Thu,17:42:15,oregon,rwanda,100.65.8.97,100.65.8.97,0,6
Thu,17:42:15,oregon,rwanda,54.239.48.178,54.239.48.178,1,7
Thu,17:42:15,oregon,rwanda,52.93.13.60,52.93.13.60,3,8
Thu,17:42:15,oregon,rwanda,52.93.13.5,52.93.13.5,1,9
Thu,17:42:15,oregon,rwanda,54.239.43.137,54.239.43.137,8,10
Thu,17:42:15,oregon,rwanda,52.95.52.198,52.95.52.198,14,11
Thu,17:42:15,oregon,rwanda,52.95.52.22,52.95.52.22,11,12
Thu,17:42:15,oregon,rwanda,52.95.52.215,52.95.52.215,8,13
Thu,17:42:15,oregon,rwanda,100ge4-2.core1.msp1.he.net,184.105.223.194,40,14
Thu,17:42:15,oregon,rwanda,100ge13-1.core2.chi1.he.net,184.105.223.177,47,15
Thu,17:42:15,oregon,rwanda,100ge13-1.core2.chi1.he.net,184.105.223.177,48,16
Thu,17:42:15,oregon,rwanda,100ge16-1.core1.nyc4.he.net,184.105.223.162,73,17
Thu,17:42:15,oregon,rwanda,10ge8-4.core1.lon1.he.net,72.52.92.221,135,18
Thu,17:42:15,oregon,rwanda,teng0-2-0-2.luk-p2-tho.liquidtelecom.net.core1.lon1.he.net,216.66.86.110,137,19
Thu,17:42:15,oregon,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,243,20
Thu,17:42:15,oregon,rwanda,pe1-fuj-ten0-0-1-1.liquidtelecom.net,5.11.10.215,244,21
Thu,17:42:15,oregon,rwanda,teng-0-2-1-1-p2-msa.liquidtelecom.net,197.155.94.83,291,22
Thu,17:42:15,oregon,rwanda,Teng0-0-1-1.lug-p1-kpl.liquidtelecom.net,197.155.94.69,313,23
Thu,17:42:15,oregon,rwanda,Teng0-0-1-1.lug-p1-kpl.liquidtelecom.net,197.155.94.69,313,24
Thu,17:42:15,oregon,rwanda,teng0-0-0-0.lug-p2-kgl.liquidtelecom.net,197.155.94.81,312,25
Thu,17:42:15,oregon,rwanda,41.223.224.211,41.223.224.211,311,26
Thu,17:42:15,oregon,rwanda,41.223.224.211,41.223.224.211,311,27
Thu,17:42:15,oregon,rwanda,*,*,*,28
Thu,17:42:15,oregon,rwanda,*,*,*,29
Thu,17:42:15,oregon,rwanda,197.243.126.166,197.243.126.166,312,30
Thu,17:48:54,oregon,rwanda,ec2-50-112-0-124.us-west-2.compute.amazonaws.com,50.112.0.124,20,1
