Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:04:19,oregon,ghana,ec2-50-112-0-122.us-west-2.compute.amazonaws.com,50.112.0.122,14,1
Tue,16:04:19,oregon,ghana,100.66.8.206,100.66.8.206,16,2
Tue,16:04:19,oregon,ghana,100.66.11.202,100.66.11.202,18,3
Tue,16:04:19,oregon,ghana,100.66.7.139,100.66.7.139,13,4
Tue,16:04:19,oregon,ghana,100.66.4.157,100.66.4.157,13,5
Tue,16:04:19,oregon,ghana,100.65.10.129,100.65.10.129,0,6
Tue,16:04:19,oregon,ghana,52.93.15.216,52.93.15.216,1,7
Tue,16:04:19,oregon,ghana,52.93.12.166,52.93.12.166,2,8
Tue,16:04:19,oregon,ghana,52.93.12.157,52.93.12.157,2,9
Tue,16:04:19,oregon,ghana,54.239.43.129,54.239.43.129,7,10
Tue,16:04:19,oregon,ghana,52.95.52.228,52.95.52.228,9,11
Tue,16:04:19,oregon,ghana,52.95.52.130,52.95.52.130,18,12
Tue,16:04:19,oregon,ghana,52.95.52.187,52.95.52.187,7,13
Tue,16:04:19,oregon,ghana,ae-9.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.185,8,14
Tue,16:04:19,oregon,ghana,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,8,15
Tue,16:04:19,oregon,ghana,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,151,16
Tue,16:04:19,oregon,ghana,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,146,17
Tue,16:04:19,oregon,ghana,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,141,18
Tue,16:04:19,oregon,ghana,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,140,19
Tue,16:04:19,oregon,ghana,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,150,20
Tue,16:04:19,oregon,ghana,195.219.195.42,195.219.195.42,239,21
Tue,16:04:19,oregon,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,250,22
Tue,16:04:19,oregon,ghana,195.219.195.42,195.219.195.42,237,23
Tue,16:04:19,oregon,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,238,24
Tue,16:04:19,oregon,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,237,25
Tue,16:04:19,oregon,ghana,197.255.127.2,197.255.127.2,241,26
Tue,16:04:19,oregon,ghana,197.255.125.213,197.255.125.213,249,27
Tue,16:10:53,oregon,ghana,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,20,1
Tue,16:10:53,oregon,ghana,100.66.8.140,100.66.8.140,21,2
Tue,16:10:53,oregon,ghana,100.66.11.2,100.66.11.2,22,3
Tue,16:10:53,oregon,ghana,100.66.7.143,100.66.7.143,14,4
Tue,16:10:53,oregon,ghana,100.66.4.191,100.66.4.191,17,5
Tue,16:10:53,oregon,ghana,100.65.10.1,100.65.10.1,0,6
Tue,16:10:53,oregon,ghana,52.93.13.72,52.93.13.72,1,7
Tue,16:10:53,oregon,ghana,52.93.13.54,52.93.13.54,17,8
Tue,16:10:53,oregon,ghana,52.93.12.229,52.93.12.229,1,9
Tue,16:10:53,oregon,ghana,54.239.43.131,54.239.43.131,7,10
Tue,16:10:53,oregon,ghana,52.95.52.226,52.95.52.226,16,11
Tue,16:10:53,oregon,ghana,52.95.53.128,52.95.53.128,11,12
Tue,16:10:53,oregon,ghana,52.95.52.217,52.95.52.217,55,13
Tue,16:10:53,oregon,ghana,52.95.53.1,52.95.53.1,9,14
Tue,16:10:53,oregon,ghana,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,15
Tue,16:10:53,oregon,ghana,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,16
Tue,16:10:53,oregon,ghana,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,147,17
Tue,16:10:53,oregon,ghana,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,147,18
Tue,16:10:53,oregon,ghana,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,142,19
Tue,16:10:53,oregon,ghana,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,140,20
Tue,16:10:53,oregon,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,139,21
Tue,16:10:53,oregon,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,264,22
Tue,16:10:53,oregon,ghana,195.219.195.42,195.219.195.42,251,23
Tue,16:10:53,oregon,ghana,195.219.195.42,195.219.195.42,259,24
Tue,16:10:53,oregon,ghana,*,*,*,25
Tue,16:10:53,oregon,ghana,197.255.127.2,197.255.127.2,260,26
Tue,16:10:53,oregon,ghana,197.255.125.213,197.255.125.213,266,27
Tue,16:17:45,oregon,ghana,ec2-50-112-0-116.us-west-2.compute.amazonaws.com,50.112.0.116,12,1
Tue,16:17:45,oregon,ghana,100.66.8.200,100.66.8.200,21,2
Tue,16:17:45,oregon,ghana,100.66.11.40,100.66.11.40,53,3
Tue,16:17:45,oregon,ghana,100.66.6.97,100.66.6.97,15,4
Tue,16:17:45,oregon,ghana,100.66.4.53,100.66.4.53,14,5
Tue,16:17:45,oregon,ghana,100.65.10.161,100.65.10.161,0,6
Tue,16:17:45,oregon,ghana,205.251.232.254,205.251.232.254,1,7
Tue,16:17:45,oregon,ghana,52.93.12.238,52.93.12.238,3,8
Tue,16:17:45,oregon,ghana,52.93.12.199,52.93.12.199,1,9
Tue,16:17:45,oregon,ghana,54.239.43.131,54.239.43.131,8,10
Tue,16:17:45,oregon,ghana,54.239.42.234,54.239.42.234,7,11
Tue,16:17:45,oregon,ghana,52.95.52.196,52.95.52.196,11,12
Tue,16:17:45,oregon,ghana,52.95.52.225,52.95.52.225,8,13
Tue,16:17:45,oregon,ghana,ae-13.r04.sttlwa01.us.bb.gin.ntt.net,129.250.201.165,9,14
Tue,16:17:45,oregon,ghana,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,8,15
Tue,16:17:45,oregon,ghana,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,148,16
Tue,16:17:45,oregon,ghana,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,139,17
Tue,16:17:45,oregon,ghana,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,140,18
Tue,16:17:45,oregon,ghana,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,168,19
Tue,16:17:45,oregon,ghana,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,169,20
Tue,16:17:45,oregon,ghana,*,*,*,21
Tue,16:17:45,oregon,ghana,*,*,*,22
Tue,16:17:45,oregon,ghana,if-ge-4-0-0.core4.LDN-London.as6453.net,80.231.62.26,140,23
Tue,16:17:45,oregon,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,310,24
Tue,16:17:45,oregon,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,310,25
Tue,16:17:45,oregon,ghana,197.255.127.2,197.255.127.2,317,26
Tue,16:17:45,oregon,ghana,197.255.127.35,197.255.127.35,307,27
Tue,16:17:45,oregon,ghana,197.255.125.213,197.255.125.213,297,28
Tue,16:24:24,oregon,ghana,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,19,1
Tue,16:24:24,oregon,ghana,100.66.8.142,100.66.8.142,19,2
Tue,16:24:24,oregon,ghana,100.66.10.200,100.66.10.200,21,3
Tue,16:24:24,oregon,ghana,100.66.6.41,100.66.6.41,15,4
Tue,16:24:24,oregon,ghana,100.66.4.245,100.66.4.245,17,5
Tue,16:24:24,oregon,ghana,100.65.9.225,100.65.9.225,0,6
Tue,16:24:24,oregon,ghana,205.251.232.254,205.251.232.254,1,7
Tue,16:24:24,oregon,ghana,52.93.12.58,52.93.12.58,2,8
Tue,16:24:24,oregon,ghana,52.93.12.85,52.93.12.85,1,9
Tue,16:24:24,oregon,ghana,54.239.43.137,54.239.43.137,8,10
Tue,16:24:24,oregon,ghana,52.95.52.58,52.95.52.58,14,11
Tue,16:24:24,oregon,ghana,52.95.52.58,52.95.52.58,13,12
Tue,16:24:24,oregon,ghana,52.95.52.47,52.95.52.47,8,13
Tue,16:24:24,oregon,ghana,ae-8.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.181,8,14
Tue,16:24:24,oregon,ghana,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,6,15
Tue,16:24:24,oregon,ghana,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,148,16
Tue,16:24:24,oregon,ghana,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,148,17
Tue,16:24:24,oregon,ghana,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,139,18
Tue,16:24:24,oregon,ghana,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,161,19
Tue,16:24:24,oregon,ghana,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,157,20
Tue,16:24:24,oregon,ghana,if-ge-5-0-0-12.core4.LDN-London.as6453.net,80.231.62.30,139,21
Tue,16:24:24,oregon,ghana,if-ge-4-0-0.core4.LDN-London.as6453.net,80.231.62.26,140,22
Tue,16:24:24,oregon,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,239,23
Tue,16:24:24,oregon,ghana,197.255.127.2,197.255.127.2,255,24
Tue,16:24:24,oregon,ghana,197.255.127.2,197.255.127.2,256,25
Tue,16:24:24,oregon,ghana,197.255.127.2,197.255.127.2,247,26
Tue,16:30:26,oregon,ghana,ec2-50-112-0-124.us-west-2.compute.amazonaws.com,50.112.0.124,14,1
Tue,16:30:26,oregon,ghana,100.66.8.4,100.66.8.4,21,2
Tue,16:30:26,oregon,ghana,100.66.11.230,100.66.11.230,15,3
Tue,16:30:26,oregon,ghana,100.66.7.235,100.66.7.235,12,4
Tue,16:30:26,oregon,ghana,100.66.4.141,100.66.4.141,17,5
Tue,16:30:26,oregon,ghana,100.65.8.65,100.65.8.65,0,6
Tue,16:30:26,oregon,ghana,52.93.15.216,52.93.15.216,1,7
Tue,16:30:26,oregon,ghana,52.93.13.60,52.93.13.60,2,8
Tue,16:30:26,oregon,ghana,52.93.12.197,52.93.12.197,2,9
Tue,16:30:26,oregon,ghana,54.239.43.121,54.239.43.121,7,10
Tue,16:30:26,oregon,ghana,54.239.42.222,54.239.42.222,8,11
Tue,16:30:26,oregon,ghana,52.95.52.90,52.95.52.90,11,12
Tue,16:30:26,oregon,ghana,52.95.52.185,52.95.52.185,7,13
