Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:04:25,oregon,kenya,ec2-50-112-0-116.us-west-2.compute.amazonaws.com,50.112.0.116,16,1
Tue,16:04:25,oregon,kenya,100.66.8.92,100.66.8.92,35,2
Tue,16:04:25,oregon,kenya,100.66.10.138,100.66.10.138,15,3
Tue,16:04:25,oregon,kenya,100.66.6.5,100.66.6.5,132,4
Tue,16:04:25,oregon,kenya,100.66.4.243,100.66.4.243,11,5
Tue,16:04:25,oregon,kenya,100.65.11.129,100.65.11.129,0,6
Tue,16:04:25,oregon,kenya,52.93.15.218,52.93.15.218,1,7
Tue,16:04:25,oregon,kenya,52.93.12.64,52.93.12.64,17,8
Tue,16:04:25,oregon,kenya,52.93.12.117,52.93.12.117,1,9
Tue,16:04:25,oregon,kenya,52.93.15.87,52.93.15.87,8,10
Tue,16:04:25,oregon,kenya,54.239.42.214,54.239.42.214,8,11
Tue,16:04:25,oregon,kenya,52.95.53.128,52.95.53.128,13,12
Tue,16:04:25,oregon,kenya,52.95.52.113,52.95.52.113,7,13
Tue,16:04:25,oregon,kenya,ae-8.r04.sttlwa01.us.bb.gin.ntt.net,198.104.202.189,8,14
Tue,16:04:25,oregon,kenya,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,9,15
Tue,16:04:25,oregon,kenya,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,265,16
Tue,16:04:25,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,256,17
Tue,16:04:25,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,257,18
Tue,16:04:25,oregon,kenya,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,256,19
Tue,16:04:25,oregon,kenya,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,256,20
Tue,16:04:25,oregon,kenya,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,262,21
Tue,16:04:25,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,264,22
Tue,16:04:25,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,166,23
Tue,16:04:25,oregon,kenya,if-ge-10-0-0.core1.N71-Fujairah.as6453.net,195.219.174.128,255,24
Tue,16:04:25,oregon,kenya,if-ge-10-0-0.core1.N71-Fujairah.as6453.net,195.219.174.128,263,25
Tue,16:04:25,oregon,kenya,196.201.222.89,196.201.222.89,296,26
Tue,16:04:25,oregon,kenya,196.201.222.166,196.201.222.166,300,27
Tue,16:04:25,oregon,kenya,*,*,*,28
Tue,16:04:25,oregon,kenya,*,*,*,29
Tue,16:04:25,oregon,kenya,*,*,*,30
Tue,16:11:03,oregon,kenya,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,22,1
Tue,16:11:03,oregon,kenya,100.66.8.48,100.66.8.48,18,2
Tue,16:11:03,oregon,kenya,100.66.11.2,100.66.11.2,16,3
Tue,16:11:03,oregon,kenya,100.66.7.99,100.66.7.99,11,4
Tue,16:11:03,oregon,kenya,100.66.4.219,100.66.4.219,20,5
Tue,16:11:03,oregon,kenya,100.65.10.225,100.65.10.225,0,6
Tue,16:11:03,oregon,kenya,54.239.48.176,54.239.48.176,1,7
Tue,16:11:03,oregon,kenya,52.93.12.100,52.93.12.100,2,8
Tue,16:11:03,oregon,kenya,52.93.12.91,52.93.12.91,1,9
Tue,16:11:03,oregon,kenya,54.239.43.135,54.239.43.135,9,10
Tue,16:11:03,oregon,kenya,54.239.42.255,54.239.42.255,8,11
Tue,16:11:03,oregon,kenya,52.95.53.6,52.95.53.6,14,12
Tue,16:11:03,oregon,kenya,52.95.52.183,52.95.52.183,9,13
Tue,16:11:03,oregon,kenya,ae-18.r05.sttlwa01.us.bb.gin.ntt.net,129.250.201.177,9,14
Tue,16:11:03,oregon,kenya,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,9,15
Tue,16:11:03,oregon,kenya,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,16
Tue,16:11:03,oregon,kenya,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,265,17
Tue,16:11:03,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,258,18
Tue,16:11:03,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,266,19
Tue,16:11:03,oregon,kenya,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,266,20
Tue,16:11:03,oregon,kenya,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,263,21
Tue,16:11:03,oregon,kenya,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,263,22
Tue,16:11:03,oregon,kenya,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,255,23
Tue,16:11:03,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,164,24
Tue,16:11:03,oregon,kenya,196.201.222.89,196.201.222.89,292,25
Tue,16:11:03,oregon,kenya,195.219.174.134,195.219.174.134,316,26
Tue,16:11:03,oregon,kenya,195.219.174.134,195.219.174.134,316,27
Tue,16:11:03,oregon,kenya,196.201.222.166,196.201.222.166,299,28
Tue,16:11:03,oregon,kenya,*,*,*,29
