Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:05:19,oregon,uganda,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,19,1
Tue,16:05:19,oregon,uganda,100.66.8.64,100.66.8.64,14,2
Tue,16:05:19,oregon,uganda,100.66.11.128,100.66.11.128,12,3
Tue,16:05:19,oregon,uganda,100.66.6.197,100.66.6.197,11,4
Tue,16:05:19,oregon,uganda,100.66.4.73,100.66.4.73,13,5
Tue,16:05:19,oregon,uganda,100.65.8.1,100.65.8.1,0,6
Tue,16:05:19,oregon,uganda,52.93.13.74,52.93.13.74,1,7
Tue,16:05:19,oregon,uganda,52.93.12.244,52.93.12.244,27,8
Tue,16:05:19,oregon,uganda,52.93.12.89,52.93.12.89,1,9
Tue,16:05:19,oregon,uganda,54.239.43.133,54.239.43.133,8,10
Tue,16:05:19,oregon,uganda,54.239.42.224,54.239.42.224,8,11
Tue,16:05:19,oregon,uganda,52.95.52.13,52.95.52.13,6,12
Tue,16:05:19,oregon,uganda,52.95.52.45,52.95.52.45,8,13
Tue,16:05:19,oregon,uganda,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,7,14
Tue,16:05:19,oregon,uganda,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,9,15
Tue,16:05:19,oregon,uganda,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,77,16
Tue,16:05:19,oregon,uganda,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,74,17
Tue,16:05:19,oregon,uganda,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,75,18
Tue,16:05:19,oregon,uganda,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,74,19
Tue,16:05:19,oregon,uganda,if-ae-8-2.tcore1.NTO-New-York.as6453.net,63.243.128.69,74,20
Tue,16:05:19,oregon,uganda,if-ae-8-2.tcore1.NTO-New-York.as6453.net,63.243.128.69,74,21
Tue,16:05:19,oregon,uganda,216.6.90.70,216.6.90.70,142,22
Tue,16:05:19,oregon,uganda,216.6.90.70,216.6.90.70,145,23
Tue,16:05:19,oregon,uganda,125.62.187.189,125.62.187.189,142,24
Tue,16:05:19,oregon,uganda,41.84.192.17,41.84.192.17,411,25
Tue,16:05:19,oregon,uganda,41.84.192.17,41.84.192.17,411,26
Tue,16:05:19,oregon,uganda,41.84.196.194,41.84.196.194,413,27
Tue,16:05:19,oregon,uganda,196.0.1.13,196.0.1.13,368,28
Tue,16:05:19,oregon,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,362,29
Tue,16:05:19,oregon,uganda,webhost2.utlonline.co.ug,196.0.3.3,369,30
Tue,16:11:57,oregon,uganda,ec2-50-112-0-124.us-west-2.compute.amazonaws.com,50.112.0.124,21,1
Tue,16:11:57,oregon,uganda,100.66.8.138,100.66.8.138,15,2
Tue,16:11:57,oregon,uganda,100.66.10.166,100.66.10.166,20,3
Tue,16:11:57,oregon,uganda,100.66.6.205,100.66.6.205,8,4
Tue,16:11:57,oregon,uganda,100.66.4.47,100.66.4.47,15,5
Tue,16:11:57,oregon,uganda,100.65.9.97,100.65.9.97,0,6
Tue,16:11:57,oregon,uganda,205.251.232.254,205.251.232.254,1,7
Tue,16:11:57,oregon,uganda,52.93.12.202,52.93.12.202,38,8
Tue,16:11:57,oregon,uganda,52.93.12.81,52.93.12.81,16,9
Tue,16:11:57,oregon,uganda,54.239.43.133,54.239.43.133,7,10
Tue,16:11:57,oregon,uganda,52.95.53.132,52.95.53.132,7,11
Tue,16:11:57,oregon,uganda,52.95.52.62,52.95.52.62,15,12
Tue,16:11:57,oregon,uganda,ae-8.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.181,8,13
Tue,16:11:57,oregon,uganda,ae-8.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.181,9,14
Tue,16:11:57,oregon,uganda,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,73,15
Tue,16:11:57,oregon,uganda,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,74,16
Tue,16:11:57,oregon,uganda,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,73,17
Tue,16:11:57,oregon,uganda,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,74,18
Tue,16:11:57,oregon,uganda,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,73,19
Tue,16:11:57,oregon,uganda,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,74,20
Tue,16:11:57,oregon,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,73,21
Tue,16:11:57,oregon,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,74,22
Tue,16:11:57,oregon,uganda,182.79.245.77,182.79.245.77,144,23
Tue,16:11:57,oregon,uganda,182.79.245.77,182.79.245.77,143,24
Tue,16:11:57,oregon,uganda,125.62.187.189,125.62.187.189,141,25
Tue,16:11:57,oregon,uganda,41.84.192.17,41.84.192.17,413,26
Tue,16:11:57,oregon,uganda,196.0.1.13,196.0.1.13,367,27
Tue,16:11:57,oregon,uganda,196.0.1.13,196.0.1.13,369,28
Tue,16:11:57,oregon,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,358,29
Tue,16:11:57,oregon,uganda,webhost2.utlonline.co.ug,196.0.3.3,370,30
Tue,16:18:41,oregon,uganda,ec2-50-112-0-118.us-west-2.compute.amazonaws.com,50.112.0.118,18,1
Tue,16:18:41,oregon,uganda,100.66.8.24,100.66.8.24,14,2
Tue,16:18:41,oregon,uganda,100.66.10.36,100.66.10.36,20,3
Tue,16:18:41,oregon,uganda,100.66.7.111,100.66.7.111,17,4
Tue,16:18:41,oregon,uganda,100.66.4.103,100.66.4.103,16,5
Tue,16:18:41,oregon,uganda,100.65.8.129,100.65.8.129,0,6
Tue,16:18:41,oregon,uganda,52.93.15.216,52.93.15.216,2,7
Tue,16:18:41,oregon,uganda,52.93.12.100,52.93.12.100,2,8
Tue,16:18:41,oregon,uganda,52.93.12.117,52.93.12.117,1,9
Tue,16:18:41,oregon,uganda,54.239.43.121,54.239.43.121,6,10
Tue,16:18:41,oregon,uganda,54.239.42.214,54.239.42.214,8,11
Tue,16:18:41,oregon,uganda,52.95.53.156,52.95.53.156,19,12
Tue,16:18:41,oregon,uganda,52.95.52.217,52.95.52.217,8,13
Tue,16:18:41,oregon,uganda,ae-9.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.185,9,14
Tue,16:18:41,oregon,uganda,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,73,15
Tue,16:18:41,oregon,uganda,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,74,16
Tue,16:18:41,oregon,uganda,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,74,17
Tue,16:18:41,oregon,uganda,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,80,18
Tue,16:18:41,oregon,uganda,if-ae-8-2.tcore1.NTO-New-York.as6453.net,63.243.128.69,73,19
Tue,16:18:41,oregon,uganda,if-ae-8-2.tcore1.NTO-New-York.as6453.net,63.243.128.69,74,20
Tue,16:18:41,oregon,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,74,21
Tue,16:18:41,oregon,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,75,22
Tue,16:18:41,oregon,uganda,125.62.187.189,125.62.187.189,140,23
Tue,16:18:41,oregon,uganda,61.246.168.114,61.246.168.114,404,24
Tue,16:18:41,oregon,uganda,61.246.168.114,61.246.168.114,406,25
Tue,16:18:41,oregon,uganda,41.84.192.17,41.84.192.17,417,26
Tue,16:18:41,oregon,uganda,196.0.1.13,196.0.1.13,370,27
Tue,16:18:41,oregon,uganda,196.0.1.13,196.0.1.13,373,28
Tue,16:18:41,oregon,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,361,29
Tue,16:24:55,oregon,uganda,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,17,1
Tue,16:24:55,oregon,uganda,100.66.8.16,100.66.8.16,17,2
Tue,16:24:55,oregon,uganda,100.66.10.38,100.66.10.38,14,3
Tue,16:24:55,oregon,uganda,100.66.6.205,100.66.6.205,12,4
Tue,16:24:55,oregon,uganda,100.66.4.199,100.66.4.199,16,5
Tue,16:24:55,oregon,uganda,100.65.8.225,100.65.8.225,0,6
Tue,16:24:55,oregon,uganda,52.93.15.218,52.93.15.218,1,7
Tue,16:24:55,oregon,uganda,52.93.12.208,52.93.12.208,34,8
Tue,16:24:55,oregon,uganda,52.93.12.123,52.93.12.123,1,9
Tue,16:24:55,oregon,uganda,54.239.43.121,54.239.43.121,7,10
Tue,16:24:55,oregon,uganda,54.239.42.239,54.239.42.239,8,11
Tue,16:24:55,oregon,uganda,52.95.52.115,52.95.52.115,7,12
Tue,16:24:55,oregon,uganda,52.95.52.187,52.95.52.187,7,13
Tue,16:24:55,oregon,uganda,ae-9.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.185,9,14
Tue,16:24:55,oregon,uganda,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,15
Tue,16:24:55,oregon,uganda,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,75,16
Tue,16:24:55,oregon,uganda,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,73,17
Tue,16:24:55,oregon,uganda,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,74,18
Tue,16:24:55,oregon,uganda,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,74,19
Tue,16:24:55,oregon,uganda,if-ae-7-2.tcore1.N0V-New-York.as6453.net,63.243.128.26,72,20
Tue,16:24:55,oregon,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,73,21
Tue,16:24:55,oregon,uganda,if-ae-2-2.tcore2.N0V-New-York.as6453.net,216.6.90.22,75,22
Tue,16:24:55,oregon,uganda,216.6.90.70,216.6.90.70,145,23
Tue,16:24:55,oregon,uganda,61.246.168.114,61.246.168.114,404,24
Tue,16:24:55,oregon,uganda,61.246.168.114,61.246.168.114,404,25
Tue,16:24:55,oregon,uganda,41.84.192.17,41.84.192.17,411,26
Tue,16:24:55,oregon,uganda,41.84.196.194,41.84.196.194,411,27
Tue,16:24:55,oregon,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,419,28
Tue,16:24:55,oregon,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,419,29
Tue,16:24:55,oregon,uganda,webhost2.utlonline.co.ug,196.0.3.3,370,30
Tue,16:31:09,oregon,uganda,ec2-50-112-0-124.us-west-2.compute.amazonaws.com,50.112.0.124,13,1
Tue,16:31:09,oregon,uganda,100.66.8.116,100.66.8.116,64,2
Tue,16:31:09,oregon,uganda,100.66.10.106,100.66.10.106,13,3
Tue,16:31:09,oregon,uganda,100.66.7.45,100.66.7.45,13,4
Tue,16:31:09,oregon,uganda,100.66.4.11,100.66.4.11,11,5
Tue,16:31:09,oregon,uganda,100.65.9.129,100.65.9.129,0,6
Tue,16:31:09,oregon,uganda,52.93.15.222,52.93.15.222,1,7
Tue,16:31:09,oregon,uganda,52.93.12.100,52.93.12.100,21,8
Tue,16:31:09,oregon,uganda,52.93.13.49,52.93.13.49,1,9
Tue,16:31:09,oregon,uganda,54.239.43.131,54.239.43.131,9,10
