Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:18:30,oregon,algeria,ec2-50-112-0-118.us-west-2.compute.amazonaws.com,50.112.0.118,15,1
Tue,16:18:30,oregon,algeria,100.66.8.196,100.66.8.196,20,2
Tue,16:18:30,oregon,algeria,100.66.10.224,100.66.10.224,12,3
Tue,16:18:30,oregon,algeria,100.66.6.101,100.66.6.101,12,4
Tue,16:18:30,oregon,algeria,100.66.4.73,100.66.4.73,14,5
Tue,16:18:30,oregon,algeria,100.65.9.129,100.65.9.129,1,6
Tue,16:18:30,oregon,algeria,52.93.13.72,52.93.13.72,1,7
Tue,16:18:30,oregon,algeria,52.93.12.202,52.93.12.202,25,8
Tue,16:18:30,oregon,algeria,52.93.12.117,52.93.12.117,1,9
Tue,16:18:30,oregon,algeria,54.239.42.195,54.239.42.195,9,10
Tue,16:18:30,oregon,algeria,52.95.53.134,52.95.53.134,10,11
Tue,16:18:30,oregon,algeria,52.95.53.128,52.95.53.128,9,12
Tue,16:18:30,oregon,algeria,52.95.52.151,52.95.52.151,9,13
Tue,16:18:30,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,14
Tue,16:18:30,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,15
Tue,16:18:30,oregon,algeria,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,148,16
Tue,16:18:30,oregon,algeria,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,147,17
Tue,16:18:30,oregon,algeria,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,151,18
Tue,16:18:30,oregon,algeria,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,150,19
Tue,16:18:30,oregon,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,157,20
Tue,16:18:30,oregon,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,149,21
Tue,16:18:30,oregon,algeria,195.219.83.30,195.219.83.30,142,22
