Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:18:45,oregon,angola,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,15,1
Tue,16:18:45,oregon,angola,100.66.8.220,100.66.8.220,16,2
Tue,16:18:45,oregon,angola,100.66.10.40,100.66.10.40,14,3
Tue,16:18:45,oregon,angola,100.66.7.143,100.66.7.143,22,4
Tue,16:18:45,oregon,angola,100.66.4.11,100.66.4.11,20,5
Tue,16:18:45,oregon,angola,100.65.10.193,100.65.10.193,3,6
Tue,16:18:45,oregon,angola,52.93.13.74,52.93.13.74,1,7
Tue,16:18:45,oregon,angola,52.93.13.24,52.93.13.24,3,8
Tue,16:18:45,oregon,angola,52.93.12.199,52.93.12.199,1,9
Tue,16:18:45,oregon,angola,54.239.43.127,54.239.43.127,7,10
Tue,16:18:45,oregon,angola,52.95.53.150,52.95.53.150,18,11
Tue,16:18:45,oregon,angola,52.95.52.192,52.95.52.192,10,12
Tue,16:18:45,oregon,angola,ae-18.r05.sttlwa01.us.bb.gin.ntt.net,129.250.201.177,7,13
Tue,16:18:45,oregon,angola,ae-18.r05.sttlwa01.us.bb.gin.ntt.net,129.250.201.177,8,14
Tue,16:18:45,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,9,15
Tue,16:18:45,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,185,16
Tue,16:18:45,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,186,17
Tue,16:18:45,oregon,angola,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,178,18
Tue,16:18:45,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,187,19
Tue,16:18:45,oregon,angola,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,188,20
Tue,16:18:45,oregon,angola,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,188,21
Tue,16:18:45,oregon,angola,if-ae-1-3.tcore1.PV9-Lisbon.as6453.net,80.231.158.29,178,22
Tue,16:18:45,oregon,angola,if-ae-11-2.tcore2.SV8-Highbridge.as6453.net,80.231.139.41,185,23
Tue,16:18:45,oregon,angola,if-ae-2-2.tcore1.SV8-Highbridge.as6453.net,80.231.139.2,185,24
Tue,16:18:45,oregon,angola,80.231.159.26,80.231.159.26,166,25
Tue,16:18:45,oregon,angola,p2-nc024.ang.lad.as37468.angolacables.ao,185.148.112.21,275,26
Tue,16:18:45,oregon,angola,197.149.148.237,197.149.148.237,268,27
Tue,16:18:45,oregon,angola,p2-nc023.ang.lad.as37468.angolacables.ao,185.148.112.17,277,28
Tue,16:18:45,oregon,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,276,29
Tue,16:18:45,oregon,angola,197.149.148.237,197.149.148.237,278,30
Tue,16:25:21,oregon,angola,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,15,1
Tue,16:25:21,oregon,angola,100.66.8.220,100.66.8.220,16,2
Tue,16:25:21,oregon,angola,100.66.11.134,100.66.11.134,18,3
Tue,16:25:21,oregon,angola,100.66.6.3,100.66.6.3,13,4
Tue,16:25:21,oregon,angola,100.66.4.149,100.66.4.149,21,5
Tue,16:25:21,oregon,angola,100.65.8.193,100.65.8.193,4,6
Tue,16:25:21,oregon,angola,52.93.13.74,52.93.13.74,1,7
Tue,16:25:21,oregon,angola,52.93.13.24,52.93.13.24,3,8
Tue,16:25:21,oregon,angola,52.93.12.55,52.93.12.55,2,9
Tue,16:25:21,oregon,angola,54.239.43.137,54.239.43.137,9,10
Tue,16:25:21,oregon,angola,54.239.42.220,54.239.42.220,8,11
Tue,16:25:21,oregon,angola,52.95.52.153,52.95.52.153,6,12
Tue,16:25:21,oregon,angola,52.95.52.255,52.95.52.255,8,13
Tue,16:25:21,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,14
Tue,16:25:21,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,9,15
Tue,16:25:21,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,185,16
Tue,16:25:21,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,187,17
Tue,16:25:21,oregon,angola,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,182,18
Tue,16:25:21,oregon,angola,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,186,19
Tue,16:25:21,oregon,angola,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,191,20
Tue,16:25:21,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,186,21
Tue,16:25:21,oregon,angola,if-ae-1-3.tcore1.PV9-Lisbon.as6453.net,80.231.158.29,186,22
Tue,16:25:21,oregon,angola,if-ae-2-2.tcore2.PV9-Lisbon.as6453.net,80.231.158.6,177,23
Tue,16:25:21,oregon,angola,if-ae-1-3.tcore1.PV9-Lisbon.as6453.net,80.231.158.29,185,24
Tue,16:25:21,oregon,angola,if-ae-1-3.tcore1.PV9-Lisbon.as6453.net,80.231.158.29,186,25
Tue,16:25:21,oregon,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,275,26
Tue,16:25:21,oregon,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,275,27
Tue,16:25:21,oregon,angola,p2-nc024.ang.lad.as37468.angolacables.ao,185.148.112.21,275,28
Tue,16:25:21,oregon,angola,41.222.238.25,41.222.238.25,268,29
Tue,16:25:21,oregon,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,282,30
Tue,16:32:08,oregon,angola,ec2-50-112-0-122.us-west-2.compute.amazonaws.com,50.112.0.122,17,1
Tue,16:32:08,oregon,angola,100.66.8.168,100.66.8.168,21,2
Tue,16:32:08,oregon,angola,100.66.11.110,100.66.11.110,16,3
Tue,16:32:08,oregon,angola,100.66.6.163,100.66.6.163,21,4
Tue,16:32:08,oregon,angola,100.66.4.103,100.66.4.103,117,5
Tue,16:32:08,oregon,angola,100.65.10.1,100.65.10.1,1,6
Tue,16:32:08,oregon,angola,52.93.13.72,52.93.13.72,1,7
Tue,16:32:08,oregon,angola,52.93.13.60,52.93.13.60,3,8
Tue,16:32:08,oregon,angola,52.93.12.127,52.93.12.127,1,9
Tue,16:32:08,oregon,angola,54.239.43.127,54.239.43.127,14,10
Tue,16:32:08,oregon,angola,52.95.52.228,52.95.52.228,16,11
Tue,16:32:08,oregon,angola,52.95.52.187,52.95.52.187,7,12
Tue,16:32:08,oregon,angola,52.95.52.251,52.95.52.251,9,13
Tue,16:32:08,oregon,angola,ae-18.r05.sttlwa01.us.bb.gin.ntt.net,129.250.201.177,8,14
Tue,16:32:08,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,9,15
Tue,16:32:08,oregon,angola,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,184,16
Tue,16:32:08,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,186,17
Tue,16:32:08,oregon,angola,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,176,18
Tue,16:32:08,oregon,angola,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,185,19
