Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:18:59,oregon,congo_DR,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,13,1
Tue,16:18:59,oregon,congo_DR,100.66.8.126,100.66.8.126,20,2
Tue,16:18:59,oregon,congo_DR,100.66.10.104,100.66.10.104,21,3
Tue,16:18:59,oregon,congo_DR,100.66.7.165,100.66.7.165,13,4
Tue,16:18:59,oregon,congo_DR,100.66.4.165,100.66.4.165,15,5
Tue,16:18:59,oregon,congo_DR,100.65.9.33,100.65.9.33,1,6
Tue,16:18:59,oregon,congo_DR,52.93.15.222,52.93.15.222,1,7
Tue,16:18:59,oregon,congo_DR,52.93.13.54,52.93.13.54,40,8
Tue,16:18:59,oregon,congo_DR,52.93.12.153,52.93.12.153,1,9
Tue,16:18:59,oregon,congo_DR,54.239.43.123,54.239.43.123,6,10
Tue,16:18:59,oregon,congo_DR,52.95.53.130,52.95.53.130,14,11
Tue,16:18:59,oregon,congo_DR,54.239.42.216,54.239.42.216,20,12
Tue,16:18:59,oregon,congo_DR,52.95.52.196,52.95.52.196,8,13
Tue,16:18:59,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,29,14
Tue,16:18:59,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,30,15
Tue,16:18:59,oregon,congo_DR,207.88.12.228.ptr.us.xo.net,207.88.12.228,30,16
Tue,16:18:59,oregon,congo_DR,216.51.74.158,216.51.74.158,32,17
Tue,16:18:59,oregon,congo_DR,216.51.74.158,216.51.74.158,33,18
Tue,16:18:59,oregon,congo_DR,162-144-240-149.unifiedlayer.com,162.144.240.149,33,19
Tue,16:18:59,oregon,congo_DR,just57.justhost.com,173.254.28.57,33,20
Tue,16:25:38,oregon,congo_DR,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,18,1
Tue,16:25:38,oregon,congo_DR,100.66.8.8,100.66.8.8,17,2
Tue,16:25:38,oregon,congo_DR,100.66.11.162,100.66.11.162,17,3
Tue,16:25:38,oregon,congo_DR,100.66.6.5,100.66.6.5,16,4
Tue,16:25:38,oregon,congo_DR,100.66.4.31,100.66.4.31,13,5
Tue,16:25:38,oregon,congo_DR,100.65.8.65,100.65.8.65,1,6
Tue,16:25:38,oregon,congo_DR,52.93.13.74,52.93.13.74,1,7
Tue,16:25:38,oregon,congo_DR,52.93.12.166,52.93.12.166,9,8
Tue,16:25:38,oregon,congo_DR,52.93.12.55,52.93.12.55,1,9
Tue,16:25:38,oregon,congo_DR,54.239.43.131,54.239.43.131,8,10
Tue,16:25:38,oregon,congo_DR,54.239.42.214,54.239.42.214,8,11
Tue,16:25:38,oregon,congo_DR,52.95.52.255,52.95.52.255,7,12
Tue,16:25:38,oregon,congo_DR,52.95.52.17,52.95.52.17,8,13
Tue,16:25:38,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,29,14
Tue,16:25:38,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,31,15
Tue,16:25:38,oregon,congo_DR,207.88.12.228.ptr.us.xo.net,207.88.12.228,30,16
Tue,16:25:38,oregon,congo_DR,216.156.16.29.ptr.us.xo.net,216.156.16.29,33,17
Tue,16:25:38,oregon,congo_DR,162-144-240-155.unifiedlayer.com,162.144.240.155,33,18
Tue,16:25:38,oregon,congo_DR,162-144-240-155.unifiedlayer.com,162.144.240.155,33,19
Tue,16:25:38,oregon,congo_DR,162-144-240-11.unifiedlayer.com,162.144.240.11,33,20
Tue,16:25:38,oregon,congo_DR,just57.justhost.com,173.254.28.57,32,21
Tue,16:32:25,oregon,congo_DR,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,18,1
Tue,16:32:25,oregon,congo_DR,100.66.8.154,100.66.8.154,15,2
Tue,16:32:25,oregon,congo_DR,100.66.10.64,100.66.10.64,14,3
Tue,16:32:25,oregon,congo_DR,100.66.6.109,100.66.6.109,15,4
Tue,16:32:25,oregon,congo_DR,100.66.4.209,100.66.4.209,18,5
Tue,16:32:25,oregon,congo_DR,100.65.10.33,100.65.10.33,1,6
Tue,16:32:25,oregon,congo_DR,205.251.232.254,205.251.232.254,1,7
Tue,16:32:25,oregon,congo_DR,52.93.12.208,52.93.12.208,3,8
Tue,16:32:25,oregon,congo_DR,52.93.12.229,52.93.12.229,1,9
Tue,16:32:25,oregon,congo_DR,54.239.43.137,54.239.43.137,8,10
Tue,16:32:25,oregon,congo_DR,54.239.42.222,54.239.42.222,8,11
Tue,16:32:25,oregon,congo_DR,52.95.53.138,52.95.53.138,9,12
Tue,16:32:25,oregon,congo_DR,52.95.52.119,52.95.52.119,10,13
Tue,16:32:25,oregon,congo_DR,52.95.216.109,52.95.216.109,8,14
Tue,16:32:25,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,31,15
Tue,16:32:25,oregon,congo_DR,207.88.12.228.ptr.us.xo.net,207.88.12.228,30,16
Tue,16:32:25,oregon,congo_DR,216.51.74.158,216.51.74.158,33,17
Tue,16:32:25,oregon,congo_DR,162-144-240-141.unifiedlayer.com,162.144.240.141,33,18
Tue,16:32:25,oregon,congo_DR,162-144-240-23.unifiedlayer.com,162.144.240.23,32,19
Tue,16:32:25,oregon,congo_DR,just57.justhost.com,173.254.28.57,32,20
Tue,16:39:13,oregon,congo_DR,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,18,1
Tue,16:39:13,oregon,congo_DR,100.66.8.224,100.66.8.224,21,2
Tue,16:39:13,oregon,congo_DR,100.66.10.140,100.66.10.140,22,3
Tue,16:39:13,oregon,congo_DR,100.66.7.239,100.66.7.239,14,4
Tue,16:39:13,oregon,congo_DR,100.66.4.251,100.66.4.251,19,5
Tue,16:39:13,oregon,congo_DR,100.65.10.33,100.65.10.33,1,6
Tue,16:39:13,oregon,congo_DR,52.93.13.72,52.93.13.72,1,7
Tue,16:39:13,oregon,congo_DR,52.93.12.136,52.93.12.136,45,8
Tue,16:39:13,oregon,congo_DR,52.93.12.89,52.93.12.89,1,9
Tue,16:39:13,oregon,congo_DR,54.239.43.131,54.239.43.131,8,10
Tue,16:39:13,oregon,congo_DR,52.95.52.128,52.95.52.128,17,11
Tue,16:39:13,oregon,congo_DR,52.95.52.24,52.95.52.24,16,12
Tue,16:39:13,oregon,congo_DR,52.95.216.109,52.95.216.109,8,13
Tue,16:39:13,oregon,congo_DR,52.95.216.109,52.95.216.109,9,14
Tue,16:39:13,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,31,15
Tue,16:39:13,oregon,congo_DR,207.88.12.228.ptr.us.xo.net,207.88.12.228,30,16
Tue,16:39:13,oregon,congo_DR,216.156.16.29.ptr.us.xo.net,216.156.16.29,32,17
Tue,16:39:13,oregon,congo_DR,162-144-240-157.unifiedlayer.com,162.144.240.157,32,18
Tue,16:39:13,oregon,congo_DR,162-144-240-165.unifiedlayer.com,162.144.240.165,33,19
Tue,16:39:13,oregon,congo_DR,just57.justhost.com,173.254.28.57,32,20
Tue,16:45:44,oregon,congo_DR,ec2-50-112-0-122.us-west-2.compute.amazonaws.com,50.112.0.122,11,1
Tue,16:45:44,oregon,congo_DR,100.66.8.2,100.66.8.2,16,2
Tue,16:45:44,oregon,congo_DR,100.66.11.138,100.66.11.138,16,3
Tue,16:45:44,oregon,congo_DR,100.66.7.141,100.66.7.141,23,4
Tue,16:45:44,oregon,congo_DR,100.66.4.207,100.66.4.207,22,5
Tue,16:45:44,oregon,congo_DR,100.65.8.97,100.65.8.97,1,6
Tue,16:45:44,oregon,congo_DR,52.93.15.216,52.93.15.216,1,7
Tue,16:45:44,oregon,congo_DR,52.93.12.64,52.93.12.64,2,8
Tue,16:45:44,oregon,congo_DR,52.93.12.235,52.93.12.235,2,9
Tue,16:45:44,oregon,congo_DR,54.239.43.137,54.239.43.137,7,10
Tue,16:45:44,oregon,congo_DR,54.239.42.222,54.239.42.222,8,11
Tue,16:45:44,oregon,congo_DR,52.95.52.17,52.95.52.17,8,12
Tue,16:45:44,oregon,congo_DR,52.95.216.109,52.95.216.109,7,13
Tue,16:45:44,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,30,14
Tue,16:45:44,oregon,congo_DR,207.88.12.228.ptr.us.xo.net,207.88.12.228,29,15
Tue,16:45:44,oregon,congo_DR,207.88.12.228.ptr.us.xo.net,207.88.12.228,30,16
Tue,16:45:44,oregon,congo_DR,207.88.12.228.ptr.us.xo.net,207.88.12.228,30,17
Tue,16:45:44,oregon,congo_DR,216.51.74.158,216.51.74.158,33,18
Tue,16:45:44,oregon,congo_DR,162-144-240-19.unifiedlayer.com,162.144.240.19,33,19
Tue,16:45:44,oregon,congo_DR,162-144-240-15.unifiedlayer.com,162.144.240.15,33,20
Tue,16:45:44,oregon,congo_DR,just57.justhost.com,173.254.28.57,34,21
Tue,16:52:23,oregon,congo_DR,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,25,1
Tue,16:52:23,oregon,congo_DR,100.66.8.188,100.66.8.188,17,2
Tue,16:52:23,oregon,congo_DR,100.66.11.232,100.66.11.232,18,3
Tue,16:52:23,oregon,congo_DR,100.66.6.9,100.66.6.9,15,4
Tue,16:52:23,oregon,congo_DR,100.66.4.147,100.66.4.147,17,5
Tue,16:52:23,oregon,congo_DR,100.65.8.225,100.65.8.225,2,6
Tue,16:52:23,oregon,congo_DR,52.93.15.222,52.93.15.222,1,7
Tue,16:52:23,oregon,congo_DR,52.93.12.100,52.93.12.100,3,8
Tue,16:52:23,oregon,congo_DR,52.93.12.159,52.93.12.159,2,9
Tue,16:52:23,oregon,congo_DR,52.93.15.87,52.93.15.87,8,10
Tue,16:52:23,oregon,congo_DR,54.239.42.214,54.239.42.214,10,11
Tue,16:52:23,oregon,congo_DR,52.95.53.130,52.95.53.130,23,12
Tue,16:52:23,oregon,congo_DR,52.95.216.109,52.95.216.109,7,13
Tue,16:52:23,oregon,congo_DR,52.95.216.109,52.95.216.109,8,14
Tue,16:52:23,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,30,15
Tue,16:52:23,oregon,congo_DR,207.88.12.228.ptr.us.xo.net,207.88.12.228,30,16
Tue,16:52:23,oregon,congo_DR,216.156.16.29.ptr.us.xo.net,216.156.16.29,32,17
Tue,16:52:23,oregon,congo_DR,162-144-240-165.unifiedlayer.com,162.144.240.165,33,18
Tue,16:52:23,oregon,congo_DR,162-144-240-139.unifiedlayer.com,162.144.240.139,34,19
Tue,16:52:23,oregon,congo_DR,just57.justhost.com,173.254.28.57,33,20
Tue,16:58:54,oregon,congo_DR,ec2-50-112-0-118.us-west-2.compute.amazonaws.com,50.112.0.118,16,1
Tue,16:58:54,oregon,congo_DR,100.66.8.160,100.66.8.160,15,2
Tue,16:58:54,oregon,congo_DR,100.66.10.136,100.66.10.136,11,3
Tue,16:58:54,oregon,congo_DR,100.66.7.199,100.66.7.199,17,4
Tue,16:58:54,oregon,congo_DR,100.66.4.237,100.66.4.237,20,5
Tue,16:58:54,oregon,congo_DR,100.65.10.161,100.65.10.161,1,6
Tue,16:58:54,oregon,congo_DR,52.93.13.74,52.93.13.74,1,7
Tue,16:58:54,oregon,congo_DR,52.93.12.202,52.93.12.202,14,8
Tue,16:58:54,oregon,congo_DR,52.93.12.189,52.93.12.189,1,9
Tue,16:58:54,oregon,congo_DR,54.239.43.129,54.239.43.129,8,10
Tue,16:58:54,oregon,congo_DR,54.239.43.129,54.239.43.129,8,11
Tue,16:58:54,oregon,congo_DR,52.95.52.198,52.95.52.198,10,12
Tue,16:58:54,oregon,congo_DR,52.95.52.221,52.95.52.221,8,13
Tue,16:58:54,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,30,14
Tue,16:58:54,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,30,15
Tue,16:58:54,oregon,congo_DR,216.156.16.29.ptr.us.xo.net,216.156.16.29,33,16
Tue,16:58:54,oregon,congo_DR,216.156.16.29.ptr.us.xo.net,216.156.16.29,33,17
Tue,16:58:54,oregon,congo_DR,216.51.74.158,216.51.74.158,33,18
Tue,16:58:54,oregon,congo_DR,162-144-240-19.unifiedlayer.com,162.144.240.19,33,19
Tue,16:58:54,oregon,congo_DR,162-144-240-19.unifiedlayer.com,162.144.240.19,34,20
Tue,16:58:54,oregon,congo_DR,just57.justhost.com,173.254.28.57,33,21
Tue,17:05:22,oregon,congo_DR,ec2-50-112-0-116.us-west-2.compute.amazonaws.com,50.112.0.116,18,1
Tue,17:05:22,oregon,congo_DR,100.66.8.236,100.66.8.236,15,2
Tue,17:05:22,oregon,congo_DR,100.66.10.46,100.66.10.46,21,3
Tue,17:05:22,oregon,congo_DR,100.66.6.169,100.66.6.169,21,4
Tue,17:05:22,oregon,congo_DR,100.66.4.115,100.66.4.115,19,5
Tue,17:05:22,oregon,congo_DR,100.65.11.193,100.65.11.193,2,6
Tue,17:05:22,oregon,congo_DR,52.93.15.222,52.93.15.222,1,7
Tue,17:05:22,oregon,congo_DR,52.93.12.64,52.93.12.64,34,8
Tue,17:05:22,oregon,congo_DR,52.93.12.193,52.93.12.193,1,9
Tue,17:05:22,oregon,congo_DR,54.239.42.255,54.239.42.255,8,10
Tue,17:05:22,oregon,congo_DR,54.239.42.230,54.239.42.230,8,11
Tue,17:05:22,oregon,congo_DR,52.95.53.132,52.95.53.132,18,12
Tue,17:05:22,oregon,congo_DR,52.95.52.51,52.95.52.51,9,13
Tue,17:05:22,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,29,14
Tue,17:05:22,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,39,15
Tue,17:05:22,oregon,congo_DR,216.156.16.29.ptr.us.xo.net,216.156.16.29,31,16
Tue,17:05:22,oregon,congo_DR,216.156.16.29.ptr.us.xo.net,216.156.16.29,33,17
Tue,17:05:22,oregon,congo_DR,216.51.74.158,216.51.74.158,33,18
Tue,17:05:22,oregon,congo_DR,162-144-240-19.unifiedlayer.com,162.144.240.19,34,19
Tue,17:05:22,oregon,congo_DR,162-144-240-19.unifiedlayer.com,162.144.240.19,34,20
Tue,17:12:03,oregon,congo_DR,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,66,1
Tue,17:12:03,oregon,congo_DR,100.66.8.214,100.66.8.214,11,2
Tue,17:12:03,oregon,congo_DR,100.66.10.138,100.66.10.138,15,3
Tue,17:12:03,oregon,congo_DR,100.66.6.13,100.66.6.13,12,4
Tue,17:12:03,oregon,congo_DR,100.66.4.191,100.66.4.191,15,5
Tue,17:12:03,oregon,congo_DR,100.65.9.225,100.65.9.225,1,6
Tue,17:12:03,oregon,congo_DR,52.93.13.74,52.93.13.74,1,7
Tue,17:12:03,oregon,congo_DR,52.93.12.238,52.93.12.238,2,8
Tue,17:12:03,oregon,congo_DR,52.93.13.45,52.93.13.45,1,9
Tue,17:12:03,oregon,congo_DR,54.239.43.127,54.239.43.127,7,10
Tue,17:12:03,oregon,congo_DR,52.95.52.232,52.95.52.232,14,11
Tue,17:12:03,oregon,congo_DR,52.95.52.119,52.95.52.119,8,12
Tue,17:12:03,oregon,congo_DR,52.95.216.109,52.95.216.109,7,13
Tue,17:12:03,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,29,14
Tue,17:12:03,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,30,15
Tue,17:12:03,oregon,congo_DR,216.156.16.29.ptr.us.xo.net,216.156.16.29,31,16
Tue,17:12:03,oregon,congo_DR,216.51.74.158,216.51.74.158,32,17
Tue,17:12:03,oregon,congo_DR,216.51.74.158,216.51.74.158,32,18
Tue,17:12:03,oregon,congo_DR,162-144-240-139.unifiedlayer.com,162.144.240.139,33,19
Tue,17:12:03,oregon,congo_DR,162-144-240-11.unifiedlayer.com,162.144.240.11,33,20
Tue,17:18:34,oregon,congo_DR,ec2-50-112-0-122.us-west-2.compute.amazonaws.com,50.112.0.122,20,1
Tue,17:18:34,oregon,congo_DR,100.66.8.166,100.66.8.166,20,2
Tue,17:18:34,oregon,congo_DR,100.66.10.196,100.66.10.196,22,3
Tue,17:18:34,oregon,congo_DR,100.66.6.135,100.66.6.135,19,4
Tue,17:18:34,oregon,congo_DR,100.66.4.147,100.66.4.147,21,5
Tue,17:18:34,oregon,congo_DR,100.65.8.33,100.65.8.33,1,6
Tue,17:18:34,oregon,congo_DR,52.93.13.74,52.93.13.74,1,7
Tue,17:18:34,oregon,congo_DR,52.93.12.94,52.93.12.94,38,8
Tue,17:18:34,oregon,congo_DR,52.93.13.13,52.93.13.13,1,9
Tue,17:18:34,oregon,congo_DR,54.239.42.195,54.239.42.195,9,10
Tue,17:18:34,oregon,congo_DR,54.239.43.137,54.239.43.137,8,11
Tue,17:18:34,oregon,congo_DR,52.95.52.230,52.95.52.230,9,12
Tue,17:18:34,oregon,congo_DR,52.95.216.109,52.95.216.109,7,13
Tue,17:18:34,oregon,congo_DR,52.95.216.109,52.95.216.109,7,14
Tue,17:18:34,oregon,congo_DR,52.95.216.109,52.95.216.109,9,15
Tue,17:18:34,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,30,16
Tue,17:18:34,oregon,congo_DR,216.156.16.29.ptr.us.xo.net,216.156.16.29,32,17
Tue,17:18:34,oregon,congo_DR,162-144-240-155.unifiedlayer.com,162.144.240.155,32,18
Tue,17:18:34,oregon,congo_DR,162-144-240-149.unifiedlayer.com,162.144.240.149,35,19
Tue,17:18:34,oregon,congo_DR,162-144-240-11.unifiedlayer.com,162.144.240.11,35,20
