Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,16:19:18,oregon,japan,ec2-50-112-0-116.us-west-2.compute.amazonaws.com,50.112.0.116,14,1
Tue,16:19:18,oregon,japan,100.66.8.98,100.66.8.98,15,2
Tue,16:19:18,oregon,japan,100.66.10.142,100.66.10.142,16,3
Tue,16:19:18,oregon,japan,100.66.6.1,100.66.6.1,12,4
Tue,16:19:18,oregon,japan,100.66.4.43,100.66.4.43,23,5
Tue,16:19:18,oregon,japan,100.65.9.1,100.65.9.1,1,6
Tue,16:19:18,oregon,japan,52.93.15.222,52.93.15.222,96,7
Tue,16:19:18,oregon,japan,52.93.12.130,52.93.12.130,108,8
Tue,16:19:18,oregon,japan,52.93.12.123,52.93.12.123,96,9
Tue,16:19:18,oregon,japan,54.239.43.133,54.239.43.133,96,10
Tue,16:19:18,oregon,japan,54.239.41.160,54.239.41.160,106,11
Tue,16:19:18,oregon,japan,54.239.53.9,54.239.53.9,98,12
Tue,16:19:18,oregon,japan,54.239.53.106,54.239.53.106,96,13
Tue,16:19:18,oregon,japan,54.239.53.87,54.239.53.87,105,14
Tue,16:19:18,oregon,japan,54.239.53.16,54.239.53.16,106,15
Tue,16:19:18,oregon,japan,54.239.52.141,54.239.52.141,104,16
Tue,16:19:18,oregon,japan,52.95.30.23,52.95.30.23,145,17
Tue,16:19:18,oregon,japan,52.95.31.126,52.95.31.126,104,18
Tue,16:19:18,oregon,japan,52.95.30.212,52.95.30.212,105,19
Tue,16:19:18,oregon,japan,100.64.17.198,100.64.17.198,123,20
Tue,16:19:18,oregon,japan,100.64.3.132,100.64.3.132,118,21
Tue,16:19:18,oregon,japan,100.64.1.15,100.64.1.15,174,22
Tue,16:19:18,oregon,japan,ec2-13-113-183-15.ap-northeast-1.compute.amazonaws.com,13.113.183.15,104,23
Tue,16:26:03,oregon,japan,ec2-50-112-0-116.us-west-2.compute.amazonaws.com,50.112.0.116,19,1
Tue,16:26:03,oregon,japan,100.66.8.244,100.66.8.244,12,2
Tue,16:26:03,oregon,japan,100.66.10.200,100.66.10.200,20,3
Tue,16:26:03,oregon,japan,100.66.6.229,100.66.6.229,19,4
Tue,16:26:03,oregon,japan,100.66.4.237,100.66.4.237,15,5
Tue,16:26:03,oregon,japan,100.65.8.97,100.65.8.97,1,6
Tue,16:26:03,oregon,japan,52.93.13.72,52.93.13.72,96,7
Tue,16:26:03,oregon,japan,52.93.12.130,52.93.12.130,98,8
Tue,16:26:03,oregon,japan,52.93.12.123,52.93.12.123,98,9
Tue,16:26:03,oregon,japan,54.239.43.133,54.239.43.133,96,10
Tue,16:26:03,oregon,japan,54.239.41.160,54.239.41.160,96,11
Tue,16:26:03,oregon,japan,54.239.53.21,54.239.53.21,97,12
Tue,16:26:03,oregon,japan,54.239.53.116,54.239.53.116,96,13
Tue,16:26:03,oregon,japan,54.239.53.81,54.239.53.81,114,14
Tue,16:26:03,oregon,japan,54.239.53.32,54.239.53.32,105,15
Tue,16:26:03,oregon,japan,54.239.52.135,54.239.52.135,104,16
Tue,16:26:03,oregon,japan,52.95.31.17,52.95.31.17,107,17
Tue,16:26:03,oregon,japan,52.95.31.124,52.95.31.124,105,18
Tue,16:26:03,oregon,japan,52.95.30.210,52.95.30.210,105,19
Tue,16:26:03,oregon,japan,100.64.17.150,100.64.17.150,126,20
Tue,16:26:03,oregon,japan,100.64.0.6,100.64.0.6,119,21
Tue,16:26:03,oregon,japan,100.64.2.201,100.64.2.201,118,22
Tue,16:26:03,oregon,japan,ec2-13-113-183-15.ap-northeast-1.compute.amazonaws.com,13.113.183.15,105,23
Tue,16:32:45,oregon,japan,ec2-50-112-0-118.us-west-2.compute.amazonaws.com,50.112.0.118,13,1
Tue,16:32:45,oregon,japan,100.66.8.178,100.66.8.178,17,2
Tue,16:32:45,oregon,japan,100.66.11.78,100.66.11.78,12,3
Tue,16:32:45,oregon,japan,100.66.6.5,100.66.6.5,21,4
Tue,16:32:45,oregon,japan,100.66.4.167,100.66.4.167,17,5
Tue,16:32:45,oregon,japan,100.65.11.97,100.65.11.97,1,6
Tue,16:32:45,oregon,japan,52.93.13.72,52.93.13.72,96,7
Tue,16:32:45,oregon,japan,52.93.12.238,52.93.12.238,98,8
Tue,16:32:45,oregon,japan,52.93.13.47,52.93.13.47,96,9
Tue,16:32:45,oregon,japan,54.239.43.133,54.239.43.133,97,10
Tue,16:32:45,oregon,japan,54.239.41.160,54.239.41.160,96,11
Tue,16:32:45,oregon,japan,54.239.53.21,54.239.53.21,104,12
Tue,16:32:45,oregon,japan,54.239.53.132,54.239.53.132,97,13
Tue,16:32:45,oregon,japan,54.239.53.121,54.239.53.121,105,14
Tue,16:32:45,oregon,japan,54.239.53.8,54.239.53.8,105,15
Tue,16:32:45,oregon,japan,27.0.0.249,27.0.0.249,105,16
Tue,16:32:45,oregon,japan,52.95.30.39,52.95.30.39,107,17
Tue,16:32:45,oregon,japan,52.95.31.124,52.95.31.124,106,18
Tue,16:32:45,oregon,japan,52.95.30.216,52.95.30.216,105,19
Tue,16:32:45,oregon,japan,100.64.16.148,100.64.16.148,123,20
Tue,16:32:45,oregon,japan,100.64.2.4,100.64.2.4,126,21
Tue,16:32:45,oregon,japan,100.64.1.73,100.64.1.73,151,22
Tue,16:32:45,oregon,japan,ec2-13-113-183-15.ap-northeast-1.compute.amazonaws.com,13.113.183.15,104,23
Tue,16:39:32,oregon,japan,ec2-50-112-0-116.us-west-2.compute.amazonaws.com,50.112.0.116,13,1
Tue,16:39:32,oregon,japan,100.66.8.176,100.66.8.176,17,2
Tue,16:39:32,oregon,japan,100.66.10.230,100.66.10.230,17,3
Tue,16:39:32,oregon,japan,100.66.6.107,100.66.6.107,9,4
Tue,16:39:32,oregon,japan,100.66.4.111,100.66.4.111,15,5
Tue,16:39:32,oregon,japan,100.65.9.33,100.65.9.33,1,6
Tue,16:39:32,oregon,japan,52.93.15.222,52.93.15.222,96,7
Tue,16:39:32,oregon,japan,52.93.12.64,52.93.12.64,98,8
Tue,16:39:32,oregon,japan,52.93.12.87,52.93.12.87,96,9
Tue,16:39:32,oregon,japan,54.239.43.133,54.239.43.133,96,10
Tue,16:39:32,oregon,japan,54.239.41.160,54.239.41.160,96,11
Tue,16:39:32,oregon,japan,54.239.53.11,54.239.53.11,98,12
Tue,16:39:32,oregon,japan,54.239.53.122,54.239.53.122,96,13
Tue,16:39:32,oregon,japan,54.239.53.113,54.239.53.113,115,14
Tue,16:39:32,oregon,japan,54.239.53.18,54.239.53.18,105,15
Tue,16:39:32,oregon,japan,27.0.0.249,27.0.0.249,105,16
Tue,16:39:32,oregon,japan,52.95.30.9,52.95.30.9,112,17
Tue,16:39:32,oregon,japan,52.95.30.122,52.95.30.122,104,18
Tue,16:39:32,oregon,japan,52.95.30.210,52.95.30.210,104,19
Tue,16:39:32,oregon,japan,100.64.17.198,100.64.17.198,126,20
Tue,16:39:32,oregon,japan,100.64.3.130,100.64.3.130,117,21
Tue,16:39:32,oregon,japan,100.64.3.201,100.64.3.201,118,22
Tue,16:39:32,oregon,japan,ec2-13-113-183-15.ap-northeast-1.compute.amazonaws.com,13.113.183.15,104,23
Tue,16:46:07,oregon,japan,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,20,1
Tue,16:46:07,oregon,japan,100.66.8.10,100.66.8.10,21,2
Tue,16:46:07,oregon,japan,100.66.11.226,100.66.11.226,15,3
Tue,16:46:07,oregon,japan,100.66.6.131,100.66.6.131,21,4
Tue,16:46:07,oregon,japan,100.66.4.177,100.66.4.177,22,5
Tue,16:46:07,oregon,japan,100.65.8.1,100.65.8.1,1,6
Tue,16:46:07,oregon,japan,52.93.15.220,52.93.15.220,97,7
Tue,16:46:07,oregon,japan,52.93.12.130,52.93.12.130,119,8
Tue,16:46:07,oregon,japan,52.93.12.195,52.93.12.195,96,9
Tue,16:46:07,oregon,japan,54.239.43.133,54.239.43.133,96,10
Tue,16:46:07,oregon,japan,54.239.41.160,54.239.41.160,96,11
Tue,16:46:07,oregon,japan,54.239.53.15,54.239.53.15,107,12
Tue,16:46:07,oregon,japan,54.239.53.106,54.239.53.106,96,13
Tue,16:46:07,oregon,japan,54.239.53.87,54.239.53.87,115,14
Tue,16:46:07,oregon,japan,54.239.53.10,54.239.53.10,105,15
Tue,16:46:07,oregon,japan,54.239.52.149,54.239.52.149,105,16
Tue,16:46:07,oregon,japan,52.95.31.27,52.95.31.27,106,17
Tue,16:46:07,oregon,japan,52.95.30.122,52.95.30.122,105,18
Tue,16:46:07,oregon,japan,52.95.30.210,52.95.30.210,105,19
Tue,16:46:07,oregon,japan,100.64.16.102,100.64.16.102,120,20
Tue,16:46:07,oregon,japan,100.64.3.194,100.64.3.194,121,21
Tue,16:46:07,oregon,japan,100.64.2.9,100.64.2.9,119,22
Tue,16:46:07,oregon,japan,ec2-13-113-183-15.ap-northeast-1.compute.amazonaws.com,13.113.183.15,105,23
Tue,16:52:41,oregon,japan,ec2-50-112-0-116.us-west-2.compute.amazonaws.com,50.112.0.116,15,1
Tue,16:52:41,oregon,japan,100.66.8.92,100.66.8.92,22,2
Tue,16:52:41,oregon,japan,100.66.11.78,100.66.11.78,59,3
Tue,16:52:41,oregon,japan,100.66.7.11,100.66.7.11,22,4
Tue,16:52:41,oregon,japan,100.66.4.145,100.66.4.145,12,5
Tue,16:52:41,oregon,japan,100.65.11.97,100.65.11.97,1,6
Tue,16:52:41,oregon,japan,52.93.15.222,52.93.15.222,97,7
Tue,16:52:41,oregon,japan,52.93.12.244,52.93.12.244,133,8
Tue,16:52:41,oregon,japan,52.93.12.87,52.93.12.87,96,9
Tue,16:52:41,oregon,japan,54.239.43.133,54.239.43.133,97,10
Tue,16:52:41,oregon,japan,54.239.41.160,54.239.41.160,96,11
Tue,16:52:41,oregon,japan,54.239.53.11,54.239.53.11,103,12
Tue,16:52:41,oregon,japan,54.239.53.124,54.239.53.124,97,13
Tue,16:52:41,oregon,japan,54.239.53.129,54.239.53.129,104,14
Tue,16:52:41,oregon,japan,54.239.53.28,54.239.53.28,104,15
Tue,16:52:41,oregon,japan,54.239.52.141,54.239.52.141,105,16
Tue,16:52:41,oregon,japan,52.95.31.27,52.95.31.27,107,17
Tue,16:52:41,oregon,japan,52.95.31.132,52.95.31.132,105,18
Tue,16:52:41,oregon,japan,52.95.30.216,52.95.30.216,105,19
Tue,16:52:41,oregon,japan,100.64.17.196,100.64.17.196,121,20
Tue,16:52:41,oregon,japan,100.64.0.132,100.64.0.132,116,21
Tue,16:52:41,oregon,japan,100.64.3.143,100.64.3.143,117,22
Tue,16:52:41,oregon,japan,ec2-13-113-183-15.ap-northeast-1.compute.amazonaws.com,13.113.183.15,105,23
Tue,16:59:10,oregon,japan,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,20,1
Tue,16:59:10,oregon,japan,100.66.8.10,100.66.8.10,12,2
Tue,16:59:10,oregon,japan,100.66.10.64,100.66.10.64,13,3
Tue,16:59:10,oregon,japan,100.66.7.199,100.66.7.199,15,4
Tue,16:59:10,oregon,japan,100.66.4.137,100.66.4.137,20,5
Tue,16:59:10,oregon,japan,100.65.10.193,100.65.10.193,1,6
Tue,16:59:10,oregon,japan,52.93.13.74,52.93.13.74,96,7
Tue,16:59:10,oregon,japan,52.93.12.58,52.93.12.58,135,8
Tue,16:59:10,oregon,japan,52.93.13.11,52.93.13.11,97,9
Tue,16:59:10,oregon,japan,54.239.43.133,54.239.43.133,96,10
Tue,16:59:10,oregon,japan,54.239.41.160,54.239.41.160,96,11
Tue,16:59:10,oregon,japan,54.239.53.9,54.239.53.9,106,12
Tue,16:59:10,oregon,japan,54.239.53.106,54.239.53.106,98,13
Tue,16:59:10,oregon,japan,54.239.53.135,54.239.53.135,110,14
Tue,16:59:10,oregon,japan,54.239.53.30,54.239.53.30,105,15
Tue,16:59:10,oregon,japan,54.239.52.135,54.239.52.135,104,16
Tue,16:59:10,oregon,japan,52.95.30.19,52.95.30.19,111,17
Tue,16:59:10,oregon,japan,52.95.31.120,52.95.31.120,105,18
Tue,16:59:10,oregon,japan,52.95.30.206,52.95.30.206,105,19
Tue,16:59:10,oregon,japan,100.64.16.178,100.64.16.178,122,20
Tue,16:59:10,oregon,japan,100.64.0.70,100.64.0.70,126,21
Tue,16:59:10,oregon,japan,100.64.1.137,100.64.1.137,126,22
Tue,16:59:10,oregon,japan,ec2-13-113-183-15.ap-northeast-1.compute.amazonaws.com,13.113.183.15,104,23
Tue,17:05:40,oregon,japan,ec2-50-112-0-118.us-west-2.compute.amazonaws.com,50.112.0.118,20,1
Tue,17:05:40,oregon,japan,100.66.8.32,100.66.8.32,18,2
Tue,17:05:40,oregon,japan,100.66.10.110,100.66.10.110,19,3
Tue,17:05:40,oregon,japan,100.66.6.5,100.66.6.5,13,4
Tue,17:05:40,oregon,japan,100.66.4.157,100.66.4.157,12,5
Tue,17:05:40,oregon,japan,100.65.9.225,100.65.9.225,2,6
Tue,17:05:40,oregon,japan,52.93.13.72,52.93.13.72,97,7
Tue,17:05:40,oregon,japan,52.93.13.24,52.93.13.24,131,8
Tue,17:05:40,oregon,japan,52.93.12.231,52.93.12.231,96,9
Tue,17:05:40,oregon,japan,54.239.43.133,54.239.43.133,96,10
Tue,17:05:40,oregon,japan,54.239.41.160,54.239.41.160,96,11
Tue,17:05:40,oregon,japan,54.239.53.13,54.239.53.13,99,12
Tue,17:05:40,oregon,japan,54.239.53.114,54.239.53.114,96,13
Tue,17:05:40,oregon,japan,54.239.53.73,54.239.53.73,109,14
Tue,17:05:40,oregon,japan,54.239.53.10,54.239.53.10,105,15
Tue,17:05:40,oregon,japan,54.239.52.141,54.239.52.141,104,16
Tue,17:05:40,oregon,japan,52.95.31.19,52.95.31.19,113,17
Tue,17:05:40,oregon,japan,52.95.31.122,52.95.31.122,105,18
Tue,17:05:40,oregon,japan,52.95.30.218,52.95.30.218,107,19
Tue,17:05:40,oregon,japan,100.64.17.8,100.64.17.8,125,20
Tue,17:05:40,oregon,japan,100.64.3.2,100.64.3.2,111,21
Tue,17:05:40,oregon,japan,100.64.2.13,100.64.2.13,128,22
Tue,17:05:40,oregon,japan,ec2-13-113-183-15.ap-northeast-1.compute.amazonaws.com,13.113.183.15,105,23
Tue,17:12:16,oregon,japan,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,16,1
Tue,17:12:16,oregon,japan,100.66.8.202,100.66.8.202,16,2
Tue,17:12:16,oregon,japan,100.66.11.40,100.66.11.40,18,3
Tue,17:12:16,oregon,japan,100.66.7.135,100.66.7.135,18,4
Tue,17:12:16,oregon,japan,100.66.4.83,100.66.4.83,18,5
Tue,17:12:16,oregon,japan,100.65.9.161,100.65.9.161,1,6
Tue,17:12:16,oregon,japan,52.93.13.72,52.93.13.72,96,7
Tue,17:12:16,oregon,japan,52.93.13.60,52.93.13.60,98,8
Tue,17:12:16,oregon,japan,52.93.12.195,52.93.12.195,98,9
Tue,17:12:16,oregon,japan,54.239.43.133,54.239.43.133,97,10
Tue,17:12:16,oregon,japan,54.239.41.160,54.239.41.160,96,11
Tue,17:12:16,oregon,japan,54.239.53.9,54.239.53.9,105,12
Tue,17:12:16,oregon,japan,54.239.53.96,54.239.53.96,96,13
Tue,17:12:16,oregon,japan,54.239.53.123,54.239.53.123,158,14
Tue,17:12:16,oregon,japan,54.239.53.22,54.239.53.22,105,15
Tue,17:12:16,oregon,japan,54.239.52.135,54.239.52.135,104,16
Tue,17:12:16,oregon,japan,52.95.31.15,52.95.31.15,106,17
Tue,17:12:16,oregon,japan,52.95.31.124,52.95.31.124,105,18
Tue,17:12:16,oregon,japan,52.95.30.218,52.95.30.218,105,19
Tue,17:12:16,oregon,japan,100.64.16.42,100.64.16.42,119,20
Tue,17:12:16,oregon,japan,100.64.0.134,100.64.0.134,116,21
Tue,17:12:16,oregon,japan,100.64.0.77,100.64.0.77,166,22
Tue,17:12:16,oregon,japan,ec2-13-113-183-15.ap-northeast-1.compute.amazonaws.com,13.113.183.15,104,23
Tue,17:18:50,oregon,japan,ec2-50-112-0-122.us-west-2.compute.amazonaws.com,50.112.0.122,19,1
Tue,17:18:50,oregon,japan,100.66.8.208,100.66.8.208,22,2
Tue,17:18:50,oregon,japan,100.66.11.228,100.66.11.228,12,3
Tue,17:18:50,oregon,japan,100.66.7.161,100.66.7.161,14,4
Tue,17:18:50,oregon,japan,100.66.4.161,100.66.4.161,16,5
Tue,17:18:50,oregon,japan,100.65.11.193,100.65.11.193,1,6
Tue,17:18:50,oregon,japan,52.93.15.220,52.93.15.220,96,7
Tue,17:18:50,oregon,japan,52.93.12.130,52.93.12.130,98,8
Tue,17:18:50,oregon,japan,52.93.12.159,52.93.12.159,96,9
Tue,17:18:50,oregon,japan,54.239.43.133,54.239.43.133,96,10
Tue,17:18:50,oregon,japan,54.239.41.160,54.239.41.160,96,11
Tue,17:18:50,oregon,japan,54.239.53.13,54.239.53.13,106,12
Tue,17:18:50,oregon,japan,54.239.53.114,54.239.53.114,96,13
Tue,17:18:50,oregon,japan,54.239.53.107,54.239.53.107,110,14
Tue,17:18:50,oregon,japan,54.239.53.30,54.239.53.30,105,15
Tue,17:18:50,oregon,japan,54.239.52.141,54.239.52.141,105,16
Tue,17:18:50,oregon,japan,52.95.30.39,52.95.30.39,106,17
Tue,17:18:50,oregon,japan,52.95.30.126,52.95.30.126,105,18
Tue,17:18:50,oregon,japan,52.95.30.212,52.95.30.212,105,19
Tue,17:18:50,oregon,japan,100.64.16.2,100.64.16.2,116,20
