Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,15:26:44,oregon,algeria,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,22,1
Wed,15:26:44,oregon,algeria,100.66.8.48,100.66.8.48,21,2
Wed,15:26:44,oregon,algeria,100.66.11.168,100.66.11.168,13,3
Wed,15:26:44,oregon,algeria,100.66.6.201,100.66.6.201,17,4
Wed,15:26:44,oregon,algeria,100.66.4.197,100.66.4.197,17,5
Wed,15:26:44,oregon,algeria,100.65.9.225,100.65.9.225,0,6
Wed,15:26:44,oregon,algeria,52.93.15.220,52.93.15.220,1,7
Wed,15:26:44,oregon,algeria,52.93.12.94,52.93.12.94,42,8
Wed,15:26:44,oregon,algeria,52.93.12.157,52.93.12.157,1,9
Wed,15:26:44,oregon,algeria,54.239.43.123,54.239.43.123,7,10
Wed,15:26:44,oregon,algeria,52.95.52.92,52.95.52.92,13,11
Wed,15:26:44,oregon,algeria,54.239.42.216,54.239.42.216,18,12
Wed,15:26:44,oregon,algeria,52.95.53.4,52.95.53.4,12,13
Wed,15:26:44,oregon,algeria,ae-9.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.185,8,14
Wed,15:26:44,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,15
Wed,15:26:44,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,9,16
Wed,15:26:44,oregon,algeria,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,142,17
Wed,15:26:44,oregon,algeria,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,141,18
Wed,15:26:44,oregon,algeria,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,142,19
Wed,15:26:44,oregon,algeria,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,142,20
Wed,15:26:44,oregon,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,142,21
Wed,15:26:44,oregon,algeria,*,*,*,22
Wed,15:26:44,oregon,algeria,*,*,*,23
Wed,15:26:44,oregon,algeria,*,*,*,24
Wed,15:26:44,oregon,algeria,*,*,*,25
Wed,15:26:44,oregon,algeria,*,*,*,26
Wed,15:26:44,oregon,algeria,*,*,*,27
Wed,15:26:44,oregon,algeria,*,*,*,28
Wed,15:26:44,oregon,algeria,*,*,*,29
Wed,15:26:44,oregon,algeria,*,*,*,30
Wed,15:33:46,oregon,algeria,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,21,1
Wed,15:33:46,oregon,algeria,100.66.8.16,100.66.8.16,43,2
Wed,15:33:46,oregon,algeria,100.66.11.100,100.66.11.100,12,3
Wed,15:33:46,oregon,algeria,100.66.6.171,100.66.6.171,12,4
Wed,15:33:46,oregon,algeria,100.66.4.225,100.66.4.225,14,5
