Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,15:26:58,oregon,angola,ec2-50-112-0-116.us-west-2.compute.amazonaws.com,50.112.0.116,15,1
Wed,15:26:58,oregon,angola,100.66.8.96,100.66.8.96,19,2
Wed,15:26:58,oregon,angola,100.66.11.8,100.66.11.8,30,3
Wed,15:26:58,oregon,angola,100.66.7.73,100.66.7.73,15,4
Wed,15:26:58,oregon,angola,100.66.4.119,100.66.4.119,13,5
Wed,15:26:58,oregon,angola,100.65.8.65,100.65.8.65,0,6
Wed,15:26:58,oregon,angola,52.93.15.216,52.93.15.216,1,7
Wed,15:26:58,oregon,angola,52.93.13.18,52.93.13.18,11,8
Wed,15:26:58,oregon,angola,52.93.12.189,52.93.12.189,1,9
Wed,15:26:58,oregon,angola,54.239.43.119,54.239.43.119,6,10
Wed,15:26:58,oregon,angola,54.239.42.224,54.239.42.224,8,11
Wed,15:26:58,oregon,angola,52.95.52.56,52.95.52.56,9,12
Wed,15:26:58,oregon,angola,52.95.52.183,52.95.52.183,8,13
Wed,15:26:58,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,14
Wed,15:26:58,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,9,15
Wed,15:26:58,oregon,angola,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,183,16
Wed,15:26:58,oregon,angola,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,174,17
Wed,15:26:58,oregon,angola,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,176,18
Wed,15:26:58,oregon,angola,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,193,19
Wed,15:26:58,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,175,20
Wed,15:26:58,oregon,angola,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,174,21
Wed,15:26:58,oregon,angola,if-ae-17-2.tcore1.L78-London.as6453.net,80.231.130.129,182,22
Wed,15:26:58,oregon,angola,if-ae-1-3.tcore1.PV9-Lisbon.as6453.net,80.231.158.29,183,23
Wed,15:26:58,oregon,angola,if-ae-14-2.tcore1.DVS-Bilbao.as6453.net,80.231.139.66,179,24
Wed,15:26:58,oregon,angola,if-ae-6-2.tcore1.WV6-Madrid.as6453.net,80.231.91.113,179,25
Wed,15:26:58,oregon,angola,if-ae-2-2.tcore2.PV9-Lisbon.as6453.net,80.231.158.6,183,26
Wed,15:26:58,oregon,angola,if-ae-7-2.tcore2.PV9-Lisbon.as6453.net,80.231.159.29,188,27
Wed,15:26:58,oregon,angola,197.149.148.237,197.149.148.237,296,28
Wed,15:26:58,oregon,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,291,29
Wed,15:26:58,oregon,angola,197.149.148.237,197.149.148.237,288,30
Wed,15:33:59,oregon,angola,ec2-50-112-0-110.us-west-2.compute.amazonaws.com,50.112.0.110,16,1
Wed,15:33:59,oregon,angola,100.66.8.210,100.66.8.210,17,2
Wed,15:33:59,oregon,angola,100.66.11.68,100.66.11.68,18,3
Wed,15:33:59,oregon,angola,100.66.7.39,100.66.7.39,14,4
Wed,15:33:59,oregon,angola,100.66.4.95,100.66.4.95,18,5
Wed,15:33:59,oregon,angola,100.65.11.65,100.65.11.65,0,6
Wed,15:33:59,oregon,angola,205.251.232.166,205.251.232.166,1,7
Wed,15:33:59,oregon,angola,52.93.13.24,52.93.13.24,24,8
Wed,15:33:59,oregon,angola,52.93.12.87,52.93.12.87,1,9
Wed,15:33:59,oregon,angola,54.239.43.131,54.239.43.131,8,10
Wed,15:33:59,oregon,angola,52.95.53.158,52.95.53.158,8,11
Wed,15:33:59,oregon,angola,52.95.52.124,52.95.52.124,10,12
Wed,15:33:59,oregon,angola,52.95.52.255,52.95.52.255,9,13
Wed,15:33:59,oregon,angola,ae-18.r05.sttlwa01.us.bb.gin.ntt.net,129.250.201.177,9,14
Wed,15:33:59,oregon,angola,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,185,15
Wed,15:33:59,oregon,angola,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,183,16
Wed,15:33:59,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,175,17
Wed,15:33:59,oregon,angola,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,175,18
Wed,15:33:59,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,174,19
Wed,15:33:59,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,183,20
Wed,15:33:59,oregon,angola,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,183,21
Wed,15:33:59,oregon,angola,if-ae-17-2.tcore1.L78-London.as6453.net,80.231.130.129,180,22
Wed,15:33:59,oregon,angola,if-ae-11-2.tcore2.SV8-Highbridge.as6453.net,80.231.139.41,180,23
Wed,15:33:59,oregon,angola,if-ae-2-2.tcore1.SV8-Highbridge.as6453.net,80.231.139.2,187,24
Wed,15:33:59,oregon,angola,80.231.159.26,80.231.159.26,194,25
Wed,15:33:59,oregon,angola,p2-nc024.ang.lad.as37468.angolacables.ao,185.148.112.21,287,26
Wed,15:33:59,oregon,angola,80.231.159.26,80.231.159.26,194,27
Wed,15:33:59,oregon,angola,197.149.148.237,197.149.148.237,296,28
Wed,15:33:59,oregon,angola,41.222.238.26,41.222.238.26,288,29
Wed,15:33:59,oregon,angola,197.149.148.237,197.149.148.237,289,30
Wed,15:40:42,oregon,angola,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,20,1
Wed,15:40:42,oregon,angola,100.66.8.50,100.66.8.50,15,2
Wed,15:40:42,oregon,angola,100.66.11.104,100.66.11.104,15,3
Wed,15:40:42,oregon,angola,100.66.6.197,100.66.6.197,15,4
Wed,15:40:42,oregon,angola,100.66.4.107,100.66.4.107,19,5
Wed,15:40:42,oregon,angola,100.65.9.225,100.65.9.225,0,6
Wed,15:40:42,oregon,angola,52.93.13.74,52.93.13.74,1,7
Wed,15:40:42,oregon,angola,52.93.13.18,52.93.13.18,3,8
Wed,15:40:42,oregon,angola,52.93.12.195,52.93.12.195,1,9
Wed,15:40:42,oregon,angola,54.239.43.121,54.239.43.121,7,10
Wed,15:40:42,oregon,angola,52.95.52.58,52.95.52.58,10,11
Wed,15:40:42,oregon,angola,52.95.53.4,52.95.53.4,14,12
Wed,15:40:42,oregon,angola,52.95.52.255,52.95.52.255,9,13
Wed,15:40:42,oregon,angola,ae-18.r05.sttlwa01.us.bb.gin.ntt.net,129.250.201.177,9,14
Wed,15:40:42,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,15
Wed,15:40:42,oregon,angola,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,183,16
Wed,15:40:42,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,176,17
Wed,15:40:42,oregon,angola,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,174,18
Wed,15:40:42,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,181,19
Wed,15:40:42,oregon,angola,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,176,20
Wed,15:40:42,oregon,angola,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,182,21
