Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,15:27:40,oregon,japan,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,13,1
Wed,15:27:40,oregon,japan,100.66.8.160,100.66.8.160,21,2
Wed,15:27:40,oregon,japan,100.66.10.130,100.66.10.130,12,3
Wed,15:27:40,oregon,japan,100.66.6.227,100.66.6.227,19,4
Wed,15:27:40,oregon,japan,100.66.4.207,100.66.4.207,23,5
Wed,15:27:40,oregon,japan,100.65.8.65,100.65.8.65,0,6
Wed,15:27:40,oregon,japan,52.93.15.220,52.93.15.220,96,7
Wed,15:27:40,oregon,japan,52.93.12.130,52.93.12.130,100,8
Wed,15:27:40,oregon,japan,52.93.13.11,52.93.13.11,103,9
Wed,15:27:40,oregon,japan,54.239.43.133,54.239.43.133,96,10
Wed,15:27:40,oregon,japan,54.239.41.160,54.239.41.160,96,11
Wed,15:27:40,oregon,japan,54.239.53.23,54.239.53.23,103,12
Wed,15:27:40,oregon,japan,54.239.53.114,54.239.53.114,98,13
Wed,15:27:40,oregon,japan,54.239.53.77,54.239.53.77,106,14
Wed,15:27:40,oregon,japan,54.239.53.24,54.239.53.24,105,15
Wed,15:27:40,oregon,japan,54.239.52.135,54.239.52.135,104,16
Wed,15:27:40,oregon,japan,52.95.30.35,52.95.30.35,108,17
Wed,15:27:40,oregon,japan,52.95.31.124,52.95.31.124,105,18
Wed,15:27:40,oregon,japan,52.95.30.210,52.95.30.210,104,19
Wed,15:27:40,oregon,japan,100.64.17.138,100.64.17.138,116,20
Wed,15:27:40,oregon,japan,100.64.1.128,100.64.1.128,120,21
Wed,15:27:40,oregon,japan,*,*,*,22
Wed,15:27:40,oregon,japan,ec2-52-199-106-184.ap-northeast-1.compute.amazonaws.com,52.199.106.184,105,23
Wed,15:34:33,oregon,japan,ec2-50-112-0-104.us-west-2.compute.amazonaws.com,50.112.0.104,15,1
Wed,15:34:33,oregon,japan,100.66.8.242,100.66.8.242,14,2
Wed,15:34:33,oregon,japan,100.66.10.6,100.66.10.6,15,3
Wed,15:34:33,oregon,japan,100.66.7.199,100.66.7.199,21,4
Wed,15:34:33,oregon,japan,100.66.4.95,100.66.4.95,15,5
Wed,15:34:33,oregon,japan,100.65.11.161,100.65.11.161,0,6
Wed,15:34:33,oregon,japan,205.251.232.166,205.251.232.166,112,7
Wed,15:34:33,oregon,japan,52.93.13.18,52.93.13.18,135,8
Wed,15:34:33,oregon,japan,52.93.12.159,52.93.12.159,96,9
Wed,15:34:33,oregon,japan,52.93.15.82,52.93.15.82,112,10
Wed,15:34:33,oregon,japan,54.239.41.160,54.239.41.160,96,11
Wed,15:34:33,oregon,japan,54.239.53.23,54.239.53.23,99,12
Wed,15:34:33,oregon,japan,54.239.53.97,54.239.53.97,124,13
Wed,15:34:33,oregon,japan,54.239.53.20,54.239.53.20,121,14
Wed,15:34:33,oregon,japan,54.239.53.14,54.239.53.14,104,15
Wed,15:34:33,oregon,japan,27.0.0.249,27.0.0.249,105,16
Wed,15:34:33,oregon,japan,52.95.30.124,52.95.30.124,120,17
Wed,15:34:33,oregon,japan,52.95.30.220,52.95.30.220,121,18
Wed,15:34:33,oregon,japan,52.95.30.208,52.95.30.208,105,19
Wed,15:34:33,oregon,japan,100.64.2.198,100.64.2.198,133,20
Wed,15:34:33,oregon,japan,100.64.0.198,100.64.0.198,126,21
Wed,15:34:33,oregon,japan,ec2-52-199-106-184.ap-northeast-1.compute.amazonaws.com,52.199.106.184,120,22
Wed,15:41:09,oregon,japan,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,15,1
Wed,15:41:09,oregon,japan,100.66.8.18,100.66.8.18,17,2
Wed,15:41:09,oregon,japan,100.66.10.110,100.66.10.110,13,3
Wed,15:41:09,oregon,japan,100.66.6.5,100.66.6.5,19,4
Wed,15:41:09,oregon,japan,100.66.4.239,100.66.4.239,20,5
Wed,15:41:09,oregon,japan,100.65.8.225,100.65.8.225,0,6
Wed,15:41:09,oregon,japan,52.93.15.222,52.93.15.222,112,7
Wed,15:41:09,oregon,japan,52.93.12.238,52.93.12.238,99,8
Wed,15:41:09,oregon,japan,52.93.12.51,52.93.12.51,112,9
Wed,15:41:09,oregon,japan,54.239.43.133,54.239.43.133,96,10
Wed,15:41:09,oregon,japan,205.251.232.85,205.251.232.85,112,11
Wed,15:41:09,oregon,japan,54.239.42.197,54.239.42.197,114,12
Wed,15:41:09,oregon,japan,54.239.53.79,54.239.53.79,130,13
Wed,15:41:09,oregon,japan,54.239.53.115,54.239.53.115,107,14
Wed,15:41:09,oregon,japan,54.239.53.8,54.239.53.8,105,15
Wed,15:41:09,oregon,japan,52.95.31.37,52.95.31.37,124,16
Wed,15:41:09,oregon,japan,52.95.30.13,52.95.30.13,111,17
Wed,15:41:09,oregon,japan,52.95.30.130,52.95.30.130,104,18
Wed,15:41:09,oregon,japan,100.64.17.134,100.64.17.134,126,19
Wed,15:41:09,oregon,japan,100.64.17.144,100.64.17.144,122,20
Wed,15:41:09,oregon,japan,100.64.0.9,100.64.0.9,138,21
Wed,15:41:09,oregon,japan,100.64.3.77,100.64.3.77,122,22
Wed,15:41:09,oregon,japan,ec2-52-199-106-184.ap-northeast-1.compute.amazonaws.com,52.199.106.184,120,23
Wed,15:47:48,oregon,japan,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,10,1
Wed,15:47:48,oregon,japan,100.66.8.194,100.66.8.194,21,2
Wed,15:47:48,oregon,japan,100.66.10.46,100.66.10.46,15,3
Wed,15:47:48,oregon,japan,100.66.6.73,100.66.6.73,11,4
Wed,15:47:48,oregon,japan,100.66.4.229,100.66.4.229,17,5
Wed,15:47:48,oregon,japan,100.65.8.161,100.65.8.161,0,6
Wed,15:47:48,oregon,japan,52.93.13.74,52.93.13.74,112,7
Wed,15:47:48,oregon,japan,52.93.12.166,52.93.12.166,114,8
Wed,15:47:48,oregon,japan,52.93.12.51,52.93.12.51,112,9
Wed,15:47:48,oregon,japan,54.239.43.133,54.239.43.133,96,10
Wed,15:47:48,oregon,japan,54.239.41.160,54.239.41.160,96,11
Wed,15:47:48,oregon,japan,54.239.42.197,54.239.42.197,114,12
Wed,15:47:48,oregon,japan,54.239.53.99,54.239.53.99,130,13
Wed,15:47:48,oregon,japan,54.239.53.131,54.239.53.131,106,14
