Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,15:27:34,oregon,kenya,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,21,1
Wed,15:27:34,oregon,kenya,100.66.8.86,100.66.8.86,21,2
Wed,15:27:34,oregon,kenya,100.66.10.42,100.66.10.42,21,3
Wed,15:27:34,oregon,kenya,100.66.7.201,100.66.7.201,14,4
Wed,15:27:34,oregon,kenya,100.66.4.209,100.66.4.209,15,5
Wed,15:27:34,oregon,kenya,100.65.8.225,100.65.8.225,0,6
Wed,15:27:34,oregon,kenya,52.93.15.222,52.93.15.222,1,7
Wed,15:27:34,oregon,kenya,52.93.12.208,52.93.12.208,25,8
Wed,15:27:34,oregon,kenya,52.93.12.53,52.93.12.53,3,9
Wed,15:27:34,oregon,kenya,54.239.43.131,54.239.43.131,9,10
Wed,15:27:34,oregon,kenya,54.239.42.220,54.239.42.220,8,11
Wed,15:27:34,oregon,kenya,52.95.53.8,52.95.53.8,10,12
Wed,15:27:34,oregon,kenya,ae-8.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.181,8,13
Wed,15:27:34,oregon,kenya,ae-8.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.181,9,14
Wed,15:27:34,oregon,kenya,ae-18.r05.sttlwa01.us.bb.gin.ntt.net,129.250.201.177,8,15
Wed,15:27:34,oregon,kenya,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,8,16
Wed,15:27:34,oregon,kenya,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,263,17
Wed,15:27:34,oregon,kenya,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,258,18
Wed,15:27:34,oregon,kenya,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,264,19
Wed,15:27:34,oregon,kenya,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,264,20
Wed,15:27:34,oregon,kenya,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,256,21
Wed,15:27:34,oregon,kenya,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,263,22
Wed,15:27:34,oregon,kenya,if-ae-9-2.tcore2.WYN-Marseille.as6453.net,80.231.200.13,256,23
Wed,15:27:34,oregon,kenya,if-ae-2-2.tcore1.WYN-Marseille.as6453.net,80.231.217.1,172,24
Wed,15:27:34,oregon,kenya,195.219.174.134,195.219.174.134,317,25
Wed,15:27:34,oregon,kenya,196.201.222.89,196.201.222.89,306,26
Wed,15:27:34,oregon,kenya,196.201.222.166,196.201.222.166,314,27
Wed,15:27:34,oregon,kenya,196.201.222.166,196.201.222.166,306,28
Wed,15:27:34,oregon,kenya,*,*,*,29
Wed,15:27:34,oregon,kenya,*,*,*,30
Wed,15:34:25,oregon,kenya,ec2-50-112-0-122.us-west-2.compute.amazonaws.com,50.112.0.122,19,1
Wed,15:34:25,oregon,kenya,100.66.8.236,100.66.8.236,20,2
Wed,15:34:25,oregon,kenya,100.66.10.104,100.66.10.104,18,3
Wed,15:34:25,oregon,kenya,100.66.6.37,100.66.6.37,22,4
Wed,15:34:25,oregon,kenya,100.66.4.101,100.66.4.101,20,5
Wed,15:34:25,oregon,kenya,100.65.8.225,100.65.8.225,0,6
Wed,15:34:25,oregon,kenya,54.239.48.176,54.239.48.176,2,7
Wed,15:34:25,oregon,kenya,52.93.12.136,52.93.12.136,37,8
Wed,15:34:25,oregon,kenya,52.93.13.9,52.93.13.9,2,9
Wed,15:34:25,oregon,kenya,54.239.43.131,54.239.43.131,8,10
Wed,15:34:25,oregon,kenya,54.239.42.239,54.239.42.239,8,11
