Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,16:01:21,oregon,algeria,ec2-50-112-0-118.us-west-2.compute.amazonaws.com,50.112.0.118,22,1
Wed,16:01:21,oregon,algeria,100.66.8.254,100.66.8.254,20,2
Wed,16:01:21,oregon,algeria,100.66.11.100,100.66.11.100,17,3
Wed,16:01:21,oregon,algeria,100.66.6.139,100.66.6.139,16,4
Wed,16:01:21,oregon,algeria,100.66.4.149,100.66.4.149,19,5
Wed,16:01:21,oregon,algeria,100.65.9.225,100.65.9.225,0,6
Wed,16:01:21,oregon,algeria,52.93.15.216,52.93.15.216,1,7
Wed,16:01:21,oregon,algeria,52.93.12.244,52.93.12.244,3,8
Wed,16:01:21,oregon,algeria,52.93.13.5,52.93.13.5,2,9
Wed,16:01:21,oregon,algeria,54.239.43.133,54.239.43.133,7,10
Wed,16:01:21,oregon,algeria,54.239.42.216,54.239.42.216,9,11
Wed,16:01:21,oregon,algeria,52.95.52.94,52.95.52.94,17,12
Wed,16:01:21,oregon,algeria,52.95.52.221,52.95.52.221,9,13
Wed,16:01:21,oregon,algeria,ae-8.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.181,8,14
Wed,16:01:21,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,6,15
Wed,16:01:21,oregon,algeria,ae-30.r05.sttlwa01.us.bb.gin.ntt.net,129.250.2.98,8,16
Wed,16:01:21,oregon,algeria,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,147,17
Wed,16:01:21,oregon,algeria,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,146,18
Wed,16:01:21,oregon,algeria,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,156,19
Wed,16:01:21,oregon,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,147,20
Wed,16:01:21,oregon,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,156,21
Wed,16:01:21,oregon,algeria,195.219.83.30,195.219.83.30,144,22
Wed,16:01:21,oregon,algeria,*,*,*,23
Wed,16:01:21,oregon,algeria,*,*,*,24
Wed,16:01:21,oregon,algeria,*,*,*,25
Wed,16:01:21,oregon,algeria,*,*,*,26
Wed,16:01:21,oregon,algeria,*,*,*,27
Wed,16:01:21,oregon,algeria,*,*,*,28
Wed,16:01:21,oregon,algeria,*,*,*,29
Wed,16:01:21,oregon,algeria,*,*,*,30
Wed,16:08:22,oregon,algeria,ec2-50-112-0-118.us-west-2.compute.amazonaws.com,50.112.0.118,16,1
Wed,16:08:22,oregon,algeria,100.66.8.130,100.66.8.130,19,2
Wed,16:08:22,oregon,algeria,100.66.10.166,100.66.10.166,14,3
Wed,16:08:22,oregon,algeria,100.66.7.13,100.66.7.13,18,4
Wed,16:08:22,oregon,algeria,100.66.4.211,100.66.4.211,13,5
Wed,16:08:22,oregon,algeria,100.65.8.33,100.65.8.33,3,6
Wed,16:08:22,oregon,algeria,54.239.48.178,54.239.48.178,2,7
Wed,16:08:22,oregon,algeria,52.93.13.18,52.93.13.18,3,8
Wed,16:08:22,oregon,algeria,52.93.12.161,52.93.12.161,1,9
Wed,16:08:22,oregon,algeria,54.239.43.133,54.239.43.133,8,10
Wed,16:08:22,oregon,algeria,54.239.42.239,54.239.42.239,8,11
Wed,16:08:22,oregon,algeria,52.95.53.152,52.95.53.152,18,12
Wed,16:08:22,oregon,algeria,52.95.52.85,52.95.52.85,8,13
Wed,16:08:22,oregon,algeria,ae-8.r04.sttlwa01.us.bb.gin.ntt.net,198.104.202.189,9,14
Wed,16:08:22,oregon,algeria,ae-8.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.181,8,15
Wed,16:08:22,oregon,algeria,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,156,16
Wed,16:08:22,oregon,algeria,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,156,17
Wed,16:08:22,oregon,algeria,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,158,18
Wed,16:08:22,oregon,algeria,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,156,19
Wed,16:08:22,oregon,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,146,20
Wed,16:08:22,oregon,algeria,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,156,21
Wed,16:08:22,oregon,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,157,22
Wed,16:08:22,oregon,algeria,195.219.83.30,195.219.83.30,143,23
Wed,16:08:22,oregon,algeria,*,*,*,24
Wed,16:08:22,oregon,algeria,*,*,*,25
Wed,16:08:22,oregon,algeria,*,*,*,26
Wed,16:08:22,oregon,algeria,*,*,*,27
Wed,16:08:22,oregon,algeria,*,*,*,28
Wed,16:08:22,oregon,algeria,*,*,*,29
Wed,16:08:22,oregon,algeria,*,*,*,30
Wed,16:15:02,oregon,algeria,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,14,1
Wed,16:15:02,oregon,algeria,100.66.8.16,100.66.8.16,16,2
Wed,16:15:02,oregon,algeria,100.66.10.70,100.66.10.70,16,3
Wed,16:15:02,oregon,algeria,100.66.7.197,100.66.7.197,14,4
Wed,16:15:02,oregon,algeria,100.66.4.49,100.66.4.49,18,5
Wed,16:15:02,oregon,algeria,100.65.9.161,100.65.9.161,0,6
Wed,16:15:02,oregon,algeria,52.93.15.218,52.93.15.218,1,7
Wed,16:15:02,oregon,algeria,52.93.12.100,52.93.12.100,18,8
Wed,16:15:02,oregon,algeria,52.93.12.117,52.93.12.117,1,9
Wed,16:15:02,oregon,algeria,54.239.43.129,54.239.43.129,7,10
Wed,16:15:02,oregon,algeria,52.95.53.158,52.95.53.158,13,11
Wed,16:15:02,oregon,algeria,52.95.53.136,52.95.53.136,13,12
Wed,16:15:02,oregon,algeria,52.95.52.81,52.95.52.81,7,13
Wed,16:15:02,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,7,14
Wed,16:15:02,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,9,15
Wed,16:15:02,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,9,16
Wed,16:15:02,oregon,algeria,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,147,17
Wed,16:15:02,oregon,algeria,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,148,18
Wed,16:15:02,oregon,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,155,19
Wed,16:15:02,oregon,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,149,20
Wed,16:15:02,oregon,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,148,21
Wed,16:15:02,oregon,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,152,22
Wed,16:15:02,oregon,algeria,*,*,*,23
Wed,16:15:02,oregon,algeria,*,*,*,24
Wed,16:15:02,oregon,algeria,*,*,*,25
Wed,16:15:02,oregon,algeria,*,*,*,26
Wed,16:15:02,oregon,algeria,*,*,*,27
Wed,16:15:02,oregon,algeria,*,*,*,28
Wed,16:15:02,oregon,algeria,*,*,*,29
Wed,16:15:02,oregon,algeria,*,*,*,30
Wed,16:21:30,oregon,algeria,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,17,1
Wed,16:21:30,oregon,algeria,100.66.8.204,100.66.8.204,18,2
Wed,16:21:30,oregon,algeria,100.66.11.46,100.66.11.46,14,3
Wed,16:21:30,oregon,algeria,100.66.7.231,100.66.7.231,19,4
Wed,16:21:30,oregon,algeria,100.66.4.165,100.66.4.165,14,5
Wed,16:21:30,oregon,algeria,100.65.8.97,100.65.8.97,0,6
Wed,16:21:30,oregon,algeria,52.93.13.72,52.93.13.72,1,7
Wed,16:21:30,oregon,algeria,52.93.12.202,52.93.12.202,16,8
Wed,16:21:30,oregon,algeria,52.93.13.11,52.93.13.11,1,9
Wed,16:21:30,oregon,algeria,54.239.43.129,54.239.43.129,6,10
Wed,16:21:30,oregon,algeria,54.239.42.232,54.239.42.232,8,11
Wed,16:21:30,oregon,algeria,52.95.52.183,52.95.52.183,6,12
Wed,16:21:30,oregon,algeria,52.95.53.4,52.95.53.4,16,13
Wed,16:21:30,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,14
Wed,16:21:30,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,15
Wed,16:21:30,oregon,algeria,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,155,16
Wed,16:21:30,oregon,algeria,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,147,17
Wed,16:21:30,oregon,algeria,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,147,18
Wed,16:21:30,oregon,algeria,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,155,19
Wed,16:21:30,oregon,algeria,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,156,20
Wed,16:21:30,oregon,algeria,195.219.83.30,195.219.83.30,143,21
Wed,16:21:30,oregon,algeria,*,*,*,22
Wed,16:21:30,oregon,algeria,*,*,*,23
Wed,16:21:30,oregon,algeria,*,*,*,24
Wed,16:21:30,oregon,algeria,*,*,*,25
Wed,16:21:30,oregon,algeria,*,*,*,26
Wed,16:21:30,oregon,algeria,*,*,*,27
Wed,16:21:30,oregon,algeria,*,*,*,28
Wed,16:21:30,oregon,algeria,*,*,*,29
Wed,16:21:30,oregon,algeria,*,*,*,30
Wed,16:28:16,oregon,algeria,ec2-50-112-0-122.us-west-2.compute.amazonaws.com,50.112.0.122,20,1
Wed,16:28:16,oregon,algeria,100.66.8.194,100.66.8.194,21,2
Wed,16:28:16,oregon,algeria,100.66.10.100,100.66.10.100,19,3
Wed,16:28:16,oregon,algeria,100.66.7.237,100.66.7.237,18,4
Wed,16:28:16,oregon,algeria,100.66.4.29,100.66.4.29,15,5
Wed,16:28:16,oregon,algeria,100.65.8.1,100.65.8.1,0,6
Wed,16:28:16,oregon,algeria,205.251.232.166,205.251.232.166,1,7
Wed,16:28:16,oregon,algeria,52.93.12.166,52.93.12.166,39,8
Wed,16:28:16,oregon,algeria,52.93.12.195,52.93.12.195,1,9
Wed,16:28:16,oregon,algeria,54.239.43.125,54.239.43.125,6,10
Wed,16:28:16,oregon,algeria,54.239.42.224,54.239.42.224,7,11
Wed,16:28:16,oregon,algeria,52.95.52.11,52.95.52.11,6,12
Wed,16:28:16,oregon,algeria,52.95.52.217,52.95.52.217,7,13
Wed,16:28:16,oregon,algeria,ae-8.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.181,7,14
Wed,16:28:16,oregon,algeria,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,155,15
Wed,16:28:16,oregon,algeria,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,155,16
Wed,16:28:16,oregon,algeria,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,147,17
Wed,16:28:16,oregon,algeria,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,156,18
Wed,16:28:16,oregon,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,154,19
Wed,16:28:16,oregon,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,155,20
Wed,16:28:16,oregon,algeria,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,156,21
Wed,16:28:16,oregon,algeria,*,*,*,22
Wed,16:28:16,oregon,algeria,*,*,*,23
Wed,16:28:16,oregon,algeria,*,*,*,24
Wed,16:28:16,oregon,algeria,*,*,*,25
Wed,16:28:16,oregon,algeria,*,*,*,26
Wed,16:28:16,oregon,algeria,*,*,*,27
Wed,16:28:16,oregon,algeria,*,*,*,28
Wed,16:28:16,oregon,algeria,*,*,*,29
Wed,16:28:16,oregon,algeria,*,*,*,30
Wed,16:34:42,oregon,algeria,ec2-50-112-0-118.us-west-2.compute.amazonaws.com,50.112.0.118,13,1
Wed,16:34:42,oregon,algeria,100.66.8.180,100.66.8.180,13,2
Wed,16:34:42,oregon,algeria,100.66.11.234,100.66.11.234,14,3
Wed,16:34:42,oregon,algeria,100.66.7.3,100.66.7.3,21,4
Wed,16:34:42,oregon,algeria,100.66.4.121,100.66.4.121,14,5
Wed,16:34:42,oregon,algeria,100.65.10.33,100.65.10.33,0,6
Wed,16:34:42,oregon,algeria,52.93.13.74,52.93.13.74,1,7
Wed,16:34:42,oregon,algeria,52.93.13.54,52.93.13.54,3,8
Wed,16:34:42,oregon,algeria,52.93.13.11,52.93.13.11,1,9
Wed,16:34:42,oregon,algeria,54.239.42.195,54.239.42.195,13,10
Wed,16:34:42,oregon,algeria,54.239.42.230,54.239.42.230,8,11
Wed,16:34:42,oregon,algeria,52.95.52.221,52.95.52.221,7,12
Wed,16:34:42,oregon,algeria,52.95.52.249,52.95.52.249,8,13
Wed,16:34:42,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,6,14
Wed,16:34:42,oregon,algeria,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,154,15
Wed,16:34:42,oregon,algeria,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,147,16
Wed,16:34:42,oregon,algeria,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,146,17
Wed,16:34:42,oregon,algeria,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,161,18
Wed,16:34:42,oregon,algeria,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,146,19
Wed,16:34:42,oregon,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,154,20
Wed,16:34:42,oregon,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,155,21
Wed,16:34:42,oregon,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,146,22
Wed,16:34:42,oregon,algeria,195.219.83.30,195.219.83.30,144,23
Wed,16:34:42,oregon,algeria,*,*,*,24
Wed,16:34:42,oregon,algeria,*,*,*,25
Wed,16:34:42,oregon,algeria,*,*,*,26
Wed,16:34:42,oregon,algeria,*,*,*,27
Wed,16:34:42,oregon,algeria,*,*,*,28
Wed,16:34:42,oregon,algeria,*,*,*,29
Wed,16:34:42,oregon,algeria,*,*,*,30
Wed,16:41:16,oregon,algeria,ec2-50-112-0-124.us-west-2.compute.amazonaws.com,50.112.0.124,19,1
Wed,16:41:16,oregon,algeria,100.66.8.20,100.66.8.20,15,2
Wed,16:41:16,oregon,algeria,100.66.10.226,100.66.10.226,14,3
Wed,16:41:16,oregon,algeria,100.66.6.197,100.66.6.197,22,4
Wed,16:41:16,oregon,algeria,100.66.4.237,100.66.4.237,14,5
Wed,16:41:16,oregon,algeria,100.65.9.129,100.65.9.129,0,6
Wed,16:41:16,oregon,algeria,52.93.13.74,52.93.13.74,1,7
Wed,16:41:16,oregon,algeria,52.93.12.100,52.93.12.100,18,8
Wed,16:41:16,oregon,algeria,52.93.12.89,52.93.12.89,1,9
Wed,16:41:16,oregon,algeria,54.239.43.121,54.239.43.121,7,10
Wed,16:41:16,oregon,algeria,54.239.42.230,54.239.42.230,7,11
Wed,16:41:16,oregon,algeria,52.95.52.90,52.95.52.90,9,12
Wed,16:41:16,oregon,algeria,52.95.52.183,52.95.52.183,8,13
Wed,16:41:16,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,6,14
Wed,16:41:16,oregon,algeria,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,155,15
Wed,16:41:16,oregon,algeria,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,7,16
Wed,16:41:16,oregon,algeria,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,156,17
Wed,16:41:16,oregon,algeria,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,147,18
Wed,16:41:16,oregon,algeria,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,154,19
Wed,16:41:16,oregon,algeria,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,155,20
Wed,16:41:16,oregon,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,155,21
Wed,16:41:16,oregon,algeria,*,*,*,22
Wed,16:41:16,oregon,algeria,*,*,*,23
Wed,16:41:16,oregon,algeria,*,*,*,24
Wed,16:41:16,oregon,algeria,*,*,*,25
Wed,16:41:16,oregon,algeria,*,*,*,26
Wed,16:41:16,oregon,algeria,*,*,*,27
