Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,16:01:38,oregon,angola,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,12,1
Wed,16:01:38,oregon,angola,100.66.8.140,100.66.8.140,12,2
Wed,16:01:38,oregon,angola,100.66.10.70,100.66.10.70,64,3
Wed,16:01:38,oregon,angola,100.66.7.111,100.66.7.111,15,4
Wed,16:01:38,oregon,angola,100.66.4.255,100.66.4.255,21,5
Wed,16:01:38,oregon,angola,100.65.11.129,100.65.11.129,0,6
Wed,16:01:38,oregon,angola,52.93.13.72,52.93.13.72,1,7
Wed,16:01:38,oregon,angola,52.93.13.24,52.93.13.24,3,8
Wed,16:01:38,oregon,angola,52.93.12.225,52.93.12.225,1,9
Wed,16:01:38,oregon,angola,54.239.43.137,54.239.43.137,8,10
Wed,16:01:38,oregon,angola,54.239.42.214,54.239.42.214,9,11
Wed,16:01:38,oregon,angola,52.95.52.194,52.95.52.194,17,12
Wed,16:01:38,oregon,angola,ae-8.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.181,7,13
Wed,16:01:38,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,6,14
Wed,16:01:38,oregon,angola,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,185,15
Wed,16:01:38,oregon,angola,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,186,16
Wed,16:01:38,oregon,angola,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,185,17
Wed,16:01:38,oregon,angola,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,186,18
Wed,16:01:38,oregon,angola,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,186,19
Wed,16:01:38,oregon,angola,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,178,20
Wed,16:01:38,oregon,angola,*,*,*,21
Wed,16:01:38,oregon,angola,*,*,*,22
Wed,16:01:38,oregon,angola,if-ae-2-2.tcore2.PV9-Lisbon.as6453.net,80.231.158.6,185,23
Wed,16:01:38,oregon,angola,80.231.159.26,80.231.159.26,177,24
Wed,16:01:38,oregon,angola,if-ae-11-2.tcore2.WV6-Madrid.as6453.net,80.231.91.66,182,25
Wed,16:01:38,oregon,angola,p2-nc024.ang.lad.as37468.angolacables.ao,185.148.112.21,296,26
Wed,16:01:38,oregon,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,280,27
Wed,16:01:38,oregon,angola,197.149.148.237,197.149.148.237,272,28
Wed,16:01:38,oregon,angola,41.222.238.7,41.222.238.7,295,29
Wed,16:01:38,oregon,angola,197.149.148.237,197.149.148.237,280,30
Wed,16:08:34,oregon,angola,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,13,1
Wed,16:08:34,oregon,angola,100.66.8.208,100.66.8.208,17,2
Wed,16:08:34,oregon,angola,100.66.11.72,100.66.11.72,17,3
Wed,16:08:34,oregon,angola,100.66.6.133,100.66.6.133,17,4
Wed,16:08:34,oregon,angola,100.66.4.39,100.66.4.39,18,5
Wed,16:08:34,oregon,angola,100.65.10.65,100.65.10.65,0,6
Wed,16:08:34,oregon,angola,52.93.13.72,52.93.13.72,1,7
Wed,16:08:34,oregon,angola,52.93.12.166,52.93.12.166,2,8
Wed,16:08:34,oregon,angola,52.93.13.11,52.93.13.11,1,9
Wed,16:08:34,oregon,angola,54.239.43.127,54.239.43.127,7,10
Wed,16:08:34,oregon,angola,52.95.52.62,52.95.52.62,14,11
Wed,16:08:34,oregon,angola,52.95.52.187,52.95.52.187,7,12
Wed,16:08:34,oregon,angola,ae-9.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.185,8,13
Wed,16:08:34,oregon,angola,ae-8.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.181,8,14
Wed,16:08:34,oregon,angola,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,185,15
Wed,16:08:34,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,182,16
Wed,16:08:34,oregon,angola,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,186,17
Wed,16:08:34,oregon,angola,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,186,18
Wed,16:08:34,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,182,19
Wed,16:08:34,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,191,20
Wed,16:08:34,oregon,angola,if-ae-17-2.tcore1.L78-London.as6453.net,80.231.130.129,176,21
Wed,16:08:34,oregon,angola,if-ae-1-3.tcore1.PV9-Lisbon.as6453.net,80.231.158.29,177,22
Wed,16:08:34,oregon,angola,if-ae-2-2.tcore1.SV8-Highbridge.as6453.net,80.231.139.2,176,23
Wed,16:08:34,oregon,angola,if-ae-2-2.tcore1.SV8-Highbridge.as6453.net,80.231.139.2,186,24
Wed,16:08:34,oregon,angola,p2-nc023.ang.lad.as37468.angolacables.ao,185.148.112.17,293,25
Wed,16:08:34,oregon,angola,p2-nc024.ang.lad.as37468.angolacables.ao,185.148.112.21,287,26
Wed,16:08:34,oregon,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,271,27
Wed,16:08:34,oregon,angola,p2-nc024.ang.lad.as37468.angolacables.ao,185.148.112.21,296,28
Wed,16:08:34,oregon,angola,41.222.238.7,41.222.238.7,295,29
Wed,16:08:34,oregon,angola,41.222.238.7,41.222.238.7,288,30
Wed,16:15:15,oregon,angola,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,21,1
Wed,16:15:15,oregon,angola,100.66.8.134,100.66.8.134,16,2
Wed,16:15:15,oregon,angola,100.66.11.76,100.66.11.76,17,3
Wed,16:15:15,oregon,angola,100.66.7.67,100.66.7.67,19,4
Wed,16:15:15,oregon,angola,100.66.4.75,100.66.4.75,17,5
Wed,16:15:15,oregon,angola,100.65.10.129,100.65.10.129,0,6
Wed,16:15:15,oregon,angola,54.239.48.178,54.239.48.178,1,7
Wed,16:15:15,oregon,angola,52.93.12.166,52.93.12.166,19,8
Wed,16:15:15,oregon,angola,52.93.12.193,52.93.12.193,2,9
Wed,16:15:15,oregon,angola,52.93.15.81,52.93.15.81,8,10
Wed,16:15:15,oregon,angola,54.239.42.230,54.239.42.230,8,11
Wed,16:15:15,oregon,angola,52.95.52.60,52.95.52.60,65,12
Wed,16:15:15,oregon,angola,ae-18.r05.sttlwa01.us.bb.gin.ntt.net,129.250.201.177,7,13
Wed,16:15:15,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,14
Wed,16:15:15,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,15
Wed,16:15:15,oregon,angola,if-ae-2-2.tcore2.00S-Seattle.as6453.net,64.86.123.93,186,16
Wed,16:15:15,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,184,17
Wed,16:15:15,oregon,angola,if-ae-22-2.tcore1.CT8-Chicago.as6453.net,64.86.79.2,186,18
Wed,16:15:15,oregon,angola,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,195,19
Wed,16:15:15,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,186,20
Wed,16:15:15,oregon,angola,if-ae-15-2.tcore2.L78-London.as6453.net,80.231.131.117,178,21
Wed,16:15:15,oregon,angola,if-ae-17-2.tcore1.L78-London.as6453.net,80.231.130.129,185,22
Wed,16:15:15,oregon,angola,if-ae-11-2.tcore2.SV8-Highbridge.as6453.net,80.231.139.41,191,23
Wed,16:15:15,oregon,angola,if-ae-1-3.tcore1.PV9-Lisbon.as6453.net,80.231.158.29,185,24
Wed,16:15:15,oregon,angola,if-ae-2-2.tcore1.SV8-Highbridge.as6453.net,80.231.139.2,177,25
Wed,16:15:15,oregon,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,278,26
Wed,16:15:15,oregon,angola,80.231.159.26,80.231.159.26,183,27
Wed,16:15:15,oregon,angola,197.149.148.237,197.149.148.237,272,28
Wed,16:15:15,oregon,angola,41.222.238.7,41.222.238.7,287,29
Wed,16:15:15,oregon,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,277,30
Wed,16:21:42,oregon,angola,ec2-50-112-0-118.us-west-2.compute.amazonaws.com,50.112.0.118,13,1
Wed,16:21:42,oregon,angola,100.66.8.246,100.66.8.246,21,2
Wed,16:21:42,oregon,angola,100.66.10.166,100.66.10.166,13,3
Wed,16:21:42,oregon,angola,100.66.6.199,100.66.6.199,18,4
Wed,16:21:42,oregon,angola,100.66.4.163,100.66.4.163,21,5
Wed,16:21:42,oregon,angola,100.65.9.225,100.65.9.225,0,6
Wed,16:21:42,oregon,angola,52.93.15.216,52.93.15.216,1,7
Wed,16:21:42,oregon,angola,52.93.12.238,52.93.12.238,13,8
Wed,16:21:42,oregon,angola,52.93.12.51,52.93.12.51,4,9
Wed,16:21:42,oregon,angola,52.93.15.87,52.93.15.87,7,10
Wed,16:21:42,oregon,angola,54.239.42.232,54.239.42.232,8,11
Wed,16:21:42,oregon,angola,52.95.52.81,52.95.52.81,7,12
Wed,16:21:42,oregon,angola,52.95.52.115,52.95.52.115,10,13
Wed,16:21:42,oregon,angola,ae-9.r05.sttlwa01.us.bb.gin.ntt.net,198.104.202.185,9,14
Wed,16:21:42,oregon,angola,ix-ae-10-0.tcore1.00S-Seattle.as6453.net,64.86.123.41,8,15
Wed,16:21:42,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,182,16
Wed,16:21:42,oregon,angola,if-ae-25-2.tcore2.CT8-Chicago.as6453.net,207.45.206.1,183,17
Wed,16:21:42,oregon,angola,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,186,18
Wed,16:21:42,oregon,angola,if-ae-26-2.tcore2.NTO-New-York.as6453.net,216.6.81.28,186,19
Wed,16:21:42,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,183,20
Wed,16:21:42,oregon,angola,if-ae-32-2.tcore2.LDN-London.as6453.net,63.243.216.23,178,21
Wed,16:21:42,oregon,angola,*,*,*,22
Wed,16:21:42,oregon,angola,*,*,*,23
Wed,16:21:42,oregon,angola,80.231.159.26,80.231.159.26,171,24
Wed,16:21:42,oregon,angola,80.231.159.26,80.231.159.26,178,25
Wed,16:21:42,oregon,angola,p2-nc023.ang.lad.as37468.angolacables.ao,185.148.112.17,294,26
Wed,16:21:42,oregon,angola,if-ae-7-2.tcore2.PV9-Lisbon.as6453.net,80.231.159.29,191,27
Wed,16:21:42,oregon,angola,197.149.148.237,197.149.148.237,273,28
Wed,16:21:42,oregon,angola,41.222.238.7,41.222.238.7,295,29
Wed,16:21:42,oregon,angola,197.149.148.237,197.149.148.237,273,30
Wed,16:28:30,oregon,angola,ec2-50-112-0-106.us-west-2.compute.amazonaws.com,50.112.0.106,14,1
Wed,16:28:30,oregon,angola,100.66.8.36,100.66.8.36,43,2
