Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,16:02:12,oregon,congo_DR,ec2-50-112-0-122.us-west-2.compute.amazonaws.com,50.112.0.122,13,1
Wed,16:02:12,oregon,congo_DR,100.66.8.20,100.66.8.20,16,2
Wed,16:02:12,oregon,congo_DR,100.66.11.174,100.66.11.174,16,3
Wed,16:02:12,oregon,congo_DR,100.66.6.13,100.66.6.13,20,4
Wed,16:02:12,oregon,congo_DR,100.66.4.107,100.66.4.107,13,5
Wed,16:02:12,oregon,congo_DR,100.65.8.161,100.65.8.161,0,6
Wed,16:02:12,oregon,congo_DR,52.93.15.220,52.93.15.220,2,7
Wed,16:02:12,oregon,congo_DR,52.93.12.136,52.93.12.136,3,8
Wed,16:02:12,oregon,congo_DR,52.93.13.41,52.93.13.41,1,9
Wed,16:02:12,oregon,congo_DR,54.239.43.125,54.239.43.125,6,10
Wed,16:02:12,oregon,congo_DR,54.239.42.228,54.239.42.228,8,11
Wed,16:02:12,oregon,congo_DR,52.95.52.255,52.95.52.255,7,12
Wed,16:02:12,oregon,congo_DR,52.95.52.85,52.95.52.85,8,13
Wed,16:02:12,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,32,14
Wed,16:02:12,oregon,congo_DR,216.156.16.80.ptr.us.xo.net,216.156.16.80,33,15
Wed,16:02:12,oregon,congo_DR,207.88.12.228.ptr.us.xo.net,207.88.12.228,31,16
Wed,16:02:12,oregon,congo_DR,216.156.16.29.ptr.us.xo.net,216.156.16.29,32,17
Wed,16:02:12,oregon,congo_DR,216.51.74.158,216.51.74.158,33,18
Wed,16:02:12,oregon,congo_DR,162-144-240-163.unifiedlayer.com,162.144.240.163,33,19
Wed,16:02:12,oregon,congo_DR,162-144-240-23.unifiedlayer.com,162.144.240.23,34,20
Wed,16:02:12,oregon,congo_DR,just57.justhost.com,173.254.28.57,33,21
Wed,16:08:47,oregon,congo_DR,ec2-50-112-0-124.us-west-2.compute.amazonaws.com,50.112.0.124,15,1
Wed,16:08:47,oregon,congo_DR,100.66.8.12,100.66.8.12,15,2
Wed,16:08:47,oregon,congo_DR,100.66.11.12,100.66.11.12,18,3
Wed,16:08:47,oregon,congo_DR,100.66.7.239,100.66.7.239,12,4
Wed,16:08:47,oregon,congo_DR,100.66.4.125,100.66.4.125,12,5
Wed,16:08:47,oregon,congo_DR,100.65.11.33,100.65.11.33,0,6
Wed,16:08:47,oregon,congo_DR,52.93.15.220,52.93.15.220,3,7
Wed,16:08:47,oregon,congo_DR,52.93.12.130,52.93.12.130,3,8
Wed,16:08:47,oregon,congo_DR,52.93.13.11,52.93.13.11,1,9
Wed,16:08:47,oregon,congo_DR,54.239.43.137,54.239.43.137,8,10
Wed,16:08:47,oregon,congo_DR,54.239.43.129,54.239.43.129,8,11
Wed,16:08:47,oregon,congo_DR,52.95.52.128,52.95.52.128,9,12
