Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Wed,16:03:07,oregon,uganda,ec2-50-112-0-108.us-west-2.compute.amazonaws.com,50.112.0.108,18,1
Wed,16:03:07,oregon,uganda,100.66.8.92,100.66.8.92,15,2
Wed,16:03:07,oregon,uganda,100.66.11.170,100.66.11.170,19,3
Wed,16:03:07,oregon,uganda,100.66.6.107,100.66.6.107,177,4
Wed,16:03:07,oregon,uganda,100.66.4.117,100.66.4.117,7,5
Wed,16:03:07,oregon,uganda,100.65.9.1,100.65.9.1,3,6
Wed,16:03:07,oregon,uganda,52.93.13.72,52.93.13.72,1,7
Wed,16:03:07,oregon,uganda,52.93.12.94,52.93.12.94,15,8
Wed,16:03:07,oregon,uganda,52.93.13.51,52.93.13.51,1,9
Wed,16:03:07,oregon,uganda,54.239.43.137,54.239.43.137,8,10
Wed,16:03:07,oregon,uganda,54.239.43.137,54.239.43.137,8,11
Wed,16:03:07,oregon,uganda,52.95.53.152,52.95.53.152,40,12
Wed,16:03:07,oregon,uganda,52.95.52.191,52.95.52.191,8,13
Wed,16:03:07,oregon,uganda,sea-b2-link.telia.net,62.115.115.3,8,14
Wed,16:03:07,oregon,uganda,sea-b2-link.telia.net,62.115.115.3,9,15
Wed,16:03:07,oregon,uganda,chi-b21-link.telia.net,62.115.117.49,51,16
Wed,16:03:07,oregon,uganda,ldn-bb2-link.telia.net,62.115.124.165,142,17
Wed,16:03:07,oregon,uganda,ldn-b1-link.telia.net,62.115.115.15,142,18
Wed,16:03:07,oregon,uganda,ldn-bb3-link.telia.net,62.115.124.119,143,19
Wed,16:03:07,oregon,uganda,bhartiairtel-ic-316564-ldn-b1.c.telia.net,213.248.72.138,142,20
Wed,16:03:07,oregon,uganda,182.79.222.206,182.79.222.206,153,21
Wed,16:03:07,oregon,uganda,61.246.168.114,61.246.168.114,415,22
Wed,16:03:07,oregon,uganda,61.246.168.114,61.246.168.114,417,23
Wed,16:03:07,oregon,uganda,41.84.192.17,41.84.192.17,422,24
Wed,16:03:07,oregon,uganda,196.0.1.13,196.0.1.13,378,25
Wed,16:03:07,oregon,uganda,196.0.1.13,196.0.1.13,379,26
