Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,23:35:02,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,23:35:02,rwanda,congo_DR,41.74.174.49,41.74.174.49,4,2
Fri,23:35:02,rwanda,congo_DR,197.243.126.165,197.243.126.165,5,3
Fri,23:35:02,rwanda,congo_DR,192.168.1.253,192.168.1.253,5,4
Fri,23:35:02,rwanda,congo_DR,192.168.1.230,192.168.1.230,5,5
Fri,23:35:02,rwanda,congo_DR,197.243.126.29,197.243.126.29,5,6
Fri,23:35:02,rwanda,congo_DR,41.223.224.210,41.223.224.210,4,7
Fri,23:35:02,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,162,8
Fri,23:35:02,rwanda,congo_DR,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,163,9
Fri,23:35:02,rwanda,congo_DR,197.155.94.167.liquidtelecom.net,197.155.94.167,25,10
Fri,23:35:02,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,163,11
Fri,23:35:02,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,161,12
Fri,23:35:02,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,161,13
Fri,23:35:02,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,162,14
Fri,23:35:02,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,162,15
Fri,23:35:02,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,234,16
Fri,23:35:02,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,358,17
Fri,23:35:02,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,308,18
Fri,23:35:02,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,324,19
Fri,23:35:02,rwanda,congo_DR,ae-41.r02.snjsca04.us.bb.gin.ntt.net,129.250.6.119,368,20
Fri,23:35:02,rwanda,congo_DR,ae-0.a01.snjsca04.us.bb.gin.ntt.net,129.250.3.163,368,21
Fri,23:35:02,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,444,22
Fri,23:35:02,rwanda,congo_DR,162-144-240-159.unifiedlayer.com,162.144.240.159,444,23
Fri,23:35:02,rwanda,congo_DR,162-144-240-23.unifiedlayer.com,162.144.240.23,331,24
Fri,23:35:02,rwanda,congo_DR,just57.justhost.com,173.254.28.57,326,25
Fri,23:45:51,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,23:45:51,rwanda,congo_DR,41.74.174.49,41.74.174.49,5,2
Fri,23:45:51,rwanda,congo_DR,197.243.126.165,197.243.126.165,6,3
Fri,23:45:51,rwanda,congo_DR,192.168.1.253,192.168.1.253,6,4
Fri,23:45:51,rwanda,congo_DR,192.168.1.230,192.168.1.230,6,5
Fri,23:45:51,rwanda,congo_DR,197.243.126.29,197.243.126.29,7,6
Fri,23:45:51,rwanda,congo_DR,41.223.224.210,41.223.224.210,4,7
Fri,23:45:51,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,162,8
Fri,23:45:51,rwanda,congo_DR,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,163,9
Fri,23:45:51,rwanda,congo_DR,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,25,10
Fri,23:45:51,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,163,11
Fri,23:45:51,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,161,12
Fri,23:45:51,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,161,13
Fri,23:45:51,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,164,14
Fri,23:45:51,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,164,15
Fri,23:45:51,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,228,16
Fri,23:45:51,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,294,17
Fri,23:45:51,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,351,18
Fri,23:45:51,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,330,19
Fri,23:45:51,rwanda,congo_DR,ae-45.r01.snjsca04.us.bb.gin.ntt.net,129.250.3.175,378,20
Fri,23:45:51,rwanda,congo_DR,ae-0.a01.snjsca04.us.bb.gin.ntt.net,129.250.3.163,388,21
Fri,23:45:51,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,398,22
Fri,23:45:51,rwanda,congo_DR,162-144-240-145.unifiedlayer.com,162.144.240.145,323,23
Fri,23:45:51,rwanda,congo_DR,162-144-240-23.unifiedlayer.com,162.144.240.23,326,24
Fri,23:45:51,rwanda,congo_DR,just57.justhost.com,173.254.28.57,382,25
