Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,23:35:48,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,6,1
Fri,23:35:48,rwanda,ghana,41.74.174.49,41.74.174.49,5,2
Fri,23:35:48,rwanda,ghana,197.243.126.165,197.243.126.165,6,3
Fri,23:35:48,rwanda,ghana,192.168.1.253,192.168.1.253,11,4
Fri,23:35:48,rwanda,ghana,192.168.1.230,192.168.1.230,11,5
Fri,23:35:48,rwanda,ghana,197.243.126.29,197.243.126.29,11,6
Fri,23:35:48,rwanda,ghana,41.223.224.210,41.223.224.210,6,7
Fri,23:35:48,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,192,8
Fri,23:35:48,rwanda,ghana,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,264,9
Fri,23:35:48,rwanda,ghana,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,24,10
Fri,23:35:48,rwanda,ghana,*,*,*,11
Fri,23:35:48,rwanda,ghana,*,*,*,12
Fri,23:35:48,rwanda,ghana,*,*,*,13
Fri,23:35:48,rwanda,ghana,*,*,*,14
Fri,23:35:48,rwanda,ghana,10.118.46.106,10.118.46.106,400,15
Fri,23:35:48,rwanda,ghana,41.21.232.70,41.21.232.70,403,16
Fri,23:35:48,rwanda,ghana,*,*,*,17
Fri,23:35:48,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,419,18
Fri,23:35:48,rwanda,ghana,197.255.127.2,197.255.127.2,508,19
Fri,23:35:48,rwanda,ghana,197.255.127.35,197.255.127.35,416,20
Fri,23:35:48,rwanda,ghana,197.255.125.213,197.255.125.213,404,21
Fri,23:46:05,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,23:46:05,rwanda,ghana,41.74.174.49,41.74.174.49,5,2
Fri,23:46:05,rwanda,ghana,197.243.126.165,197.243.126.165,6,3
Fri,23:46:05,rwanda,ghana,192.168.1.253,192.168.1.253,6,4
Fri,23:46:05,rwanda,ghana,192.168.1.230,192.168.1.230,6,5
Fri,23:46:05,rwanda,ghana,197.243.126.29,197.243.126.29,30,6
Fri,23:46:05,rwanda,ghana,41.223.224.210,41.223.224.210,4,7
Fri,23:46:05,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,194,8
Fri,23:46:05,rwanda,ghana,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,194,9
Fri,23:46:05,rwanda,ghana,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,34,10
Fri,23:46:05,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,194,11
Fri,23:46:05,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,193,12
Fri,23:46:05,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,193,13
Fri,23:46:05,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,197,14
Fri,23:46:05,rwanda,ghana,10.118.46.106,10.118.46.106,400,15
Fri,23:46:05,rwanda,ghana,41.21.232.70,41.21.232.70,404,16
Fri,23:46:05,rwanda,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,404,17
Fri,23:46:05,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,413,18
Fri,23:46:05,rwanda,ghana,197.255.127.2,197.255.127.2,414,19
Fri,23:46:05,rwanda,ghana,197.255.127.35,197.255.127.35,497,20
Fri,23:46:05,rwanda,ghana,197.255.125.213,197.255.125.213,497,21
Fri,23:54:28,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,23:54:28,rwanda,ghana,41.74.174.49,41.74.174.49,4,2
Fri,23:54:28,rwanda,ghana,197.243.126.165,197.243.126.165,5,3
Fri,23:54:28,rwanda,ghana,192.168.1.253,192.168.1.253,5,4
Fri,23:54:28,rwanda,ghana,192.168.1.230,192.168.1.230,6,5
Fri,23:54:28,rwanda,ghana,197.243.126.29,197.243.126.29,5,6
Fri,23:54:28,rwanda,ghana,41.223.224.210,41.223.224.210,4,7
Fri,23:54:28,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,205,8
Fri,23:54:28,rwanda,ghana,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,205,9
Fri,23:54:28,rwanda,ghana,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,25,10
Fri,23:54:28,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,205,11
Fri,23:54:28,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,201,12
Fri,23:54:28,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,192,13
Fri,23:54:28,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,197,14
