Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,23:36:56,rwanda,kenya,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,23:36:56,rwanda,kenya,41.74.174.49,41.74.174.49,5,2
Fri,23:36:56,rwanda,kenya,197.243.126.165,197.243.126.165,5,3
Fri,23:36:56,rwanda,kenya,192.168.1.253,192.168.1.253,5,4
Fri,23:36:56,rwanda,kenya,192.168.1.230,192.168.1.230,5,5
Fri,23:36:56,rwanda,kenya,197.243.126.29,197.243.126.29,18,6
Fri,23:36:56,rwanda,kenya,41.223.224.210,41.223.224.210,4,7
Fri,23:36:56,rwanda,kenya,197.155.94.164.liquidtelecom.net,197.155.94.164,18,8
Fri,23:36:56,rwanda,kenya,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,18,9
Fri,23:36:56,rwanda,kenya,teng0-0-1-1-pe1-nbi.liquidtelecom.net,197.155.94.41,18,10
Fri,23:36:56,rwanda,kenya,196.223.21.15,196.223.21.15,19,11
Fri,23:36:56,rwanda,kenya,*,*,*,12
Fri,23:36:56,rwanda,kenya,196.201.222.233,196.201.222.233,26,13
Fri,23:36:56,rwanda,kenya,196.201.222.166,196.201.222.166,29,14
Fri,23:36:56,rwanda,kenya,172.17.28.1,172.17.28.1,37,15
Fri,23:36:56,rwanda,kenya,172.17.28.1,172.17.28.1,38,16
Fri,23:36:56,rwanda,kenya,*,*,*,17
Fri,23:36:56,rwanda,kenya,*,*,*,18
Fri,23:36:56,rwanda,kenya,*,*,*,19
Fri,23:36:56,rwanda,kenya,*,*,*,20
Fri,23:36:56,rwanda,kenya,*,*,*,21
Fri,23:36:56,rwanda,kenya,*,*,*,22
Fri,23:36:56,rwanda,kenya,*,*,*,23
Fri,23:36:56,rwanda,kenya,*,*,*,24
Fri,23:36:56,rwanda,kenya,*,*,*,25
Fri,23:36:56,rwanda,kenya,*,*,*,26
Fri,23:36:56,rwanda,kenya,*,*,*,27
Fri,23:36:56,rwanda,kenya,*,*,*,28
Fri,23:36:56,rwanda,kenya,*,*,*,29
Fri,23:36:56,rwanda,kenya,*,*,*,30
Fri,23:46:26,rwanda,kenya,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,23:46:26,rwanda,kenya,41.74.174.49,41.74.174.49,4,2
Fri,23:46:26,rwanda,kenya,197.243.126.165,197.243.126.165,6,3
Fri,23:46:26,rwanda,kenya,192.168.1.253,192.168.1.253,6,4
Fri,23:46:26,rwanda,kenya,192.168.1.230,192.168.1.230,6,5
Fri,23:46:26,rwanda,kenya,197.243.126.29,197.243.126.29,6,6
Fri,23:46:26,rwanda,kenya,41.223.224.210,41.223.224.210,6,7
Fri,23:46:26,rwanda,kenya,197.155.94.164.liquidtelecom.net,197.155.94.164,20,8
Fri,23:46:26,rwanda,kenya,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,19,9
Fri,23:46:26,rwanda,kenya,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,21,10
Fri,23:46:26,rwanda,kenya,196.223.21.15,196.223.21.15,20,11
Fri,23:46:26,rwanda,kenya,196.223.21.15,196.223.21.15,16,12
Fri,23:46:26,rwanda,kenya,196.201.222.166,196.201.222.166,29,13
Fri,23:46:26,rwanda,kenya,196.201.222.166,196.201.222.166,31,14
Fri,23:46:26,rwanda,kenya,172.17.28.1,172.17.28.1,29,15
Fri,23:46:26,rwanda,kenya,172.17.28.1,172.17.28.1,29,16
Fri,23:46:26,rwanda,kenya,*,*,*,17
Fri,23:46:26,rwanda,kenya,*,*,*,18
Fri,23:46:26,rwanda,kenya,*,*,*,19
Fri,23:46:26,rwanda,kenya,*,*,*,20
Fri,23:46:26,rwanda,kenya,*,*,*,21
Fri,23:46:26,rwanda,kenya,*,*,*,22
Fri,23:46:26,rwanda,kenya,*,*,*,23
Fri,23:46:26,rwanda,kenya,*,*,*,24
Fri,23:46:26,rwanda,kenya,*,*,*,25
Fri,23:46:26,rwanda,kenya,*,*,*,26
Fri,23:46:26,rwanda,kenya,*,*,*,27
Fri,23:46:26,rwanda,kenya,*,*,*,28
Fri,23:46:26,rwanda,kenya,*,*,*,29
Fri,23:46:26,rwanda,kenya,*,*,*,30
Fri,23:54:47,rwanda,kenya,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,23:54:47,rwanda,kenya,41.74.174.49,41.74.174.49,4,2
Fri,23:54:47,rwanda,kenya,197.243.126.165,197.243.126.165,5,3
