Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,23:39:03,rwanda,oregon,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,23:39:03,rwanda,oregon,41.74.174.49,41.74.174.49,4,2
Fri,23:39:03,rwanda,oregon,197.243.126.165,197.243.126.165,5,3
Fri,23:39:03,rwanda,oregon,192.168.1.253,192.168.1.253,5,4
Fri,23:39:03,rwanda,oregon,192.168.1.230,192.168.1.230,5,5
Fri,23:39:03,rwanda,oregon,197.243.126.29,197.243.126.29,5,6
Fri,23:39:03,rwanda,oregon,41.223.224.210,41.223.224.210,8,7
Fri,23:39:03,rwanda,oregon,197.155.94.164.liquidtelecom.net,197.155.94.164,213,8
Fri,23:39:03,rwanda,oregon,197.155.94.148.liquidtelecom.net,197.155.94.148,213,9
Fri,23:39:03,rwanda,oregon,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,213,10
Fri,23:39:03,rwanda,oregon,ten-0-1-1-2-p2-msa.liquidtelecom.net,197.155.94.73,29,11
Fri,23:39:03,rwanda,oregon,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,72,12
Fri,23:39:03,rwanda,oregon,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,183,13
Fri,23:39:03,rwanda,oregon,v204.core1.lon1.he.net,216.66.86.109,184,14
Fri,23:39:03,rwanda,oregon,10ge2-9.core1.lon2.he.net,72.52.92.222,192,15
Fri,23:39:03,rwanda,oregon,100ge4-1.core1.nyc4.he.net,72.52.92.166,289,16
Fri,23:39:03,rwanda,oregon,100ge14-1.core1.tor1.he.net,184.105.80.10,290,17
Fri,23:39:03,rwanda,oregon,100ge6-1.core1.ywg1.he.net,184.105.64.102,290,18
Fri,23:39:03,rwanda,oregon,100ge10-1.core1.yyc1.he.net,184.105.222.98,297,19
Fri,23:39:03,rwanda,oregon,100ge10-2.core1.yvr1.he.net,184.105.64.113,301,20
Fri,23:39:03,rwanda,oregon,100ge10-2.core1.sea1.he.net,184.105.64.109,304,21
Fri,23:39:03,rwanda,oregon,six01-sea4.amazon.com,206.81.80.147,313,22
Fri,23:39:03,rwanda,oregon,52.95.52.18,52.95.52.18,320,23
Fri,23:39:03,rwanda,oregon,52.95.52.197,52.95.52.197,307,24
Fri,23:39:03,rwanda,oregon,54.239.42.225,54.239.42.225,317,25
Fri,23:39:03,rwanda,oregon,54.239.42.194,54.239.42.194,317,26
Fri,23:39:03,rwanda,oregon,52.93.13.14,52.93.13.14,337,27
Fri,23:39:03,rwanda,oregon,52.93.12.75,52.93.12.75,315,28
Fri,23:39:03,rwanda,oregon,52.93.12.74,52.93.12.74,319,29
Fri,23:39:03,rwanda,oregon,52.93.12.239,52.93.12.239,318,30
Fri,23:47:14,rwanda,oregon,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,23:47:14,rwanda,oregon,41.74.174.49,41.74.174.49,4,2
Fri,23:47:14,rwanda,oregon,197.243.126.165,197.243.126.165,5,3
Fri,23:47:14,rwanda,oregon,192.168.1.253,192.168.1.253,5,4
Fri,23:47:14,rwanda,oregon,192.168.1.230,192.168.1.230,5,5
Fri,23:47:14,rwanda,oregon,197.243.126.29,197.243.126.29,5,6
Fri,23:47:14,rwanda,oregon,41.223.224.210,41.223.224.210,4,7
Fri,23:47:14,rwanda,oregon,197.155.94.164.liquidtelecom.net,197.155.94.164,187,8
Fri,23:47:14,rwanda,oregon,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,182,9
Fri,23:47:14,rwanda,oregon,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,184,10
Fri,23:47:14,rwanda,oregon,197.155.94.169.liquidtelecom.net,197.155.94.169,25,11
Fri,23:47:14,rwanda,oregon,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,74,12
Fri,23:47:14,rwanda,oregon,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,198,13
Fri,23:47:14,rwanda,oregon,v204.core1.lon1.he.net,216.66.86.109,185,14
Fri,23:47:14,rwanda,oregon,10ge2-9.core1.lon2.he.net,72.52.92.222,180,15
Fri,23:47:14,rwanda,oregon,100ge4-1.core1.nyc4.he.net,72.52.92.166,261,16
Fri,23:47:14,rwanda,oregon,100ge14-1.core1.tor1.he.net,184.105.80.10,257,17
Fri,23:47:14,rwanda,oregon,100ge6-1.core1.ywg1.he.net,184.105.64.102,280,18
Fri,23:47:14,rwanda,oregon,100ge10-1.core1.yyc1.he.net,184.105.222.98,304,19
Fri,23:47:14,rwanda,oregon,100ge10-2.core1.yvr1.he.net,184.105.64.113,305,20
Fri,23:47:14,rwanda,oregon,100ge10-2.core1.sea1.he.net,184.105.64.109,304,21
Fri,23:47:14,rwanda,oregon,six01-sea4.amazon.com,206.81.80.147,307,22
Fri,23:47:14,rwanda,oregon,52.95.52.214,52.95.52.214,310,23
Fri,23:47:14,rwanda,oregon,52.95.52.159,52.95.52.159,308,24
Fri,23:47:14,rwanda,oregon,54.239.42.231,54.239.42.231,315,25
Fri,23:47:14,rwanda,oregon,54.239.42.194,54.239.42.194,315,26
Fri,23:47:14,rwanda,oregon,52.93.12.86,52.93.12.86,319,27
