Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,23:39:44,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,23:39:44,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Fri,23:39:44,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Fri,23:39:44,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Fri,23:39:44,rwanda,uganda,192.168.1.230,192.168.1.230,6,5
Fri,23:39:44,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Fri,23:39:44,rwanda,uganda,41.223.224.210,41.223.224.210,4,7
Fri,23:39:44,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,9,8
Fri,23:39:44,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Fri,23:39:44,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Fri,23:39:44,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Fri,23:39:44,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,9,12
Fri,23:39:44,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,8,13
Fri,23:47:32,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,23:47:32,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Fri,23:47:32,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Fri,23:47:32,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Fri,23:47:32,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Fri,23:47:32,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Fri,23:47:32,rwanda,uganda,41.223.224.210,41.223.224.210,9,7
Fri,23:47:32,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,14,8
Fri,23:47:32,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,14,9
Fri,23:47:32,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,14,10
Fri,23:47:32,rwanda,uganda,196.0.0.209,196.0.0.209,15,11
Fri,23:47:32,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,13,12
Fri,23:47:32,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,8,13
Fri,23:55:54,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,23:55:54,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Fri,23:55:54,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Fri,23:55:54,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Fri,23:55:54,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Fri,23:55:54,rwanda,uganda,197.243.126.29,197.243.126.29,6,6
Fri,23:55:54,rwanda,uganda,41.223.224.210,41.223.224.210,4,7
Fri,23:55:54,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,10,8
Fri,23:55:54,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Fri,23:55:54,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Fri,23:55:54,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Fri,23:55:54,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,8,12
Fri,23:55:54,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,8,13
Sat,00:04:02,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Sat,00:04:02,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Sat,00:04:02,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Sat,00:04:02,rwanda,uganda,192.168.1.253,192.168.1.253,6,4
Sat,00:04:02,rwanda,uganda,192.168.1.230,192.168.1.230,6,5
Sat,00:04:02,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Sat,00:04:02,rwanda,uganda,41.223.224.210,41.223.224.210,5,7
Sat,00:04:02,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,10,8
Sat,00:04:02,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Sat,00:04:02,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Sat,00:04:02,rwanda,uganda,196.0.0.209,196.0.0.209,10,11
Sat,00:04:02,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,8,12
Sat,00:04:02,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,9,13
Sat,00:11:45,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Sat,00:11:45,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Sat,00:11:45,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Sat,00:11:45,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Sat,00:11:45,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Sat,00:11:45,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Sat,00:11:45,rwanda,uganda,41.223.224.210,41.223.224.210,5,7
Sat,00:11:45,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,12,8
Sat,00:11:45,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,12,9
Sat,00:11:45,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,12,10
Sat,00:11:45,rwanda,uganda,196.0.0.209,196.0.0.209,27,11
Sat,00:11:45,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,9,12
Sat,00:11:45,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,9,13
Sat,00:19:50,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Sat,00:19:50,rwanda,uganda,41.74.174.49,41.74.174.49,5,2
Sat,00:19:50,rwanda,uganda,197.243.126.165,197.243.126.165,6,3
Sat,00:19:50,rwanda,uganda,192.168.1.253,192.168.1.253,6,4
Sat,00:19:50,rwanda,uganda,192.168.1.230,192.168.1.230,6,5
Sat,00:19:50,rwanda,uganda,197.243.126.29,197.243.126.29,6,6
Sat,00:19:50,rwanda,uganda,*,*,*,7
Sat,00:19:50,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,10,8
Sat,00:19:50,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Sat,00:19:50,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,11,10
Sat,00:19:50,rwanda,uganda,196.0.0.209,196.0.0.209,8,11
Sat,00:19:50,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,13,12
Sat,00:19:50,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,10,13
Sat,00:28:21,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Sat,00:28:21,rwanda,uganda,41.74.174.49,41.74.174.49,3,2
Sat,00:28:21,rwanda,uganda,197.243.126.165,197.243.126.165,4,3
Sat,00:28:21,rwanda,uganda,192.168.1.253,192.168.1.253,4,4
Sat,00:28:21,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Sat,00:28:21,rwanda,uganda,197.243.126.29,197.243.126.29,6,6
Sat,00:28:21,rwanda,uganda,41.223.224.210,41.223.224.210,3,7
Sat,00:28:21,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,10,8
Sat,00:28:21,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Sat,00:28:21,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Sat,00:28:21,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Sat,00:28:21,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,9,12
Sat,00:28:21,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,9,13
Sat,00:36:51,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Sat,00:36:51,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
