Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Mon,09:24:00,rwanda,algeria,gateway,192.168.230.1,2,1
Mon,09:24:00,rwanda,algeria,192.168.15.2,192.168.15.2,2,2
Mon,09:24:00,rwanda,algeria,192.168.3.176,192.168.3.176,6,3
Mon,09:24:00,rwanda,algeria,192.168.3.248,192.168.3.248,8,4
Mon,09:24:00,rwanda,algeria,197.243.115.237,197.243.115.237,8,5
Mon,09:24:00,rwanda,algeria,192.168.120.45,192.168.120.45,9,6
Mon,09:24:00,rwanda,algeria,192.168.1.241,192.168.1.241,3,7
Mon,09:24:00,rwanda,algeria,197.243.126.29,197.243.126.29,3,8
Mon,09:24:00,rwanda,algeria,41.223.224.210,41.223.224.210,226,9
Mon,09:24:00,rwanda,algeria,*,*,*,10
Mon,09:24:00,rwanda,algeria,*,*,*,11
Mon,09:24:00,rwanda,algeria,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,260,12
Mon,09:24:00,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,216,13
Mon,09:24:00,rwanda,algeria,*,*,*,14
Mon,09:24:00,rwanda,algeria,Bundle-Ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,225,15
Mon,09:24:00,rwanda,algeria,ix-xe-0-3-3-100.tcore2.LDN-London.as6453.net,80.231.20.61,225,16
Mon,09:24:00,rwanda,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,235,17
Mon,09:24:00,rwanda,algeria,195.219.83.30,195.219.83.30,206,18
Mon,09:24:00,rwanda,algeria,172.16.44.130,172.16.44.130,254,19
Mon,09:24:00,rwanda,algeria,172.31.2.83,172.31.2.83,242,20
Mon,09:24:00,rwanda,algeria,*,*,*,21
Mon,09:24:00,rwanda,algeria,*,*,*,22
Mon,09:24:00,rwanda,algeria,*,*,*,23
Mon,09:24:00,rwanda,algeria,*,*,*,24
Mon,09:24:00,rwanda,algeria,*,*,*,25
Mon,09:24:00,rwanda,algeria,*,*,*,26
Mon,09:24:00,rwanda,algeria,*,*,*,27
Mon,09:24:00,rwanda,algeria,*,*,*,28
Mon,09:24:00,rwanda,algeria,*,*,*,29
Mon,09:24:00,rwanda,algeria,*,*,*,30
Mon,09:34:58,rwanda,algeria,gateway,192.168.230.1,13,1
Mon,09:34:58,rwanda,algeria,192.168.15.2,192.168.15.2,33,2
Mon,09:34:58,rwanda,algeria,192.168.3.176,192.168.3.176,57,3
Mon,09:34:58,rwanda,algeria,192.168.3.248,192.168.3.248,69,4
Mon,09:34:58,rwanda,algeria,197.243.115.237,197.243.115.237,75,5
Mon,09:34:58,rwanda,algeria,192.168.120.45,192.168.120.45,159,6
Mon,09:34:58,rwanda,algeria,192.168.1.241,192.168.1.241,90,7
Mon,09:34:58,rwanda,algeria,197.243.126.29,197.243.126.29,103,8
Mon,09:34:58,rwanda,algeria,41.223.224.210,41.223.224.210,294,9
Mon,09:34:58,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,294,10
Mon,09:34:58,rwanda,algeria,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,294,11
Mon,09:34:58,rwanda,algeria,197.155.94.167.liquidtelecom.net,197.155.94.167,274,12
Mon,09:34:58,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,232,13
Mon,09:34:58,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,231,14
Mon,09:34:58,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,231,15
Mon,09:34:58,rwanda,algeria,ix-xe-0-3-3-100.tcore2.LDN-London.as6453.net,80.231.20.61,230,16
Mon,09:34:58,rwanda,algeria,if-ae-26-2.tcore1.LDN-London.as6453.net,80.231.62.58,231,17
Mon,09:34:58,rwanda,algeria,195.219.83.30,195.219.83.30,200,18
Mon,09:34:58,rwanda,algeria,172.16.44.130,172.16.44.130,256,19
Mon,09:34:58,rwanda,algeria,172.31.2.83,172.31.2.83,245,20
Mon,09:34:58,rwanda,algeria,*,*,*,21
Mon,09:34:58,rwanda,algeria,*,*,*,22
Mon,09:34:58,rwanda,algeria,*,*,*,23
Mon,09:34:58,rwanda,algeria,*,*,*,24
Mon,09:34:58,rwanda,algeria,*,*,*,25
Mon,09:34:58,rwanda,algeria,*,*,*,26
Mon,09:34:58,rwanda,algeria,*,*,*,27
Mon,09:34:58,rwanda,algeria,*,*,*,28
Mon,09:34:58,rwanda,algeria,*,*,*,29
Mon,09:34:58,rwanda,algeria,*,*,*,30
Mon,09:45:27,rwanda,algeria,gateway,192.168.230.1,2,1
