Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Mon,09:24:44,rwanda,angola,gateway,192.168.230.1,2,1
Mon,09:24:44,rwanda,angola,192.168.15.2,192.168.15.2,2,2
Mon,09:24:44,rwanda,angola,192.168.3.176,192.168.3.176,3,3
Mon,09:24:44,rwanda,angola,192.168.3.248,192.168.3.248,4,4
Mon,09:24:44,rwanda,angola,197.243.115.237,197.243.115.237,4,5
Mon,09:24:44,rwanda,angola,192.168.120.45,192.168.120.45,14,6
Mon,09:24:44,rwanda,angola,192.168.1.241,192.168.1.241,5,7
Mon,09:24:44,rwanda,angola,197.243.126.29,197.243.126.29,6,8
Mon,09:24:44,rwanda,angola,41.223.224.210,41.223.224.210,225,9
Mon,09:24:44,rwanda,angola,197.155.94.164.liquidtelecom.net,197.155.94.164,263,10
Mon,09:24:44,rwanda,angola,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,262,11
Mon,09:24:44,rwanda,angola,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,227,12
Mon,09:24:44,rwanda,angola,gi2-0-0.lza-p2-jhb.liquidtelecom.net,77.246.57.69,253,13
Mon,09:24:44,rwanda,angola,*,*,*,14
Mon,09:24:44,rwanda,angola,angolacables.ixp.joburg,196.60.8.60,102,15
Mon,09:24:44,rwanda,angola,pe2-ne026.ang.lad.as37468.angolacables.ao,197.149.149.117,159,16
Mon,09:24:44,rwanda,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,159,17
Mon,09:24:44,rwanda,angola,197.149.148.237,197.149.148.237,159,18
Mon,09:24:44,rwanda,angola,41.222.238.26,41.222.238.26,163,19
Mon,09:24:44,rwanda,angola,41.222.238.7,41.222.238.7,154,20
Mon,09:24:44,rwanda,angola,*,*,*,21
Mon,09:24:44,rwanda,angola,*,*,*,22
Mon,09:24:44,rwanda,angola,*,*,*,23
Mon,09:24:44,rwanda,angola,*,*,*,24
Mon,09:24:44,rwanda,angola,*,*,*,25
Mon,09:24:44,rwanda,angola,*,*,*,26
Mon,09:24:44,rwanda,angola,*,*,*,27
Mon,09:24:44,rwanda,angola,*,*,*,28
Mon,09:24:44,rwanda,angola,*,*,*,29
Mon,09:24:44,rwanda,angola,*,*,*,30
Mon,09:35:40,rwanda,angola,gateway,192.168.230.1,2,1
Mon,09:35:40,rwanda,angola,192.168.15.2,192.168.15.2,2,2
Mon,09:35:40,rwanda,angola,192.168.3.176,192.168.3.176,7,3
Mon,09:35:40,rwanda,angola,192.168.3.248,192.168.3.248,9,4
Mon,09:35:40,rwanda,angola,197.243.115.237,197.243.115.237,12,5
Mon,09:35:40,rwanda,angola,192.168.120.45,192.168.120.45,6,6
Mon,09:35:40,rwanda,angola,192.168.1.241,192.168.1.241,4,7
Mon,09:35:40,rwanda,angola,197.243.126.29,197.243.126.29,16,8
Mon,09:35:40,rwanda,angola,41.223.224.210,41.223.224.210,229,9
Mon,09:35:40,rwanda,angola,*,*,*,10
Mon,09:35:40,rwanda,angola,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,264,11
Mon,09:35:40,rwanda,angola,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,229,12
Mon,09:35:40,rwanda,angola,gi2-0-0.lza-p2-jhb.liquidtelecom.net,77.246.57.69,254,13
Mon,09:35:40,rwanda,angola,*,*,*,14
Mon,09:35:40,rwanda,angola,angolacables.ixp.joburg,196.60.8.60,96,15
Mon,09:35:40,rwanda,angola,pe2-ne026.ang.lad.as37468.angolacables.ao,197.149.149.117,157,16
Mon,09:35:40,rwanda,angola,*,*,*,17
Mon,09:35:40,rwanda,angola,197.149.148.237,197.149.148.237,159,18
Mon,09:35:40,rwanda,angola,41.222.238.26,41.222.238.26,157,19
Mon,09:35:40,rwanda,angola,41.222.238.7,41.222.238.7,157,20
Mon,09:35:40,rwanda,angola,*,*,*,21
Mon,09:35:40,rwanda,angola,*,*,*,22
Mon,09:35:40,rwanda,angola,*,*,*,23
Mon,09:35:40,rwanda,angola,*,*,*,24
Mon,09:35:40,rwanda,angola,*,*,*,25
Mon,09:35:40,rwanda,angola,*,*,*,26
Mon,09:35:40,rwanda,angola,*,*,*,27
Mon,09:35:40,rwanda,angola,*,*,*,28
Mon,09:35:40,rwanda,angola,*,*,*,29
Mon,09:35:40,rwanda,angola,*,*,*,30
Mon,09:46:09,rwanda,angola,gateway,192.168.230.1,1,1
Mon,09:46:09,rwanda,angola,192.168.15.2,192.168.15.2,1,2
Mon,09:46:09,rwanda,angola,192.168.3.176,192.168.3.176,40,3
