Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Mon,09:25:32,rwanda,congo_DR,gateway,192.168.230.1,3,1
Mon,09:25:32,rwanda,congo_DR,192.168.15.2,192.168.15.2,2,2
Mon,09:25:32,rwanda,congo_DR,192.168.3.176,192.168.3.176,5,3
Mon,09:25:32,rwanda,congo_DR,192.168.3.248,192.168.3.248,5,4
Mon,09:25:32,rwanda,congo_DR,197.243.115.237,197.243.115.237,5,5
Mon,09:25:32,rwanda,congo_DR,192.168.120.45,192.168.120.45,5,6
Mon,09:25:32,rwanda,congo_DR,192.168.1.241,192.168.1.241,20,7
Mon,09:25:32,rwanda,congo_DR,197.243.126.29,197.243.126.29,3,8
Mon,09:25:32,rwanda,congo_DR,41.223.224.210,41.223.224.210,225,9
Mon,09:25:32,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,216,10
Mon,09:25:32,rwanda,congo_DR,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,216,11
Mon,09:25:32,rwanda,congo_DR,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,225,12
Mon,09:25:32,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,215,13
Mon,09:25:32,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,215,14
Mon,09:25:32,rwanda,congo_DR,*,*,*,15
Mon,09:25:32,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,217,16
Mon,09:25:32,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,272,17
Mon,09:25:32,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,289,18
Mon,09:25:32,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,357,19
Mon,09:25:32,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,362,20
Mon,09:25:32,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,437,21
Mon,09:25:32,rwanda,congo_DR,ae-41.r02.snjsca04.us.bb.gin.ntt.net,129.250.6.119,440,22
Mon,09:25:32,rwanda,congo_DR,ae-1.a01.snjsca04.us.bb.gin.ntt.net,129.250.2.48,395,23
Mon,09:25:32,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,461,24
Mon,09:25:32,rwanda,congo_DR,162-144-240-145.unifiedlayer.com,162.144.240.145,399,25
Mon,09:25:32,rwanda,congo_DR,162-144-240-23.unifiedlayer.com,162.144.240.23,388,26
Mon,09:25:32,rwanda,congo_DR,just57.justhost.com,173.254.28.57,455,27
Mon,09:36:22,rwanda,congo_DR,gateway,192.168.230.1,4,1
Mon,09:36:22,rwanda,congo_DR,192.168.15.2,192.168.15.2,2,2
