Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Mon,09:27:48,rwanda,japan,gateway,192.168.230.1,2,1
Mon,09:27:48,rwanda,japan,192.168.15.2,192.168.15.2,5,2
Mon,09:27:48,rwanda,japan,192.168.3.176,192.168.3.176,10,3
Mon,09:27:48,rwanda,japan,192.168.3.248,192.168.3.248,16,4
Mon,09:27:48,rwanda,japan,197.243.115.237,197.243.115.237,26,5
Mon,09:27:48,rwanda,japan,192.168.120.45,192.168.120.45,13,6
Mon,09:27:48,rwanda,japan,192.168.1.241,192.168.1.241,14,7
Mon,09:27:48,rwanda,japan,197.243.126.29,197.243.126.29,14,8
Mon,09:27:48,rwanda,japan,*,*,*,9
Mon,09:27:48,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,269,10
Mon,09:27:48,rwanda,japan,*,*,*,11
Mon,09:27:48,rwanda,japan,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,266,12
Mon,09:27:48,rwanda,japan,ten-0-1-1-2-p2-msa.liquidtelecom.net,197.155.94.73,229,13
Mon,09:27:48,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,229,14
Mon,09:27:48,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,236,15
Mon,09:27:48,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,229,16
Mon,09:27:48,rwanda,japan,TenGE13-2.br02.ams01.pccwbtn.net,80.249.209.37,234,17
Mon,09:27:48,rwanda,japan,TenGE0-1-0-16.br02.tok02.pccwbtn.net,63.223.33.193,710,18
Mon,09:27:48,rwanda,japan,TenGE0-0-0-16.br02.tok02.pccwbtn.net,63.223.33.57,708,19
Mon,09:27:48,rwanda,japan,63-218-251-238.static.pccwglobal.net,63.218.251.238,499,20
Mon,09:27:48,rwanda,japan,52.95.30.165,52.95.30.165,491,21
Mon,09:27:48,rwanda,japan,52.95.30.130,52.95.30.130,467,22
Mon,09:27:48,rwanda,japan,52.95.30.214,52.95.30.214,464,23
Mon,09:27:48,rwanda,japan,*,*,*,24
Mon,09:27:48,rwanda,japan,*,*,*,25
Mon,09:27:48,rwanda,japan,*,*,*,26
Mon,09:27:48,rwanda,japan,ec2-13-114-28-7.ap-northeast-1.compute.amazonaws.com,13.114.28.7,578,27
Mon,09:38:39,rwanda,japan,gateway,192.168.230.1,1,1
Mon,09:38:39,rwanda,japan,192.168.15.2,192.168.15.2,2,2
Mon,09:38:39,rwanda,japan,192.168.3.176,192.168.3.176,5,3
Mon,09:38:39,rwanda,japan,192.168.3.248,192.168.3.248,7,4
Mon,09:38:39,rwanda,japan,197.243.115.237,197.243.115.237,9,5
Mon,09:38:39,rwanda,japan,192.168.120.45,192.168.120.45,5,6
Mon,09:38:39,rwanda,japan,192.168.1.241,192.168.1.241,5,7
Mon,09:38:39,rwanda,japan,197.243.126.29,197.243.126.29,5,8
Mon,09:38:39,rwanda,japan,41.223.224.210,41.223.224.210,222,9
Mon,09:38:39,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,228,10
Mon,09:38:39,rwanda,japan,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,222,11
Mon,09:38:39,rwanda,japan,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,224,12
Mon,09:38:39,rwanda,japan,*,*,*,13
