Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Mon,09:29:14,rwanda,uganda,gateway,192.168.230.1,2,1
Mon,09:29:14,rwanda,uganda,192.168.15.2,192.168.15.2,2,2
Mon,09:29:14,rwanda,uganda,192.168.3.176,192.168.3.176,2,3
Mon,09:29:14,rwanda,uganda,192.168.3.248,192.168.3.248,13,4
Mon,09:29:14,rwanda,uganda,197.243.115.237,197.243.115.237,13,5
Mon,09:29:14,rwanda,uganda,192.168.120.45,192.168.120.45,7,6
Mon,09:29:14,rwanda,uganda,192.168.1.241,192.168.1.241,5,7
Mon,09:29:14,rwanda,uganda,197.243.126.29,197.243.126.29,3,8
Mon,09:29:14,rwanda,uganda,41.223.224.210,41.223.224.210,224,9
Mon,09:29:14,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,232,10
Mon,09:29:14,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,226,11
Mon,09:29:14,rwanda,uganda,*,*,*,12
Mon,09:29:14,rwanda,uganda,*,*,*,13
Mon,09:29:14,rwanda,uganda,L3-core-1.IP.utlonline.co.ug,196.0.0.25,229,14
Mon,09:29:14,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,225,15
Mon,09:39:55,rwanda,uganda,gateway,192.168.230.1,1,1
Mon,09:39:55,rwanda,uganda,192.168.15.2,192.168.15.2,1,2
Mon,09:39:55,rwanda,uganda,192.168.3.176,192.168.3.176,3,3
Mon,09:39:55,rwanda,uganda,192.168.3.248,192.168.3.248,3,4
Mon,09:39:55,rwanda,uganda,197.243.115.237,197.243.115.237,3,5
Mon,09:39:55,rwanda,uganda,192.168.120.45,192.168.120.45,3,6
Mon,09:39:55,rwanda,uganda,192.168.1.241,192.168.1.241,3,7
Mon,09:39:55,rwanda,uganda,197.243.126.29,197.243.126.29,10,8
Mon,09:39:55,rwanda,uganda,41.223.224.210,41.223.224.210,223,9
Mon,09:39:55,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,225,10
Mon,09:39:55,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,225,11
Mon,09:39:55,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,230,12
Mon,09:39:55,rwanda,uganda,*,*,*,13
Mon,09:39:55,rwanda,uganda,*,*,*,14
Mon,09:39:55,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,226,15
Mon,09:50:09,rwanda,uganda,gateway,192.168.230.1,1,1
Mon,09:50:09,rwanda,uganda,192.168.15.2,192.168.15.2,2,2
Mon,09:50:09,rwanda,uganda,192.168.3.176,192.168.3.176,6,3
Mon,09:50:09,rwanda,uganda,192.168.3.248,192.168.3.248,6,4
Mon,09:50:09,rwanda,uganda,197.243.115.237,197.243.115.237,6,5
Mon,09:50:09,rwanda,uganda,192.168.120.45,192.168.120.45,6,6
Mon,09:50:09,rwanda,uganda,192.168.1.241,192.168.1.241,4,7
Mon,09:50:09,rwanda,uganda,197.243.126.29,197.243.126.29,4,8
Mon,09:50:09,rwanda,uganda,41.223.224.210,41.223.224.210,228,9
Mon,09:50:09,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,230,10
Mon,09:50:09,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,228,11
Mon,09:50:09,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,227,12
Mon,09:50:09,rwanda,uganda,196.0.0.209,196.0.0.209,227,13
Mon,09:50:09,rwanda,uganda,*,*,*,14
Mon,09:50:09,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,228,15
Mon,10:00:34,rwanda,uganda,gateway,192.168.230.1,2,1
Mon,10:00:34,rwanda,uganda,192.168.15.2,192.168.15.2,2,2
Mon,10:00:34,rwanda,uganda,192.168.3.176,192.168.3.176,3,3
Mon,10:00:34,rwanda,uganda,192.168.3.248,192.168.3.248,3,4
Mon,10:00:34,rwanda,uganda,197.243.115.237,197.243.115.237,5,5
Mon,10:00:34,rwanda,uganda,192.168.120.45,192.168.120.45,6,6
Mon,10:00:34,rwanda,uganda,192.168.1.241,192.168.1.241,4,7
Mon,10:00:34,rwanda,uganda,197.243.126.29,197.243.126.29,112,8
Mon,10:00:34,rwanda,uganda,41.223.224.210,41.223.224.210,225,9
Mon,10:00:34,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,233,10
Mon,10:00:34,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,224,11
Mon,10:00:34,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,224,12
Mon,10:00:34,rwanda,uganda,196.0.0.209,196.0.0.209,238,13
Mon,10:00:34,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,226,14
Mon,10:00:34,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,227,15
Mon,10:10:53,rwanda,uganda,*,*,*,1
Mon,10:10:53,rwanda,uganda,192.168.15.2,192.168.15.2,2,2
Mon,10:10:53,rwanda,uganda,192.168.3.176,192.168.3.176,13,3
Mon,10:10:53,rwanda,uganda,192.168.3.248,192.168.3.248,18,4
Mon,10:10:53,rwanda,uganda,197.243.115.237,197.243.115.237,38,5
Mon,10:10:53,rwanda,uganda,192.168.120.45,192.168.120.45,7,6
Mon,10:10:53,rwanda,uganda,192.168.1.241,192.168.1.241,10,7
Mon,10:10:53,rwanda,uganda,197.243.126.29,197.243.126.29,53,8
Mon,10:10:53,rwanda,uganda,41.223.224.210,41.223.224.210,346,9
Mon,10:10:53,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,338,10
Mon,10:10:53,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,326,11
Mon,10:10:53,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,225,12
Mon,10:10:53,rwanda,uganda,196.0.0.209,196.0.0.209,276,13
Mon,10:10:53,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,277,14
Mon,10:10:53,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,282,15
Mon,10:21:03,rwanda,uganda,gateway,192.168.230.1,3,1
Mon,10:21:03,rwanda,uganda,192.168.15.2,192.168.15.2,13,2
Mon,10:21:03,rwanda,uganda,192.168.3.176,192.168.3.176,23,3
Mon,10:21:03,rwanda,uganda,192.168.3.248,192.168.3.248,23,4
Mon,10:21:03,rwanda,uganda,197.243.115.237,197.243.115.237,23,5
Mon,10:21:03,rwanda,uganda,192.168.120.45,192.168.120.45,24,6
Mon,10:21:03,rwanda,uganda,192.168.1.241,192.168.1.241,3,7
Mon,10:21:03,rwanda,uganda,197.243.126.29,197.243.126.29,5,8
Mon,10:21:03,rwanda,uganda,41.223.224.210,41.223.224.210,227,9
Mon,10:21:03,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,232,10
Mon,10:21:03,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,230,11
Mon,10:21:03,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,223,12
Mon,10:21:03,rwanda,uganda,196.0.0.209,196.0.0.209,226,13
Mon,10:21:03,rwanda,uganda,*,*,*,14
Mon,10:21:03,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,227,15
Mon,10:31:27,rwanda,uganda,gateway,192.168.230.1,5,1
Mon,10:31:27,rwanda,uganda,192.168.15.2,192.168.15.2,5,2
Mon,10:31:27,rwanda,uganda,192.168.3.176,192.168.3.176,5,3
Mon,10:31:27,rwanda,uganda,192.168.3.248,192.168.3.248,5,4
Mon,10:31:27,rwanda,uganda,197.243.115.237,197.243.115.237,5,5
Mon,10:31:27,rwanda,uganda,192.168.120.45,192.168.120.45,6,6
Mon,10:31:27,rwanda,uganda,192.168.1.241,192.168.1.241,3,7
Mon,10:31:27,rwanda,uganda,197.243.126.29,197.243.126.29,4,8
Mon,10:31:27,rwanda,uganda,41.223.224.210,41.223.224.210,243,9
Mon,10:31:27,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,232,10
Mon,10:31:27,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,230,11
Mon,10:31:27,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,227,12
Mon,10:31:27,rwanda,uganda,196.0.0.209,196.0.0.209,228,13
Mon,10:31:27,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,228,14
Mon,10:31:27,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,231,15
Mon,10:41:39,rwanda,uganda,gateway,192.168.230.1,2,1
Mon,10:41:39,rwanda,uganda,192.168.15.2,192.168.15.2,2,2
Mon,10:41:39,rwanda,uganda,192.168.3.176,192.168.3.176,2,3
Mon,10:41:39,rwanda,uganda,192.168.3.248,192.168.3.248,2,4
Mon,10:41:39,rwanda,uganda,197.243.115.237,197.243.115.237,3,5
Mon,10:41:39,rwanda,uganda,192.168.120.45,192.168.120.45,8,6
Mon,10:41:39,rwanda,uganda,192.168.1.241,192.168.1.241,3,7
Mon,10:41:39,rwanda,uganda,197.243.126.29,197.243.126.29,3,8
Mon,10:41:39,rwanda,uganda,41.223.224.210,41.223.224.210,227,9
Mon,10:41:39,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,229,10
Mon,10:41:39,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,229,11
Mon,10:41:39,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,228,12
Mon,10:41:39,rwanda,uganda,196.0.0.209,196.0.0.209,228,13
Mon,10:41:39,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,228,14
Mon,10:41:39,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,227,15
Mon,10:52:02,rwanda,uganda,gateway,192.168.230.1,1,1
Mon,10:52:02,rwanda,uganda,192.168.15.2,192.168.15.2,1,2
Mon,10:52:02,rwanda,uganda,192.168.3.176,192.168.3.176,2,3
Mon,10:52:02,rwanda,uganda,192.168.3.248,192.168.3.248,2,4
Mon,10:52:02,rwanda,uganda,197.243.115.237,197.243.115.237,4,5
Mon,10:52:02,rwanda,uganda,192.168.120.45,192.168.120.45,5,6
Mon,10:52:02,rwanda,uganda,192.168.1.241,192.168.1.241,7,7
Mon,10:52:02,rwanda,uganda,197.243.126.29,197.243.126.29,3,8
Mon,10:52:02,rwanda,uganda,41.223.224.210,41.223.224.210,226,9
Mon,10:52:02,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,225,10
Mon,10:52:02,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,225,11
Mon,10:52:02,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,228,12
Mon,10:52:02,rwanda,uganda,196.0.0.209,196.0.0.209,232,13
Mon,10:52:02,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,232,14
Mon,10:52:02,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,229,15
Mon,11:02:30,rwanda,uganda,gateway,192.168.230.1,7,1
Mon,11:02:30,rwanda,uganda,192.168.15.2,192.168.15.2,10,2
Mon,11:02:30,rwanda,uganda,192.168.3.176,192.168.3.176,10,3
Mon,11:02:30,rwanda,uganda,192.168.3.248,192.168.3.248,10,4
Mon,11:02:30,rwanda,uganda,197.243.115.237,197.243.115.237,25,5
Mon,11:02:30,rwanda,uganda,192.168.120.45,192.168.120.45,30,6
Mon,11:02:30,rwanda,uganda,192.168.1.241,192.168.1.241,7,7
Mon,11:02:30,rwanda,uganda,197.243.126.29,197.243.126.29,7,8
Mon,11:02:30,rwanda,uganda,41.223.224.210,41.223.224.210,267,9
Mon,11:02:30,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,242,10
Mon,11:02:30,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,267,11
Mon,11:02:30,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,223,12
Mon,11:02:30,rwanda,uganda,196.0.0.209,196.0.0.209,223,13
Mon,11:02:30,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,223,14
Mon,11:02:30,rwanda,uganda,*,*,*,15
Mon,11:12:08,rwanda,uganda,gateway,192.168.230.1,1,1
Mon,11:12:08,rwanda,uganda,192.168.15.2,192.168.15.2,1,2
Mon,11:12:08,rwanda,uganda,192.168.3.176,192.168.3.176,1,3
Mon,11:12:08,rwanda,uganda,192.168.3.248,192.168.3.248,2,4
Mon,11:12:08,rwanda,uganda,197.243.115.237,197.243.115.237,3,5
Mon,11:12:08,rwanda,uganda,192.168.120.45,192.168.120.45,4,6
Mon,11:12:08,rwanda,uganda,192.168.1.241,192.168.1.241,4,7
Mon,11:12:08,rwanda,uganda,197.243.126.29,197.243.126.29,3,8
Mon,11:12:08,rwanda,uganda,41.223.224.210,41.223.224.210,223,9
Mon,11:12:08,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,224,10
Mon,11:12:08,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,224,11
Mon,11:12:08,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,226,12
Mon,11:12:08,rwanda,uganda,196.0.0.209,196.0.0.209,233,13
Mon,11:12:08,rwanda,uganda,*,*,*,14
Mon,11:12:08,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,242,15
Mon,11:22:21,rwanda,uganda,gateway,192.168.230.1,1,1
Mon,11:22:21,rwanda,uganda,192.168.15.2,192.168.15.2,1,2
Mon,11:22:21,rwanda,uganda,192.168.3.176,192.168.3.176,2,3
Mon,11:22:21,rwanda,uganda,192.168.3.248,192.168.3.248,2,4
Mon,11:22:21,rwanda,uganda,197.243.115.237,197.243.115.237,3,5
Mon,11:22:21,rwanda,uganda,192.168.120.45,192.168.120.45,3,6
Mon,11:22:21,rwanda,uganda,192.168.1.241,192.168.1.241,3,7
Mon,11:22:21,rwanda,uganda,197.243.126.29,197.243.126.29,3,8
Mon,11:22:21,rwanda,uganda,41.223.224.210,41.223.224.210,229,9
Mon,11:22:21,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,229,10
Mon,11:22:21,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,229,11
Mon,11:22:21,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,224,12
Mon,11:22:21,rwanda,uganda,196.0.0.209,196.0.0.209,225,13
Mon,11:22:21,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,226,14
Mon,11:22:21,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,233,15
Mon,11:33:01,rwanda,uganda,gateway,192.168.230.1,11,1
Mon,11:33:01,rwanda,uganda,192.168.15.2,192.168.15.2,11,2
Mon,11:33:01,rwanda,uganda,192.168.3.176,192.168.3.176,11,3
Mon,11:33:01,rwanda,uganda,192.168.3.248,192.168.3.248,11,4
Mon,11:33:01,rwanda,uganda,197.243.115.237,197.243.115.237,12,5
Mon,11:33:01,rwanda,uganda,192.168.120.45,192.168.120.45,13,6
Mon,11:33:01,rwanda,uganda,192.168.1.241,192.168.1.241,4,7
Mon,11:33:01,rwanda,uganda,197.243.126.29,197.243.126.29,3,8
Mon,11:33:01,rwanda,uganda,41.223.224.210,41.223.224.210,229,9
Mon,11:33:01,rwanda,uganda,*,*,*,10
Mon,11:33:01,rwanda,uganda,*,*,*,11
Mon,11:33:01,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,226,12
Mon,11:33:01,rwanda,uganda,*,*,*,13
Mon,11:33:01,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,301,14
Mon,11:33:01,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,226,15
Mon,11:43:27,rwanda,uganda,gateway,192.168.230.1,1,1
Mon,11:43:27,rwanda,uganda,192.168.15.2,192.168.15.2,1,2
Mon,11:43:27,rwanda,uganda,192.168.3.176,192.168.3.176,2,3
Mon,11:43:27,rwanda,uganda,192.168.3.248,192.168.3.248,2,4
Mon,11:43:27,rwanda,uganda,197.243.115.237,197.243.115.237,2,5
Mon,11:43:27,rwanda,uganda,192.168.120.45,192.168.120.45,3,6
Mon,11:43:27,rwanda,uganda,192.168.1.241,192.168.1.241,110,7
Mon,11:43:27,rwanda,uganda,197.243.126.29,197.243.126.29,110,8
Mon,11:43:27,rwanda,uganda,41.223.224.210,41.223.224.210,283,9
Mon,11:43:27,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,284,10
Mon,11:43:27,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,283,11
Mon,11:43:27,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,269,12
Mon,11:43:27,rwanda,uganda,196.0.0.209,196.0.0.209,400,13
Mon,11:43:27,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,224,14
Mon,11:43:27,rwanda,uganda,*,*,*,15
Mon,11:43:27,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,331,16
Mon,11:54:04,rwanda,uganda,gateway,192.168.230.1,1,1
Mon,11:54:04,rwanda,uganda,192.168.15.2,192.168.15.2,1,2
Mon,11:54:04,rwanda,uganda,192.168.3.176,192.168.3.176,1,3
Mon,11:54:04,rwanda,uganda,192.168.3.248,192.168.3.248,1,4
Mon,11:54:04,rwanda,uganda,197.243.115.237,197.243.115.237,2,5
Mon,11:54:04,rwanda,uganda,192.168.120.45,192.168.120.45,4,6
Mon,11:54:04,rwanda,uganda,192.168.1.241,192.168.1.241,4,7
Mon,11:54:04,rwanda,uganda,197.243.126.29,197.243.126.29,3,8
Mon,11:54:04,rwanda,uganda,41.223.224.210,41.223.224.210,224,9
Mon,11:54:04,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,224,10
Mon,11:54:04,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,226,11
Mon,11:54:04,rwanda,uganda,*,*,*,12
Mon,11:54:04,rwanda,uganda,*,*,*,13
Mon,11:54:04,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,227,14
Mon,11:54:04,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,226,15
Mon,12:04:03,rwanda,uganda,gateway,192.168.230.1,1,1
Mon,12:04:03,rwanda,uganda,192.168.15.2,192.168.15.2,1,2
Mon,12:04:03,rwanda,uganda,192.168.3.176,192.168.3.176,2,3
Mon,12:04:03,rwanda,uganda,192.168.3.248,192.168.3.248,2,4
Mon,12:04:03,rwanda,uganda,197.243.115.237,197.243.115.237,19,5
Mon,12:04:03,rwanda,uganda,192.168.120.45,192.168.120.45,6,6
Mon,12:04:03,rwanda,uganda,192.168.1.241,192.168.1.241,6,7
Mon,12:04:03,rwanda,uganda,197.243.126.29,197.243.126.29,5,8
Mon,12:04:03,rwanda,uganda,*,*,*,9
Mon,12:04:03,rwanda,uganda,*,*,*,10
Mon,12:04:03,rwanda,uganda,*,*,*,11
Mon,12:04:03,rwanda,uganda,*,*,*,12
Mon,12:04:03,rwanda,uganda,*,*,*,13
Mon,12:04:03,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,228,14
Mon,12:04:03,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,231,15
Mon,12:14:10,rwanda,uganda,gateway,192.168.230.1,3,1
Mon,12:14:10,rwanda,uganda,192.168.15.2,192.168.15.2,3,2
Mon,12:14:10,rwanda,uganda,192.168.3.176,192.168.3.176,3,3
Mon,12:14:10,rwanda,uganda,192.168.3.248,192.168.3.248,3,4
Mon,12:14:10,rwanda,uganda,197.243.115.237,197.243.115.237,16,5
Mon,12:14:10,rwanda,uganda,192.168.120.45,192.168.120.45,5,6
Mon,12:14:10,rwanda,uganda,192.168.1.241,192.168.1.241,3,7
Mon,12:14:10,rwanda,uganda,197.243.126.29,197.243.126.29,13,8
Mon,12:14:10,rwanda,uganda,41.223.224.210,41.223.224.210,237,9
Mon,12:14:10,rwanda,uganda,*,*,*,10
Mon,12:14:10,rwanda,uganda,*,*,*,11
Mon,12:14:10,rwanda,uganda,*,*,*,12
Mon,12:14:10,rwanda,uganda,*,*,*,13
Mon,12:14:10,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,274,14
Mon,12:14:10,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,226,15
Mon,12:24:32,rwanda,uganda,gateway,192.168.230.1,2,1
Mon,12:24:32,rwanda,uganda,192.168.15.2,192.168.15.2,2,2
Mon,12:24:32,rwanda,uganda,192.168.3.176,192.168.3.176,2,3
Mon,12:24:32,rwanda,uganda,192.168.3.248,192.168.3.248,3,4
Mon,12:24:32,rwanda,uganda,197.243.115.237,197.243.115.237,3,5
Mon,12:24:32,rwanda,uganda,192.168.120.45,192.168.120.45,4,6
Mon,12:24:32,rwanda,uganda,192.168.1.241,192.168.1.241,7,7
Mon,12:24:32,rwanda,uganda,197.243.126.29,197.243.126.29,7,8
