Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,00:06:51,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,00:06:51,rwanda,congo_DR,41.74.174.49,41.74.174.49,4,2
Fri,00:06:51,rwanda,congo_DR,197.243.126.165,197.243.126.165,5,3
Fri,00:06:51,rwanda,congo_DR,192.168.1.253,192.168.1.253,5,4
Fri,00:06:51,rwanda,congo_DR,*,*,*,5
Fri,00:06:51,rwanda,congo_DR,197.243.126.29,197.243.126.29,5,6
Fri,00:06:51,rwanda,congo_DR,41.223.224.210,41.223.224.210,3,7
Fri,00:06:51,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,194,8
Fri,00:06:51,rwanda,congo_DR,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,194,9
Fri,00:06:51,rwanda,congo_DR,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,26,10
Fri,00:06:51,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,193,11
Fri,00:06:51,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,230,12
Fri,00:06:51,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,230,13
Fri,00:06:51,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,230,14
Fri,00:06:51,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,230,15
Fri,00:06:51,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,230,16
Fri,00:06:51,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,300,17
Fri,00:06:51,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,367,18
Fri,00:06:51,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,367,19
Fri,00:06:51,rwanda,congo_DR,ae-45.r01.snjsca04.us.bb.gin.ntt.net,129.250.3.175,367,20
Fri,00:06:51,rwanda,congo_DR,ae-0.a01.snjsca04.us.bb.gin.ntt.net,129.250.3.163,367,21
Fri,00:06:51,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,367,22
Fri,00:06:51,rwanda,congo_DR,162-144-240-145.unifiedlayer.com,162.144.240.145,352,23
Fri,00:06:51,rwanda,congo_DR,*,*,*,24
Fri,00:06:51,rwanda,congo_DR,just57.justhost.com,173.254.28.57,352,25
Fri,00:17:18,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,00:17:18,rwanda,congo_DR,41.74.174.49,41.74.174.49,4,2
Fri,00:17:18,rwanda,congo_DR,197.243.126.165,197.243.126.165,5,3
Fri,00:17:18,rwanda,congo_DR,192.168.1.253,192.168.1.253,5,4
Fri,00:17:18,rwanda,congo_DR,192.168.1.230,192.168.1.230,5,5
Fri,00:17:18,rwanda,congo_DR,197.243.126.29,197.243.126.29,5,6
Fri,00:17:18,rwanda,congo_DR,41.223.224.210,41.223.224.210,4,7
Fri,00:17:18,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,163,8
Fri,00:17:18,rwanda,congo_DR,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,163,9
Fri,00:17:18,rwanda,congo_DR,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,25,10
Fri,00:17:18,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,164,11
Fri,00:17:18,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,161,12
Fri,00:17:18,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,164,13
Fri,00:17:18,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,164,14
Fri,00:17:18,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,164,15
Fri,00:17:18,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,230,16
Fri,00:17:18,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,317,17
Fri,00:17:18,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,409,18
Fri,00:17:18,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,370,19
Fri,00:17:18,rwanda,congo_DR,ae-41.r02.snjsca04.us.bb.gin.ntt.net,129.250.6.119,369,20
Fri,00:17:18,rwanda,congo_DR,ae-1.a01.snjsca04.us.bb.gin.ntt.net,129.250.2.48,369,21
Fri,00:17:18,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,351,22
Fri,00:17:18,rwanda,congo_DR,162-144-240-151.unifiedlayer.com,162.144.240.151,390,23
Fri,00:17:18,rwanda,congo_DR,162-144-240-23.unifiedlayer.com,162.144.240.23,390,24
Fri,00:17:18,rwanda,congo_DR,*,*,*,25
Thu,16:24:48,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,16:24:48,rwanda,congo_DR,41.74.174.49,41.74.174.49,4,2
Thu,16:24:48,rwanda,congo_DR,197.243.126.165,197.243.126.165,5,3
Thu,16:24:48,rwanda,congo_DR,192.168.1.253,192.168.1.253,5,4
Thu,16:24:48,rwanda,congo_DR,192.168.1.230,192.168.1.230,5,5
Thu,16:24:48,rwanda,congo_DR,197.243.126.29,197.243.126.29,5,6
Thu,16:24:48,rwanda,congo_DR,41.223.224.210,41.223.224.210,4,7
Thu,16:24:48,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,184,8
Thu,16:24:48,rwanda,congo_DR,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,184,9
Thu,16:24:48,rwanda,congo_DR,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,24,10
Thu,16:24:48,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,184,11
Thu,16:24:48,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,180,12
Thu,16:24:48,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,161,13
Thu,16:24:48,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,162,14
Thu,16:24:48,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,162,15
Thu,16:24:48,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,229,16
Thu,16:24:48,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,292,17
Thu,16:24:48,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,315,18
Thu,16:24:48,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,348,19
Thu,16:24:48,rwanda,congo_DR,ae-41.r02.snjsca04.us.bb.gin.ntt.net,129.250.6.119,413,20
Thu,16:24:48,rwanda,congo_DR,ae-1.a01.snjsca04.us.bb.gin.ntt.net,129.250.2.48,413,21
Thu,16:24:48,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,413,22
Thu,16:24:48,rwanda,congo_DR,162-144-240-169.unifiedlayer.com,162.144.240.169,413,23
Thu,16:24:48,rwanda,congo_DR,162-144-240-19.unifiedlayer.com,162.144.240.19,413,24
Thu,16:24:48,rwanda,congo_DR,just57.justhost.com,173.254.28.57,413,25
Thu,16:36:19,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,16:36:19,rwanda,congo_DR,41.74.174.49,41.74.174.49,4,2
Thu,16:36:19,rwanda,congo_DR,197.243.126.165,197.243.126.165,5,3
Thu,16:36:19,rwanda,congo_DR,192.168.1.253,192.168.1.253,5,4
Thu,16:36:19,rwanda,congo_DR,192.168.1.230,192.168.1.230,5,5
Thu,16:36:19,rwanda,congo_DR,197.243.126.29,197.243.126.29,5,6
Thu,16:36:19,rwanda,congo_DR,41.223.224.210,41.223.224.210,4,7
Thu,16:36:19,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,163,8
Thu,16:36:19,rwanda,congo_DR,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,163,9
Thu,16:36:19,rwanda,congo_DR,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,25,10
Thu,16:36:19,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,163,11
Thu,16:36:19,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,162,12
Thu,16:36:19,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,168,13
Thu,16:36:19,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,168,14
Thu,16:36:19,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,168,15
Thu,16:36:19,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,234,16
Thu,16:36:19,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,577,17
Thu,16:36:19,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,396,18
Thu,16:36:19,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,396,19
Thu,16:36:19,rwanda,congo_DR,ae-41.r02.snjsca04.us.bb.gin.ntt.net,129.250.6.119,396,20
Thu,16:36:19,rwanda,congo_DR,ae-0.a01.snjsca04.us.bb.gin.ntt.net,129.250.3.163,396,21
Thu,16:36:19,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,339,22
Thu,16:36:19,rwanda,congo_DR,162-144-240-143.unifiedlayer.com,162.144.240.143,353,23
Thu,16:36:19,rwanda,congo_DR,162-144-240-15.unifiedlayer.com,162.144.240.15,353,24
Thu,16:36:19,rwanda,congo_DR,just57.justhost.com,173.254.28.57,353,25
Thu,16:46:47,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,16:46:47,rwanda,congo_DR,41.74.174.49,41.74.174.49,4,2
Thu,16:46:47,rwanda,congo_DR,197.243.126.165,197.243.126.165,5,3
Thu,16:46:47,rwanda,congo_DR,192.168.1.253,192.168.1.253,5,4
Thu,16:46:47,rwanda,congo_DR,192.168.1.230,192.168.1.230,5,5
Thu,16:46:47,rwanda,congo_DR,197.243.126.29,197.243.126.29,5,6
Thu,16:46:47,rwanda,congo_DR,41.223.224.210,41.223.224.210,5,7
Thu,16:46:47,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,162,8
Thu,16:46:47,rwanda,congo_DR,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,162,9
Thu,16:46:47,rwanda,congo_DR,197.155.94.167.liquidtelecom.net,197.155.94.167,25,10
Thu,16:46:47,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,164,11
Thu,16:46:47,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,162,12
Thu,16:46:47,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,161,13
Thu,16:46:47,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,163,14
Thu,16:46:47,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,163,15
Thu,16:46:47,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,230,16
Thu,16:46:47,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,295,17
Thu,16:46:47,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,317,18
Thu,16:46:47,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,304,19
Thu,16:46:47,rwanda,congo_DR,ae-41.r02.snjsca04.us.bb.gin.ntt.net,129.250.6.119,312,20
Thu,16:46:47,rwanda,congo_DR,ae-0.a01.snjsca04.us.bb.gin.ntt.net,129.250.3.163,318,21
Thu,16:46:47,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,328,22
Thu,16:46:47,rwanda,congo_DR,162-144-240-167.unifiedlayer.com,162.144.240.167,339,23
Thu,16:46:47,rwanda,congo_DR,162-144-240-19.unifiedlayer.com,162.144.240.19,322,24
Thu,16:46:47,rwanda,congo_DR,just57.justhost.com,173.254.28.57,331,25
Thu,16:57:22,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,16:57:22,rwanda,congo_DR,41.74.174.49,41.74.174.49,4,2
Thu,16:57:22,rwanda,congo_DR,197.243.126.165,197.243.126.165,5,3
Thu,16:57:22,rwanda,congo_DR,192.168.1.253,192.168.1.253,5,4
Thu,16:57:22,rwanda,congo_DR,192.168.1.230,192.168.1.230,5,5
Thu,16:57:22,rwanda,congo_DR,197.243.126.29,197.243.126.29,34,6
Thu,16:57:22,rwanda,congo_DR,41.223.224.210,41.223.224.210,5,7
Thu,16:57:22,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,162,8
Thu,16:57:22,rwanda,congo_DR,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,163,9
Thu,16:57:22,rwanda,congo_DR,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,25,10
Thu,16:57:22,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,163,11
Thu,16:57:22,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,161,12
Thu,16:57:22,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,162,13
Thu,16:57:22,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,162,14
Thu,16:57:22,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,163,15
Thu,16:57:22,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,234,16
Thu,16:57:22,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,303,17
Thu,16:57:22,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,309,18
Thu,16:57:22,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,327,19
Thu,16:57:22,rwanda,congo_DR,ae-45.r01.snjsca04.us.bb.gin.ntt.net,129.250.3.175,320,20
Thu,16:57:22,rwanda,congo_DR,ae-0.a01.snjsca04.us.bb.gin.ntt.net,129.250.3.163,309,21
Thu,16:57:22,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,337,22
Thu,16:57:22,rwanda,congo_DR,162-144-240-161.unifiedlayer.com,162.144.240.161,438,23
Thu,16:57:22,rwanda,congo_DR,162-144-240-11.unifiedlayer.com,162.144.240.11,409,24
Thu,16:57:22,rwanda,congo_DR,just57.justhost.com,173.254.28.57,406,25
Thu,17:07:47,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,17:07:47,rwanda,congo_DR,41.74.174.49,41.74.174.49,4,2
Thu,17:07:47,rwanda,congo_DR,197.243.126.165,197.243.126.165,5,3
Thu,17:07:47,rwanda,congo_DR,192.168.1.253,192.168.1.253,5,4
Thu,17:07:47,rwanda,congo_DR,192.168.1.230,192.168.1.230,5,5
Thu,17:07:47,rwanda,congo_DR,197.243.126.29,197.243.126.29,13,6
Thu,17:07:47,rwanda,congo_DR,41.223.224.210,41.223.224.210,4,7
Thu,17:07:47,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,161,8
Thu,17:07:47,rwanda,congo_DR,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,162,9
Thu,17:07:47,rwanda,congo_DR,197.155.94.167.liquidtelecom.net,197.155.94.167,25,10
Thu,17:07:47,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,163,11
Thu,17:07:47,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,195,12
Thu,17:07:47,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,197,13
Thu,17:07:47,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,197,14
Thu,17:07:47,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,212,15
Thu,17:07:47,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,228,16
Thu,17:07:47,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,355,17
Thu,17:07:47,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,308,18
Thu,17:07:47,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,325,19
Thu,17:07:47,rwanda,congo_DR,ae-41.r02.snjsca04.us.bb.gin.ntt.net,129.250.6.119,309,20
Thu,17:07:47,rwanda,congo_DR,ae-0.a01.snjsca04.us.bb.gin.ntt.net,129.250.3.163,322,21
Thu,17:07:47,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,338,22
Thu,17:07:47,rwanda,congo_DR,162-144-240-169.unifiedlayer.com,162.144.240.169,425,23
Thu,17:07:47,rwanda,congo_DR,162-144-240-15.unifiedlayer.com,162.144.240.15,405,24
Thu,17:07:47,rwanda,congo_DR,just57.justhost.com,173.254.28.57,400,25
Thu,17:18:25,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,17:18:25,rwanda,congo_DR,41.74.174.49,41.74.174.49,4,2
Thu,17:18:25,rwanda,congo_DR,197.243.126.165,197.243.126.165,5,3
Thu,17:18:25,rwanda,congo_DR,192.168.1.253,192.168.1.253,5,4
Thu,17:18:25,rwanda,congo_DR,192.168.1.230,192.168.1.230,6,5
Thu,17:18:25,rwanda,congo_DR,197.243.126.29,197.243.126.29,5,6
Thu,17:18:25,rwanda,congo_DR,41.223.224.210,41.223.224.210,4,7
Thu,17:18:25,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,162,8
Thu,17:18:25,rwanda,congo_DR,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,162,9
Thu,17:18:25,rwanda,congo_DR,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,25,10
Thu,17:18:25,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,163,11
Thu,17:18:25,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,161,12
Thu,17:18:25,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,238,13
Thu,17:18:25,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,189,14
Thu,17:18:25,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,189,15
Thu,17:18:25,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,235,16
Thu,17:18:25,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,292,17
Thu,17:18:25,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,379,18
Thu,17:18:25,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,379,19
Thu,17:18:25,rwanda,congo_DR,ae-41.r02.snjsca04.us.bb.gin.ntt.net,129.250.6.119,379,20
Thu,17:18:25,rwanda,congo_DR,ae-0.a01.snjsca04.us.bb.gin.ntt.net,129.250.3.163,379,21
Thu,17:18:25,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,355,22
Thu,17:18:25,rwanda,congo_DR,162-144-240-167.unifiedlayer.com,162.144.240.167,350,23
Thu,17:18:25,rwanda,congo_DR,162-144-240-23.unifiedlayer.com,162.144.240.23,350,24
Thu,17:18:25,rwanda,congo_DR,just57.justhost.com,173.254.28.57,350,25
Thu,17:28:46,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,17:28:46,rwanda,congo_DR,41.74.174.49,41.74.174.49,4,2
Thu,17:28:46,rwanda,congo_DR,197.243.126.165,197.243.126.165,5,3
Thu,17:28:46,rwanda,congo_DR,192.168.1.253,192.168.1.253,5,4
Thu,17:28:46,rwanda,congo_DR,192.168.1.230,192.168.1.230,5,5
Thu,17:28:46,rwanda,congo_DR,197.243.126.29,197.243.126.29,5,6
Thu,17:28:46,rwanda,congo_DR,41.223.224.210,41.223.224.210,4,7
Thu,17:28:46,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,163,8
Thu,17:28:46,rwanda,congo_DR,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,162,9
Thu,17:28:46,rwanda,congo_DR,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,25,10
Thu,17:28:46,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,164,11
Thu,17:28:46,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,161,12
Thu,17:28:46,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,211,13
Thu,17:28:46,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,211,14
Thu,17:28:46,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,211,15
Thu,17:28:46,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,229,16
Thu,17:28:46,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,296,17
Thu,17:28:46,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,386,18
Thu,17:28:46,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,386,19
Thu,17:28:46,rwanda,congo_DR,ae-41.r02.snjsca04.us.bb.gin.ntt.net,129.250.6.119,386,20
Thu,17:28:46,rwanda,congo_DR,ae-1.a01.snjsca04.us.bb.gin.ntt.net,129.250.2.48,386,21
Thu,17:28:46,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,376,22
Thu,17:28:46,rwanda,congo_DR,162-144-240-161.unifiedlayer.com,162.144.240.161,359,23
Thu,17:28:46,rwanda,congo_DR,162-144-240-19.unifiedlayer.com,162.144.240.19,359,24
Thu,17:28:46,rwanda,congo_DR,just57.justhost.com,173.254.28.57,359,25
Thu,17:39:39,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,17:39:39,rwanda,congo_DR,41.74.174.49,41.74.174.49,4,2
Thu,17:39:39,rwanda,congo_DR,197.243.126.165,197.243.126.165,5,3
Thu,17:39:39,rwanda,congo_DR,192.168.1.253,192.168.1.253,5,4
Thu,17:39:39,rwanda,congo_DR,192.168.1.230,192.168.1.230,7,5
Thu,17:39:39,rwanda,congo_DR,197.243.126.29,197.243.126.29,5,6
Thu,17:39:39,rwanda,congo_DR,41.223.224.210,41.223.224.210,5,7
Thu,17:39:39,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,185,8
Thu,17:39:39,rwanda,congo_DR,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,185,9
