Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,00:09:35,rwanda,oregon,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Fri,00:09:35,rwanda,oregon,41.74.174.49,41.74.174.49,7,2
Fri,00:09:35,rwanda,oregon,197.243.126.165,197.243.126.165,8,3
Fri,00:09:35,rwanda,oregon,192.168.1.253,192.168.1.253,8,4
Fri,00:09:35,rwanda,oregon,192.168.1.230,192.168.1.230,8,5
Fri,00:09:35,rwanda,oregon,197.243.126.29,197.243.126.29,8,6
Fri,00:09:35,rwanda,oregon,41.223.224.210,41.223.224.210,5,7
Fri,00:09:35,rwanda,oregon,197.155.94.164.liquidtelecom.net,197.155.94.164,249,8
Fri,00:09:35,rwanda,oregon,197.155.94.148.liquidtelecom.net,197.155.94.148,249,9
Fri,00:09:35,rwanda,oregon,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,249,10
Fri,00:09:35,rwanda,oregon,197.155.94.169.liquidtelecom.net,197.155.94.169,26,11
Fri,00:09:35,rwanda,oregon,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,75,12
Fri,00:09:35,rwanda,oregon,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,280,13
Fri,00:09:35,rwanda,oregon,v204.core1.lon1.he.net,216.66.86.109,224,14
Fri,00:09:35,rwanda,oregon,10ge2-9.core1.lon2.he.net,72.52.92.222,240,15
Fri,00:09:35,rwanda,oregon,100ge4-1.core1.nyc4.he.net,72.52.92.166,255,16
Fri,00:09:35,rwanda,oregon,100ge14-1.core1.tor1.he.net,184.105.80.10,319,17
Fri,00:09:35,rwanda,oregon,100ge6-1.core1.ywg1.he.net,184.105.64.102,287,18
Fri,00:09:35,rwanda,oregon,100ge10-1.core1.yyc1.he.net,184.105.222.98,303,19
Fri,00:09:35,rwanda,oregon,100ge10-2.core1.yvr1.he.net,184.105.64.113,310,20
Fri,00:09:35,rwanda,oregon,100ge10-2.core1.sea1.he.net,184.105.64.109,307,21
Fri,00:09:35,rwanda,oregon,amazon-02-as16509.10gigabitethernet1-12.core1.sea1.he.net,216.218.230.134,305,22
Fri,00:09:35,rwanda,oregon,52.95.52.78,52.95.52.78,314,23
Fri,00:09:35,rwanda,oregon,52.95.53.129,52.95.53.129,413,24
Fri,00:09:35,rwanda,oregon,54.239.42.223,54.239.42.223,382,25
Fri,00:09:35,rwanda,oregon,54.239.43.136,54.239.43.136,382,26
Fri,00:09:35,rwanda,oregon,52.93.12.80,52.93.12.80,373,27
Fri,00:09:35,rwanda,oregon,52.93.12.178,52.93.12.178,348,28
Fri,00:09:35,rwanda,oregon,52.93.12.248,52.93.12.248,328,29
Fri,00:09:35,rwanda,oregon,52.93.12.167,52.93.12.167,328,30
