Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,18:42:13,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Tue,18:42:13,rwanda,algeria,41.74.174.49,41.74.174.49,5,2
Tue,18:42:13,rwanda,algeria,197.243.126.165,197.243.126.165,6,3
Tue,18:42:13,rwanda,algeria,192.168.1.253,192.168.1.253,6,4
Tue,18:42:13,rwanda,algeria,192.168.1.230,192.168.1.230,6,5
Tue,18:42:13,rwanda,algeria,197.243.126.29,197.243.126.29,7,6
Tue,18:42:13,rwanda,algeria,41.223.224.210,41.223.224.210,4,7
Tue,18:42:13,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,164,8
Tue,18:42:13,rwanda,algeria,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,164,9
Tue,18:42:13,rwanda,algeria,197.155.94.167.liquidtelecom.net,197.155.94.167,24,10
Tue,18:42:13,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,164,11
Tue,18:42:13,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,164,12
Tue,18:42:13,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,268,13
Tue,18:42:13,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,268,14
Tue,18:42:13,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,268,15
Tue,18:42:13,rwanda,algeria,195.219.83.30,195.219.83.30,268,16
Tue,18:42:13,rwanda,algeria,172.16.44.138,172.16.44.138,268,17
Tue,18:42:13,rwanda,algeria,172.31.2.83,172.31.2.83,267,18
Tue,18:42:13,rwanda,algeria,10.10.13.99,10.10.13.99,262,19
Tue,18:42:13,rwanda,algeria,*,*,*,20
Tue,18:42:13,rwanda,algeria,*,*,*,21
Tue,18:42:13,rwanda,algeria,*,*,*,22
Tue,18:42:13,rwanda,algeria,*,*,*,23
Tue,18:42:13,rwanda,algeria,*,*,*,24
Tue,18:42:13,rwanda,algeria,*,*,*,25
Tue,18:42:13,rwanda,algeria,*,*,*,26
Tue,18:42:13,rwanda,algeria,*,*,*,27
Tue,18:42:13,rwanda,algeria,*,*,*,28
Tue,18:42:13,rwanda,algeria,*,*,*,29
Tue,18:42:13,rwanda,algeria,*,*,*,30
Tue,18:50:50,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:50:50,rwanda,algeria,41.74.174.49,41.74.174.49,4,2
Tue,18:50:50,rwanda,algeria,197.243.126.165,197.243.126.165,5,3
Tue,18:50:50,rwanda,algeria,192.168.1.253,192.168.1.253,5,4
