Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,18:42:51,rwanda,angola,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:42:51,rwanda,angola,41.74.174.49,41.74.174.49,4,2
Tue,18:42:51,rwanda,angola,197.243.126.165,197.243.126.165,5,3
Tue,18:42:51,rwanda,angola,192.168.1.253,192.168.1.253,5,4
Tue,18:42:51,rwanda,angola,192.168.1.230,192.168.1.230,5,5
Tue,18:42:51,rwanda,angola,197.243.126.29,197.243.126.29,5,6
Tue,18:42:51,rwanda,angola,41.223.224.210,41.223.224.210,4,7
Tue,18:42:51,rwanda,angola,197.155.94.164.liquidtelecom.net,197.155.94.164,69,8
Tue,18:42:51,rwanda,angola,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,71,9
Tue,18:42:51,rwanda,angola,197.155.94.167.liquidtelecom.net,197.155.94.167,25,10
Tue,18:42:51,rwanda,angola,gi2-0-0.lza-p2-jhb.liquidtelecom.net,77.246.57.69,72,11
Tue,18:42:51,rwanda,angola,eth-trunk-1-pe2-jhb.liquidtelecom.net,46.17.232.13,69,12
Tue,18:42:51,rwanda,angola,angolacables.ixp.joburg,196.60.8.60,67,13
Tue,18:42:51,rwanda,angola,pe2-ne026.ang.lad.as37468.angolacables.ao,197.149.149.117,124,14
Tue,18:42:51,rwanda,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,124,15
Tue,18:42:51,rwanda,angola,197.149.148.237,197.149.148.237,125,16
Tue,18:42:51,rwanda,angola,41.222.238.26,41.222.238.26,125,17
Tue,18:42:51,rwanda,angola,41.222.238.7,41.222.238.7,126,18
Tue,18:42:51,rwanda,angola,*,*,*,19
Tue,18:42:51,rwanda,angola,*,*,*,20
Tue,18:42:51,rwanda,angola,*,*,*,21
Tue,18:42:51,rwanda,angola,*,*,*,22
Tue,18:42:51,rwanda,angola,*,*,*,23
Tue,18:42:51,rwanda,angola,*,*,*,24
Tue,18:42:51,rwanda,angola,*,*,*,25
Tue,18:42:51,rwanda,angola,*,*,*,26
Tue,18:42:51,rwanda,angola,*,*,*,27
Tue,18:42:51,rwanda,angola,*,*,*,28
Tue,18:42:51,rwanda,angola,*,*,*,29
Tue,18:42:51,rwanda,angola,*,*,*,30
Tue,18:51:16,rwanda,angola,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:51:16,rwanda,angola,41.74.174.49,41.74.174.49,4,2
Tue,18:51:16,rwanda,angola,197.243.126.165,197.243.126.165,5,3
Tue,18:51:16,rwanda,angola,192.168.1.253,192.168.1.253,5,4
Tue,18:51:16,rwanda,angola,192.168.1.230,192.168.1.230,5,5
Tue,18:51:16,rwanda,angola,197.243.126.29,197.243.126.29,5,6
Tue,18:51:16,rwanda,angola,41.223.224.210,41.223.224.210,8,7
