Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,18:43:18,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:43:18,rwanda,congo_DR,41.74.174.49,41.74.174.49,7,2
Tue,18:43:18,rwanda,congo_DR,197.243.126.165,197.243.126.165,8,3
Tue,18:43:18,rwanda,congo_DR,192.168.1.253,192.168.1.253,8,4
Tue,18:43:18,rwanda,congo_DR,192.168.1.230,192.168.1.230,8,5
Tue,18:43:18,rwanda,congo_DR,197.243.126.29,197.243.126.29,13,6
Tue,18:43:18,rwanda,congo_DR,41.223.224.210,41.223.224.210,5,7
Tue,18:43:18,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,192,8
Tue,18:43:18,rwanda,congo_DR,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,193,9
Tue,18:43:18,rwanda,congo_DR,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,25,10
Tue,18:43:18,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,192,11
Tue,18:43:18,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,188,12
Tue,18:43:18,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,164,13
Tue,18:43:18,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,161,14
Tue,18:43:18,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,161,15
Tue,18:43:18,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,252,16
Tue,18:43:18,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,302,17
Tue,18:43:18,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,323,18
Tue,18:43:18,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,304,19
Tue,18:43:18,rwanda,congo_DR,ae-45.r01.snjsca04.us.bb.gin.ntt.net,129.250.3.175,318,20
Tue,18:43:18,rwanda,congo_DR,ae-0.a01.snjsca04.us.bb.gin.ntt.net,129.250.3.163,307,21
Tue,18:43:18,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,332,22
Tue,18:43:18,rwanda,congo_DR,162-144-240-159.unifiedlayer.com,162.144.240.159,330,23
