Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,18:43:36,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:43:36,rwanda,ghana,41.74.174.49,41.74.174.49,4,2
Tue,18:43:36,rwanda,ghana,197.243.126.165,197.243.126.165,5,3
Tue,18:43:36,rwanda,ghana,192.168.1.253,192.168.1.253,5,4
Tue,18:43:36,rwanda,ghana,192.168.1.230,192.168.1.230,4,5
Tue,18:43:36,rwanda,ghana,197.243.126.29,197.243.126.29,5,6
Tue,18:43:36,rwanda,ghana,41.223.224.210,41.223.224.210,5,7
Tue,18:43:36,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,194,8
Tue,18:43:36,rwanda,ghana,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,194,9
Tue,18:43:36,rwanda,ghana,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,26,10
Tue,18:43:36,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,195,11
Tue,18:43:36,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,192,12
Tue,18:43:36,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,193,13
Tue,18:43:36,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,196,14
Tue,18:43:36,rwanda,ghana,10.118.46.106,10.118.46.106,509,15
Tue,18:43:36,rwanda,ghana,41.21.232.70,41.21.232.70,509,16
Tue,18:43:36,rwanda,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,509,17
Tue,18:43:36,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,410,18
Tue,18:43:36,rwanda,ghana,197.255.127.2,197.255.127.2,412,19
Tue,18:43:36,rwanda,ghana,197.255.127.35,197.255.127.35,416,20
Tue,18:43:36,rwanda,ghana,197.255.125.213,197.255.125.213,489,21
Tue,18:52:00,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:52:00,rwanda,ghana,41.74.174.49,41.74.174.49,4,2
Tue,18:52:00,rwanda,ghana,197.243.126.165,197.243.126.165,5,3
Tue,18:52:00,rwanda,ghana,192.168.1.253,192.168.1.253,5,4
Tue,18:52:00,rwanda,ghana,192.168.1.230,192.168.1.230,6,5
Tue,18:52:00,rwanda,ghana,197.243.126.29,197.243.126.29,13,6
Tue,18:52:00,rwanda,ghana,41.223.224.210,41.223.224.210,8,7
Tue,18:52:00,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,192,8
Tue,18:52:00,rwanda,ghana,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,194,9
Tue,18:52:00,rwanda,ghana,197.155.94.167.liquidtelecom.net,197.155.94.167,24,10
Tue,18:52:00,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,194,11
Tue,18:52:00,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,305,12
Tue,18:52:00,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,306,13
Tue,18:52:00,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,306,14
Tue,18:52:00,rwanda,ghana,10.118.46.106,10.118.46.106,428,15
Tue,18:52:00,rwanda,ghana,41.21.232.70,41.21.232.70,428,16
Tue,18:52:00,rwanda,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,428,17
Tue,18:52:00,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,402,18
Tue,18:52:00,rwanda,ghana,197.255.127.2,197.255.127.2,404,19
Tue,18:52:00,rwanda,ghana,197.255.127.35,197.255.127.35,447,20
Tue,18:52:00,rwanda,ghana,197.255.125.213,197.255.125.213,492,21
Tue,19:00:09,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Tue,19:00:09,rwanda,ghana,41.74.174.49,41.74.174.49,4,2
Tue,19:00:09,rwanda,ghana,197.243.126.165,197.243.126.165,5,3
Tue,19:00:09,rwanda,ghana,192.168.1.253,192.168.1.253,5,4
Tue,19:00:09,rwanda,ghana,192.168.1.230,192.168.1.230,5,5
Tue,19:00:09,rwanda,ghana,197.243.126.29,197.243.126.29,4,6
Tue,19:00:09,rwanda,ghana,41.223.224.210,41.223.224.210,7,7
Tue,19:00:09,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,217,8
Tue,19:00:09,rwanda,ghana,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,217,9
Tue,19:00:09,rwanda,ghana,197.155.94.167.liquidtelecom.net,197.155.94.167,24,10
Tue,19:00:09,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,217,11
Tue,19:00:09,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,210,12
Tue,19:00:09,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,202,13
Tue,19:00:09,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,197,14
Tue,19:00:09,rwanda,ghana,10.118.46.106,10.118.46.106,401,15
Tue,19:00:09,rwanda,ghana,41.21.232.70,41.21.232.70,406,16
Tue,19:00:09,rwanda,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,405,17
Tue,19:00:09,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,414,18
Tue,19:00:09,rwanda,ghana,197.255.127.2,197.255.127.2,405,19
Tue,19:00:09,rwanda,ghana,197.255.127.35,197.255.127.35,405,20
Tue,19:00:09,rwanda,ghana,197.255.125.213,197.255.125.213,489,21
Tue,19:08:30,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:08:30,rwanda,ghana,41.74.174.49,41.74.174.49,4,2
Tue,19:08:30,rwanda,ghana,197.243.126.165,197.243.126.165,5,3
Tue,19:08:30,rwanda,ghana,192.168.1.253,192.168.1.253,5,4
Tue,19:08:30,rwanda,ghana,192.168.1.230,192.168.1.230,6,5
Tue,19:08:30,rwanda,ghana,197.243.126.29,197.243.126.29,5,6
Tue,19:08:30,rwanda,ghana,41.223.224.210,41.223.224.210,4,7
Tue,19:08:30,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,193,8
Tue,19:08:30,rwanda,ghana,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,193,9
Tue,19:08:30,rwanda,ghana,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,24,10
Tue,19:08:30,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,194,11
Tue,19:08:30,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,195,12
Tue,19:08:30,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,193,13
Tue,19:08:30,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,197,14
Tue,19:08:30,rwanda,ghana,10.118.46.106,10.118.46.106,464,15
Tue,19:08:30,rwanda,ghana,41.21.232.70,41.21.232.70,464,16
Tue,19:08:30,rwanda,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,464,17
Tue,19:08:30,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,402,18
Tue,19:08:30,rwanda,ghana,197.255.127.2,197.255.127.2,404,19
Tue,19:08:30,rwanda,ghana,197.255.127.35,197.255.127.35,404,20
Tue,19:08:30,rwanda,ghana,197.255.125.213,197.255.125.213,503,21
Tue,19:17:28,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:17:28,rwanda,ghana,41.74.174.49,41.74.174.49,4,2
Tue,19:17:28,rwanda,ghana,197.243.126.165,197.243.126.165,5,3
Tue,19:17:28,rwanda,ghana,192.168.1.253,192.168.1.253,5,4
Tue,19:17:28,rwanda,ghana,192.168.1.230,192.168.1.230,4,5
Tue,19:17:28,rwanda,ghana,197.243.126.29,197.243.126.29,4,6
Tue,19:17:28,rwanda,ghana,41.223.224.210,41.223.224.210,5,7
Tue,19:17:28,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,230,8
Tue,19:17:28,rwanda,ghana,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,229,9
Tue,19:17:28,rwanda,ghana,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,24,10
Tue,19:17:28,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,229,11
Tue,19:17:28,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,225,12
Tue,19:17:28,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,288,13
Tue,19:17:28,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,222,14
Tue,19:17:28,rwanda,ghana,10.118.46.106,10.118.46.106,432,15
Tue,19:17:28,rwanda,ghana,41.21.232.70,41.21.232.70,433,16
Tue,19:17:28,rwanda,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,432,17
Tue,19:17:28,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,432,18
Tue,19:17:28,rwanda,ghana,197.255.127.2,197.255.127.2,404,19
Tue,19:17:28,rwanda,ghana,197.255.127.35,197.255.127.35,410,20
Tue,19:17:28,rwanda,ghana,197.255.125.213,197.255.125.213,436,21
