Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,18:44:49,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:44:49,rwanda,japan,41.74.174.49,41.74.174.49,4,2
Tue,18:44:49,rwanda,japan,197.243.126.165,197.243.126.165,5,3
Tue,18:44:49,rwanda,japan,192.168.1.253,192.168.1.253,4,4
Tue,18:44:49,rwanda,japan,192.168.1.230,192.168.1.230,4,5
Tue,18:44:49,rwanda,japan,197.243.126.29,197.243.126.29,2,6
Tue,18:44:49,rwanda,japan,41.223.224.210,41.223.224.210,3,7
Tue,18:44:49,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,187,8
Tue,18:44:49,rwanda,japan,197.155.94.148.liquidtelecom.net,197.155.94.148,187,9
Tue,18:44:49,rwanda,japan,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,182,10
Tue,18:44:49,rwanda,japan,ten-0-1-1-2-p2-msa.liquidtelecom.net,197.155.94.73,29,11
Tue,18:44:49,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,72,12
Tue,18:44:49,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,182,13
Tue,18:44:49,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,182,14
Tue,18:44:49,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,191,15
Tue,18:44:49,rwanda,japan,tenge0-1-0-18.br02.tok02.pccwbtn.net,63.223.33.197,435,16
Tue,18:44:49,rwanda,japan,*,*,*,17
Tue,18:44:49,rwanda,japan,63-216-242-78.static.pccwglobal.net,63.216.242.78,438,18
Tue,18:44:49,rwanda,japan,52.95.30.149,52.95.30.149,435,19
Tue,18:44:49,rwanda,japan,52.95.30.130,52.95.30.130,424,20
Tue,18:44:49,rwanda,japan,52.95.30.218,52.95.30.218,423,21
Tue,18:44:49,rwanda,japan,*,*,*,22
Tue,18:44:49,rwanda,japan,*,*,*,23
Tue,18:44:49,rwanda,japan,*,*,*,24
Tue,18:44:49,rwanda,japan,ec2-13-113-183-15.ap-northeast-1.compute.amazonaws.com,13.113.183.15,441,25
Tue,18:53:01,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:53:01,rwanda,japan,41.74.174.49,41.74.174.49,6,2
Tue,18:53:01,rwanda,japan,197.243.126.165,197.243.126.165,9,3
Tue,18:53:01,rwanda,japan,192.168.1.253,192.168.1.253,8,4
Tue,18:53:01,rwanda,japan,192.168.1.230,192.168.1.230,11,5
Tue,18:53:01,rwanda,japan,197.243.126.29,197.243.126.29,10,6
Tue,18:53:01,rwanda,japan,41.223.224.210,41.223.224.210,5,7
Tue,18:53:01,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,181,8
Tue,18:53:01,rwanda,japan,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,182,9
