Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,18:44:07,rwanda,kenya,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:44:07,rwanda,kenya,41.74.174.49,41.74.174.49,4,2
Tue,18:44:07,rwanda,kenya,197.243.126.165,197.243.126.165,5,3
Tue,18:44:07,rwanda,kenya,192.168.1.253,192.168.1.253,5,4
Tue,18:44:07,rwanda,kenya,192.168.1.230,192.168.1.230,5,5
Tue,18:44:07,rwanda,kenya,197.243.126.29,197.243.126.29,5,6
Tue,18:44:07,rwanda,kenya,41.223.224.210,41.223.224.210,7,7
Tue,18:44:07,rwanda,kenya,197.155.94.164.liquidtelecom.net,197.155.94.164,17,8
Tue,18:44:07,rwanda,kenya,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,19,9
Tue,18:44:07,rwanda,kenya,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,19,10
Tue,18:44:07,rwanda,kenya,196.223.21.15,196.223.21.15,19,11
Tue,18:44:07,rwanda,kenya,196.201.222.233,196.201.222.233,23,12
Tue,18:44:07,rwanda,kenya,196.201.222.233,196.201.222.233,22,13
Tue,18:44:07,rwanda,kenya,196.201.222.166,196.201.222.166,31,14
Tue,18:44:07,rwanda,kenya,172.17.28.1,172.17.28.1,29,15
Tue,18:44:07,rwanda,kenya,172.17.28.1,172.17.28.1,32,16
Tue,18:44:07,rwanda,kenya,*,*,*,17
Tue,18:44:07,rwanda,kenya,*,*,*,18
Tue,18:44:07,rwanda,kenya,*,*,*,19
Tue,18:44:07,rwanda,kenya,*,*,*,20
Tue,18:44:07,rwanda,kenya,*,*,*,21
Tue,18:44:07,rwanda,kenya,*,*,*,22
Tue,18:44:07,rwanda,kenya,*,*,*,23
Tue,18:44:07,rwanda,kenya,*,*,*,24
Tue,18:44:07,rwanda,kenya,*,*,*,25
Tue,18:44:07,rwanda,kenya,*,*,*,26
Tue,18:44:07,rwanda,kenya,*,*,*,27
Tue,18:44:07,rwanda,kenya,*,*,*,28
Tue,18:44:07,rwanda,kenya,*,*,*,29
Tue,18:44:07,rwanda,kenya,*,*,*,30
Tue,18:52:35,rwanda,kenya,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:52:35,rwanda,kenya,41.74.174.49,41.74.174.49,4,2
Tue,18:52:35,rwanda,kenya,197.243.126.165,197.243.126.165,5,3
Tue,18:52:35,rwanda,kenya,192.168.1.253,192.168.1.253,5,4
Tue,18:52:35,rwanda,kenya,192.168.1.230,192.168.1.230,5,5
Tue,18:52:35,rwanda,kenya,197.243.126.29,197.243.126.29,5,6
Tue,18:52:35,rwanda,kenya,41.223.224.210,41.223.224.210,4,7
Tue,18:52:35,rwanda,kenya,197.155.94.164.liquidtelecom.net,197.155.94.164,18,8
Tue,18:52:35,rwanda,kenya,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,18,9
Tue,18:52:35,rwanda,kenya,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,19,10
Tue,18:52:35,rwanda,kenya,teng0-0-1-0-pe1-nbi.liquidtelecom.net,197.155.94.7,19,11
Tue,18:52:35,rwanda,kenya,196.223.21.15,196.223.21.15,19,12
Tue,18:52:35,rwanda,kenya,196.201.222.166,196.201.222.166,29,13
Tue,18:52:35,rwanda,kenya,172.17.28.1,172.17.28.1,29,14
Tue,18:52:35,rwanda,kenya,172.17.28.1,172.17.28.1,29,15
Tue,18:52:35,rwanda,kenya,*,*,*,16
Tue,18:52:35,rwanda,kenya,*,*,*,17
Tue,18:52:35,rwanda,kenya,*,*,*,18
Tue,18:52:35,rwanda,kenya,*,*,*,19
Tue,18:52:35,rwanda,kenya,*,*,*,20
Tue,18:52:35,rwanda,kenya,*,*,*,21
Tue,18:52:35,rwanda,kenya,*,*,*,22
Tue,18:52:35,rwanda,kenya,*,*,*,23
Tue,18:52:35,rwanda,kenya,*,*,*,24
Tue,18:52:35,rwanda,kenya,*,*,*,25
Tue,18:52:35,rwanda,kenya,*,*,*,26
Tue,18:52:35,rwanda,kenya,*,*,*,27
Tue,18:52:35,rwanda,kenya,*,*,*,28
Tue,18:52:35,rwanda,kenya,*,*,*,29
Tue,18:52:35,rwanda,kenya,*,*,*,30
Tue,19:00:33,rwanda,kenya,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:00:33,rwanda,kenya,41.74.174.49,41.74.174.49,4,2
Tue,19:00:33,rwanda,kenya,197.243.126.165,197.243.126.165,5,3
Tue,19:00:33,rwanda,kenya,192.168.1.253,192.168.1.253,5,4
Tue,19:00:33,rwanda,kenya,192.168.1.230,192.168.1.230,5,5
Tue,19:00:33,rwanda,kenya,197.243.126.29,197.243.126.29,5,6
Tue,19:00:33,rwanda,kenya,41.223.224.210,41.223.224.210,4,7
Tue,19:00:33,rwanda,kenya,197.155.94.164.liquidtelecom.net,197.155.94.164,18,8
Tue,19:00:33,rwanda,kenya,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,18,9
Tue,19:00:33,rwanda,kenya,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,20,10
Tue,19:00:33,rwanda,kenya,teng0-0-1-0-pe1-nbi.liquidtelecom.net,197.155.94.7,18,11
Tue,19:00:33,rwanda,kenya,196.201.222.233,196.201.222.233,23,12
Tue,19:00:33,rwanda,kenya,196.201.222.166,196.201.222.166,30,13
Tue,19:00:33,rwanda,kenya,196.201.222.166,196.201.222.166,29,14
Tue,19:00:33,rwanda,kenya,172.17.28.1,172.17.28.1,31,15
Tue,19:00:33,rwanda,kenya,*,*,*,16
Tue,19:00:33,rwanda,kenya,*,*,*,17
Tue,19:00:33,rwanda,kenya,*,*,*,18
Tue,19:00:33,rwanda,kenya,*,*,*,19
Tue,19:00:33,rwanda,kenya,*,*,*,20
Tue,19:00:33,rwanda,kenya,*,*,*,21
Tue,19:00:33,rwanda,kenya,*,*,*,22
Tue,19:00:33,rwanda,kenya,*,*,*,23
Tue,19:00:33,rwanda,kenya,*,*,*,24
Tue,19:00:33,rwanda,kenya,*,*,*,25
Tue,19:00:33,rwanda,kenya,*,*,*,26
Tue,19:00:33,rwanda,kenya,*,*,*,27
Tue,19:00:33,rwanda,kenya,*,*,*,28
Tue,19:00:33,rwanda,kenya,*,*,*,29
Tue,19:00:33,rwanda,kenya,*,*,*,30
Tue,19:08:53,rwanda,kenya,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Tue,19:08:53,rwanda,kenya,41.74.174.49,41.74.174.49,5,2
Tue,19:08:53,rwanda,kenya,197.243.126.165,197.243.126.165,5,3
Tue,19:08:53,rwanda,kenya,192.168.1.253,192.168.1.253,5,4
Tue,19:08:53,rwanda,kenya,192.168.1.230,192.168.1.230,5,5
Tue,19:08:53,rwanda,kenya,197.243.126.29,197.243.126.29,5,6
Tue,19:08:53,rwanda,kenya,41.223.224.210,41.223.224.210,5,7
Tue,19:08:53,rwanda,kenya,197.155.94.164.liquidtelecom.net,197.155.94.164,18,8
Tue,19:08:53,rwanda,kenya,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,18,9
Tue,19:08:53,rwanda,kenya,teng0-0-1-1-pe1-nbi.liquidtelecom.net,197.155.94.41,20,10
Tue,19:08:53,rwanda,kenya,196.223.21.15,196.223.21.15,22,11
Tue,19:08:53,rwanda,kenya,196.201.222.233,196.201.222.233,24,12
Tue,19:08:53,rwanda,kenya,196.201.222.233,196.201.222.233,25,13
Tue,19:08:53,rwanda,kenya,172.17.28.1,172.17.28.1,29,14
Tue,19:08:53,rwanda,kenya,172.17.28.1,172.17.28.1,29,15
Tue,19:08:53,rwanda,kenya,*,*,*,16
Tue,19:08:53,rwanda,kenya,*,*,*,17
Tue,19:08:53,rwanda,kenya,*,*,*,18
Tue,19:08:53,rwanda,kenya,*,*,*,19
Tue,19:08:53,rwanda,kenya,*,*,*,20
Tue,19:08:53,rwanda,kenya,*,*,*,21
Tue,19:08:53,rwanda,kenya,*,*,*,22
Tue,19:08:53,rwanda,kenya,*,*,*,23
Tue,19:08:53,rwanda,kenya,*,*,*,24
Tue,19:08:53,rwanda,kenya,*,*,*,25
Tue,19:08:53,rwanda,kenya,*,*,*,26
Tue,19:08:53,rwanda,kenya,*,*,*,27
Tue,19:08:53,rwanda,kenya,*,*,*,28
Tue,19:08:53,rwanda,kenya,*,*,*,29
Tue,19:08:53,rwanda,kenya,*,*,*,30
Tue,19:17:53,rwanda,kenya,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:17:53,rwanda,kenya,41.74.174.49,41.74.174.49,28,2
Tue,19:17:53,rwanda,kenya,197.243.126.165,197.243.126.165,5,3
Tue,19:17:53,rwanda,kenya,192.168.1.253,192.168.1.253,4,4
Tue,19:17:53,rwanda,kenya,192.168.1.230,192.168.1.230,6,5
Tue,19:17:53,rwanda,kenya,197.243.126.29,197.243.126.29,5,6
Tue,19:17:53,rwanda,kenya,41.223.224.210,41.223.224.210,4,7
Tue,19:17:53,rwanda,kenya,197.155.94.164.liquidtelecom.net,197.155.94.164,17,8
Tue,19:17:53,rwanda,kenya,197.155.94.148.liquidtelecom.net,197.155.94.148,21,9
Tue,19:17:53,rwanda,kenya,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,18,10
