Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,18:45:06,rwanda,oregon,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Tue,18:45:06,rwanda,oregon,41.74.174.49,41.74.174.49,5,2
Tue,18:45:06,rwanda,oregon,197.243.126.165,197.243.126.165,5,3
Tue,18:45:06,rwanda,oregon,192.168.1.253,192.168.1.253,5,4
Tue,18:45:06,rwanda,oregon,192.168.1.230,192.168.1.230,5,5
Tue,18:45:06,rwanda,oregon,197.243.126.29,197.243.126.29,5,6
Tue,18:45:06,rwanda,oregon,41.223.224.210,41.223.224.210,4,7
Tue,18:45:06,rwanda,oregon,197.155.94.164.liquidtelecom.net,197.155.94.164,187,8
Tue,18:45:06,rwanda,oregon,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,183,9
Tue,18:45:06,rwanda,oregon,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,183,10
Tue,18:45:06,rwanda,oregon,teng0-0-1-0-p2-msa.liquidtelecom.net,197.155.94.11,24,11
Tue,18:45:06,rwanda,oregon,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,73,12
Tue,18:45:06,rwanda,oregon,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,182,13
Tue,18:45:06,rwanda,oregon,v204.core1.lon1.he.net,216.66.86.109,183,14
Tue,18:45:06,rwanda,oregon,10ge2-9.core1.lon2.he.net,72.52.92.222,182,15
Tue,18:45:06,rwanda,oregon,100ge4-1.core1.nyc4.he.net,72.52.92.166,250,16
Tue,18:45:06,rwanda,oregon,100ge14-1.core1.tor1.he.net,184.105.80.10,263,17
Tue,18:45:06,rwanda,oregon,100ge6-1.core1.ywg1.he.net,184.105.64.102,283,18
Tue,18:45:06,rwanda,oregon,100ge10-1.core1.yyc1.he.net,184.105.222.98,307,19
Tue,18:45:06,rwanda,oregon,100ge10-2.core1.yvr1.he.net,184.105.64.113,309,20
Tue,18:45:06,rwanda,oregon,100ge10-2.core1.sea1.he.net,184.105.64.109,303,21
Tue,18:45:06,rwanda,oregon,amazon-02-as16509.10gigabitethernet1-12.core1.sea1.he.net,216.218.230.134,309,22
Tue,18:45:06,rwanda,oregon,52.95.52.18,52.95.52.18,314,23
Tue,18:45:06,rwanda,oregon,52.95.52.227,52.95.52.227,307,24
Tue,18:45:06,rwanda,oregon,54.239.42.215,54.239.42.215,316,25
Tue,18:45:06,rwanda,oregon,52.93.12.88,52.93.12.88,315,26
Tue,18:45:06,rwanda,oregon,52.93.12.188,52.93.12.188,326,27
Tue,18:45:06,rwanda,oregon,52.93.12.36,52.93.12.36,315,28
Tue,18:45:06,rwanda,oregon,52.93.12.178,52.93.12.178,407,29
Tue,18:45:06,rwanda,oregon,52.93.12.245,52.93.12.245,407,30
Tue,18:53:22,rwanda,oregon,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,4,1
Tue,18:53:22,rwanda,oregon,41.74.174.49,41.74.174.49,4,2
Tue,18:53:22,rwanda,oregon,197.243.126.165,197.243.126.165,5,3
Tue,18:53:22,rwanda,oregon,192.168.1.253,192.168.1.253,5,4
Tue,18:53:22,rwanda,oregon,192.168.1.230,192.168.1.230,5,5
Tue,18:53:22,rwanda,oregon,197.243.126.29,197.243.126.29,5,6
Tue,18:53:22,rwanda,oregon,41.223.224.210,41.223.224.210,4,7
Tue,18:53:22,rwanda,oregon,197.155.94.164.liquidtelecom.net,197.155.94.164,181,8
Tue,18:53:22,rwanda,oregon,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,181,9
Tue,18:53:22,rwanda,oregon,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,182,10
Tue,18:53:22,rwanda,oregon,ten-0-1-1-2-p2-msa.liquidtelecom.net,197.155.94.73,24,11
Tue,18:53:22,rwanda,oregon,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,73,12
Tue,18:53:22,rwanda,oregon,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,180,13
Tue,18:53:22,rwanda,oregon,v204.core1.lon1.he.net,216.66.86.109,190,14
Tue,18:53:22,rwanda,oregon,10ge2-9.core1.lon2.he.net,72.52.92.222,180,15
Tue,18:53:22,rwanda,oregon,100ge4-1.core1.nyc4.he.net,72.52.92.166,248,16
Tue,18:53:22,rwanda,oregon,100ge14-1.core1.tor1.he.net,184.105.80.10,260,17
Tue,18:53:22,rwanda,oregon,100ge6-1.core1.ywg1.he.net,184.105.64.102,290,18
Tue,18:53:22,rwanda,oregon,100ge10-1.core1.yyc1.he.net,184.105.222.98,292,19
Tue,18:53:22,rwanda,oregon,100ge10-2.core1.yvr1.he.net,184.105.64.113,314,20
Tue,18:53:22,rwanda,oregon,100ge10-2.core1.sea1.he.net,184.105.64.109,304,21
Tue,18:53:22,rwanda,oregon,amazon-02-as16509.10gigabitethernet1-12.core1.sea1.he.net,216.218.230.134,304,22
Tue,18:53:22,rwanda,oregon,52.95.53.0,52.95.53.0,307,23
Tue,18:53:22,rwanda,oregon,52.95.52.25,52.95.52.25,310,24
Tue,18:53:22,rwanda,oregon,54.239.43.120,54.239.43.120,312,25
Tue,18:53:22,rwanda,oregon,52.93.12.232,52.93.12.232,324,26
Tue,18:53:22,rwanda,oregon,52.93.12.33,52.93.12.33,309,27
Tue,18:53:22,rwanda,oregon,52.93.12.179,52.93.12.179,313,28
Tue,18:53:22,rwanda,oregon,52.93.12.65,52.93.12.65,310,29
Tue,18:53:22,rwanda,oregon,52.93.12.203,52.93.12.203,314,30
Tue,19:01:19,rwanda,oregon,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:01:19,rwanda,oregon,41.74.174.49,41.74.174.49,5,2
Tue,19:01:19,rwanda,oregon,197.243.126.165,197.243.126.165,5,3
Tue,19:01:19,rwanda,oregon,192.168.1.253,192.168.1.253,5,4
Tue,19:01:19,rwanda,oregon,192.168.1.230,192.168.1.230,5,5
Tue,19:01:19,rwanda,oregon,197.243.126.29,197.243.126.29,5,6
Tue,19:01:19,rwanda,oregon,41.223.224.210,41.223.224.210,5,7
Tue,19:01:19,rwanda,oregon,197.155.94.164.liquidtelecom.net,197.155.94.164,187,8
Tue,19:01:19,rwanda,oregon,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,183,9
Tue,19:01:19,rwanda,oregon,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,183,10
Tue,19:01:19,rwanda,oregon,teng0-0-1-0-p2-msa.liquidtelecom.net,197.155.94.11,27,11
Tue,19:01:19,rwanda,oregon,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,76,12
Tue,19:01:19,rwanda,oregon,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,282,13
Tue,19:01:19,rwanda,oregon,v204.core1.lon1.he.net,216.66.86.109,282,14
Tue,19:01:19,rwanda,oregon,10ge2-9.core1.lon2.he.net,72.52.92.222,282,15
Tue,19:01:19,rwanda,oregon,100ge4-1.core1.nyc4.he.net,72.52.92.166,282,16
Tue,19:01:19,rwanda,oregon,100ge14-1.core1.tor1.he.net,184.105.80.10,282,17
Tue,19:01:19,rwanda,oregon,100ge6-1.core1.ywg1.he.net,184.105.64.102,283,18
Tue,19:01:19,rwanda,oregon,100ge10-1.core1.yyc1.he.net,184.105.222.98,300,19
Tue,19:01:19,rwanda,oregon,100ge10-2.core1.yvr1.he.net,184.105.64.113,311,20
Tue,19:01:19,rwanda,oregon,100ge10-2.core1.sea1.he.net,184.105.64.109,308,21
Tue,19:01:19,rwanda,oregon,amazon-02-as16509.10gigabitethernet1-12.core1.sea1.he.net,216.218.230.134,306,22
Tue,19:01:19,rwanda,oregon,52.95.52.112,52.95.52.112,312,23
Tue,19:01:19,rwanda,oregon,52.95.53.147,52.95.53.147,308,24
Tue,19:01:19,rwanda,oregon,54.239.43.122,54.239.43.122,314,25
Tue,19:01:19,rwanda,oregon,52.93.12.48,52.93.12.48,331,26
Tue,19:01:19,rwanda,oregon,52.93.12.179,52.93.12.179,316,27
Tue,19:01:19,rwanda,oregon,52.93.12.37,52.93.12.37,318,28
Tue,19:01:19,rwanda,oregon,52.93.13.61,52.93.13.61,316,29
Tue,19:01:19,rwanda,oregon,52.93.15.223,52.93.15.223,371,30
Tue,19:10:19,rwanda,oregon,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:10:19,rwanda,oregon,41.74.174.49,41.74.174.49,4,2
Tue,19:10:19,rwanda,oregon,197.243.126.165,197.243.126.165,5,3
Tue,19:10:19,rwanda,oregon,192.168.1.253,192.168.1.253,5,4
Tue,19:10:19,rwanda,oregon,192.168.1.230,192.168.1.230,6,5
Tue,19:10:19,rwanda,oregon,197.243.126.29,197.243.126.29,6,6
Tue,19:10:19,rwanda,oregon,41.223.224.210,41.223.224.210,5,7
Tue,19:10:19,rwanda,oregon,197.155.94.164.liquidtelecom.net,197.155.94.164,182,8
Tue,19:10:19,rwanda,oregon,197.155.94.148.liquidtelecom.net,197.155.94.148,182,9
Tue,19:10:19,rwanda,oregon,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,182,10
Tue,19:10:19,rwanda,oregon,ten-0-1-1-2-p2-msa.liquidtelecom.net,197.155.94.73,27,11
Tue,19:10:19,rwanda,oregon,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,75,12
Tue,19:10:19,rwanda,oregon,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,181,13
Tue,19:10:19,rwanda,oregon,v204.core1.lon1.he.net,216.66.86.109,186,14
Tue,19:10:19,rwanda,oregon,10ge2-9.core1.lon2.he.net,72.52.92.222,199,15
Tue,19:10:19,rwanda,oregon,100ge4-1.core1.nyc4.he.net,72.52.92.166,272,16
Tue,19:10:19,rwanda,oregon,100ge14-1.core1.tor1.he.net,184.105.80.10,295,17
Tue,19:10:19,rwanda,oregon,100ge6-1.core1.ywg1.he.net,184.105.64.102,287,18
Tue,19:10:19,rwanda,oregon,100ge10-1.core1.yyc1.he.net,184.105.222.98,293,19
Tue,19:10:19,rwanda,oregon,100ge10-2.core1.yvr1.he.net,184.105.64.113,307,20
Tue,19:10:19,rwanda,oregon,100ge10-2.core1.sea1.he.net,184.105.64.109,306,21
Tue,19:10:19,rwanda,oregon,amazon-02-as16509.10gigabitethernet1-12.core1.sea1.he.net,216.218.230.134,305,22
Tue,19:10:19,rwanda,oregon,52.95.52.54,52.95.52.54,310,23
Tue,19:10:19,rwanda,oregon,52.95.52.159,52.95.52.159,310,24
Tue,19:10:19,rwanda,oregon,54.239.42.217,54.239.42.217,319,25
Tue,19:10:19,rwanda,oregon,52.93.13.48,52.93.13.48,342,26
Tue,19:10:19,rwanda,oregon,52.93.12.111,52.93.12.111,316,27
Tue,19:10:19,rwanda,oregon,52.93.13.32,52.93.13.32,353,28
Tue,19:10:19,rwanda,oregon,52.93.12.254,52.93.12.254,329,29
Tue,19:10:19,rwanda,oregon,52.93.13.75,52.93.13.75,312,30
Tue,19:18:39,rwanda,oregon,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:18:39,rwanda,oregon,41.74.174.49,41.74.174.49,4,2
Tue,19:18:39,rwanda,oregon,197.243.126.165,197.243.126.165,5,3
Tue,19:18:39,rwanda,oregon,192.168.1.253,192.168.1.253,6,4
Tue,19:18:39,rwanda,oregon,192.168.1.230,192.168.1.230,5,5
Tue,19:18:39,rwanda,oregon,197.243.126.29,197.243.126.29,5,6
Tue,19:18:39,rwanda,oregon,41.223.224.210,41.223.224.210,4,7
Tue,19:18:39,rwanda,oregon,197.155.94.164.liquidtelecom.net,197.155.94.164,187,8
Tue,19:18:39,rwanda,oregon,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,184,9
Tue,19:18:39,rwanda,oregon,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,184,10
Tue,19:18:39,rwanda,oregon,197.155.94.169.liquidtelecom.net,197.155.94.169,24,11
Tue,19:18:39,rwanda,oregon,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,73,12
Tue,19:18:39,rwanda,oregon,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,183,13
Tue,19:18:39,rwanda,oregon,v204.core1.lon1.he.net,216.66.86.109,184,14
Tue,19:18:39,rwanda,oregon,10ge2-9.core1.lon2.he.net,72.52.92.222,223,15
Tue,19:18:39,rwanda,oregon,100ge4-1.core1.nyc4.he.net,72.52.92.166,253,16
Tue,19:18:39,rwanda,oregon,100ge14-1.core1.tor1.he.net,184.105.80.10,262,17
Tue,19:18:39,rwanda,oregon,100ge6-1.core1.ywg1.he.net,184.105.64.102,282,18
Tue,19:18:39,rwanda,oregon,100ge10-1.core1.yyc1.he.net,184.105.222.98,303,19
Tue,19:18:39,rwanda,oregon,100ge10-2.core1.yvr1.he.net,184.105.64.113,303,20
Tue,19:18:39,rwanda,oregon,100ge10-2.core1.sea1.he.net,184.105.64.109,304,21
Tue,19:18:39,rwanda,oregon,amazon-02-as16509.10gigabitethernet1-12.core1.sea1.he.net,216.218.230.134,305,22
Tue,19:18:39,rwanda,oregon,52.95.52.154,52.95.52.154,310,23
Tue,19:18:39,rwanda,oregon,52.95.52.163,52.95.52.163,309,24
Tue,19:18:39,rwanda,oregon,54.239.42.254,54.239.42.254,313,25
Tue,19:18:39,rwanda,oregon,54.239.43.132,54.239.43.132,315,26
Tue,19:18:39,rwanda,oregon,52.93.12.50,52.93.12.50,316,27
Tue,19:18:39,rwanda,oregon,52.93.12.252,52.93.12.252,346,28
