Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,18:45:28,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:45:28,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,18:45:28,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,18:45:28,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,18:45:28,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Tue,18:45:28,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Tue,18:45:28,rwanda,uganda,41.223.224.210,41.223.224.210,5,7
Tue,18:45:28,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,12,8
Tue,18:45:28,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,12,9
Tue,18:45:28,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,12,10
Tue,18:45:28,rwanda,uganda,196.0.0.209,196.0.0.209,12,11
Tue,18:45:28,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,12,12
Tue,18:45:28,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,9,13
Tue,18:53:38,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Tue,18:53:38,rwanda,uganda,41.74.174.49,41.74.174.49,5,2
Tue,18:53:38,rwanda,uganda,197.243.126.165,197.243.126.165,6,3
Tue,18:53:38,rwanda,uganda,192.168.1.253,192.168.1.253,6,4
Tue,18:53:38,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Tue,18:53:38,rwanda,uganda,197.243.126.29,197.243.126.29,6,6
Tue,18:53:38,rwanda,uganda,41.223.224.210,41.223.224.210,4,7
Tue,18:53:38,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,9,8
Tue,18:53:38,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Tue,18:53:38,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,9,10
Tue,18:53:38,rwanda,uganda,196.0.0.209,196.0.0.209,10,11
Tue,18:53:38,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,9,12
Tue,18:53:38,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,8,13
Tue,19:01:36,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:01:36,rwanda,uganda,41.74.174.49,41.74.174.49,14,2
Tue,19:01:36,rwanda,uganda,197.243.126.165,197.243.126.165,15,3
Tue,19:01:36,rwanda,uganda,192.168.1.253,192.168.1.253,15,4
Tue,19:01:36,rwanda,uganda,192.168.1.230,192.168.1.230,15,5
Tue,19:01:36,rwanda,uganda,197.243.126.29,197.243.126.29,16,6
Tue,19:01:36,rwanda,uganda,41.223.224.210,41.223.224.210,9,7
Tue,19:01:36,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,9,8
Tue,19:01:36,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Tue,19:01:36,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Tue,19:01:36,rwanda,uganda,196.0.0.209,196.0.0.209,12,11
Tue,19:01:36,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,11,12
Tue,19:01:36,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,12,13
Tue,19:10:35,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Tue,19:10:35,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,19:10:35,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,19:10:35,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,19:10:35,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Tue,19:10:35,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Tue,19:10:35,rwanda,uganda,41.223.224.210,41.223.224.210,3,7
Tue,19:10:35,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,9,8
Tue,19:10:35,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,9,9
Tue,19:10:35,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Tue,19:10:35,rwanda,uganda,196.0.0.209,196.0.0.209,10,11
Tue,19:10:35,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,9,12
Tue,19:10:35,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,11,13
Tue,19:18:57,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Tue,19:18:57,rwanda,uganda,41.74.174.49,41.74.174.49,5,2
Tue,19:18:57,rwanda,uganda,197.243.126.165,197.243.126.165,7,3
Tue,19:18:57,rwanda,uganda,192.168.1.253,192.168.1.253,7,4
Tue,19:18:57,rwanda,uganda,192.168.1.230,192.168.1.230,6,5
Tue,19:18:57,rwanda,uganda,197.243.126.29,197.243.126.29,7,6
Tue,19:18:57,rwanda,uganda,41.223.224.210,41.223.224.210,3,7
Tue,19:18:57,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,9,8
Tue,19:18:57,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Tue,19:18:57,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,11,10
Tue,19:18:57,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Tue,19:18:57,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,11,12
Tue,19:18:57,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,8,13
Tue,19:27:21,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:27:21,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,19:27:21,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,19:27:21,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,19:27:21,rwanda,uganda,192.168.1.230,192.168.1.230,6,5
Tue,19:27:21,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Tue,19:27:21,rwanda,uganda,41.223.224.210,41.223.224.210,4,7
Tue,19:27:21,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,10,8
Tue,19:27:21,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Tue,19:27:21,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Tue,19:27:21,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Tue,19:27:21,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,11,12
Tue,19:27:21,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,16,13
Tue,19:35:20,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:35:20,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,19:35:20,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,19:35:20,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,19:35:20,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Tue,19:35:20,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Tue,19:35:20,rwanda,uganda,41.223.224.210,41.223.224.210,4,7
Tue,19:35:20,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,9,8
Tue,19:35:20,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Tue,19:35:20,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Tue,19:35:20,rwanda,uganda,196.0.0.209,196.0.0.209,10,11
Tue,19:35:20,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,9,12
Tue,19:35:20,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,9,13
Tue,19:43:23,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:43:23,rwanda,uganda,41.74.174.49,41.74.174.49,5,2
Tue,19:43:23,rwanda,uganda,197.243.126.165,197.243.126.165,7,3
Tue,19:43:23,rwanda,uganda,192.168.1.253,192.168.1.253,8,4
Tue,19:43:23,rwanda,uganda,192.168.1.230,192.168.1.230,8,5
Tue,19:43:23,rwanda,uganda,197.243.126.29,197.243.126.29,8,6
Tue,19:43:23,rwanda,uganda,41.223.224.210,41.223.224.210,4,7
Tue,19:43:23,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,10,8
Tue,19:43:23,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Tue,19:43:23,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Tue,19:43:23,rwanda,uganda,196.0.0.209,196.0.0.209,30,11
Tue,19:43:23,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,9,12
Tue,19:43:23,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,14,13
Tue,19:51:43,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:51:43,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,19:51:43,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,19:51:43,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,19:51:43,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Tue,19:51:43,rwanda,uganda,197.243.126.29,197.243.126.29,11,6
Tue,19:51:43,rwanda,uganda,41.223.224.210,41.223.224.210,4,7
Tue,19:51:43,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,9,8
Tue,19:51:43,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,11,9
Tue,19:51:43,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,11,10
Tue,19:51:43,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Tue,19:51:43,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,11,12
Tue,19:51:43,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,13,13
Tue,19:59:40,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Tue,19:59:40,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,19:59:40,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,19:59:40,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,19:59:40,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Tue,19:59:40,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Tue,19:59:40,rwanda,uganda,41.223.224.210,41.223.224.210,19,7
Tue,19:59:40,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,19,8
Tue,19:59:40,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,19,9
Tue,19:59:40,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,18,10
Tue,19:59:40,rwanda,uganda,196.0.0.209,196.0.0.209,18,11
Tue,19:59:40,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,9,12
Tue,19:59:40,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,9,13
Tue,20:07:53,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Tue,20:07:53,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,20:07:53,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,20:07:53,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,20:07:53,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Tue,20:07:53,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Tue,20:07:53,rwanda,uganda,41.223.224.210,41.223.224.210,5,7
Tue,20:07:53,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,11,8
Tue,20:07:53,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,11,9
Tue,20:07:53,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,11,10
Tue,20:07:53,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Tue,20:07:53,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,9,12
Tue,20:07:53,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,10,13
Tue,20:15:54,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,20:15:54,rwanda,uganda,41.74.174.49,41.74.174.49,5,2
Tue,20:15:54,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,20:15:54,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,20:15:54,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Tue,20:15:54,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Tue,20:15:54,rwanda,uganda,41.223.224.210,41.223.224.210,5,7
Tue,20:15:54,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,10,8
Tue,20:15:54,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,11,9
Tue,20:15:54,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Tue,20:15:54,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Tue,20:15:54,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,10,12
Tue,20:15:54,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,9,13
Tue,20:24:09,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,20:24:09,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,20:24:09,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,20:24:09,rwanda,uganda,192.168.1.253,192.168.1.253,4,4
Tue,20:24:09,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Tue,20:24:09,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Tue,20:24:09,rwanda,uganda,41.223.224.210,41.223.224.210,5,7
Tue,20:24:09,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,11,8
Tue,20:24:09,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,11,9
Tue,20:24:09,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,11,10
Tue,20:24:09,rwanda,uganda,196.0.0.209,196.0.0.209,12,11
Tue,20:24:09,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,9,12
Tue,20:24:09,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,9,13
Tue,20:32:10,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,5,1
Tue,20:32:10,rwanda,uganda,41.74.174.49,41.74.174.49,5,2
Tue,20:32:10,rwanda,uganda,197.243.126.165,197.243.126.165,6,3
Tue,20:32:10,rwanda,uganda,192.168.1.253,192.168.1.253,6,4
Tue,20:32:10,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Tue,20:32:10,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Tue,20:32:10,rwanda,uganda,41.223.224.210,41.223.224.210,4,7
Tue,20:32:10,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,10,8
Tue,20:32:10,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,10,9
Tue,20:32:10,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Tue,20:32:10,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Tue,20:32:10,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,12,12
Tue,20:32:10,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,33,13
Tue,20:40:07,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,20:40:07,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,20:40:07,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,20:40:07,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,20:40:07,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Tue,20:40:07,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Tue,20:40:07,rwanda,uganda,41.223.224.210,41.223.224.210,6,7
Tue,20:40:07,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,11,8
Tue,20:40:07,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,11,9
Tue,20:40:07,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Tue,20:40:07,rwanda,uganda,196.0.0.209,196.0.0.209,12,11
Tue,20:40:07,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,83,12
Tue,20:40:07,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,9,13
Tue,20:49:00,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,20:49:00,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,20:49:00,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,20:49:00,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,20:49:00,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Tue,20:49:00,rwanda,uganda,197.243.126.29,197.243.126.29,6,6
Tue,20:49:00,rwanda,uganda,41.223.224.210,41.223.224.210,5,7
Tue,20:49:00,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,10,8
Tue,20:49:00,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,9,9
Tue,20:49:00,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,10,10
Tue,20:49:00,rwanda,uganda,196.0.0.209,196.0.0.209,11,11
Tue,20:49:00,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,9,12
Tue,20:49:00,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,9,13
Tue,20:57:00,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,20:57:00,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,20:57:00,rwanda,uganda,197.243.126.165,197.243.126.165,5,3
Tue,20:57:00,rwanda,uganda,192.168.1.253,192.168.1.253,5,4
Tue,20:57:00,rwanda,uganda,192.168.1.230,192.168.1.230,5,5
Tue,20:57:00,rwanda,uganda,197.243.126.29,197.243.126.29,5,6
Tue,20:57:00,rwanda,uganda,41.223.224.210,41.223.224.210,6,7
Tue,20:57:00,rwanda,uganda,197.155.94.164.liquidtelecom.net,197.155.94.164,11,8
Tue,20:57:00,rwanda,uganda,197.155.94.159.liquidtelecom.net,197.155.94.159,12,9
Tue,20:57:00,rwanda,uganda,utl.peers.uixp.co.ug,196.223.25.36,12,10
Tue,20:57:00,rwanda,uganda,196.0.0.209,196.0.0.209,26,11
Tue,20:57:00,rwanda,uganda,l3-core-1.ip.utlonline.co.ug,196.0.0.25,10,12
Tue,20:57:00,rwanda,uganda,webhost2.utlonline.co.ug,196.0.3.3,35,13
Tue,21:05:22,rwanda,uganda,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,21:05:22,rwanda,uganda,41.74.174.49,41.74.174.49,4,2
Tue,21:05:22,rwanda,uganda,197.243.126.165,197.243.126.165,7,3
Tue,21:05:22,rwanda,uganda,192.168.1.253,192.168.1.253,7,4
Tue,21:05:22,rwanda,uganda,192.168.1.230,192.168.1.230,7,5
Tue,21:05:22,rwanda,uganda,197.243.126.29,197.243.126.29,6,6
