Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,00:13:33,rwanda,angola,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,21,1
Thu,00:13:33,rwanda,angola,41.74.174.49,41.74.174.49,25,2
Thu,00:13:33,rwanda,angola,197.243.126.165,197.243.126.165,26,3
Thu,00:13:33,rwanda,angola,192.168.1.253,192.168.1.253,29,4
Thu,00:13:33,rwanda,angola,192.168.1.230,192.168.1.230,28,5
Thu,00:13:33,rwanda,angola,197.243.126.29,197.243.126.29,30,6
Thu,00:13:33,rwanda,angola,41.223.224.210,41.223.224.210,6,7
Thu,00:13:33,rwanda,angola,197.155.94.164.liquidtelecom.net,197.155.94.164,71,8
Thu,00:13:33,rwanda,angola,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,73,9
Thu,00:13:33,rwanda,angola,197.155.94.167.liquidtelecom.net,197.155.94.167,27,10
Thu,00:13:33,rwanda,angola,gi2-0-0.lza-p2-jhb.liquidtelecom.net,77.246.57.69,72,11
Thu,00:13:33,rwanda,angola,eth-trunk-1-pe2-jhb.liquidtelecom.net,46.17.232.13,68,12
Thu,00:13:33,rwanda,angola,angolacables.ixp.joburg,196.60.8.60,316,13
Thu,00:13:33,rwanda,angola,pe1-nc016.ang.lad.as37468.angolacables.ao,197.149.149.113,316,14
Thu,00:13:33,rwanda,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,316,15
Thu,00:13:33,rwanda,angola,197.149.148.237,197.149.148.237,316,16
Thu,00:13:33,rwanda,angola,41.222.238.26,41.222.238.26,316,17
Thu,00:13:33,rwanda,angola,41.222.238.7,41.222.238.7,261,18
Thu,00:13:33,rwanda,angola,*,*,*,19
Thu,00:13:33,rwanda,angola,*,*,*,20
Thu,00:13:33,rwanda,angola,*,*,*,21
Thu,00:13:33,rwanda,angola,*,*,*,22
Thu,00:13:33,rwanda,angola,*,*,*,23
Thu,00:13:33,rwanda,angola,*,*,*,24
Thu,00:13:33,rwanda,angola,*,*,*,25
Thu,00:13:33,rwanda,angola,*,*,*,26
Thu,00:13:33,rwanda,angola,*,*,*,27
Thu,00:13:33,rwanda,angola,*,*,*,28
Thu,00:13:33,rwanda,angola,*,*,*,29
Thu,00:13:33,rwanda,angola,*,*,*,30
Thu,00:30:28,rwanda,angola,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:30:28,rwanda,angola,41.74.174.49,41.74.174.49,4,2
Thu,00:30:28,rwanda,angola,197.243.126.165,197.243.126.165,5,3
Thu,00:30:28,rwanda,angola,192.168.1.253,192.168.1.253,5,4
Thu,00:30:28,rwanda,angola,192.168.1.230,192.168.1.230,5,5
Thu,00:30:28,rwanda,angola,197.243.126.29,197.243.126.29,5,6
Thu,00:30:28,rwanda,angola,41.223.224.210,41.223.224.210,5,7
Thu,00:30:28,rwanda,angola,197.155.94.164.liquidtelecom.net,197.155.94.164,72,8
Thu,00:30:28,rwanda,angola,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,74,9
Thu,00:30:28,rwanda,angola,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,25,10
Thu,00:30:28,rwanda,angola,gi2-0-0.lza-p2-jhb.liquidtelecom.net,77.246.57.69,97,11
Thu,00:30:28,rwanda,angola,eth-trunk-1-pe2-jhb.liquidtelecom.net,46.17.232.13,74,12
Thu,00:30:28,rwanda,angola,angolacables.ixp.joburg,196.60.8.60,241,13
Thu,00:30:28,rwanda,angola,pe1-nc016.ang.lad.as37468.angolacables.ao,197.149.149.113,266,14
Thu,00:30:28,rwanda,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,266,15
Thu,00:30:28,rwanda,angola,197.149.148.237,197.149.148.237,267,16
Thu,00:30:28,rwanda,angola,41.222.238.26,41.222.238.26,267,17
Thu,00:30:28,rwanda,angola,41.222.238.7,41.222.238.7,266,18
Thu,00:30:28,rwanda,angola,*,*,*,19
Thu,00:30:28,rwanda,angola,*,*,*,20
Thu,00:30:28,rwanda,angola,*,*,*,21
Thu,00:30:28,rwanda,angola,*,*,*,22
Thu,00:30:28,rwanda,angola,*,*,*,23
Thu,00:30:28,rwanda,angola,*,*,*,24
Thu,00:30:28,rwanda,angola,*,*,*,25
Thu,00:30:28,rwanda,angola,*,*,*,26
Thu,00:30:28,rwanda,angola,*,*,*,27
Thu,00:30:28,rwanda,angola,*,*,*,28
Thu,00:30:28,rwanda,angola,*,*,*,29
Thu,00:30:28,rwanda,angola,*,*,*,30
Thu,00:45:32,rwanda,angola,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Thu,00:45:32,rwanda,angola,41.74.174.49,41.74.174.49,4,2
Thu,00:45:32,rwanda,angola,197.243.126.165,197.243.126.165,6,3
Thu,00:45:32,rwanda,angola,192.168.1.253,192.168.1.253,5,4
Thu,00:45:32,rwanda,angola,192.168.1.230,192.168.1.230,6,5
Thu,00:45:32,rwanda,angola,197.243.126.29,197.243.126.29,6,6
Thu,00:45:32,rwanda,angola,41.223.224.210,41.223.224.210,4,7
Thu,00:45:32,rwanda,angola,197.155.94.164.liquidtelecom.net,197.155.94.164,70,8
Thu,00:45:32,rwanda,angola,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,70,9
Thu,00:45:32,rwanda,angola,197.155.94.167.liquidtelecom.net,197.155.94.167,24,10
Thu,00:45:32,rwanda,angola,gi2-0-0.lza-p2-jhb.liquidtelecom.net,77.246.57.69,71,11
Thu,00:45:32,rwanda,angola,eth-trunk-1-pe2-jhb.liquidtelecom.net,46.17.232.13,69,12
Thu,00:45:32,rwanda,angola,angolacables.ixp.joburg,196.60.8.60,314,13
Thu,00:45:32,rwanda,angola,pe1-nc016.ang.lad.as37468.angolacables.ao,197.149.149.113,315,14
Thu,00:45:32,rwanda,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,315,15
