Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,00:14:52,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:14:52,rwanda,ghana,41.74.174.49,41.74.174.49,4,2
Thu,00:14:52,rwanda,ghana,197.243.126.165,197.243.126.165,5,3
Thu,00:14:52,rwanda,ghana,192.168.1.253,192.168.1.253,5,4
Thu,00:14:52,rwanda,ghana,192.168.1.230,192.168.1.230,6,5
Thu,00:14:52,rwanda,ghana,197.243.126.29,197.243.126.29,5,6
Thu,00:14:52,rwanda,ghana,41.223.224.210,41.223.224.210,5,7
Thu,00:14:52,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,194,8
Thu,00:14:52,rwanda,ghana,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,194,9
Thu,00:14:52,rwanda,ghana,197.155.94.167.liquidtelecom.net,197.155.94.167,25,10
Thu,00:14:52,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,195,11
Thu,00:14:52,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,275,12
Thu,00:14:52,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,275,13
Thu,00:14:52,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,242,14
Thu,00:14:52,rwanda,ghana,10.118.46.106,10.118.46.106,447,15
Thu,00:14:52,rwanda,ghana,41.21.232.70,41.21.232.70,447,16
Thu,00:14:52,rwanda,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,447,17
Thu,00:14:52,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,403,18
Thu,00:14:52,rwanda,ghana,197.255.127.2,197.255.127.2,405,19
Thu,00:14:52,rwanda,ghana,197.255.127.35,197.255.127.35,407,20
Thu,00:14:52,rwanda,ghana,197.255.125.213,197.255.125.213,506,21
Thu,00:31:47,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Thu,00:31:47,rwanda,ghana,41.74.174.49,41.74.174.49,5,2
Thu,00:31:47,rwanda,ghana,197.243.126.165,197.243.126.165,7,3
Thu,00:31:47,rwanda,ghana,192.168.1.253,192.168.1.253,6,4
Thu,00:31:47,rwanda,ghana,192.168.1.230,192.168.1.230,7,5
Thu,00:31:47,rwanda,ghana,197.243.126.29,197.243.126.29,11,6
Thu,00:31:47,rwanda,ghana,41.223.224.210,41.223.224.210,5,7
Thu,00:31:47,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,194,8
Thu,00:31:47,rwanda,ghana,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,196,9
Thu,00:31:47,rwanda,ghana,197.155.94.167.liquidtelecom.net,197.155.94.167,27,10
Thu,00:31:47,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,197,11
Thu,00:31:47,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,289,12
Thu,00:31:47,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,289,13
Thu,00:31:47,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,289,14
Thu,00:31:47,rwanda,ghana,10.118.46.106,10.118.46.106,464,15
Thu,00:31:47,rwanda,ghana,41.21.232.70,41.21.232.70,464,16
Thu,00:31:47,rwanda,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,464,17
Thu,00:31:47,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,400,18
Thu,00:31:47,rwanda,ghana,197.255.127.2,197.255.127.2,401,19
Thu,00:31:47,rwanda,ghana,197.255.127.35,197.255.127.35,402,20
Thu,00:31:47,rwanda,ghana,197.255.125.213,197.255.125.213,506,21
Thu,00:46:51,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Thu,00:46:51,rwanda,ghana,41.74.174.49,41.74.174.49,5,2
Thu,00:46:51,rwanda,ghana,197.243.126.165,197.243.126.165,7,3
Thu,00:46:51,rwanda,ghana,192.168.1.253,192.168.1.253,6,4
Thu,00:46:51,rwanda,ghana,192.168.1.230,192.168.1.230,7,5
Thu,00:46:51,rwanda,ghana,197.243.126.29,197.243.126.29,7,6
Thu,00:46:51,rwanda,ghana,41.223.224.210,41.223.224.210,5,7
Thu,00:46:51,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,193,8
Thu,00:46:51,rwanda,ghana,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,195,9
Thu,00:46:51,rwanda,ghana,197.155.94.167.liquidtelecom.net,197.155.94.167,25,10
Thu,00:46:51,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,195,11
Thu,00:46:51,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,193,12
Thu,00:46:51,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,193,13
Thu,00:46:51,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,193,14
Thu,00:46:51,rwanda,ghana,10.118.46.106,10.118.46.106,478,15
Thu,00:46:51,rwanda,ghana,41.21.232.70,41.21.232.70,478,16
