Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,00:05:34,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:05:34,rwanda,japan,41.74.174.49,41.74.174.49,4,2
Thu,00:05:34,rwanda,japan,197.243.126.165,197.243.126.165,5,3
Thu,00:05:34,rwanda,japan,192.168.1.253,192.168.1.253,5,4
Thu,00:05:34,rwanda,japan,192.168.1.230,192.168.1.230,5,5
Thu,00:05:34,rwanda,japan,197.243.126.29,197.243.126.29,6,6
Thu,00:05:34,rwanda,japan,41.223.224.210,41.223.224.210,4,7
Thu,00:05:34,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,200,8
Thu,00:05:34,rwanda,japan,197.155.94.148.liquidtelecom.net,197.155.94.148,200,9
Thu,00:05:34,rwanda,japan,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,200,10
Thu,00:05:34,rwanda,japan,ten-0-1-1-2-p2-msa.liquidtelecom.net,197.155.94.73,28,11
Thu,00:05:34,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,73,12
Thu,00:05:34,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,294,13
Thu,00:05:34,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,294,14
Thu,00:05:34,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,294,15
Thu,00:05:34,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,494,16
Thu,00:05:34,rwanda,japan,tenge0-3-0-9.br02.tok02.pccwbtn.net,63.218.250.133,494,17
Thu,00:05:34,rwanda,japan,63-216-242-78.static.pccwglobal.net,63.216.242.78,419,18
Thu,00:05:34,rwanda,japan,52.95.30.163,52.95.30.163,489,19
Thu,00:05:34,rwanda,japan,52.95.30.134,52.95.30.134,489,20
Thu,00:05:34,rwanda,japan,52.95.30.214,52.95.30.214,489,21
Thu,00:05:34,rwanda,japan,*,*,*,22
Thu,00:05:34,rwanda,japan,*,*,*,23
Thu,00:05:34,rwanda,japan,*,*,*,24
Thu,00:05:34,rwanda,japan,ec2-52-199-106-184.ap-northeast-1.compute.amazonaws.com,52.199.106.184,444,25
Thu,00:22:44,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:22:44,rwanda,japan,41.74.174.49,41.74.174.49,4,2
Thu,00:22:44,rwanda,japan,197.243.126.165,197.243.126.165,5,3
Thu,00:22:44,rwanda,japan,192.168.1.253,192.168.1.253,5,4
Thu,00:22:44,rwanda,japan,192.168.1.230,192.168.1.230,6,5
Thu,00:22:44,rwanda,japan,197.243.126.29,197.243.126.29,5,6
Thu,00:22:44,rwanda,japan,41.223.224.210,41.223.224.210,5,7
Thu,00:22:44,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,186,8
Thu,00:22:44,rwanda,japan,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,184,9
Thu,00:22:44,rwanda,japan,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,184,10
Thu,00:22:44,rwanda,japan,197.155.94.169.liquidtelecom.net,197.155.94.169,21,11
Thu,00:22:44,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,74,12
Thu,00:22:44,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,181,13
Thu,00:22:44,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,182,14
Thu,00:22:44,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,192,15
Thu,00:22:44,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,430,16
Thu,00:22:44,rwanda,japan,tenge0-3-0-9.br02.tok02.pccwbtn.net,63.218.250.133,425,17
Thu,00:22:44,rwanda,japan,63-216-242-54.static.pccwglobal.net,63.216.242.54,418,18
Thu,00:22:44,rwanda,japan,52.95.30.143,52.95.30.143,714,19
Thu,00:22:44,rwanda,japan,52.95.30.132,52.95.30.132,513,20
Thu,00:22:44,rwanda,japan,52.95.30.218,52.95.30.218,513,21
Thu,00:22:44,rwanda,japan,*,*,*,22
Thu,00:22:44,rwanda,japan,*,*,*,23
Thu,00:22:44,rwanda,japan,*,*,*,24
Thu,00:22:44,rwanda,japan,ec2-52-199-106-184.ap-northeast-1.compute.amazonaws.com,52.199.106.184,421,25
Thu,00:37:45,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Thu,00:37:45,rwanda,japan,41.74.174.49,41.74.174.49,6,2
Thu,00:37:45,rwanda,japan,197.243.126.165,197.243.126.165,7,3
Thu,00:37:45,rwanda,japan,192.168.1.253,192.168.1.253,7,4
Thu,00:37:45,rwanda,japan,192.168.1.230,192.168.1.230,7,5
Thu,00:37:45,rwanda,japan,197.243.126.29,197.243.126.29,20,6
Thu,00:37:45,rwanda,japan,41.223.224.210,41.223.224.210,5,7
Thu,00:37:45,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,187,8
Thu,00:37:45,rwanda,japan,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,184,9
Thu,00:37:45,rwanda,japan,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,187,10
Thu,00:37:45,rwanda,japan,197.155.94.169.liquidtelecom.net,197.155.94.169,29,11
Thu,00:37:45,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,76,12
Thu,00:37:45,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,184,13
Thu,00:37:45,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,182,14
Thu,00:37:45,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,191,15
Thu,00:37:45,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,456,16
Thu,00:37:45,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,456,17
Thu,00:37:45,rwanda,japan,63-216-242-78.static.pccwglobal.net,63.216.242.78,421,18
Thu,00:37:45,rwanda,japan,52.95.30.147,52.95.30.147,1707,19
Thu,00:37:45,rwanda,japan,52.95.30.132,52.95.30.132,421,20
Thu,00:37:45,rwanda,japan,52.95.30.206,52.95.30.206,422,21
Thu,00:37:45,rwanda,japan,*,*,*,22
Thu,00:37:45,rwanda,japan,*,*,*,23
Thu,00:37:45,rwanda,japan,*,*,*,24
Thu,00:37:45,rwanda,japan,ec2-52-199-106-184.ap-northeast-1.compute.amazonaws.com,52.199.106.184,419,25
Thu,00:53:20,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:53:20,rwanda,japan,41.74.174.49,41.74.174.49,4,2
Thu,00:53:20,rwanda,japan,197.243.126.165,197.243.126.165,5,3
Thu,00:53:20,rwanda,japan,192.168.1.253,192.168.1.253,5,4
Thu,00:53:20,rwanda,japan,192.168.1.230,192.168.1.230,5,5
Thu,00:53:20,rwanda,japan,197.243.126.29,197.243.126.29,5,6
Thu,00:53:20,rwanda,japan,41.223.224.210,41.223.224.210,4,7
Thu,00:53:20,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,186,8
Thu,00:53:20,rwanda,japan,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,182,9
Thu,00:53:20,rwanda,japan,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,184,10
Thu,00:53:20,rwanda,japan,ten-0-1-1-2-p2-msa.liquidtelecom.net,197.155.94.73,27,11
Thu,00:53:20,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,73,12
Thu,00:53:20,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,276,13
Thu,00:53:20,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,276,14
Thu,00:53:20,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,277,15
Thu,00:53:20,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,481,16
Thu,00:53:20,rwanda,japan,tenge0-3-0-8.br02.tok02.pccwbtn.net,63.218.250.129,481,17
Thu,00:53:20,rwanda,japan,63-216-242-54.static.pccwglobal.net,63.216.242.54,418,18
Thu,00:53:20,rwanda,japan,52.95.30.167,52.95.30.167,473,19
Thu,00:53:20,rwanda,japan,52.95.30.120,52.95.30.120,473,20
Thu,00:53:20,rwanda,japan,52.95.30.218,52.95.30.218,473,21
Thu,00:53:20,rwanda,japan,*,*,*,22
Thu,00:53:20,rwanda,japan,*,*,*,23
Thu,00:53:20,rwanda,japan,*,*,*,24
Thu,00:53:20,rwanda,japan,ec2-52-199-106-184.ap-northeast-1.compute.amazonaws.com,52.199.106.184,511,25
Thu,01:09:01,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Thu,01:09:01,rwanda,japan,41.74.174.49,41.74.174.49,6,2
Thu,01:09:01,rwanda,japan,197.243.126.165,197.243.126.165,7,3
Thu,01:09:01,rwanda,japan,192.168.1.253,192.168.1.253,7,4
Thu,01:09:01,rwanda,japan,192.168.1.230,192.168.1.230,7,5
Thu,01:09:01,rwanda,japan,197.243.126.29,197.243.126.29,7,6
Thu,01:09:01,rwanda,japan,41.223.224.210,41.223.224.210,4,7
Thu,01:09:01,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,191,8
Thu,01:09:01,rwanda,japan,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,184,9
Thu,01:09:01,rwanda,japan,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,184,10
Thu,01:09:01,rwanda,japan,teng0-0-1-0-p2-msa.liquidtelecom.net,197.155.94.11,27,11
Thu,01:09:01,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,75,12
Thu,01:09:01,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,187,13
Thu,01:09:01,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,184,14
Thu,01:09:01,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,192,15
Thu,01:09:01,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,443,16
Thu,01:09:01,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,443,17
Thu,01:09:01,rwanda,japan,63-216-242-78.static.pccwglobal.net,63.216.242.78,443,18
Thu,01:09:01,rwanda,japan,52.95.30.139,52.95.30.139,468,19
Thu,01:09:01,rwanda,japan,52.95.30.126,52.95.30.126,457,20
Thu,01:09:01,rwanda,japan,52.95.30.218,52.95.30.218,457,21
Thu,01:09:01,rwanda,japan,*,*,*,22
Thu,01:09:01,rwanda,japan,*,*,*,23
Thu,01:09:01,rwanda,japan,*,*,*,24
Thu,01:09:01,rwanda,japan,*,*,*,25
Thu,01:09:01,rwanda,japan,*,*,*,26
Thu,01:09:01,rwanda,japan,*,*,*,27
Thu,01:09:01,rwanda,japan,*,*,*,28
Thu,01:09:01,rwanda,japan,*,*,*,29
Thu,01:09:01,rwanda,japan,*,*,*,30
Thu,01:24:53,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Thu,01:24:53,rwanda,japan,41.74.174.49,41.74.174.49,5,2
Thu,01:24:53,rwanda,japan,197.243.126.165,197.243.126.165,6,3
Thu,01:24:53,rwanda,japan,192.168.1.253,192.168.1.253,5,4
Thu,01:24:53,rwanda,japan,192.168.1.230,192.168.1.230,7,5
Thu,01:24:53,rwanda,japan,197.243.126.29,197.243.126.29,5,6
Thu,01:24:53,rwanda,japan,41.223.224.210,41.223.224.210,4,7
Thu,01:24:53,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,191,8
Thu,01:24:53,rwanda,japan,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,190,9
Thu,01:24:53,rwanda,japan,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,190,10
Thu,01:24:53,rwanda,japan,teng0-0-1-0-p2-msa.liquidtelecom.net,197.155.94.11,24,11
Thu,01:24:53,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,73,12
Thu,01:24:53,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,321,13
Thu,01:24:53,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,244,14
Thu,01:24:53,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,244,15
Thu,01:24:53,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,524,16
Thu,01:24:53,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,524,17
Thu,01:24:53,rwanda,japan,63-216-242-54.static.pccwglobal.net,63.216.242.54,523,18
Thu,01:24:53,rwanda,japan,52.95.30.137,52.95.30.137,444,19
Thu,01:24:53,rwanda,japan,52.95.30.124,52.95.30.124,443,20
Thu,01:24:53,rwanda,japan,52.95.30.206,52.95.30.206,443,21
Thu,01:24:53,rwanda,japan,*,*,*,22
Thu,01:24:53,rwanda,japan,*,*,*,23
Thu,01:24:53,rwanda,japan,*,*,*,24
Thu,01:24:53,rwanda,japan,*,*,*,25
Thu,01:24:53,rwanda,japan,*,*,*,26
Thu,01:24:53,rwanda,japan,*,*,*,27
Thu,01:24:53,rwanda,japan,*,*,*,28
Thu,01:24:53,rwanda,japan,*,*,*,29
Thu,01:24:53,rwanda,japan,*,*,*,30
Thu,01:41:12,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Thu,01:41:12,rwanda,japan,41.74.174.49,41.74.174.49,6,2
Thu,01:41:12,rwanda,japan,197.243.126.165,197.243.126.165,7,3
Thu,01:41:12,rwanda,japan,192.168.1.253,192.168.1.253,7,4
Thu,01:41:12,rwanda,japan,192.168.1.230,192.168.1.230,8,5
Thu,01:41:12,rwanda,japan,197.243.126.29,197.243.126.29,7,6
Thu,01:41:12,rwanda,japan,41.223.224.210,41.223.224.210,4,7
Thu,01:41:12,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,188,8
Thu,01:41:12,rwanda,japan,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,185,9
Thu,01:41:12,rwanda,japan,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,188,10
Thu,01:41:12,rwanda,japan,197.155.94.169.liquidtelecom.net,197.155.94.169,26,11
Thu,01:41:12,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,75,12
Thu,01:41:12,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,237,13
Thu,01:41:12,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,211,14
Thu,01:41:12,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,211,15
Thu,01:41:12,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,518,16
Thu,01:41:12,rwanda,japan,tenge0-3-0-6.br02.tok02.pccwbtn.net,63.218.250.117,518,17
Thu,01:41:12,rwanda,japan,63-218-251-238.static.pccwglobal.net,63.218.251.238,464,18
Thu,01:41:12,rwanda,japan,52.95.30.141,52.95.30.141,481,19
Thu,01:41:12,rwanda,japan,52.95.30.126,52.95.30.126,481,20
Thu,01:41:12,rwanda,japan,52.95.30.206,52.95.30.206,480,21
Thu,01:41:12,rwanda,japan,*,*,*,22
Thu,01:41:12,rwanda,japan,*,*,*,23
Thu,01:41:12,rwanda,japan,*,*,*,24
Thu,01:41:12,rwanda,japan,*,*,*,25
Thu,01:41:12,rwanda,japan,*,*,*,26
Thu,01:41:12,rwanda,japan,*,*,*,27
Thu,01:41:12,rwanda,japan,*,*,*,28
Thu,01:41:12,rwanda,japan,*,*,*,29
Thu,01:41:12,rwanda,japan,*,*,*,30
Thu,01:57:03,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,01:57:03,rwanda,japan,41.74.174.49,41.74.174.49,4,2
Thu,01:57:03,rwanda,japan,197.243.126.165,197.243.126.165,5,3
Thu,01:57:03,rwanda,japan,192.168.1.253,192.168.1.253,5,4
Thu,01:57:03,rwanda,japan,192.168.1.230,192.168.1.230,6,5
Thu,01:57:03,rwanda,japan,197.243.126.29,197.243.126.29,5,6
Thu,01:57:03,rwanda,japan,41.223.224.210,41.223.224.210,5,7
Thu,01:57:03,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,187,8
Thu,01:57:03,rwanda,japan,197.155.94.148.liquidtelecom.net,197.155.94.148,187,9
Thu,01:57:03,rwanda,japan,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,186,10
Thu,01:57:03,rwanda,japan,197.155.94.169.liquidtelecom.net,197.155.94.169,24,11
Thu,01:57:03,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,72,12
Thu,01:57:03,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,271,13
Thu,01:57:03,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,272,14
Thu,01:57:03,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,272,15
Thu,01:57:03,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,476,16
Thu,01:57:03,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,476,17
Thu,01:57:03,rwanda,japan,63-216-242-78.static.pccwglobal.net,63.216.242.78,421,18
Thu,01:57:03,rwanda,japan,52.95.30.149,52.95.30.149,477,19
Thu,01:57:03,rwanda,japan,52.95.30.134,52.95.30.134,477,20
Thu,01:57:03,rwanda,japan,52.95.30.210,52.95.30.210,477,21
Thu,01:57:03,rwanda,japan,*,*,*,22
Thu,01:57:03,rwanda,japan,*,*,*,23
Thu,01:57:03,rwanda,japan,*,*,*,24
Thu,01:57:03,rwanda,japan,*,*,*,25
Thu,01:57:03,rwanda,japan,*,*,*,26
Thu,01:57:03,rwanda,japan,*,*,*,27
Thu,01:57:03,rwanda,japan,*,*,*,28
Thu,01:57:03,rwanda,japan,*,*,*,29
Thu,01:57:03,rwanda,japan,*,*,*,30
Thu,02:14:29,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,02:14:29,rwanda,japan,41.74.174.49,41.74.174.49,4,2
Thu,02:14:29,rwanda,japan,197.243.126.165,197.243.126.165,5,3
Thu,02:14:29,rwanda,japan,192.168.1.253,192.168.1.253,5,4
Thu,02:14:29,rwanda,japan,192.168.1.230,192.168.1.230,5,5
Thu,02:14:29,rwanda,japan,197.243.126.29,197.243.126.29,5,6
Thu,02:14:29,rwanda,japan,41.223.224.210,41.223.224.210,4,7
Thu,02:14:29,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,186,8
Thu,02:14:29,rwanda,japan,197.155.94.148.liquidtelecom.net,197.155.94.148,187,9
Thu,02:14:29,rwanda,japan,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,185,10
Thu,02:14:29,rwanda,japan,teng0-0-1-0-p2-msa.liquidtelecom.net,197.155.94.11,27,11
Thu,02:14:29,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,74,12
Thu,02:14:29,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,274,13
Thu,02:14:29,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,274,14
Thu,02:14:29,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,274,15
Thu,02:14:29,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,478,16
Thu,02:14:29,rwanda,japan,tenge0-3-0-8.br02.tok02.pccwbtn.net,63.218.250.129,478,17
Thu,02:14:29,rwanda,japan,63-216-242-54.static.pccwglobal.net,63.216.242.54,417,18
Thu,02:14:29,rwanda,japan,52.95.30.147,52.95.30.147,499,19
Thu,02:14:29,rwanda,japan,52.95.30.130,52.95.30.130,499,20
Thu,02:14:29,rwanda,japan,52.95.30.206,52.95.30.206,499,21
Thu,02:14:29,rwanda,japan,*,*,*,22
Thu,02:14:29,rwanda,japan,*,*,*,23
Thu,02:14:29,rwanda,japan,*,*,*,24
Thu,02:14:29,rwanda,japan,*,*,*,25
Thu,02:14:29,rwanda,japan,*,*,*,26
Thu,02:14:29,rwanda,japan,*,*,*,27
Thu,02:14:29,rwanda,japan,*,*,*,28
Thu,02:14:29,rwanda,japan,*,*,*,29
Thu,02:14:29,rwanda,japan,*,*,*,30
Thu,02:29:56,rwanda,japan,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Thu,02:29:56,rwanda,japan,41.74.174.49,41.74.174.49,6,2
Thu,02:29:56,rwanda,japan,197.243.126.165,197.243.126.165,10,3
Thu,02:29:56,rwanda,japan,192.168.1.253,192.168.1.253,6,4
Thu,02:29:56,rwanda,japan,192.168.1.230,192.168.1.230,10,5
Thu,02:29:56,rwanda,japan,197.243.126.29,197.243.126.29,10,6
Thu,02:29:56,rwanda,japan,41.223.224.210,41.223.224.210,5,7
Thu,02:29:56,rwanda,japan,197.155.94.164.liquidtelecom.net,197.155.94.164,187,8
Thu,02:29:56,rwanda,japan,197.155.94.148.liquidtelecom.net,197.155.94.148,189,9
Thu,02:29:56,rwanda,japan,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,184,10
Thu,02:29:56,rwanda,japan,teng0-0-1-0-p2-msa.liquidtelecom.net,197.155.94.11,27,11
Thu,02:29:56,rwanda,japan,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,73,12
Thu,02:29:56,rwanda,japan,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,246,13
Thu,02:29:56,rwanda,japan,teng0-0-0-0-luk-pe1-tcy.liquidtelecom.net,5.11.10.99,246,14
Thu,02:29:56,rwanda,japan,tenge13-2.br02.ams01.pccwbtn.net,80.249.209.37,246,15
Thu,02:29:56,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,432,16
Thu,02:29:56,rwanda,japan,tenge4-2.br01.tok02.pccwbtn.net,63.218.250.37,430,17
Thu,02:29:56,rwanda,japan,63-216-242-54.static.pccwglobal.net,63.216.242.54,419,18
Thu,02:29:56,rwanda,japan,52.95.30.167,52.95.30.167,422,19
Thu,02:29:56,rwanda,japan,52.95.30.124,52.95.30.124,418,20
Thu,02:29:56,rwanda,japan,52.95.30.218,52.95.30.218,420,21
Thu,02:29:56,rwanda,japan,*,*,*,22
Thu,02:29:56,rwanda,japan,*,*,*,23
Thu,02:29:56,rwanda,japan,*,*,*,24
Thu,02:29:56,rwanda,japan,*,*,*,25
