Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,00:15:46,rwanda,kenya,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:15:46,rwanda,kenya,41.74.174.49,41.74.174.49,4,2
Thu,00:15:46,rwanda,kenya,197.243.126.165,197.243.126.165,5,3
Thu,00:15:46,rwanda,kenya,192.168.1.253,192.168.1.253,5,4
Thu,00:15:46,rwanda,kenya,192.168.1.230,192.168.1.230,5,5
Thu,00:15:46,rwanda,kenya,197.243.126.29,197.243.126.29,23,6
Thu,00:15:46,rwanda,kenya,41.223.224.210,41.223.224.210,5,7
Thu,00:15:46,rwanda,kenya,197.155.94.164.liquidtelecom.net,197.155.94.164,20,8
Thu,00:15:46,rwanda,kenya,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,20,9
Thu,00:15:46,rwanda,kenya,teng0-0-1-1-pe1-nbi.liquidtelecom.net,197.155.94.41,22,10
Thu,00:15:46,rwanda,kenya,teng0-0-1-0-pe1-nbi.liquidtelecom.net,197.155.94.7,22,11
Thu,00:15:46,rwanda,kenya,105.16.19.1,105.16.19.1,168,12
Thu,00:15:46,rwanda,kenya,105.16.8.13,105.16.8.13,168,13
Thu,00:15:46,rwanda,kenya,105.16.9.230,105.16.9.230,170,14
Thu,00:15:46,rwanda,kenya,105.21.8.30,105.21.8.30,187,15
Thu,00:15:46,rwanda,kenya,105.21.8.30,105.21.8.30,191,16
Thu,00:15:46,rwanda,kenya,196.201.222.166,196.201.222.166,31,17
Thu,00:15:46,rwanda,kenya,172.17.28.1,172.17.28.1,30,18
Thu,00:15:46,rwanda,kenya,172.17.28.1,172.17.28.1,31,19
Thu,00:15:46,rwanda,kenya,*,*,*,20
Thu,00:15:46,rwanda,kenya,*,*,*,21
Thu,00:15:46,rwanda,kenya,*,*,*,22
Thu,00:15:46,rwanda,kenya,*,*,*,23
Thu,00:15:46,rwanda,kenya,*,*,*,24
Thu,00:15:46,rwanda,kenya,*,*,*,25
Thu,00:15:46,rwanda,kenya,*,*,*,26
Thu,00:15:46,rwanda,kenya,*,*,*,27
Thu,00:15:46,rwanda,kenya,*,*,*,28
Thu,00:15:46,rwanda,kenya,*,*,*,29
Thu,00:15:46,rwanda,kenya,*,*,*,30
Thu,00:32:32,rwanda,kenya,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Thu,00:32:32,rwanda,kenya,41.74.174.49,41.74.174.49,5,2
Thu,00:32:32,rwanda,kenya,197.243.126.165,197.243.126.165,6,3
Thu,00:32:32,rwanda,kenya,192.168.1.253,192.168.1.253,6,4
Thu,00:32:32,rwanda,kenya,192.168.1.230,192.168.1.230,6,5
Thu,00:32:32,rwanda,kenya,197.243.126.29,197.243.126.29,6,6
Thu,00:32:32,rwanda,kenya,41.223.224.210,41.223.224.210,5,7
Thu,00:32:32,rwanda,kenya,197.155.94.164.liquidtelecom.net,197.155.94.164,18,8
Thu,00:32:32,rwanda,kenya,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,18,9
Thu,00:32:32,rwanda,kenya,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,18,10
Thu,00:32:32,rwanda,kenya,105.16.6.17,105.16.6.17,168,11
Thu,00:32:32,rwanda,kenya,105.16.6.17,105.16.6.17,169,12
Thu,00:32:32,rwanda,kenya,105.16.8.13,105.16.8.13,164,13
Thu,00:32:32,rwanda,kenya,105.16.8.13,105.16.8.13,164,14
Thu,00:32:32,rwanda,kenya,105.16.16.10,105.16.16.10,165,15
Thu,00:32:32,rwanda,kenya,196.201.222.89,196.201.222.89,27,16
Thu,00:32:32,rwanda,kenya,196.201.222.166,196.201.222.166,34,17
Thu,00:32:32,rwanda,kenya,196.201.222.166,196.201.222.166,36,18
Thu,00:32:32,rwanda,kenya,172.17.28.1,172.17.28.1,53,19
Thu,00:32:32,rwanda,kenya,172.17.28.1,172.17.28.1,48,20
Thu,00:32:32,rwanda,kenya,*,*,*,21
Thu,00:32:32,rwanda,kenya,*,*,*,22
Thu,00:32:32,rwanda,kenya,*,*,*,23
Thu,00:32:32,rwanda,kenya,*,*,*,24
Thu,00:32:32,rwanda,kenya,*,*,*,25
Thu,00:32:32,rwanda,kenya,*,*,*,26
Thu,00:32:32,rwanda,kenya,*,*,*,27
Thu,00:32:32,rwanda,kenya,*,*,*,28
Thu,00:32:32,rwanda,kenya,*,*,*,29
Thu,00:32:32,rwanda,kenya,*,*,*,30
Thu,00:47:37,rwanda,kenya,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:47:37,rwanda,kenya,41.74.174.49,41.74.174.49,4,2
Thu,00:47:37,rwanda,kenya,197.243.126.165,197.243.126.165,5,3
Thu,00:47:37,rwanda,kenya,192.168.1.253,192.168.1.253,5,4
Thu,00:47:37,rwanda,kenya,192.168.1.230,192.168.1.230,5,5
Thu,00:47:37,rwanda,kenya,197.243.126.29,197.243.126.29,8,6
