Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,00:06:20,rwanda,oregon,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:06:20,rwanda,oregon,41.74.174.49,41.74.174.49,4,2
Thu,00:06:20,rwanda,oregon,197.243.126.165,197.243.126.165,5,3
Thu,00:06:20,rwanda,oregon,192.168.1.253,192.168.1.253,5,4
Thu,00:06:20,rwanda,oregon,192.168.1.230,192.168.1.230,5,5
Thu,00:06:20,rwanda,oregon,197.243.126.29,197.243.126.29,5,6
Thu,00:06:20,rwanda,oregon,41.223.224.210,41.223.224.210,5,7
Thu,00:06:20,rwanda,oregon,197.155.94.164.liquidtelecom.net,197.155.94.164,289,8
Thu,00:06:20,rwanda,oregon,197.155.94.148.liquidtelecom.net,197.155.94.148,289,9
Thu,00:06:20,rwanda,oregon,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,289,10
Thu,00:06:20,rwanda,oregon,197.155.94.169.liquidtelecom.net,197.155.94.169,24,11
Thu,00:06:20,rwanda,oregon,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,75,12
Thu,00:06:20,rwanda,oregon,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,268,13
Thu,00:06:20,rwanda,oregon,v204.core1.lon1.he.net,216.66.86.109,268,14
Thu,00:06:20,rwanda,oregon,10ge2-9.core1.lon2.he.net,72.52.92.222,268,15
Thu,00:06:20,rwanda,oregon,100ge4-1.core1.nyc4.he.net,72.52.92.166,268,16
Thu,00:06:20,rwanda,oregon,100ge14-1.core1.tor1.he.net,184.105.80.10,268,17
Thu,00:06:20,rwanda,oregon,100ge6-1.core1.ywg1.he.net,184.105.64.102,291,18
Thu,00:06:20,rwanda,oregon,100ge10-1.core1.yyc1.he.net,184.105.222.98,388,19
Thu,00:06:20,rwanda,oregon,100ge10-2.core1.yvr1.he.net,184.105.64.113,388,20
Thu,00:06:20,rwanda,oregon,100ge10-2.core1.sea1.he.net,184.105.64.109,388,21
Thu,00:06:20,rwanda,oregon,six01-sea4.amazon.com,206.81.80.147,388,22
Thu,00:06:20,rwanda,oregon,52.95.52.82,52.95.52.82,388,23
Thu,00:06:20,rwanda,oregon,52.95.52.233,52.95.52.233,307,24
Thu,00:06:20,rwanda,oregon,54.239.42.219,54.239.42.219,318,25
Thu,00:06:20,rwanda,oregon,54.239.43.132,54.239.43.132,318,26
Thu,00:06:20,rwanda,oregon,52.93.12.71,52.93.12.71,313,27
Thu,00:06:20,rwanda,oregon,52.93.12.145,52.93.12.145,312,28
Thu,00:06:20,rwanda,oregon,52.93.12.173,52.93.12.173,347,29
Thu,00:06:20,rwanda,oregon,52.93.13.25,52.93.13.25,321,30
Thu,00:23:21,rwanda,oregon,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:23:21,rwanda,oregon,41.74.174.49,41.74.174.49,4,2
Thu,00:23:21,rwanda,oregon,197.243.126.165,197.243.126.165,5,3
Thu,00:23:21,rwanda,oregon,192.168.1.253,192.168.1.253,5,4
Thu,00:23:21,rwanda,oregon,192.168.1.230,192.168.1.230,6,5
Thu,00:23:21,rwanda,oregon,197.243.126.29,197.243.126.29,6,6
Thu,00:23:21,rwanda,oregon,41.223.224.210,41.223.224.210,4,7
Thu,00:23:21,rwanda,oregon,197.155.94.164.liquidtelecom.net,197.155.94.164,186,8
Thu,00:23:21,rwanda,oregon,197.155.94.148.liquidtelecom.net,197.155.94.148,186,9
Thu,00:23:21,rwanda,oregon,teng0-0-1-3-p1-kpl.liquidtelecom.net,197.155.94.19,186,10
Thu,00:23:21,rwanda,oregon,teng0-0-1-0-p2-msa.liquidtelecom.net,197.155.94.11,25,11
Thu,00:23:21,rwanda,oregon,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,75,12
Thu,00:23:21,rwanda,oregon,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,248,13
Thu,00:23:21,rwanda,oregon,v204.core1.lon1.he.net,216.66.86.109,248,14
Thu,00:23:21,rwanda,oregon,10ge2-9.core1.lon2.he.net,72.52.92.222,248,15
Thu,00:23:21,rwanda,oregon,100ge4-1.core1.nyc4.he.net,72.52.92.166,248,16
Thu,00:23:21,rwanda,oregon,100ge14-1.core1.tor1.he.net,184.105.80.10,289,17
Thu,00:23:21,rwanda,oregon,100ge6-1.core1.ywg1.he.net,184.105.64.102,290,18
Thu,00:23:21,rwanda,oregon,100ge10-1.core1.yyc1.he.net,184.105.222.98,293,19
Thu,00:23:21,rwanda,oregon,100ge10-2.core1.yvr1.he.net,184.105.64.113,302,20
Thu,00:23:21,rwanda,oregon,100ge10-2.core1.sea1.he.net,184.105.64.109,306,21
Thu,00:23:21,rwanda,oregon,six01-sea4.amazon.com,206.81.80.147,309,22
Thu,00:23:21,rwanda,oregon,52.95.52.54,52.95.52.54,314,23
Thu,00:23:21,rwanda,oregon,52.95.53.159,52.95.53.159,305,24
Thu,00:23:21,rwanda,oregon,54.239.42.231,54.239.42.231,318,25
Thu,00:23:21,rwanda,oregon,54.239.43.136,54.239.43.136,317,26
Thu,00:23:21,rwanda,oregon,52.93.13.44,52.93.13.44,316,27
Thu,00:23:21,rwanda,oregon,52.93.12.219,52.93.12.219,315,28
Thu,00:23:21,rwanda,oregon,52.93.12.144,52.93.12.144,348,29
Thu,00:23:21,rwanda,oregon,52.93.13.75,52.93.13.75,313,30
Thu,00:38:21,rwanda,oregon,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:38:21,rwanda,oregon,41.74.174.49,41.74.174.49,4,2
Thu,00:38:21,rwanda,oregon,197.243.126.165,197.243.126.165,5,3
Thu,00:38:21,rwanda,oregon,192.168.1.253,192.168.1.253,4,4
Thu,00:38:21,rwanda,oregon,192.168.1.230,192.168.1.230,5,5
Thu,00:38:21,rwanda,oregon,197.243.126.29,197.243.126.29,5,6
Thu,00:38:21,rwanda,oregon,41.223.224.210,41.223.224.210,4,7
Thu,00:38:21,rwanda,oregon,197.155.94.164.liquidtelecom.net,197.155.94.164,186,8
Thu,00:38:21,rwanda,oregon,teng0-0-1-3.lug-p1-kpl.liquidtelecom.net,197.155.94.80,182,9
Thu,00:38:21,rwanda,oregon,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,184,10
Thu,00:38:21,rwanda,oregon,197.155.94.169.liquidtelecom.net,197.155.94.169,26,11
Thu,00:38:21,rwanda,oregon,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,74,12
Thu,00:38:21,rwanda,oregon,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,185,13
Thu,00:38:21,rwanda,oregon,v204.core1.lon1.he.net,216.66.86.109,186,14
Thu,00:38:21,rwanda,oregon,10ge2-9.core1.lon2.he.net,72.52.92.222,185,15
Thu,00:38:21,rwanda,oregon,100ge4-1.core1.nyc4.he.net,72.52.92.166,254,16
Thu,00:38:21,rwanda,oregon,100ge14-1.core1.tor1.he.net,184.105.80.10,267,17
Thu,00:38:21,rwanda,oregon,100ge6-1.core1.ywg1.he.net,184.105.64.102,278,18
Thu,00:38:21,rwanda,oregon,100ge10-1.core1.yyc1.he.net,184.105.222.98,384,19
Thu,00:38:21,rwanda,oregon,100ge10-2.core1.yvr1.he.net,184.105.64.113,381,20
Thu,00:38:21,rwanda,oregon,100ge10-2.core1.sea1.he.net,184.105.64.109,362,21
Thu,00:38:21,rwanda,oregon,paix01-sea4.amazon.com,198.32.134.41,310,22
Thu,00:38:21,rwanda,oregon,52.95.52.154,52.95.52.154,317,23
Thu,00:38:21,rwanda,oregon,52.95.53.145,52.95.53.145,386,24
Thu,00:38:21,rwanda,oregon,54.239.42.238,54.239.42.238,386,25
Thu,00:38:21,rwanda,oregon,52.93.12.160,52.93.12.160,386,26
Thu,00:38:21,rwanda,oregon,52.93.12.80,52.93.12.80,338,27
Thu,00:38:21,rwanda,oregon,*,*,*,28
Thu,00:38:21,rwanda,oregon,52.93.12.239,52.93.12.239,380,29
Thu,00:38:21,rwanda,oregon,*,*,*,30
Thu,00:53:59,rwanda,oregon,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Thu,00:53:59,rwanda,oregon,41.74.174.49,41.74.174.49,5,2
Thu,00:53:59,rwanda,oregon,197.243.126.165,197.243.126.165,6,3
Thu,00:53:59,rwanda,oregon,192.168.1.253,192.168.1.253,6,4
Thu,00:53:59,rwanda,oregon,192.168.1.230,192.168.1.230,7,5
Thu,00:53:59,rwanda,oregon,197.243.126.29,197.243.126.29,8,6
Thu,00:53:59,rwanda,oregon,41.223.224.210,41.223.224.210,5,7
Thu,00:53:59,rwanda,oregon,197.155.94.164.liquidtelecom.net,197.155.94.164,188,8
Thu,00:53:59,rwanda,oregon,197.155.94.148.liquidtelecom.net,197.155.94.148,189,9
Thu,00:53:59,rwanda,oregon,teng0-1-1-1.lke-p1-nbi.liquidtelecom.net,197.155.94.68,185,10
Thu,00:53:59,rwanda,oregon,teng0-0-1-0-p2-msa.liquidtelecom.net,197.155.94.11,30,11
Thu,00:53:59,rwanda,oregon,teng-0-0-1-2-pe1-fuj.liquidtelecom.net,197.155.94.82,92,12
Thu,00:53:59,rwanda,oregon,teng0-0-0-1-luk-p2-tho.liquidtelecom.net,5.11.10.214,284,13
Thu,00:53:59,rwanda,oregon,v204.core1.lon1.he.net,216.66.86.109,284,14
Thu,00:53:59,rwanda,oregon,10ge2-9.core1.lon2.he.net,72.52.92.222,284,15
Thu,00:53:59,rwanda,oregon,100ge4-1.core1.nyc4.he.net,72.52.92.166,284,16
Thu,00:53:59,rwanda,oregon,100ge14-1.core1.tor1.he.net,184.105.80.10,284,17
Thu,00:53:59,rwanda,oregon,100ge6-1.core1.ywg1.he.net,184.105.64.102,289,18
Thu,00:53:59,rwanda,oregon,100ge10-1.core1.yyc1.he.net,184.105.222.98,385,19
Thu,00:53:59,rwanda,oregon,100ge10-2.core1.yvr1.he.net,184.105.64.113,385,20
Thu,00:53:59,rwanda,oregon,100ge10-2.core1.sea1.he.net,184.105.64.109,385,21
Thu,00:53:59,rwanda,oregon,six01-sea4.amazon.com,206.81.80.147,385,22
Thu,00:53:59,rwanda,oregon,52.95.52.88,52.95.52.88,385,23
Thu,00:53:59,rwanda,oregon,52.95.52.27,52.95.52.27,377,24
Thu,00:53:59,rwanda,oregon,54.239.42.231,54.239.42.231,377,25
Thu,00:53:59,rwanda,oregon,54.239.43.130,54.239.43.130,377,26
Thu,00:53:59,rwanda,oregon,52.93.12.196,52.93.12.196,377,27
Thu,00:53:59,rwanda,oregon,52.93.13.32,52.93.13.32,377,28
Thu,00:53:59,rwanda,oregon,52.93.12.182,52.93.12.182,316,29
Thu,00:53:59,rwanda,oregon,52.93.12.59,52.93.12.59,318,30
Thu,01:09:44,rwanda,oregon,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,01:09:44,rwanda,oregon,41.74.174.49,41.74.174.49,4,2
Thu,01:09:44,rwanda,oregon,197.243.126.165,197.243.126.165,5,3
Thu,01:09:44,rwanda,oregon,192.168.1.253,192.168.1.253,5,4
Thu,01:09:44,rwanda,oregon,192.168.1.230,192.168.1.230,5,5
Thu,01:09:44,rwanda,oregon,197.243.126.29,197.243.126.29,5,6
Thu,01:09:44,rwanda,oregon,41.223.224.210,41.223.224.210,4,7
